Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,24.719999,24.860001,24.5,24.690001,24000,24.240637
2016-01-05,24.709999,24.719,24.683001,24.709999,20100,24.260272
2016-01-06,24.74,24.768999,24.719999,24.76,14300,24.309363
2016-01-07,24.76,24.790001,24.74,24.790001,18000,24.338817
2016-01-08,24.77,24.82,24.76,24.82,69800,24.36827
2016-01-11,24.75,24.799999,24.74,24.77,10000,24.319181
2016-01-12,24.796,24.879999,24.764,24.82,140200,24.36827
2016-01-13,24.809999,24.85,24.798,24.85,30900,24.397725
2016-01-14,24.84,24.84,24.763,24.797001,238400,24.34569
2016-01-15,24.84,24.870001,24.77,24.809999,34300,24.358452
2016-01-19,24.66,24.83,24.66,24.82,18200,24.36827
2016-01-20,24.790001,24.860001,24.780001,24.83,45100,24.378088
2016-01-21,24.83,24.83,24.790001,24.83,21700,24.378088
2016-01-22,24.74,24.77,24.66,24.709999,22700,24.260272
2016-01-25,24.719999,24.85,24.712,24.83,64200,24.378088
2016-01-26,24.747,24.93,24.732,24.93,38000,24.476269
2016-01-27,24.74,24.809999,24.65,24.719999,50600,24.27009
2016-01-28,24.697001,24.76,24.697001,24.728001,31000,24.277946
2016-01-29,24.76,24.83,24.68,24.77,219800,24.319181
2016-02-01,24.719999,24.77,24.719999,24.719999,42000,24.311312
2016-02-02,24.66,24.82,24.610001,24.754,26700,24.34475
2016-02-03,24.75,24.790001,24.74,24.76,29800,24.350652
2016-02-04,24.76,24.809999,24.639999,24.65,42000,24.24247
2016-02-05,24.799999,24.799999,24.65,24.719999,36800,24.311312
2016-02-08,24.73,24.75,24.65,24.75,13800,24.340817
2016-02-09,24.879999,24.879999,24.73,24.77,28700,24.360486
2016-02-10,24.76,24.9,24.67,24.74,23900,24.330982
2016-02-11,24.73,24.77,24.663,24.747999,30600,24.338849
2016-02-12,24.65,24.719999,24.65,24.714001,22700,24.305413
2016-02-16,24.58,24.84,24.57,24.709999,60800,24.301477
2016-02-17,24.66,24.67,24.52,24.67,21600,24.262139
2016-02-18,24.620001,24.75,24.6,24.65,31700,24.24247
2016-02-19,24.629999,24.674999,24.610001,24.66,46800,24.252304
2016-02-22,24.68,24.74,24.597,24.68,29400,24.271974
2016-02-23,24.628,24.73,24.610001,24.620001,29000,24.212967
2016-02-24,24.629999,24.73,24.629999,24.691,32400,24.282792
2016-02-25,24.73,24.75,24.700001,24.75,13900,24.340817
2016-02-26,24.673,24.747999,24.673,24.733,38400,24.324098
2016-02-29,24.709999,24.860001,24.693001,24.75,52900,24.340817
2016-03-01,24.790001,24.790001,24.700001,24.76,18900,24.350652
2016-03-02,24.68,24.719999,24.65,24.698,61200,24.289676
2016-03-03,24.690001,24.75,24.66,24.733999,34600,24.32508
2016-03-04,24.690001,24.719999,24.67,24.709999,24800,24.301477
2016-03-07,24.68,24.700001,24.629999,24.690001,22300,24.281809
2016-03-08,24.709999,24.73,24.646,24.700001,19700,24.291644
2016-03-09,24.690001,24.74,24.68,24.709999,80200,24.301477
2016-03-10,24.700001,24.77,24.67,24.75,25400,24.340817
2016-03-11,24.74,24.77,24.66,24.66,37400,24.252304
2016-03-14,24.700001,24.76,24.700001,24.719999,23600,24.311312
2016-03-15,24.76,24.76,24.719999,24.76,8000,24.350652
2016-03-16,24.736,24.879999,24.719999,24.83,41900,24.419494
2016-03-17,24.879999,24.91,24.878,24.9,35200,24.488336
2016-03-18,24.849001,24.940001,24.849001,24.924999,23900,24.512923
2016-03-21,24.914,24.93,24.889999,24.93,37500,24.517841
2016-03-22,24.950001,24.950001,24.879999,24.9,27200,24.488336
2016-03-23,24.940001,24.98,24.889999,24.92,70300,24.508006
2016-03-24,24.940001,24.99,24.92,24.98,41400,24.567014
2016-03-28,24.945,24.995001,24.92,24.969999,35300,24.557179
2016-03-29,24.940001,25.01,24.889999,24.889999,272800,24.478502
2016-03-30,25.07,25.08,24.975,25.030001,41100,24.616188
2016-03-31,25.09,25.09,25.01,25.055,45700,24.640775
2016-04-01,25.01,25.059999,24.959999,25.030001,37400,24.616188
2016-04-04,25.059999,25.1,25.0,25.01,68600,24.596518
2016-04-05,25.209999,25.209999,25.02,25.084999,111100,24.670277
2016-04-06,25.07,25.120001,25.01,25.09,87200,24.675196
2016-04-07,25.08,25.110001,25.035,25.08,71800,24.665361
2016-04-08,25.139999,25.16,25.059999,25.07,32900,24.655526
2016-04-11,25.120001,25.209999,25.049999,25.09,54000,24.675196
2016-04-12,25.07,25.309999,25.049999,25.09,290200,24.675196
2016-04-13,25.049999,25.049999,24.950001,25.040001,36100,24.626023
2016-04-14,25.02,25.07,25.01,25.059999,20700,24.645691
2016-04-15,25.059999,25.113001,24.98,25.1,30100,24.685031
2016-04-18,25.110001,25.174999,25.055,25.120001,44600,24.7047
2016-04-19,25.129999,25.16,25.059999,25.1,47000,24.685031
2016-04-20,25.08,25.129999,25.02,25.1,81900,24.685031
2016-04-21,25.08,25.110001,24.997999,25.1,32100,24.685031
2016-04-22,25.1,25.120001,25.030001,25.07,231500,24.655526
2016-04-25,25.07,25.07,25.049999,25.055,34300,24.640775
2016-04-26,25.049999,25.07,25.049999,25.07,33400,24.655526
2016-04-27,25.110001,25.110001,25.049999,25.08,72900,24.665361
2016-04-28,25.110001,25.120001,25.059999,25.1,33300,24.685031
2016-04-29,25.09,25.139999,25.077999,25.120001,214900,24.7047
2016-05-02,25.07,25.110001,25.040001,25.1,23400,24.726373
2016-05-03,25.16,25.16,25.040001,25.120001,41700,24.746076
2016-05-04,25.15,25.15,25.040001,25.049999,36300,24.677116
2016-05-05,25.089001,25.129999,25.089001,25.125,36400,24.751001
2016-05-06,25.15,25.18,25.120001,25.145,23300,24.770703
2016-05-09,25.129999,25.17,25.099001,25.139999,21300,24.765777
2016-05-10,25.149,25.16,25.127001,25.15,41600,24.775628
2016-05-11,25.09,25.16,25.09,25.139999,39500,24.765777
2016-05-12,25.110001,25.15,25.107,25.135,28300,24.760852
2016-05-13,25.08,25.15,25.068001,25.129999,45600,24.755925
2016-05-16,25.1,25.129999,25.069,25.09,37700,24.716522
2016-05-17,25.0,25.110001,25.0,25.075001,21600,24.701746
2016-05-18,25.09,25.09,25.0,25.009001,58500,24.636728
2016-05-19,25.040001,25.049999,25.0,25.030001,83200,24.657415
2016-05-20,25.049,25.07,25.0,25.049999,37600,24.677116
2016-05-23,25.030001,25.049999,25.0,25.030001,17100,24.657415
2016-05-24,25.059999,25.07,25.040001,25.040001,37300,24.667267
2016-05-25,25.09,25.09,25.0,25.059999,59600,24.686968
2016-05-26,25.120001,25.120001,25.01,25.09,59000,24.716522
2016-05-27,25.08,25.107,25.031,25.040001,27100,24.667267
2016-05-31,25.049999,25.120001,25.039,25.1,36600,24.726373
2016-06-01,25.049999,25.049999,24.950001,25.017,65000,24.687886
2016-06-02,25.16,25.16,24.986,25.07,60500,24.740188
2016-06-03,25.129999,25.18,25.040001,25.129999,52200,24.799398
2016-06-06,25.1,25.165001,25.040001,25.040001,35600,24.710584
2016-06-07,25.040001,25.159,25.040001,25.139999,24100,24.809267
2016-06-08,25.129999,25.209999,25.105,25.120001,80600,24.789531
2016-06-09,25.16,25.209999,25.111,25.129999,43700,24.799398
2016-06-10,25.209999,25.223,25.139999,25.139999,41200,24.809267
2016-06-13,25.18,25.273001,25.110001,25.15,196200,24.819135
2016-06-14,25.15,25.16,25.1,25.15,13600,24.819135
2016-06-15,25.15,25.16,25.110001,25.16,12500,24.829004
2016-06-16,25.142,25.219,25.142,25.190001,41900,24.85861
2016-06-17,25.23,25.24,25.15,25.190001,23800,24.85861
2016-06-20,25.200001,25.24,25.139999,25.190001,47100,24.85861
2016-06-21,25.200001,25.219999,25.15,25.17,86800,24.838873
2016-06-22,25.16,25.209999,25.139999,25.15,51100,24.819135
2016-06-23,25.139999,25.194,25.139999,25.15,29200,24.819135
2016-06-24,25.23,25.26,25.139999,25.205,47700,24.873412
2016-06-27,25.190001,25.375,25.15,25.184999,35300,24.853675
2016-06-28,25.379999,25.379999,25.18,25.24,43200,24.907951
2016-06-29,25.290001,25.297001,25.219,25.24,19800,24.907951
2016-06-30,25.33,25.370001,25.24,25.32,49700,24.986899
2016-07-01,25.280001,25.299999,25.18,25.25,43700,24.959222
2016-07-05,25.559999,25.559999,25.219999,25.280001,24200,24.988877
