Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,27.33,27.360001,27.32,27.34,11600,27.178399
2016-01-05,27.32,27.379999,27.32,27.33,27600,27.168457
2016-01-06,27.35,27.389999,27.33,27.360001,25000,27.198281
2016-01-07,27.35,27.389999,27.34,27.370001,30100,27.208222
2016-01-08,27.360001,27.4,27.34,27.379999,42100,27.218161
2016-01-11,27.370001,27.379999,27.33,27.35,10900,27.18834
2016-01-12,27.35,27.389999,27.33,27.389999,8400,27.228102
2016-01-13,27.389999,27.4,27.33,27.360001,42300,27.198281
2016-01-14,27.360001,27.469999,27.360001,27.41,49700,27.247984
2016-01-15,27.42,27.42,27.370001,27.4,23300,27.238043
2016-01-19,27.35,27.41,27.35,27.360001,13700,27.198281
2016-01-20,27.4,27.42,27.35,27.389999,16700,27.228102
2016-01-21,27.389999,27.43,27.370001,27.42,5300,27.257926
2016-01-22,27.360001,27.42,27.360001,27.379999,5200,27.218161
2016-01-25,27.42,27.43,27.360001,27.379999,12600,27.218161
2016-01-26,27.389999,27.43,27.379999,27.43,15000,27.267867
2016-01-27,27.42,27.43,27.42,27.42,27800,27.257926
2016-01-28,27.43,27.440001,27.42,27.440001,14000,27.277808
2016-01-29,27.459999,27.459999,27.43,27.43,9100,27.267867
2016-02-01,27.42,27.440001,27.389999,27.389999,20900,27.247969
2016-02-02,27.4,27.4,27.389999,27.4,14900,27.257917
2016-02-03,27.42,27.450001,27.4,27.42,39600,27.277814
2016-02-04,27.4,27.459999,27.4,27.450001,27500,27.307659
2016-02-05,27.469999,27.48,27.4,27.450001,27300,27.307659
2016-02-08,27.49,27.49,27.42,27.459999,9200,27.317606
2016-02-09,27.42,27.450001,27.42,27.450001,26800,27.307659
2016-02-10,27.49,27.49,27.43,27.459999,17400,27.317606
2016-02-11,27.51,27.51,27.43,27.450001,10700,27.307659
2016-02-12,27.48,27.48,27.389999,27.41,140500,27.267866
2016-02-16,27.4,27.43,27.389999,27.43,11900,27.287762
2016-02-17,27.59,27.59,27.450001,27.469999,23900,27.327554
2016-02-18,27.51,28.110001,27.440001,27.5,46200,27.357399
2016-02-19,27.440001,27.48,27.440001,27.48,11700,27.337502
2016-02-22,27.469999,27.48,27.450001,27.450001,41200,27.307659
2016-02-23,27.459999,27.459999,27.440001,27.459999,16900,27.317606
2016-02-24,27.450001,27.49,27.450001,27.469999,9200,27.327554
2016-02-25,27.48,27.48,27.440001,27.48,18900,27.337502
2016-02-26,27.450001,27.459999,27.440001,27.440001,4700,27.297711
2016-02-29,27.469999,27.49,27.469999,27.49,13500,27.347451
2016-03-01,27.43,27.459999,27.42,27.440001,12300,27.297711
2016-03-02,27.459999,27.459999,27.41,27.41,14300,27.267866
2016-03-03,27.450001,27.459999,27.41,27.450001,16200,27.307659
2016-03-04,27.43,27.450001,27.41,27.41,6100,27.267866
2016-03-07,27.440001,27.440001,27.379999,27.440001,16800,27.297711
2016-03-08,27.450001,27.450001,27.379999,27.4,31800,27.257917
2016-03-09,27.43,27.440001,27.4,27.4,27900,27.257917
2016-03-10,27.370001,27.42,27.370001,27.42,23400,27.277814
2016-03-11,27.370001,27.43,27.370001,27.379999,8500,27.238021
2016-03-14,27.43,27.43,27.35,27.41,23800,27.267866
2016-03-15,27.42,27.42,27.360001,27.379999,17200,27.238021
2016-03-16,27.4,27.450001,27.379999,27.440001,20500,27.297711
2016-03-17,27.43,27.440001,27.41,27.43,23900,27.287762
2016-03-18,27.370001,27.440001,27.370001,27.389999,15600,27.247969
2016-03-21,27.379999,27.440001,27.379999,27.43,20800,27.287762
2016-03-22,27.43,27.450001,27.4,27.440001,17500,27.297711
2016-03-23,27.4,27.440001,27.4,27.41,12500,27.267866
2016-03-24,27.459999,27.459999,27.389999,27.4,19700,27.257917
2016-03-28,27.450001,27.450001,27.379999,27.4,16700,27.257917
2016-03-29,27.379999,27.459999,27.379999,27.459999,25400,27.317606
2016-03-30,27.440001,27.450001,27.43,27.440001,8200,27.297711
2016-03-31,27.459999,27.459999,27.370001,27.42,65900,27.277814
2016-04-01,27.41,27.41,27.35,27.370001,21000,27.228074
2016-04-04,27.379999,27.41,27.360001,27.379999,15000,27.238021
2016-04-05,27.379999,27.379999,27.360001,27.370001,23100,27.228074
2016-04-06,27.370001,27.379999,27.360001,27.360001,19800,27.218126
2016-04-07,27.379999,27.389999,27.370001,27.370001,20400,27.228074
2016-04-08,27.4,27.4,27.360001,27.379999,14900,27.238021
2016-04-11,27.379999,27.389999,27.360001,27.370001,6600,27.228074
2016-04-12,27.370001,27.389999,27.35,27.360001,33300,27.218126
2016-04-13,27.360001,27.4,27.360001,27.370001,16800,27.228074
2016-04-14,27.370001,27.4,27.370001,27.370001,14800,27.228074
2016-04-15,27.370001,27.389999,27.35,27.35,9400,27.208177
2016-04-18,27.4,27.4,27.35,27.389999,18000,27.247969
2016-04-19,27.35,27.389999,27.35,27.35,31700,27.208177
