Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,45.169998,45.169998,44.955002,45.025002,400,43.960928
2016-01-05,45.025002,45.025002,45.025002,45.025002,0,43.960928
2016-01-06,44.169998,44.169998,44.169998,44.169998,300,43.126131
2016-01-07,44.099998,44.110001,43.5,43.5,1300,42.471967
2016-01-08,44.0,44.0,44.0,44.0,200,42.96015
2016-01-11,42.849998,43.400002,42.849998,43.290001,6800,42.266931
2016-01-12,43.290001,43.290001,43.290001,43.290001,0,42.266931
2016-01-13,43.330002,43.330002,42.75,42.75,5100,41.739692
2016-01-14,42.91,43.084999,42.66,42.66,6900,41.651818
2016-01-15,42.450001,42.450001,41.669998,41.68,2900,40.694979
2016-01-19,42.290001,42.290001,41.91,41.91,1100,40.919543
2016-01-20,41.91,41.91,41.91,41.91,0,40.919543
2016-01-21,42.169998,42.169998,41.979,41.979,900,40.986913
2016-01-22,41.349998,41.349998,41.349998,41.349998,400,40.372776
2016-01-25,41.349998,41.349998,41.349998,41.349998,0,40.372776
2016-01-26,41.349998,41.349998,41.349998,41.349998,0,40.372776
2016-01-27,41.349998,41.349998,41.349998,41.349998,0,40.372776
2016-01-28,42.048,42.048,42.048,42.048,300,41.054282
2016-01-29,41.549999,41.549999,41.099998,41.099998,400,40.128685
2016-02-01,41.099998,41.099998,41.099998,41.099998,0,40.192248
2016-02-02,41.099998,41.099998,41.099998,41.099998,0,40.192248
2016-02-03,41.099998,41.099998,41.099998,41.099998,0,40.192248
2016-02-04,40.939999,41.294998,40.93,41.294998,3100,40.382941
2016-02-05,40.98,40.98,40.93,40.93,8000,40.026005
2016-02-08,40.658001,40.658001,39.939999,39.959999,2500,39.077427
2016-02-09,39.959999,39.959999,39.959999,39.959999,0,39.077427
2016-02-10,39.959999,39.959999,39.959999,39.959999,0,39.077427
2016-02-11,39.959999,39.959999,39.959999,39.959999,0,39.077427
2016-02-12,39.959999,39.959999,39.959999,39.959999,0,39.077427
2016-02-16,39.959999,39.959999,39.959999,39.959999,100,39.077427
2016-02-17,41.080002,41.080002,41.080002,41.080002,1900,40.172693
2016-02-18,40.939999,40.939999,40.939999,40.939999,400,40.035782
2016-02-19,40.189999,40.189999,40.189999,40.189999,100,39.302347
2016-02-22,41.275002,41.712002,41.275002,41.712002,700,40.790735
2016-02-23,41.030998,41.030998,41.030998,41.030998,300,40.124772
2016-02-24,41.030998,41.030998,41.030998,41.030998,0,40.124772
2016-02-25,41.030998,41.030998,41.030998,41.030998,0,40.124772
2016-02-26,41.030998,41.030998,41.030998,41.030998,0,40.124772
2016-02-29,42.316002,42.316002,42.299999,42.299999,300,41.365745
2016-03-01,42.349998,42.349998,42.349998,42.349998,500,41.41464
2016-03-02,42.59,42.630001,42.59,42.630001,500,41.688459
2016-03-03,42.630001,42.630001,42.630001,42.630001,100,41.688459
2016-03-04,42.488998,42.488998,42.488998,42.488998,400,41.55057
2016-03-07,42.488998,42.488998,42.488998,42.488998,0,41.55057
2016-03-08,42.488998,42.488998,42.488998,42.488998,0,41.55057
2016-03-09,42.360001,42.360001,42.360001,42.360001,200,41.424421
2016-03-10,42.360001,42.360001,42.360001,42.360001,0,41.424421
2016-03-11,42.360001,42.360001,42.360001,42.360001,0,41.424421
2016-03-14,42.360001,42.360001,42.360001,42.360001,0,41.424421
2016-03-15,43.070999,43.27,43.070999,43.27,500,42.314323
2016-03-16,43.27,43.27,43.27,43.27,0,42.314323
2016-03-17,43.27,43.27,43.27,43.27,0,42.314323
2016-03-18,43.27,43.27,43.27,43.27,0,42.314323
2016-03-21,43.877998,43.877998,43.877998,43.877998,200,42.908892
2016-03-22,43.877998,43.877998,43.877998,43.877998,0,42.908892
2016-03-23,43.877998,43.877998,43.877998,43.877998,0,42.908892
2016-03-24,43.939999,43.979,43.787998,43.979,500,43.007663
2016-03-28,43.580002,43.790001,43.580002,43.790001,1100,42.822838
2016-03-29,42.75,44.099998,42.34,44.09,8500,43.116212
2016-03-30,43.529999,44.119999,43.43,44.009998,1700,43.037977
2016-03-31,44.220001,44.23,43.507999,44.130001,1500,43.155329
2016-04-01,44.130001,44.130001,44.130001,44.130001,0,43.155329
2016-04-04,43.689999,43.689999,43.689999,43.689999,300,42.725045
2016-04-05,44.59,44.59,44.16,44.16,600,43.184665
2016-04-06,44.028999,44.84,44.028999,44.84,500,43.849647
2016-04-07,43.68,43.68,43.68,43.68,300,42.715267
2016-04-08,44.587002,44.587002,44.587002,44.587002,200,43.602236
2016-04-11,43.619999,43.619999,43.619999,43.619999,200,42.656591
2016-04-12,44.213001,44.213001,44.213001,44.213001,200,43.236496
2016-04-13,44.669998,44.780998,44.669998,44.780998,300,43.791948
2016-04-14,45.049999,45.088001,45.049999,45.088001,300,44.09217
2016-04-15,45.088001,45.088001,45.088001,45.088001,100,44.09217
2016-04-18,45.088001,45.088001,45.088001,45.088001,0,44.09217
2016-04-19,45.088001,45.088001,45.088001,45.088001,0,44.09217
2016-04-20,45.088001,45.088001,45.088001,45.088001,0,44.09217
2016-04-21,44.695,44.695,44.029999,44.029999,400,43.057535
2016-04-22,44.823002,45.174,44.823002,45.174,300,44.17627
2016-04-25,45.459999,45.459999,45.459999,45.459999,100,44.455952
2016-04-26,45.459999,45.459999,45.459999,45.459999,100,44.455952
2016-04-27,45.459999,45.459999,45.459999,45.459999,100,44.455952
2016-04-28,45.563999,45.563999,45.130001,45.130001,600,44.133243
2016-04-29,44.245998,44.252998,44.245998,44.252998,300,43.27561
2016-05-02,44.252998,44.252998,44.252998,44.252998,0,43.331423
2016-05-03,44.509998,44.599998,44.23,44.23,1000,43.308903
2016-05-04,44.66,44.919998,43.994999,43.994999,2600,43.078797
2016-05-05,44.666,44.666,44.666,44.666,400,43.735824
2016-05-06,44.666,44.666,44.666,44.666,0,43.735824
2016-05-09,44.666,44.666,44.666,44.666,0,43.735824
2016-05-10,43.366001,43.366001,43.366001,43.366001,100,42.462898
2016-05-11,44.450001,44.450001,44.450001,44.450001,400,43.524323
2016-05-12,43.93,44.040001,43.91,43.939999,2900,43.024942
2016-05-13,43.939999,43.939999,43.939999,43.939999,0,43.024942
2016-05-16,43.939999,43.939999,43.939999,43.939999,100,43.024942
2016-05-17,44.5,44.509998,44.5,44.509998,400,43.583071
2016-05-18,44.939999,44.939999,43.439999,44.481998,4000,43.555654
2016-05-19,43.939999,44.391998,43.939999,44.290001,600,43.367655
2016-05-20,44.099998,44.389999,43.799999,44.389999,1500,43.465571
2016-05-23,44.400002,44.950001,44.400002,44.950001,1900,44.01391
2016-05-24,45.285,45.285,44.98,45.029999,1300,44.092242
2016-05-25,45.52,45.57,45.52,45.57,700,44.620998
2016-05-26,45.57,45.57,45.57,45.57,100,44.620998
2016-05-27,45.245998,45.245998,45.245998,45.245998,100,44.303744
2016-05-31,45.459999,45.560001,45.057999,45.560001,3300,44.611208
2016-06-01,45.099998,45.330002,45.099998,45.330002,800,44.446482
2016-06-02,45.562,45.562,45.562,45.562,600,44.673959
2016-06-03,45.562,45.562,45.562,45.562,0,44.673959
2016-06-06,45.779999,45.950001,45.099998,45.110001,3300,44.230769
2016-06-07,45.5,45.790001,45.450001,45.790001,1700,44.897515
2016-06-08,45.599998,45.849998,45.43,45.849998,3500,44.956344
2016-06-09,45.599998,45.799999,45.599998,45.650002,3200,44.760245
2016-06-10,45.650002,45.650002,45.650002,45.650002,0,44.760245
2016-06-13,45.650002,45.650002,45.650002,45.650002,0,44.760245
2016-06-14,45.650002,45.650002,45.650002,45.650002,0,44.760245
2016-06-15,45.459999,45.459999,45.439999,45.439999,400,44.554335
2016-06-16,45.439999,45.439999,45.439999,45.439999,0,44.554335
2016-06-17,44.810001,45.419998,44.790001,45.285,7800,44.402357
2016-06-20,44.997002,45.599998,44.997002,45.209999,20900,44.328818
2016-06-21,45.139999,45.540001,45.139999,45.25,7200,44.36804
2016-06-22,45.299999,45.84,45.240002,45.389999,3900,44.50531
2016-06-23,45.247002,45.490002,45.247002,45.349998,1800,44.466089
2016-06-24,44.700001,45.330002,44.490002,44.5,89200,43.632658
2016-06-27,43.810001,43.810001,43.73,43.790001,4300,42.936497
2016-06-28,44.389999,44.389999,44.389999,44.389999,10200,43.524801
2016-06-29,44.389999,44.389999,44.389999,44.389999,0,43.524801
2016-06-30,44.389999,44.389999,44.389999,44.389999,0,43.524801
2016-07-01,44.619999,44.619999,44.610001,44.610001,1200,43.888821
2016-07-05,44.610001,44.610001,44.610001,44.610001,0,43.888821
2016-07-06,44.700001,44.700001,44.689999,44.689999,9100,43.967525
2016-07-07,44.82,44.950001,44.82,44.950001,29200,44.223324
2016-07-08,45.380001,45.380001,45.189999,45.279999,37300,44.547987
2016-07-11,45.279999,45.73,45.279999,45.589001,6700,44.851994
2016-07-12,46.060001,46.060001,46.049999,46.049999,13200,45.30554
2016-07-13,46.419998,46.459999,46.259998,46.259998,1700,45.512144
2016-07-14,46.349998,46.349998,46.349998,46.349998,200,45.600689
2016-07-15,46.18,46.18,46.18,46.18,400,45.433439
2016-07-18,46.276001,46.32,46.249001,46.32,5800,45.571175
2016-07-19,46.27,46.27,46.029999,46.030998,3100,45.286846
2016-07-20,46.330002,46.330002,46.330002,46.330002,400,45.581016
2016-07-21,46.529999,46.540001,46.529999,46.539001,1100,45.786637
2016-07-22,46.490002,46.490002,46.490002,46.490002,100,45.738429
2016-07-25,46.540001,46.540001,46.52,46.52,500,45.767943
2016-07-26,46.52,46.52,46.52,46.52,0,45.767943
2016-07-27,46.533001,46.533001,46.310001,46.310001,5800,45.561339
2016-07-28,46.68,46.990002,46.68,46.810001,800,46.053255
2016-07-29,47.130001,47.650002,47.016998,47.610001,35300,46.840322
2016-08-01,47.330002,47.330002,47.040001,47.080002,15600,46.536864
2016-08-02,46.740002,46.740002,46.369999,46.369999,17600,45.835052
2016-08-03,46.758999,46.758999,46.758999,46.758999,400,46.219565
2016-08-04,46.615002,46.615002,46.615002,46.615002,100,46.077229
2016-08-05,46.615002,46.615002,46.615002,46.615002,100,46.077229
2016-08-08,46.939999,47.085999,46.939999,47.085999,700,46.542792
2016-08-09,47.25,47.25,47.25,47.25,300,46.704901
2016-08-10,47.150002,47.150002,47.150002,47.150002,100,46.606057
2016-08-11,46.939999,46.939999,46.939999,46.939999,800,46.398476
2016-08-12,46.939999,47.349998,46.939999,47.333,500,46.786944
2016-08-15,47.220001,47.290001,47.015999,47.290001,1500,46.744441
2016-08-16,47.049999,47.049999,47.049999,47.049999,4400,46.507208
2016-08-17,47.049999,47.049999,47.049999,47.049999,200,46.507208
2016-08-18,47.18,47.349998,47.18,47.349998,500,46.803746
2016-08-19,47.0,47.0,46.957001,46.957001,300,46.415282
2016-08-22,47.224998,47.240002,47.209999,47.240002,900,46.695018
2016-08-23,47.380001,47.380001,47.380001,47.380001,100,46.833403
2016-08-24,47.360001,47.360001,47.223,47.32,1300,46.774094
2016-08-25,47.419998,47.43,47.419998,47.43,800,46.882825
2016-08-26,47.43,47.43,47.359001,47.359001,500,46.812645
2016-08-29,47.639,47.639,47.43,47.610001,1800,47.060749
2016-08-30,47.509998,47.509998,47.299999,47.299999,300,46.754324
2016-08-31,47.389999,47.439999,47.362999,47.439999,700,46.892708
2016-09-01,47.09,47.150002,47.09,47.150002,4900,46.606057
2016-09-02,47.240002,47.259998,47.240002,47.258999,400,46.713796
2016-09-06,47.209999,47.209999,47.209999,47.209999,100,46.665362
2016-09-07,47.209999,47.209999,47.209999,47.209999,100,46.665362
2016-09-08,47.200001,47.200001,47.110001,47.110001,14400,46.566517
2016-09-09,46.5,46.5,46.5,46.5,800,45.963554
2016-09-12,46.869999,46.869999,46.869999,46.869999,100,46.329284
2016-09-13,46.450001,46.459999,46.450001,46.459999,4400,45.924014
