Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,28.35,28.379999,28.0,28.379999,855300,27.069981
2016-01-05,28.129999,28.17,27.93,28.17,471800,26.869675
2016-01-06,27.49,27.66,27.440001,27.620001,1286900,26.345064
2016-01-07,26.950001,27.219999,26.83,26.870001,1354100,25.629684
2016-01-08,27.040001,27.08,26.6,26.639999,1276300,25.410299
2016-01-11,26.98,26.99,26.51,26.74,1511100,25.505683
2016-01-12,26.91,26.950001,26.549999,26.809999,1160600,25.572452
2016-01-13,26.959999,27.030001,26.290001,26.360001,2287900,25.143225
2016-01-14,26.42,26.82,26.24,26.67,1035600,25.438915
2016-01-15,25.76,25.950001,25.52,25.67,1947100,24.485075
2016-01-19,26.09,26.110001,25.719999,25.9,1536100,24.704458
2016-01-20,25.440001,25.58,24.9,25.42,2807300,24.246615
2016-01-21,25.34,25.870001,25.16,25.73,1361600,24.542305
2016-01-22,26.370001,26.52,26.290001,26.459999,669300,25.238608
2016-01-25,26.34,26.42,26.110001,26.110001,981500,24.904765
2016-01-26,26.34,26.709999,26.309999,26.700001,1149300,25.467531
2016-01-27,26.57,26.889999,26.370001,26.5,1129400,25.276762
2016-01-28,27.040001,27.09,26.639999,26.85,852700,25.610606
2016-01-29,27.02,27.33,27.0,27.299999,782000,26.039833
2016-02-01,27.08,27.41,27.02,27.33,2846100,26.068449
2016-02-02,26.85,26.85,26.57,26.67,1040300,25.438915
2016-02-03,26.83,27.059999,26.389999,27.030001,1032600,25.782298
2016-02-04,27.139999,27.42,27.110001,27.26,1141800,26.001681
2016-02-05,27.129999,27.15,26.790001,26.870001,790200,25.629684
2016-02-08,26.440001,26.540001,26.23,26.450001,1030600,25.229071
2016-02-09,25.9,26.25,25.9,26.1,1028200,24.895226
2016-02-10,26.139999,26.309999,25.99,26.02,1337900,24.818919
2016-02-11,25.74,25.870001,25.540001,25.790001,1107900,24.599536
2016-02-12,25.940001,26.26,25.860001,26.26,640300,25.047841
2016-02-16,26.73,26.870001,26.559999,26.85,572000,25.610606
2016-02-17,27.0,27.42,27.0,27.360001,469800,26.097065
2016-02-18,27.610001,27.610001,27.360001,27.389999,504000,26.125679
2016-02-19,27.049999,27.309999,27.0,27.280001,606800,26.020758
2016-02-22,27.52,27.700001,27.52,27.700001,625100,26.421371
2016-02-23,27.52,27.540001,27.209999,27.24,729700,25.982603
2016-02-24,26.639999,27.09,26.51,27.049999,712800,25.801373
2016-02-25,27.040001,27.27,26.9,27.25,539800,25.992142
2016-02-26,27.209999,27.219999,26.85,26.889999,653300,25.648759
2016-02-29,26.84,27.040001,26.790001,26.860001,1718400,25.620145
2016-03-01,27.290001,27.59,27.190001,27.59,716400,26.316448
2016-03-02,27.58,27.85,27.52,27.85,386400,26.564447
2016-03-03,28.040001,28.33,28.040001,28.33,401700,27.022289
2016-03-04,28.559999,28.82,28.51,28.690001,518000,27.365672
2016-03-07,28.540001,28.950001,28.52,28.889999,942700,27.556439
2016-03-08,28.67,28.67,28.469999,28.49,406200,27.174904
2016-03-09,28.709999,28.93,28.690001,28.76,826700,27.432441
2016-03-10,28.84,28.98,28.42,28.690001,771600,27.365672
2016-03-11,29.110001,29.35,29.059999,29.33,552900,27.976129
2016-03-14,29.129999,29.139999,28.98,29.049999,564100,27.709054
2016-03-15,28.690001,28.700001,28.58,28.68,496600,27.356134
2016-03-16,28.549999,29.17,28.549999,29.15,460200,27.804438
2016-03-17,29.4,29.77,29.32,29.700001,457100,28.329051
2016-03-18,29.65,29.73,29.51,29.540001,880900,28.176437
2016-03-21,29.530001,29.6,29.43,29.530001,318500,28.166898
2016-03-22,29.209999,29.459999,29.190001,29.41,2023900,28.052437
2016-03-23,28.91,28.92,28.620001,28.639999,1249500,27.637488
2016-03-24,28.34,28.49,28.26,28.469999,432100,27.473438
2016-03-28,28.67,28.67,28.51,28.6,287600,27.598889
2016-03-29,28.34,28.870001,28.24,28.870001,874100,27.859438
2016-03-30,29.18,29.35,29.09,29.17,464800,28.148936
2016-03-31,29.16,29.25,28.99,28.99,744200,27.975237
2016-04-01,28.41,28.799999,28.41,28.76,312100,27.753288
2016-04-04,28.76,28.799999,28.57,28.620001,361900,27.618189
2016-04-05,28.09,28.09,27.950001,28.0,472100,27.019891
2016-04-06,28.049999,28.41,28.01,28.389999,617200,27.396239
2016-04-07,28.08,28.16,27.85,27.93,694200,26.952341
2016-04-08,28.360001,28.48,28.290001,28.4,413100,27.405889
2016-04-11,28.559999,28.73,28.48,28.5,404100,27.502389
2016-04-12,28.700001,29.09,28.59,29.040001,352900,28.023488
2016-04-13,29.32,29.42,29.24,29.389999,431000,28.361235
2016-04-14,29.469999,29.530001,29.42,29.42,674700,28.390185
2016-04-15,29.48,29.559999,29.440001,29.5,353800,28.467385
2016-04-18,29.309999,29.690001,29.309999,29.639999,585300,28.602484
2016-04-19,29.99,30.200001,29.98,30.17,540200,29.113932
2016-04-20,30.1,30.280001,30.059999,30.129999,453000,29.075332
2016-04-21,30.129999,30.139999,29.860001,29.91,698000,28.863033
2016-04-22,29.82,29.93,29.73,29.860001,764900,28.814784
2016-04-25,29.719999,29.77,29.65,29.709999,494900,28.670033
2016-04-26,29.92,29.969999,29.809999,29.889999,377600,28.843733
2016-04-27,29.75,29.950001,29.68,29.860001,390900,28.814784
2016-04-28,29.73,30.049999,29.73,29.82,538100,28.776183
2016-04-29,29.92,30.0,29.73,29.860001,669700,28.814784
2016-05-02,29.959999,30.0,29.809999,29.99,717400,28.940233
2016-05-03,29.67,29.67,29.379999,29.42,727300,28.390185
2016-05-04,29.1,29.139999,28.9,28.969999,722200,27.955936
2016-05-05,29.07,29.110001,28.870001,28.959999,584300,27.946286
2016-05-06,28.68,28.92,28.65,28.92,334500,27.907687
2016-05-09,28.870001,28.870001,28.700001,28.74,365500,27.733988
2016-05-10,28.92,29.139999,28.9,29.120001,390500,28.100687
2016-05-11,28.9,29.129999,28.879999,28.969999,433300,27.955936
2016-05-12,29.26,29.299999,28.860001,29.01,608500,27.994537
2016-05-13,28.73,28.860001,28.57,28.629999,558400,27.627838
2016-05-16,28.780001,29.07,28.780001,29.030001,368200,28.013837
2016-05-17,29.07,29.200001,28.91,28.959999,512300,27.946286
2016-05-18,28.82,29.139999,28.700001,28.799999,857800,27.791887
2016-05-19,28.610001,28.65,28.450001,28.610001,612000,27.608539
2016-05-20,28.83,28.93,28.799999,28.83,496700,27.820837
2016-05-23,28.65,28.73,28.59,28.65,425300,27.647138
2016-05-24,28.82,29.040001,28.809999,28.98,508300,27.965587
2016-05-25,29.190001,29.379999,29.15,29.34,434700,28.312986
2016-05-26,29.5,29.58,29.379999,29.440001,343800,28.409486
2016-05-27,29.379999,29.469999,29.33,29.379999,239500,28.351585
2016-05-31,29.43,29.540001,29.17,29.280001,924600,28.255086
2016-06-01,28.98,29.18,28.940001,29.15,646500,28.129636
2016-06-02,29.01,29.15,28.92,29.129999,492700,28.110336
2016-06-03,29.43,29.540001,29.26,29.51,690400,28.477035
2016-06-06,29.66,29.799999,29.620001,29.73,616500,28.689334
2016-06-07,29.93,30.08,29.93,30.01,479600,28.959533
2016-06-08,30.129999,30.219999,30.09,30.120001,453900,29.065683
2016-06-09,29.76,29.860001,29.700001,29.809999,375200,28.766533
2016-06-10,29.25,29.280001,28.9,28.99,541200,27.975237
2016-06-13,28.65,28.870001,28.559999,28.610001,691500,27.608539
2016-06-14,28.299999,28.389999,28.02,28.18,955600,27.19359
2016-06-15,28.299999,28.469999,28.26,28.309999,759100,27.319039
2016-06-16,27.889999,28.370001,27.67,28.35,793000,27.35764
2016-06-17,28.530001,28.73,28.41,28.68,1208000,27.676088
2016-06-20,29.52,29.58,29.360001,29.360001,810300,28.332286
2016-06-21,28.940001,29.139999,28.780001,28.959999,651000,28.472879
2016-06-22,29.1,29.200001,28.93,28.93,1144400,28.443385
2016-06-23,29.52,29.790001,29.360001,29.75,908000,29.249592
2016-06-24,27.299999,28.01,27.23,27.23,3921400,26.771979
2016-06-27,26.959999,26.959999,26.4,26.67,2462800,26.221399
2016-06-28,27.43,27.559999,27.209999,27.559999,2999600,27.096428
2016-06-29,28.02,28.200001,27.93,28.129999,1352500,27.65684
2016-06-30,28.27,28.66,28.190001,28.629999,1646100,28.14843
2016-07-01,28.690001,28.799999,28.67,28.76,946900,28.276245
2016-07-05,28.309999,28.309999,27.969999,28.030001,806100,27.558524
2016-07-06,27.790001,28.09,27.59,28.09,1389900,27.617514
2016-07-07,28.18,28.25,27.83,27.950001,886900,27.47987
2016-07-08,28.32,28.440001,28.27,28.41,865300,27.932131
2016-07-11,28.629999,28.75,28.629999,28.67,552100,28.187758
2016-07-12,29.08,29.27,29.049999,29.120001,918200,28.63019
2016-07-13,29.17,29.27,29.049999,29.1,697300,28.610526
2016-07-14,29.370001,29.4,29.290001,29.32,706000,28.826825
2016-07-15,29.26,29.290001,29.129999,29.219999,795500,28.728506
2016-07-18,29.18,29.309999,29.110001,29.219999,516000,28.728506
2016-07-19,29.01,29.040001,28.92,29.0,465200,28.512208
2016-07-20,29.07,29.17,28.99,29.1,1179400,28.610526
2016-07-21,29.120001,29.24,29.02,29.08,746100,28.590862
2016-07-22,29.200001,29.200001,29.049999,29.120001,456500,28.63019
2016-07-25,29.190001,29.190001,29.040001,29.120001,591900,28.63019
2016-07-26,29.25,29.360001,29.139999,29.24,558800,28.74817
2016-07-27,29.379999,29.440001,29.110001,29.389999,683200,28.895647
2016-07-28,29.41,29.469999,29.309999,29.43,512200,28.934975
2016-07-29,29.5,29.66,29.4,29.59,1182400,29.092284
2016-08-01,29.440001,29.440001,29.209999,29.24,917500,28.74817
2016-08-02,29.35,29.35,29.1,29.23,487300,28.738338
2016-08-03,29.0,29.129999,28.93,29.129999,475900,28.64002
2016-08-04,29.200001,29.299999,29.139999,29.25,501600,28.758002
2016-08-05,29.26,29.41,29.26,29.389999,278600,28.895647
2016-08-08,29.49,29.57,29.459999,29.549999,502000,29.052956
2016-08-09,29.700001,29.860001,29.639999,29.77,814300,29.269256
2016-08-10,29.940001,29.940001,29.799999,29.82,437800,29.318414
2016-08-11,29.969999,30.15,29.950001,30.030001,713200,29.524883
2016-08-12,30.049999,30.08,29.879999,29.93,480400,29.426565
2016-08-15,29.99,30.1,29.99,30.040001,331500,29.534715
2016-08-16,30.049999,30.1,29.969999,30.01,936800,29.505219
2016-08-17,30.0,30.15,29.83,30.059999,563400,29.554377
2016-08-18,30.09,30.290001,30.08,30.290001,497100,29.78051
2016-08-19,29.950001,30.049999,29.83,30.02,573100,29.515051
2016-08-22,29.91,30.059999,29.860001,30.040001,403200,29.534715
2016-08-23,30.219999,30.32,30.17,30.18,959600,29.67236
2016-08-24,30.209999,30.23,30.059999,30.09,714300,29.583873
2016-08-25,30.040001,30.1,30.0,30.049999,706900,29.544545
2016-08-26,30.15,30.440001,29.73,29.860001,758000,29.357743
2016-08-29,29.74,29.93,29.73,29.91,444100,29.406901
2016-08-30,29.959999,30.02,29.809999,29.870001,423900,29.367575
2016-08-31,29.84,29.879999,29.65,29.75,528400,29.249592
2016-09-01,29.83,29.889999,29.709999,29.889999,555400,29.387237
2016-09-02,30.219999,30.32,30.120001,30.290001,466100,29.78051
2016-09-06,30.49,30.639999,30.42,30.639999,741200,30.124621
2016-09-07,30.719999,30.73,30.549999,30.629999,440100,30.114789
2016-09-08,30.66,30.719999,30.530001,30.610001,512600,30.095127
2016-09-09,30.299999,30.299999,29.85,29.85,647900,29.347911
2016-09-12,29.59,30.08,29.549999,30.049999,860800,29.544545
2016-09-13,29.530001,29.540001,29.120001,29.23,801200,28.738338
2016-09-14,29.299999,29.49,29.25,29.299999,595600,28.807161
2016-09-15,29.370001,29.74,29.34,29.690001,837300,29.190602
2016-09-16,29.41,29.440001,29.299999,29.370001,545900,28.875985
2016-09-19,29.59,29.67,29.459999,29.48,566600,28.984133
2016-09-20,29.700001,29.719999,29.540001,29.58,385600,29.082452
2016-09-21,29.73,30.02,29.629999,30.0,307200,29.495387
2016-09-22,30.379999,30.450001,30.219999,30.27,736800,29.760846
2016-09-23,30.120001,30.190001,30.07,30.07,425900,29.564209
2016-09-26,29.59,29.629999,29.52,29.540001,374500,29.374282
2016-09-27,29.4,29.629999,29.34,29.610001,455900,29.443889
2016-09-28,29.73,29.93,29.540001,29.93,588900,29.762093
2016-09-29,30.030001,30.08,29.610001,29.709999,823400,29.543326
2016-09-30,29.92,30.08,29.84,29.98,582100,29.811812
2016-10-03,29.98,29.98,29.860001,29.92,410800,29.752149
2016-10-04,30.030001,30.059999,29.700001,29.809999,699000,29.642766
2016-10-05,29.92,29.940001,29.799999,29.889999,453700,29.722317
2016-10-06,29.73,29.75,29.629999,29.719999,418800,29.55327
2016-10-07,29.639999,29.65,29.33,29.559999,567000,29.394168
2016-10-10,29.66,29.780001,29.639999,29.709999,283500,29.543326
2016-10-11,29.58,29.58,29.18,29.23,569200,29.06602
2016-10-12,29.27,29.379999,29.200001,29.290001,331900,29.125684
2016-10-13,28.99,29.290001,28.9,29.24,743100,29.075964
2016-10-14,29.48,29.52,29.280001,29.290001,467400,29.125684
2016-10-17,29.18,29.26,29.139999,29.18,446400,29.016301
2016-10-18,29.549999,29.559999,29.42,29.49,586400,29.324561
2016-10-19,29.51,29.639999,29.459999,29.559999,510500,29.394168
2016-10-20,29.469999,29.58,29.4,29.49,470800,29.324561
2016-10-21,29.26,29.360001,29.209999,29.35,580400,29.185347
2016-10-24,29.43,29.450001,29.26,29.33,406800,29.165459
2016-10-25,29.42,29.48,29.34,29.41,904300,29.24501
2016-10-26,29.26,29.360001,29.18,29.23,432000,29.06602
2016-10-27,29.26,29.26,29.049999,29.09,440400,28.926806
2016-10-28,29.049999,29.209999,29.040001,29.120001,466200,28.956638
2016-10-31,29.110001,29.18,29.030001,29.1,558300,28.93675
2016-11-01,29.24,29.27,28.940001,29.059999,691300,28.896973
2016-11-02,29.040001,29.040001,28.790001,28.82,686200,28.65832
2016-11-03,28.9,28.959999,28.790001,28.83,525700,28.668264
2016-11-04,28.629999,28.690001,28.51,28.51,640800,28.350059
2016-11-07,28.91,29.02,28.9,29.01,412600,28.847254
2016-11-08,28.969999,29.200001,28.91,29.15,547900,28.986468
2016-11-09,28.809999,29.16,28.75,29.049999,1194100,28.887029
2016-11-10,29.02,29.07,28.73,28.92,1369500,28.757759
2016-11-11,28.77,28.77,28.530001,28.709999,517700,28.548936
2016-11-14,28.469999,28.5,28.33,28.459999,1176500,28.300339
2016-11-15,28.450001,28.709999,28.42,28.700001,487800,28.538994
2016-11-16,28.379999,28.51,28.379999,28.43,509500,28.270508
2016-11-17,28.540001,28.6,28.42,28.469999,615200,28.310283
2016-11-18,28.379999,28.4,28.25,28.32,573000,28.161125
2016-11-21,28.43,28.6,28.43,28.6,502700,28.439555
2016-11-22,28.719999,28.719999,28.57,28.700001,635300,28.538994
2016-11-23,28.530001,28.67,28.48,28.66,1563500,28.499218
2016-11-25,28.870001,28.9,28.82,28.870001,379700,28.70804
2016-11-28,28.74,28.83,28.690001,28.75,1091200,28.588713
2016-11-29,28.719999,28.940001,28.67,28.879999,775800,28.717983
2016-11-30,28.940001,28.940001,28.74,28.790001,961400,28.628489
2016-12-01,28.889999,29.0,28.83,28.92,598600,28.757759
2016-12-02,28.85,29.040001,28.85,28.969999,803700,28.807478
2016-12-05,29.049999,29.200001,29.0,29.139999,591800,28.976524
2016-12-06,29.18,29.360001,29.139999,29.33,812000,29.165459
2016-12-07,29.41,29.780001,29.4,29.709999,905800,29.543326
2016-12-08,29.68,29.77,29.59,29.73,789100,29.563215
2016-12-09,29.77,29.92,29.719999,29.91,837700,29.742205
2016-12-12,29.959999,30.040001,29.92,29.969999,537000,29.801868
2016-12-13,30.09,30.299999,30.07,30.209999,723100,30.040521
2016-12-14,30.129999,30.24,29.67,29.700001,1193600,29.533384
2016-12-15,29.48,29.610001,29.459999,29.559999,933800,29.394168
2016-12-16,29.540001,29.610001,29.469999,29.540001,1298100,29.374282
2016-12-19,29.540001,29.559999,29.42,29.42,880700,29.254954
2016-12-20,29.48,29.6,29.48,29.549999,668600,29.384224
2016-12-21,29.620001,29.639999,29.559999,29.59,1117900,29.424001
2016-12-22,29.440001,29.5,29.35,29.360001,948100,29.360001
2016-12-23,29.389999,29.459999,29.370001,29.459999,1118200,29.459999
2016-12-27,29.459999,29.549999,29.459999,29.469999,718800,29.469999
2016-12-28,29.450001,29.48,29.34,29.379999,605500,29.379999
2016-12-29,29.6,29.690001,29.59,29.65,691900,29.65
2016-12-30,29.74,29.75,29.51,29.559999,886800,29.559999
2017-01-03,29.799999,29.84,29.76,29.84,716300,29.84
2017-01-04,29.99,30.139999,29.950001,30.139999,548100,30.139999
2017-01-05,30.219999,30.48,30.200001,30.450001,838300,30.450001
2017-01-06,30.290001,30.34,30.24,30.27,730100,30.27
2017-01-09,30.200001,30.26,30.129999,30.23,628800,30.23
2017-01-10,30.209999,30.27,30.15,30.17,747000,30.17
2017-01-11,30.1,30.4,30.07,30.389999,1189600,30.389999
