Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,122.959999,123.080002,122.82,122.860001,1411900,121.276264
2016-01-05,122.839996,123.0,122.790001,122.910004,345100,121.325623
2016-01-06,123.190002,123.309998,123.099998,123.269997,261200,121.680975
2016-01-07,123.410004,123.550003,123.199997,123.550003,401100,121.957372
2016-01-08,123.519997,123.800003,123.440002,123.800003,418000,122.20415
2016-01-11,123.559998,123.809998,123.510002,123.650002,824700,122.056082
2016-01-12,123.639999,124.080002,123.540001,123.879997,422200,122.283113
2016-01-13,123.800003,124.25,123.790001,124.129997,290000,122.52989
2016-01-14,124.089996,124.25,123.889999,124.099998,1759600,122.500278
2016-01-15,124.629997,124.629997,124.360001,124.440002,989000,122.835899
2016-01-19,124.260002,124.449997,124.25,124.32,790700,122.717443
2016-01-20,124.68,124.900002,124.580002,124.650002,600700,123.043191
2016-01-21,124.769997,124.809998,124.449997,124.529999,502600,122.924735
2016-01-22,124.279999,124.389999,124.150002,124.349998,317200,122.747055
2016-01-25,124.410004,124.519997,124.339996,124.480003,402300,122.875384
2016-01-26,124.529999,124.669998,124.449997,124.589996,462900,122.983959
2016-01-27,124.449997,124.690002,124.330002,124.669998,299700,123.06293
2016-01-28,124.610001,124.849998,124.589996,124.82,320900,123.210998
2016-01-29,125.150002,125.25,124.980003,125.239998,1854900,123.625582
2016-02-01,124.879997,125.050003,124.760002,124.870003,1320300,123.406191
2016-02-02,125.209999,125.419998,125.160004,125.379997,614500,123.910207
2016-02-03,125.339996,125.800003,125.300003,125.410004,673000,123.939862
2016-02-04,125.529999,125.589996,125.379997,125.529999,3260200,124.05845
2016-02-05,125.400002,125.620003,125.279999,125.540001,384700,124.068335
2016-02-08,125.839996,126.099998,125.779999,126.029999,920600,124.552589
2016-02-09,126.269997,126.279999,125.980003,125.989998,783300,124.513057
2016-02-10,125.919998,126.18,125.75,126.139999,548000,124.6613
2016-02-11,126.739998,126.839996,126.309998,126.339996,1861100,124.858952
2016-02-12,126.120003,126.220001,125.790001,125.900002,1170200,124.424116
2016-02-16,125.720001,125.849998,125.639999,125.739998,396400,124.265988
2016-02-17,125.57,125.580002,125.360001,125.559998,576400,124.088097
2016-02-18,125.589996,125.919998,125.519997,125.849998,453600,124.374699
2016-02-19,125.709999,125.889999,125.690002,125.739998,352600,124.265988
2016-02-22,125.669998,125.75,125.589996,125.709999,249500,124.236341
2016-02-23,125.519997,125.910004,125.480003,125.809998,694000,124.335167
2016-02-24,126.059998,126.379997,125.769997,125.849998,482800,124.374699
2016-02-25,126.040001,126.209999,125.959999,126.07,341200,124.592121
2016-02-26,125.779999,125.800003,125.550003,125.730003,503000,124.25611
2016-02-29,125.589996,125.809998,125.580002,125.779999,3110700,124.30552
2016-03-01,125.68,125.709999,125.029999,125.07,2269500,123.734675
2016-03-02,124.910004,125.019997,124.809998,124.959999,589100,123.625848
2016-03-03,124.889999,125.120003,124.870003,124.970001,731400,123.635744
2016-03-04,124.919998,124.989998,124.629997,124.790001,391500,123.457665
2016-03-07,124.690002,124.690002,124.519997,124.599998,543000,123.269691
2016-03-08,125.010002,125.110001,124.919998,125.0,276300,123.665422
2016-03-09,124.809998,124.879997,124.68,124.779999,318500,123.44777
2016-03-10,124.639999,124.739998,124.389999,124.449997,257200,123.121291
2016-03-11,124.449997,124.449997,124.18,124.279999,306200,122.953108
2016-03-14,124.300003,124.43,124.260002,124.260002,312000,122.933325
2016-03-15,124.419998,124.489998,124.230003,124.269997,302300,122.943213
2016-03-16,124.099998,124.82,124.019997,124.790001,286500,123.457665
2016-03-17,124.790001,124.949997,124.779999,124.879997,386400,123.546701
2016-03-18,125.050003,125.160004,125.010002,125.139999,284000,123.803927
2016-03-21,124.949997,125.010002,124.870003,124.870003,606300,123.536813
2016-03-22,125.040001,125.120003,124.690002,124.730003,373600,123.398308
2016-03-23,124.769997,125.089996,124.769997,125.029999,974200,123.695101
2016-03-24,125.129997,125.160004,124.82,124.959999,324600,123.625848
2016-03-28,125.010002,125.139999,124.959999,125.019997,345800,123.685205
2016-03-29,125.18,125.610001,125.169998,125.559998,527000,124.219441
2016-03-30,125.519997,125.720001,125.43,125.669998,319000,124.328267
2016-03-31,125.75,126.040001,125.629997,125.949997,627400,124.605276
2016-04-01,125.760002,125.82,125.540001,125.709999,3596900,124.511188
2016-04-04,125.779999,125.860001,125.690002,125.809998,344100,124.610232
2016-04-05,126.019997,126.089996,125.980003,126.07,3061200,124.867755
2016-04-06,126.040001,126.050003,125.830002,125.959999,613400,124.758803
2016-04-07,126.129997,126.309998,126.089996,126.279999,339000,125.075752
2016-04-08,126.139999,126.25,126.050003,126.190002,249300,124.986613
2016-04-11,126.050003,126.279999,126.050003,126.190002,357700,124.986613
2016-04-12,126.040001,126.07,125.879997,125.919998,263400,124.719184
2016-04-13,125.830002,125.959999,125.779999,125.860001,197000,124.659759
2016-04-14,125.769997,125.849998,125.650002,125.709999,258600,124.511188
2016-04-15,125.800003,126.019997,125.790001,125.919998,247700,124.719184
2016-04-18,125.889999,125.900002,125.790001,125.860001,804200,124.659759
2016-04-19,125.760002,125.82,125.68,125.709999,212900,124.511188
2016-04-20,125.769997,125.800003,125.330002,125.43,325200,124.233859
2016-04-21,125.25,125.349998,125.18,125.25,749800,124.055575
2016-04-22,125.25,125.290001,125.120003,125.220001,219600,124.025862
2016-04-25,125.139999,125.230003,125.099998,125.099998,548800,123.907004
2016-04-26,125.099998,125.110001,124.940002,124.989998,245600,123.798053
2016-04-27,125.199997,125.370003,125.019997,125.370003,286800,124.174434
2016-04-28,125.339996,125.639999,125.32,125.610001,1113900,124.412143
2016-04-29,125.5,125.709999,125.419998,125.629997,521300,124.431949
2016-05-02,125.43,125.449997,125.279999,125.32,440600,124.2614
2016-05-03,125.709999,125.779999,125.650002,125.720001,733200,124.658023
2016-05-04,125.779999,125.860001,125.589996,125.860001,251700,124.79684
2016-05-05,125.809998,126.029999,125.669998,126.029999,152700,124.965402
2016-05-06,125.980003,126.089996,125.809998,125.879997,662800,124.816667
2016-05-09,126.010002,126.089996,125.959999,126.089996,278300,125.024893
2016-05-10,126.029999,126.089996,125.949997,126.07,282200,125.005065
2016-05-11,125.989998,126.199997,125.970001,126.059998,199900,124.995147
2016-05-12,125.919998,126.029999,125.82,125.910004,138300,124.84642
2016-05-13,125.900002,126.099998,125.809998,126.050003,350500,124.985237
2016-05-16,125.870003,125.879997,125.769997,125.800003,1019200,124.737349
2016-05-17,125.669998,125.82,125.629997,125.650002,200400,124.588615
2016-05-18,125.43,125.449997,124.970001,125.080002,545200,124.02343
2016-05-19,125.110001,125.25,125.110001,125.139999,250700,124.082921
