Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,27.68,27.68,27.309999,27.58,359700,25.63439
2016-01-05,27.6,27.68,27.469999,27.67,177700,25.718041
2016-01-06,27.33,27.35,27.219999,27.34,69400,25.411321
2016-01-07,26.870001,27.1,26.82,26.889999,27900,24.993065
2016-01-08,26.860001,26.860001,26.440001,26.469999,220200,24.602693
2016-01-11,26.68,26.68,26.370001,26.559999,93700,24.686344
2016-01-12,26.66,26.780001,26.469999,26.639999,32200,24.760701
2016-01-13,26.73,26.76,26.200001,26.280001,171200,24.426098
2016-01-14,26.49,26.77,26.33,26.610001,587800,24.732818
2016-01-15,25.91,26.01,25.700001,25.83,809300,24.007842
2016-01-19,26.18,26.18,25.76,25.889999,54700,24.063609
2016-01-20,25.5,25.52,24.969999,25.33,321700,23.543114
2016-01-21,25.280001,25.559999,25.040001,25.35,386600,23.561704
2016-01-22,25.75,26.01,25.75,25.99,217400,24.156555
2016-01-25,25.879999,25.92,25.67,25.690001,120600,23.877719
2016-01-26,25.799999,26.120001,25.799999,26.09,117200,24.249501
2016-01-27,26.120001,26.219999,25.83,25.91,123500,24.082199
2016-01-28,26.120001,26.120001,25.92,26.059999,72500,24.221617
2016-01-29,26.58,26.9,26.549999,26.879999,92500,24.98377
2016-02-01,26.860001,27.120001,26.860001,27.040001,1398000,25.132485
2016-02-02,26.690001,26.75,26.440001,26.530001,113800,24.658462
2016-02-03,26.85,27.040001,26.57,27.040001,85500,25.132485
2016-02-04,27.049999,27.120001,26.860001,26.92,79800,25.020949
2016-02-05,26.77,26.889999,26.4,26.49,249700,24.621283
2016-02-08,26.25,26.25,25.870001,26.1,115900,24.258796
2016-02-09,25.67,25.93,25.639999,25.83,115300,24.007842
2016-02-10,26.1,26.24,25.950001,25.959999,114100,24.128671
2016-02-11,25.68,25.870001,25.57,25.719999,118500,23.905601
2016-02-12,25.74,26.02,25.700001,26.02,1171800,24.184439
2016-02-16,26.450001,26.629999,26.440001,26.620001,76000,24.742113
2016-02-17,26.68,26.950001,26.610001,26.91,479000,25.011654
2016-02-18,26.950001,26.950001,26.75,26.82,41600,24.928003
2016-02-19,26.9,27.16,26.860001,27.16,93100,25.244018
2016-02-22,27.41,27.41,27.32,27.379999,83700,25.448498
2016-02-23,27.16,27.16,26.9,26.91,27800,25.011654
2016-02-24,26.690001,27.120001,26.690001,27.120001,160900,25.206841
2016-02-25,26.879999,27.280001,26.870001,27.280001,93200,25.355554
2016-02-26,27.309999,27.360001,27.09,27.1,75600,25.188251
2016-02-29,27.18,27.25,26.98,26.98,120600,25.076716
2016-03-01,27.299999,27.719999,27.290001,27.719999,321600,25.764513
2016-03-02,27.610001,27.91,27.610001,27.879999,253300,25.913226
2016-03-03,27.780001,28.040001,27.780001,28.0,73300,26.024761
2016-03-04,28.030001,28.26,28.030001,28.129999,137000,26.14559
2016-03-07,27.9,28.1,27.799999,27.969999,379200,25.996877
2016-03-08,27.889999,27.99,27.860001,27.860001,94300,25.894638
2016-03-09,27.940001,28.049999,27.93,27.969999,45300,25.996877
2016-03-10,28.15,28.219999,27.83,27.99,41300,26.015466
2016-03-11,28.4,28.65,28.4,28.639999,104600,26.619612
2016-03-14,28.66,28.709999,28.6,28.67,44000,26.647497
2016-03-15,28.52,28.530001,28.440001,28.51,44900,26.498784
2016-03-16,28.389999,28.99,28.35,28.98,96800,26.935627
2016-03-17,29.139999,29.389999,29.08,29.32,124200,27.251643
2016-03-18,29.32,29.370001,29.190001,29.190001,56000,27.130814
2016-03-21,28.98,29.32,28.98,29.200001,105900,27.140109
2016-03-22,29.059999,29.23,29.059999,29.209999,177700,27.149402
2016-03-23,28.85,28.85,28.6,28.6,130300,26.768466
2016-03-24,28.299999,28.540001,28.299999,28.52,675900,26.69359
2016-03-28,28.58,28.780001,28.52,28.67,592000,26.833983
2016-03-29,28.68,29.15,28.629999,29.120001,1078100,27.255166
2016-03-30,29.290001,29.49,29.290001,29.379999,257400,27.498514
2016-03-31,29.360001,29.370001,29.16,29.219999,415200,27.348761
2016-04-01,28.73,28.959999,28.629999,28.940001,235000,27.086693
2016-04-04,29.01,29.030001,28.9,28.9,105000,27.049254
2016-04-05,28.74,28.790001,28.67,28.67,130100,26.833983
2016-04-06,28.790001,29.09,28.76,29.09,57000,27.227087
2016-04-07,28.870001,28.98,28.690001,28.77,107000,26.92758
2016-04-08,29.190001,29.309999,29.120001,29.18,43700,27.311323
2016-04-11,29.34,29.51,29.290001,29.290001,56900,27.41428
2016-04-12,29.379999,29.59,29.27,29.51,50800,27.62019
2016-04-13,29.709999,29.77,29.629999,29.73,34300,27.826101
2016-04-14,29.58,29.67,29.559999,29.559999,40100,27.666988
2016-04-15,29.6,29.6,29.469999,29.469999,90800,27.582751
2016-04-18,29.459999,29.76,29.459999,29.75,53400,27.84482
2016-04-19,29.870001,30.09,29.860001,29.98,86000,28.060091
2016-04-20,30.040001,30.08,29.940001,29.959999,119000,28.041371
2016-04-21,29.84,29.92,29.59,29.639999,133300,27.741864
2016-04-22,29.790001,29.82,29.57,29.68,52400,27.779304
2016-04-25,29.799999,29.940001,29.790001,29.9,56500,27.985214
2016-04-26,30.059999,30.219999,30.059999,30.16,69700,28.228564
2016-04-27,30.049999,30.120001,29.940001,30.059999,37400,28.134968
2016-04-28,29.860001,30.08,29.77,29.799999,63400,27.891618
2016-04-29,29.82,29.92,29.690001,29.91,164200,27.994574
2016-05-02,30.01,30.16,30.01,30.129999,125100,28.200485
2016-05-03,29.940001,29.940001,29.73,29.75,120400,27.84482
2016-05-04,29.639999,29.639999,29.48,29.57,718100,27.676347
2016-05-05,29.540001,29.639999,29.459999,29.530001,806700,27.63891
2016-05-06,29.379999,29.540001,29.33,29.49,32500,27.601471
2016-05-09,29.639999,29.73,29.6,29.65,171600,27.751224
2016-05-10,29.780001,29.959999,29.780001,29.950001,40300,28.032013
2016-05-11,29.620001,29.67,29.48,29.48,831500,27.592111
2016-05-12,29.51,29.51,29.26,29.35,116000,27.470437
2016-05-13,29.139999,29.23,29.059999,29.15,114000,27.283244
2016-05-16,29.139999,29.41,29.139999,29.34,36100,27.461077
2016-05-17,29.370001,29.51,29.27,29.33,129500,27.451717
2016-05-18,29.209999,29.450001,29.1,29.15,46100,27.283244
2016-05-19,28.84,28.92,28.790001,28.9,56900,27.049254
2016-05-20,29.08,29.18,29.08,29.1,18600,27.236447
2016-05-23,28.950001,29.120001,28.950001,29.040001,127700,27.180289
2016-05-24,29.16,29.4,29.16,29.370001,173700,27.489156
2016-05-25,29.42,29.48,29.26,29.440001,83500,27.554673
2016-05-26,29.42,29.48,29.4,29.48,38900,27.592111
2016-05-27,29.389999,29.48,29.370001,29.41,103500,27.526594
2016-05-31,29.48,29.559999,29.290001,29.379999,76000,27.498514
2016-06-01,29.200001,29.41,29.200001,29.41,307700,27.526594
2016-06-02,29.26,29.35,29.200001,29.33,116000,27.451717
2016-06-03,29.6,29.860001,29.6,29.82,71100,27.910337
2016-06-06,29.950001,30.1,29.950001,30.02,29800,28.09753
2016-06-07,30.129999,30.23,30.129999,30.200001,226700,28.266003
2016-06-08,30.18,30.309999,30.18,30.280001,41800,28.34088
2016-06-09,30.09,30.200001,30.08,30.15,66000,28.219204
2016-06-10,29.75,29.790001,29.52,29.57,53900,27.676347
2016-06-13,29.280001,29.51,29.24,29.299999,75500,27.423638
2016-06-14,29.0,29.07,28.870001,28.99,200900,27.13349
2016-06-15,29.08,29.25,29.08,29.129999,58000,27.264524
2016-06-16,28.799999,29.02,28.549999,29.02,72700,27.16157
2016-06-17,29.02,29.129999,28.83,29.07,75100,27.208367
2016-06-20,29.709999,29.85,29.690001,29.700001,51300,27.798023
