Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,20.91,20.92,20.610001,20.67,622900,20.327027
2016-01-05,20.82,20.879999,20.620001,20.790001,161100,20.445037
2016-01-06,20.49,20.6,20.32,20.34,340800,20.002503
2016-01-07,19.870001,20.02,19.51,19.530001,892900,19.205943
2016-01-08,19.77,19.93,19.33,19.34,295000,19.019095
2016-01-11,19.58,19.73,19.200001,19.299999,347400,18.979758
2016-01-12,19.530001,19.610001,19.18,19.42,351700,19.097768
2016-01-13,19.59,19.66,19.059999,19.139999,450300,18.822413
2016-01-14,19.18,19.58,19.01,19.559999,240600,19.235444
2016-01-15,18.879999,18.93,18.57,18.809999,530100,18.497889
2016-01-19,18.98,19.040001,18.6,18.76,288100,18.448719
2016-01-20,18.360001,18.620001,17.969999,18.5,473300,18.193033
2016-01-21,18.370001,18.610001,18.24,18.25,214100,17.947181
2016-01-22,18.780001,19.0,18.77,19.0,347200,18.684737
2016-01-25,18.860001,18.879999,18.549999,18.549999,246000,18.242203
2016-01-26,18.66,18.99,18.59,18.98,229700,18.665068
2016-01-27,18.99,19.360001,18.959999,19.139999,875000,18.822413
2016-01-28,19.540001,19.57,19.25,19.459999,218200,19.137103
2016-01-29,19.799999,20.52,19.76,20.52,664900,20.179516
2016-02-01,20.139999,20.58,20.0,20.540001,767900,20.199185
2016-02-02,20.049999,20.110001,19.48,19.51,872300,19.186275
2016-02-03,19.959999,20.34,19.52,20.34,1060000,20.002503
2016-02-04,20.58,21.15,20.58,20.85,1302800,20.50404
2016-02-05,20.73,20.73,20.32,20.379999,381700,20.041838
2016-02-08,20.1,20.200001,19.790001,19.92,573400,19.589471
2016-02-09,19.67,19.85,19.4,19.57,340100,19.245279
2016-02-10,19.719999,20.01,19.639999,19.809999,484500,19.481296
2016-02-11,19.309999,19.459999,19.0,19.200001,433800,18.881419
2016-02-12,19.530001,19.74,19.450001,19.74,359700,19.412458
2016-02-16,20.01,20.049999,19.790001,19.93,682500,19.599306
2016-02-17,20.18,20.870001,20.18,20.690001,576600,20.346695
2016-02-18,20.75,20.75,20.32,20.370001,292700,20.032005
2016-02-19,20.299999,20.52,20.209999,20.450001,248700,20.110678
2016-02-22,21.049999,21.26,20.959999,21.26,732600,20.907237
2016-02-23,21.07,21.110001,20.73,20.74,339600,20.395865
2016-02-24,20.299999,20.77,20.120001,20.73,494800,20.386031
2016-02-25,20.84,20.879999,20.6,20.790001,425300,20.445037
2016-02-26,21.0,21.02,20.51,20.51,544400,20.169682
2016-02-29,20.85,21.049999,20.76,20.85,231300,20.50404
2016-03-01,21.17,21.73,21.08,21.73,460200,21.369438
2016-03-02,21.59,22.219999,21.59,22.219999,682100,21.851307
2016-03-03,22.459999,23.17,22.35,23.17,1193900,22.785545
2016-03-04,24.15,24.299999,23.73,24.02,1084500,23.621441
2016-03-07,23.82,24.16,23.75,24.01,1119900,23.611607
2016-03-08,23.940001,23.940001,23.530001,23.67,960100,23.277248
2016-03-09,24.110001,24.120001,23.77,23.879999,568200,23.483763
2016-03-10,23.98,24.299999,23.469999,24.18,992700,23.778786
2016-03-11,24.34,24.629999,24.299999,24.549999,808900,24.142646
2016-03-14,24.389999,24.51,24.1,24.129999,852000,23.729615
2016-03-15,23.440001,23.559999,23.02,23.049999,1491600,22.667535
2016-03-16,22.809999,23.58,22.620001,23.58,1430000,23.188742
2016-03-17,24.620001,25.17,24.25,25.09,2075700,24.673687
2016-03-18,25.129999,25.299999,24.99,25.15,879400,24.732691
2016-03-21,25.1,25.33,24.98,25.26,597500,24.840866
2016-03-22,24.99,25.33,24.969999,25.200001,601000,24.781862
2016-03-23,24.84,24.84,24.32,24.379999,1112900,23.975467
2016-03-24,24.049999,24.34,23.940001,24.32,1284900,23.916463
2016-03-28,24.84,25.059999,24.66,25.02,1036800,24.604849
2016-03-29,24.860001,25.33,24.58,25.27,788900,24.8507
2016-03-30,25.549999,25.85,25.379999,25.459999,785500,25.037546
2016-03-31,25.6,25.65,25.030001,25.16,1008000,24.742525
2016-04-01,24.9,25.450001,24.620001,25.42,1171000,24.998211
2016-04-04,25.200001,25.200001,24.559999,24.610001,1159100,24.201652
2016-04-05,24.33,24.5,24.129999,24.26,1171900,23.857459
2016-04-06,24.110001,24.26,23.860001,24.120001,707300,23.719782
2016-04-07,23.879999,24.040001,23.6,23.700001,860300,23.306751
2016-04-08,24.48,24.719999,24.41,24.629999,1112700,24.221318
2016-04-11,25.07,25.4,25.07,25.15,1212300,24.732691
2016-04-12,25.27,26.0,25.18,25.940001,1567100,25.509583
2016-04-13,26.290001,26.5,26.190001,26.5,1751400,26.060291
2016-04-14,26.459999,26.6,26.040001,26.16,961300,25.725932
2016-04-15,26.1,26.200001,25.959999,26.110001,970900,25.676763
2016-04-18,25.709999,26.17,25.629999,25.809999,634500,25.381739
2016-04-19,26.09,26.66,26.09,26.66,901300,26.217636
2016-04-20,26.450001,26.709999,26.309999,26.58,498400,26.138963
2016-04-21,26.58,26.690001,26.15,26.190001,1085200,25.755435
2016-04-22,26.15,26.389999,26.040001,26.1,625700,25.666928
2016-04-25,26.219999,26.219999,25.700001,25.76,736700,25.33257
2016-04-26,26.040001,26.370001,25.860001,26.360001,569600,25.922614
2016-04-27,26.41,27.01,26.41,27.0,2080600,26.551994
2016-04-28,26.82,27.25,26.74,26.9,825700,26.453653
2016-04-29,27.18,27.389999,26.790001,27.129999,1177100,26.679836
2016-05-02,26.92,26.92,26.57,26.68,1845500,26.237304
2016-05-03,26.190001,26.190001,25.65,25.700001,1612300,25.273566
2016-05-04,25.639999,25.82,25.440001,25.690001,1014600,25.263731
2016-05-05,26.0,26.030001,25.24,25.370001,1101000,24.949041
2016-05-06,25.24,25.629999,25.040001,25.58,726700,25.155556
2016-05-09,25.35,25.370001,24.24,25.01,2154100,24.595014
2016-05-10,25.5,26.059999,25.450001,26.049999,1027000,25.617757
