Date,Open,High,Low,Close,Volume,Adj Close
2016-11-07,50.060001,50.060001,50.009998,50.009998,1400,49.810974
2016-11-08,50.060001,50.060001,50.040001,50.040001,1300,49.840858
2016-11-09,49.889999,49.889999,49.73,49.75,500,49.552011
2016-11-10,49.75,49.75,49.75,49.75,0,49.552011
2016-11-11,49.34,49.34,49.34,49.34,100,49.143643
2016-11-14,49.27,49.32,49.220001,49.32,6400,49.123722
2016-11-15,49.080002,49.16,49.080002,49.16,6000,48.964359
2016-11-16,49.189999,49.189999,49.189999,49.189999,400,48.994238
2016-11-17,49.189999,49.189999,49.189999,49.189999,0,48.994238
2016-11-18,49.139999,49.139999,48.967999,48.985001,800,48.790056
2016-11-21,48.98,49.0,48.950001,48.950001,1700,48.755195
2016-11-22,49.02,49.029999,48.942001,49.0,5300,48.804996
2016-11-23,49.0,49.0,49.0,49.0,0,48.804996
2016-11-25,49.0,49.0,49.0,49.0,0,48.804996
2016-11-28,48.91,48.91,48.810001,48.889999,7400,48.695433
2016-11-29,48.889999,48.889999,48.889999,48.889999,8100,48.695433
2016-11-30,48.942001,48.942001,48.915001,48.915001,500,48.720335
2016-12-01,48.720001,48.740002,48.692001,48.692001,2100,48.588614
2016-12-02,48.748001,48.757,48.748001,48.757,2400,48.653474
2016-12-05,48.740002,48.740002,48.650002,48.671001,1100,48.567658
2016-12-06,48.84,48.860001,48.817001,48.817001,3000,48.713348
2016-12-07,48.950001,48.950001,48.898998,48.898998,1800,48.795171
2016-12-08,48.889,48.889,48.889,48.889,300,48.785194
2016-12-09,48.959999,48.959999,48.894001,48.914001,3400,48.810143
2016-12-12,48.914001,48.914001,48.914001,48.914001,0,48.810143
2016-12-13,48.77,48.77,48.720001,48.759998,800,48.656466
2016-12-14,48.849998,48.849998,48.849998,48.849998,1300,48.746275
2016-12-15,48.48,48.599998,48.400002,48.400002,8400,48.297234
2016-12-16,48.389999,48.443001,48.359001,48.443001,800,48.340142
2016-12-19,48.419998,48.52,48.419998,48.48,8800,48.377062
2016-12-20,48.459999,48.459999,48.452,48.459999,2700,48.357104
2016-12-21,48.509998,48.560001,48.417999,48.509998,10700,48.406997
2016-12-22,48.509998,48.549999,48.507,48.549999,1000,48.549999
2016-12-23,48.43,48.439999,48.43,48.439999,3900,48.439999
2016-12-27,48.41,48.436001,48.41,48.436001,400,48.436001
2016-12-28,48.41,48.48,48.41,48.48,9900,48.48
2016-12-29,48.48,48.48,48.48,48.48,0,48.48
2016-12-30,48.599998,48.723999,48.549999,48.723999,2000,48.723999
2017-01-03,48.700001,48.82,48.700001,48.727001,800,48.727001
2017-01-04,48.849998,48.849998,48.792,48.799,500,48.799
2017-01-05,48.860001,49.060001,48.820999,49.029999,2700,49.029999
2017-01-06,48.919998,48.919998,48.917999,48.917999,800,48.917999
2017-01-09,49.029999,49.029999,48.98,49.009998,1900,49.009998
2017-01-10,49.009998,49.009998,48.970001,48.970001,8400,48.970001
2017-01-11,49.029999,49.080002,49.029999,49.080002,600,49.080002
2017-01-12,49.130001,49.130001,49.071999,49.071999,300,49.071999
2017-01-13,49.049999,49.099998,48.988998,49.099998,3500,49.099998
2017-01-17,49.200001,49.200001,49.060001,49.130001,4600,49.130001
2017-01-18,49.09,49.095001,48.994999,48.994999,2300,48.994999
2017-01-19,48.82,48.869999,48.82,48.869999,600,48.869999
2017-01-20,48.888,48.888,48.830002,48.830002,400,48.830002
2017-01-23,48.98,49.009998,48.959999,49.009998,1100,49.009998
2017-01-24,48.970001,48.970001,48.889999,48.889999,1800,48.889999
2017-01-25,48.84,48.84,48.810001,48.810001,1800,48.810001
