Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,12.38,12.79,12.37,12.52,52600,50.080002
2016-01-05,12.69,13.14,12.69,13.01,33100,52.040001
2016-01-06,12.5,12.63,12.29,12.47,19600,49.880001
2016-01-07,11.82,11.94,11.3,11.42,82800,45.68
2016-01-08,11.77,11.82,11.23,11.23,34000,44.919998
2016-01-11,11.58,11.73,11.35,11.67,21500,46.68
2016-01-12,11.7,11.83,11.31,11.62,52500,46.48
2016-01-13,11.75,11.8,11.13,11.14,27000,44.560001
2016-01-14,11.31,11.62,11.03,11.42,21400,45.68
2016-01-15,10.87,10.87,10.14,10.37,55200,41.48
2016-01-19,10.7,10.71,10.09,10.32,30200,41.279999
2016-01-20,10.2,10.2,9.39,9.88,90300,39.52
2016-01-21,10.0,10.0,9.54,9.68,34600,38.720001
2016-01-22,10.42,10.47,10.2,10.41,39100,41.639999
2016-01-25,10.36,10.4,9.97,10.01,14800,40.040001
2016-01-26,10.26,10.41,10.14,10.36,34200,41.439999
2016-01-27,10.29,10.46,9.88,10.1,12500,40.400002
2016-01-28,10.01,10.41,10.01,10.26,14500,41.040001
2016-01-29,10.59,11.19,10.59,11.16,47400,44.639999
2016-02-01,10.54,11.04,10.51,10.95,22000,43.799999
2016-02-02,10.51,10.51,9.91,9.99,23100,39.959999
2016-02-03,10.05,10.45,9.6,10.39,20700,41.560001
2016-02-04,10.39,10.56,10.2,10.35,12100,41.400002
2016-02-05,10.57,10.62,10.18,10.29,19000,41.16
2016-02-08,9.89,10.07,9.75,9.95,31600,39.799999
2016-02-09,9.48,9.74,9.26,9.58,33900,38.32
2016-02-10,9.33,9.6,9.2,9.2,27300,36.799999
2016-02-11,8.36,8.47,8.12,8.35,53600,33.400002
2016-02-12,8.54,8.65,8.41,8.61,53300,34.439999
2016-02-16,8.73,8.73,8.54,8.68,28400,34.720001
2016-02-17,8.94,9.17,8.9,9.16,27300,36.639999
2016-02-18,9.04,9.2,8.9,8.92,16300,35.68
2016-02-19,8.95,9.02,8.77,8.94,8900,35.759998
2016-02-22,9.22,9.49,9.13,9.49,13100,37.959999
2016-02-23,9.04,9.11,8.75,8.79,23600,35.16
2016-02-24,8.55,8.81,8.41,8.78,9100,35.119999
2016-02-25,8.65,8.69,8.45,8.69,26200,34.759998
2016-02-26,8.78,8.88,8.41,8.43,33000,33.720001
2016-02-29,8.62,8.81,8.43,8.62,27000,34.48
