Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,26.59,26.67,26.48,26.67,273800,26.544818
2016-01-05,26.68,26.9,26.68,26.809999,546000,26.68416
2016-01-06,26.4,26.5,26.309999,26.440001,298100,26.315898
2016-01-07,25.799999,26.059999,25.6,25.6,419700,25.47984
2016-01-08,25.870001,25.879999,25.540001,25.549999,607000,25.430074
2016-01-11,25.84,25.969999,25.690001,25.85,242000,25.728667
2016-01-12,25.74,25.889999,25.559999,25.780001,192700,25.658996
2016-01-13,25.969999,25.969999,25.459999,25.51,231300,25.390263
2016-01-14,25.440001,25.790001,25.370001,25.67,316500,25.549512
2016-01-15,24.950001,25.0,24.77,24.940001,371700,24.822938
2016-01-19,25.09,25.15,24.74,24.9,313400,24.783125
2016-01-20,24.530001,24.780001,24.26,24.559999,367600,24.444721
2016-01-21,24.59,24.809999,24.48,24.58,307600,24.464628
2016-01-22,25.200001,25.24,25.1,25.219999,245300,25.101623
2016-01-25,25.09,25.16,24.83,24.84,308200,24.723407
2016-01-26,24.99,25.219999,24.99,25.18,308800,25.061812
2016-01-27,25.09,25.25,24.76,24.91,688200,24.793079
2016-01-28,24.98,25.09,24.870001,25.030001,334300,24.912516
2016-01-29,25.540001,25.809999,25.43,25.790001,508400,25.668949
2016-02-01,25.42,25.66,25.42,25.57,167800,25.449981
2016-02-02,25.24,25.24,24.82,24.879999,244400,24.763219
2016-02-03,24.93,25.27,24.639999,25.17,249300,25.051858
2016-02-04,25.139999,25.34,25.07,25.200001,111300,25.081718
2016-02-05,25.309999,25.309999,25.040001,25.139999,119700,25.021999
2016-02-08,24.780001,24.959999,24.620001,24.9,134100,24.783125
2016-02-09,24.370001,24.68,24.299999,24.57,396800,24.454674
2016-02-10,24.42,24.530001,24.18,24.190001,335900,24.076459
2016-02-11,23.32,23.530001,23.24,23.43,239500,23.320026
2016-02-12,23.52,23.690001,23.440001,23.65,547300,23.538993
2016-02-16,23.620001,23.73,23.559999,23.68,151100,23.568852
2016-02-17,23.92,24.15,23.92,24.120001,111700,24.006788
2016-02-18,24.18,24.18,23.91,23.940001,106600,23.827632
2016-02-19,23.98,24.049999,23.860001,23.93,112100,23.817679
2016-02-22,24.200001,24.389999,24.190001,24.360001,123100,24.245661
2016-02-23,23.969999,23.969999,23.690001,23.719999,280100,23.608664
2016-02-24,23.41,23.74,23.33,23.639999,134100,23.529039
2016-02-25,23.309999,23.49,23.27,23.49,67000,23.379744
2016-02-26,23.450001,23.49,23.27,23.309999,108800,23.200588
2016-02-29,23.540001,23.75,23.540001,23.549999,179600,23.439462
2016-03-01,24.51,24.84,24.49,24.780001,103900,24.66369
2016-03-02,25.030001,25.360001,25.0,25.33,203300,25.211107
2016-03-03,25.41,25.5,25.360001,25.48,489500,25.360403
2016-03-04,25.700001,25.969999,25.629999,25.9,595400,25.778432
2016-03-07,25.73,25.959999,25.690001,25.780001,148200,25.658996
2016-03-08,25.450001,25.459999,25.26,25.32,399300,25.201154
2016-03-09,25.629999,25.77,25.620001,25.690001,200100,25.569418
2016-03-10,25.690001,25.709999,25.299999,25.5,106900,25.380309
2016-03-11,25.700001,25.91,25.639999,25.9,118900,25.778432
2016-03-14,25.799999,25.85,25.67,25.76,119900,25.639089
2016-03-15,25.43,25.469999,25.32,25.469999,97900,25.35045
2016-03-16,25.459999,26.129999,25.459999,26.049999,109400,25.927727
2016-03-17,25.82,26.110001,25.790001,26.049999,339300,25.927727
2016-03-18,26.290001,26.41,26.25,26.32,258800,26.19646
2016-03-21,26.5,26.690001,26.5,26.620001,114000,26.495053
2016-03-22,26.459999,26.639999,26.440001,26.540001,127200,26.415429
2016-03-23,26.450001,26.49,26.309999,26.389999,168800,26.266131
2016-03-24,26.290001,26.389999,26.209999,26.389999,49300,26.266131
2016-03-28,26.24,26.34,26.209999,26.280001,56100,26.156649
2016-03-29,26.16,26.549999,26.129999,26.52,87000,26.395522
2016-03-30,26.889999,26.99,26.85,26.85,111000,26.723973
2016-03-31,26.889999,27.02,26.85,26.9,141300,26.773738
2016-04-01,26.5,26.91,26.41,26.889999,93000,26.763785
2016-04-04,26.969999,26.969999,26.75,26.83,85000,26.704067
2016-04-05,26.309999,26.309999,26.1,26.120001,378900,25.9974
2016-04-06,26.15,26.4,26.040001,26.4,163300,26.276085
2016-04-07,25.93,26.01,25.68,25.75,79700,25.629136
2016-04-08,26.09,26.09,25.870001,25.940001,103800,25.818245
2016-04-11,26.469999,26.549999,26.389999,26.389999,132300,26.266131
2016-04-12,26.610001,26.85,26.52,26.77,158100,26.644349
2016-04-13,27.0,27.23,27.0,27.190001,211500,27.062378
2016-04-14,27.25,27.27,27.17,27.23,41700,27.102189
2016-04-15,27.309999,27.33,27.16,27.25,555600,27.122095
2016-04-18,27.17,27.389999,27.17,27.33,211600,27.20172
2016-04-19,27.559999,27.77,27.559999,27.709999,122400,27.579935
2016-04-20,27.43,27.58,27.370001,27.459999,114600,27.331109
2016-04-21,27.379999,27.379999,27.129999,27.16,135800,27.032518
2016-04-22,27.139999,27.27,27.129999,27.16,99400,27.032518
2016-04-25,27.120001,27.120001,26.92,26.969999,162000,26.843409
2016-04-26,27.48,27.52,27.389999,27.48,197200,27.351015
2016-04-27,27.469999,27.790001,27.41,27.73,222900,27.599842
2016-04-28,27.15,27.280001,27.040001,27.1,227800,26.9728
2016-04-29,27.08,27.139999,26.91,27.040001,167700,26.913082
2016-05-02,26.870001,26.940001,26.83,26.9,201500,26.773738
2016-05-03,26.629999,26.67,26.42,26.42,218100,26.295991
2016-05-04,26.459999,26.469999,26.209999,26.27,165800,26.146696
2016-05-05,26.5,26.549999,26.42,26.459999,99900,26.335803
2016-05-06,26.5,26.65,26.49,26.59,108300,26.465193
2016-05-09,26.92,26.98,26.780001,26.780001,142400,26.654302
2016-05-10,26.99,27.110001,26.969999,27.07,487000,26.94294
2016-05-11,26.99,27.07,26.91,26.940001,69500,26.813551
2016-05-12,27.08,27.120001,26.91,26.950001,92000,26.823504
2016-05-13,26.75,26.870001,26.43,26.48,138700,26.355709
2016-05-16,26.879999,27.0,26.879999,26.889999,125800,26.763785
2016-05-17,26.889999,26.99,26.75,26.790001,75300,26.664255
2016-05-18,26.77,26.940001,26.549999,26.68,358800,26.554771
2016-05-19,26.200001,26.290001,26.110001,26.27,492800,26.146696
2016-05-20,26.35,26.42,26.32,26.35,169900,26.22632
2016-05-23,26.09,26.26,26.09,26.18,217900,26.057118
2016-05-24,26.24,26.41,26.23,26.379999,171100,26.256178
2016-05-25,26.9,27.24,26.9,27.139999,233600,27.012611
2016-05-26,27.559999,27.73,27.559999,27.700001,113100,27.569984
2016-05-27,27.950001,28.040001,27.91,27.98,104700,27.848669
2016-05-31,27.940001,28.0,27.84,27.889999,246900,27.759091
2016-06-01,27.780001,27.93,27.76,27.879999,104800,27.749138
2016-06-02,27.93,28.219999,27.93,28.18,109200,28.047731
2016-06-03,28.209999,28.42,28.16,28.370001,201700,28.236839
2016-06-06,28.26,28.43,28.219999,28.379999,308500,28.246791
2016-06-07,28.469999,28.66,28.41,28.6,200000,28.465759
2016-06-08,28.6,28.780001,28.6,28.73,185600,28.595148
2016-06-09,28.27,28.370001,28.18,28.309999,396900,28.17712
2016-06-10,28.120001,28.200001,27.950001,28.0,248100,27.868575
2016-06-13,27.719999,27.879999,27.65,27.68,246800,27.550077
2016-06-14,27.66,27.75,27.540001,27.68,154400,27.550077
2016-06-15,28.17,28.34,28.110001,28.190001,126900,28.057684
2016-06-16,27.860001,28.02,27.67,28.0,282400,27.868575
2016-06-17,28.049999,28.08,27.93,28.049999,122100,27.91834
2016-06-20,28.200001,28.24,28.08,28.1,91400,27.968106
2016-06-21,27.969999,27.98,27.76,27.889999,147900,27.86022
2016-06-22,27.870001,28.030001,27.82,27.83,326300,27.800284
2016-06-23,28.209999,28.540001,28.190001,28.49,251500,28.459579
2016-06-24,27.209999,27.59,27.08,27.15,367600,27.12101
2016-06-27,27.25,27.25,26.950001,27.15,149300,27.12101
2016-06-28,27.49,27.690001,27.450001,27.67,114400,27.640455
2016-06-29,28.0,28.219999,27.969999,28.190001,175900,28.1599
2016-06-30,28.24,28.34,28.08,28.299999,223100,28.269782
2016-07-01,28.57,28.709999,28.57,28.65,81700,28.619408
2016-07-05,28.360001,28.51,28.219999,28.24,308800,28.209846
2016-07-06,28.200001,28.35,28.09,28.33,107500,28.29975
2016-07-07,28.32,28.48,28.25,28.280001,109500,28.249805
2016-07-08,28.52,28.77,28.51,28.74,70600,28.709312
