Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,10.46,10.48,10.24,10.39,38700,10.081319
2016-01-05,10.58,10.62,10.56,10.61,19900,10.294782
2016-01-06,10.39,10.44,10.37,10.4,6400,10.091021
2016-01-07,10.04,10.19,10.04,10.04,29300,9.741717
2016-01-08,10.23,10.23,10.04,10.04,11200,9.741717
2016-01-11,10.12,10.15,10.09,10.15,39100,9.848449
2016-01-12,10.11,10.14,10.02,10.08,13400,9.780529
2016-01-13,10.02,10.02,9.78,9.84,13800,9.547659
2016-01-14,9.75,9.79,9.65,9.76,6800,9.470036
2016-01-15,9.33,9.33,9.19,9.28,13000,9.004296
2016-01-19,9.37,9.37,9.19,9.26,45700,8.984891
2016-01-20,8.94,9.05,8.88,9.0,31400,8.732615
2016-01-21,9.17,9.25,9.09,9.11,11100,8.839347
2016-01-22,9.25,9.4,9.21,9.29,3600,9.013999
2016-01-25,9.26,9.3,9.14,9.15,31300,8.878158
2016-01-26,9.21,9.31,9.1,9.25,16100,8.975188
2016-01-27,9.28,9.3,9.17,9.18,3600,8.907267
2016-01-28,9.24,9.24,9.15,9.18,4800,8.907267
2016-01-29,9.3,9.4,9.3,9.39,6400,9.111029
2016-02-01,9.38,9.47,9.34,9.39,5600,9.111029
2016-02-02,9.27,9.3,9.09,9.18,215100,8.907267
2016-02-03,9.1,9.25,9.0,9.24,88400,8.965484
2016-02-04,9.2,9.24,9.2,9.24,900,8.965484
2016-02-05,9.17,9.28,9.17,9.27,13900,8.994594
2016-02-08,9.17,9.24,9.08,9.1,16400,8.829644
2016-02-09,9.04,9.13,9.04,9.12,10300,8.84905
2016-02-10,9.08,9.14,9.04,9.08,3400,8.810238
2016-02-11,8.77,8.77,8.64,8.7,7700,8.441528
2016-02-12,8.75,8.81,8.62,8.81,5300,8.54826
2016-02-16,8.88,8.92,8.83,8.85,4200,8.587072
2016-02-17,8.94,9.09,8.94,9.04,5600,8.771426
2016-02-18,9.08,9.08,8.92,8.92,1000,8.654992
2016-02-19,8.91,8.99,8.91,8.93,9700,8.664695
2016-02-22,9.06,9.19,9.05,9.12,139600,8.84905
2016-02-23,8.92,8.94,8.92,8.93,7700,8.664695
2016-02-24,8.9,8.9,8.75,8.9,9300,8.635585
2016-02-25,8.72,8.78,8.68,8.78,6800,8.519151
2016-02-26,8.7,8.74,8.7,8.71,9500,8.451231
2016-02-29,8.69,8.83,8.68,8.74,13800,8.480339
2016-03-01,8.99,9.2,8.99,9.18,114800,8.907267
2016-03-02,9.2,9.38,9.2,9.32,25200,9.043108
2016-03-03,9.39,9.51,9.39,9.48,17200,9.198354
2016-03-04,9.5,9.67,9.5,9.67,8400,9.38271
2016-03-07,9.53,9.74,9.01,9.71,14300,9.421521
2016-03-08,9.62,9.62,9.52,9.58,6300,9.295383
2016-03-09,9.63,9.74,9.59,9.68,34500,9.392413
2016-03-10,9.66,9.69,9.53,9.58,4800,9.295383
2016-03-11,9.62,9.71,9.62,9.68,5100,9.392413
2016-03-14,9.63,9.75,9.63,9.75,10200,9.460333
2016-03-15,9.69,9.69,9.51,9.55,11800,9.266275
2016-03-16,9.6,9.68,9.54,9.68,1900,9.392413
2016-03-17,9.74,9.77,9.74,9.77,400,9.479739
2016-03-18,9.96,10.0,9.96,10.0,3300,9.702905
2016-03-21,10.15,10.19,10.07,10.17,7400,9.867855
2016-03-22,10.17,10.23,10.11,10.11,12400,9.809637
2016-03-23,10.19,10.19,10.06,10.09,3500,9.790232
2016-03-24,9.98,10.13,9.98,10.06,8700,9.761123
2016-03-28,10.1,10.1,10.0,10.0,3400,9.702905
2016-03-29,10.07,10.07,10.07,10.07,1100,9.770825
2016-03-30,10.16,10.34,10.16,10.24,43800,9.935775
2016-03-31,10.25,10.29,10.25,10.29,10900,9.98429
2016-04-01,10.1,10.31,10.08,10.31,64400,10.003696
2016-04-04,10.33,10.35,10.26,10.26,51600,9.955181
2016-04-05,9.99,10.03,9.97,9.98,3300,9.683499
2016-04-06,10.08,10.2,10.04,10.19,10400,9.88726
2016-04-07,9.96,9.97,9.9,9.95,9200,9.654391
2016-04-08,10.03,10.13,10.03,10.06,3300,9.761123
2016-04-11,10.33,10.39,10.33,10.37,2400,10.061913
2016-04-12,10.45,10.53,10.38,10.53,26500,10.217159
2016-04-13,10.6,10.6,10.55,10.57,9200,10.255971
2016-04-14,10.56,10.68,10.56,10.68,15800,10.362703
2016-04-15,10.68,10.68,10.57,10.57,12700,10.255971
2016-04-18,10.59,10.65,10.58,10.61,11200,10.294782
2016-04-19,10.73,10.78,10.71,10.78,7200,10.459732
2016-04-20,10.77,10.77,10.62,10.76,6700,10.440326
2016-04-21,10.68,10.68,10.49,10.51,12700,10.197754
2016-04-22,10.47,10.59,10.47,10.54,7300,10.226862
2016-04-25,10.49,10.49,10.45,10.45,11100,10.139536
2016-04-26,10.58,10.68,10.58,10.68,6500,10.362703
2016-04-27,10.64,10.79,10.64,10.79,8700,10.469435
2016-04-28,10.57,10.6,10.52,10.52,5800,10.207457
2016-04-29,10.52,10.54,10.48,10.53,3000,10.217159
2016-05-02,10.55,10.56,10.51,10.54,2700,10.226862
2016-05-03,10.52,10.58,10.44,10.46,76200,10.149239
2016-05-04,10.36,10.36,10.25,10.31,13900,10.003696
2016-05-05,10.29,10.31,10.22,10.3,11200,9.993993
2016-05-06,10.39,10.45,10.39,10.4,4600,10.091021
2016-05-09,10.5,10.6,10.47,10.52,36900,10.207457
2016-05-10,10.55,10.69,10.5,10.51,58200,10.197754
2016-05-11,10.59,10.59,10.51,10.52,7500,10.207457
2016-05-12,10.58,10.58,10.51,10.53,10200,10.217159
2016-05-13,10.53,10.53,10.32,10.33,18200,10.023101
2016-05-16,10.37,10.46,10.37,10.38,20100,10.071616
2016-05-17,10.35,10.4,10.29,10.29,19400,9.98429
2016-05-18,10.32,10.41,10.25,10.3,17700,9.993993
2016-05-19,10.23,10.23,9.99,10.06,59300,9.761123
2016-05-20,10.13,10.21,10.12,10.2,13000,9.896963
2016-05-23,10.13,10.16,10.13,10.15,5400,9.848449
2016-05-24,10.16,10.18,10.15,10.16,3300,9.858152
2016-05-25,10.37,10.48,10.35,10.4,26000,10.091021
2016-05-26,10.5,10.6,10.49,10.55,17200,10.236565
2016-05-27,10.55,10.61,10.5,10.55,11200,10.236565
2016-05-31,10.61,10.61,10.42,10.5,16100,10.188051
2016-06-01,10.45,10.5,10.45,10.5,15200,10.188051
2016-06-02,10.5,10.65,10.5,10.64,5500,10.323892
2016-06-03,10.64,10.64,10.53,10.57,4100,10.255971
2016-06-06,10.7,10.7,10.62,10.62,1100,10.304485
2016-06-07,10.69,10.75,10.69,10.74,5600,10.42092
2016-06-08,10.89,10.9,10.81,10.9,13600,10.576167
2016-06-09,10.81,10.81,10.74,10.75,9700,10.430623
2016-06-10,10.74,10.74,10.65,10.65,6200,10.333594
2016-06-13,10.67,10.67,10.51,10.51,14400,10.197754
2016-06-14,10.66,10.72,10.55,10.63,6100,10.314189
2016-06-15,10.79,10.86,10.77,10.82,8200,10.498543
2016-06-16,10.68,10.81,10.58,10.6,6400,10.28508
2016-06-17,10.66,10.68,10.59,10.66,6200,10.343297
2016-06-20,10.79,10.8,10.68,10.7,19200,10.382109
2016-06-21,10.75,10.75,10.63,10.72,6100,10.401515
2016-06-22,10.75,10.84,10.66,10.69,1900,10.372405
2016-06-23,10.68,10.8,10.68,10.8,4700,10.479138
2016-06-24,10.3,10.59,10.3,10.36,12900,10.05221
2016-06-27,10.34,10.48,10.32,10.39,7500,10.081319
2016-06-28,10.73,10.82,10.57,10.65,21300,10.333594
2016-06-29,10.87,10.93,10.83,10.88,5000,10.556761
2016-06-30,10.93,11.16,10.87,11.16,16200,10.828442
2016-07-01,10.95,11.17,10.95,11.15,17800,10.818739
2016-07-05,10.99,11.09,10.99,11.09,5600,10.760522
2016-07-06,10.98,11.07,10.98,11.07,3700,10.741116
2016-07-07,11.18,11.21,11.07,11.12,13700,10.789631
2016-07-08,11.21,11.39,11.21,11.28,6000,10.944877
2016-07-11,11.3,11.37,11.29,11.35,13000,11.012798
2016-07-12,11.45,11.5,11.44,11.46,2300,11.11953
2016-07-13,11.38,11.57,11.38,11.43,3200,11.090421
2016-07-14,11.49,11.58,11.48,11.48,12600,11.138935
2016-07-15,11.48,11.48,11.4,11.44,8500,11.100123
2016-07-18,11.39,11.4,11.35,11.38,6100,11.041906
2016-07-19,11.46,11.46,11.36,11.36,5700,11.0225
2016-07-20,11.4,11.48,11.39,11.47,18400,11.129233
2016-07-21,11.4,11.47,11.4,11.43,5900,11.090421
2016-07-22,11.5,11.63,11.5,11.63,13800,11.284479
2016-07-25,11.69,11.7,11.65,11.66,13100,11.313588
2016-07-26,11.68,11.68,11.58,11.59,2700,11.245668
2016-07-27,11.69,11.75,11.65,11.71,8100,11.362102
2016-07-28,11.66,11.8,11.66,11.8,30300,11.449429
2016-07-29,11.83,12.0,11.83,12.0,16500,11.643486
2016-08-01,11.94,11.94,11.83,11.83,22800,11.478537
