Date,Open,High,Low,Close,Volume,Adj Close
2016-04-07,24.76,24.76,24.73,24.73,200,24.406519
2016-04-08,24.73,24.73,24.73,24.73,400,24.406519
2016-04-11,24.73,24.73,24.73,24.73,0,24.406519
2016-04-12,24.73,24.73,24.73,24.73,0,24.406519
2016-04-13,24.73,24.73,24.73,24.73,0,24.406519
2016-04-14,25.59,25.59,25.59,25.59,200,25.255271
2016-04-15,25.540001,25.540001,25.540001,25.540001,200,25.205926
2016-04-18,25.540001,25.540001,25.540001,25.540001,0,25.205926
2016-04-19,25.540001,25.540001,25.540001,25.540001,0,25.205926
2016-04-20,26.27,26.27,26.27,26.27,100,25.926376
2016-04-21,25.92,25.92,25.799999,25.860001,900,25.521739
2016-04-22,25.85,25.85,25.85,25.85,100,25.51187
2016-04-25,25.700001,25.700001,25.700001,25.700001,400,25.363832
2016-04-26,25.700001,25.700001,25.700001,25.700001,0,25.363832
2016-04-27,25.700001,25.700001,25.700001,25.700001,0,25.363832
2016-04-28,25.629999,25.629999,25.618,25.618,400,25.282904
2016-04-29,25.559999,25.559999,25.403999,25.496,3700,25.1625
2016-05-02,25.889999,25.889999,25.82,25.889999,5000,25.551346
2016-05-03,25.75,25.75,25.530001,25.530001,1000,25.196056
2016-05-04,25.34,25.34,25.34,25.34,200,25.008541
2016-05-05,25.309999,25.309999,25.23,25.23,1200,24.899979
2016-05-06,25.209999,25.27,25.200001,25.27,600,24.939457
2016-05-09,25.4,25.4,25.4,25.4,6500,25.067755
2016-05-10,25.4,25.4,25.4,25.4,0,25.067755
2016-05-11,25.540001,25.540001,25.540001,25.540001,200,25.205926
2016-05-12,25.5,25.5,25.5,25.5,1000,25.166448
2016-05-13,25.32,25.32,25.316999,25.316999,700,24.985841
2016-05-16,25.370001,25.444,25.370001,25.444,800,25.111181
2016-05-17,25.444,25.444,25.444,25.444,0,25.111181
2016-05-18,25.389999,25.389999,25.389999,25.389999,100,25.057886
2016-05-19,25.389999,25.389999,25.389999,25.389999,0,25.057886
2016-05-20,25.389999,25.389999,25.389999,25.389999,0,25.057886
2016-05-23,25.27,25.27,25.254,25.26,800,24.929587
2016-05-24,25.26,25.26,25.26,25.26,0,24.929587
2016-05-25,25.26,25.26,25.26,25.26,0,24.929587
2016-05-26,25.26,25.26,25.26,25.26,100,24.929587
2016-05-27,25.77,25.780001,25.77,25.77,5000,25.432917
2016-05-31,25.77,25.77,25.77,25.77,0,25.432917
2016-06-01,25.77,25.77,25.77,25.77,0,25.432917
2016-06-02,25.639999,25.639999,25.629999,25.639999,7600,25.304616
2016-06-03,25.73,25.73,25.73,25.73,700,25.393439
2016-06-06,26.09,26.09,26.09,26.09,100,25.74873
2016-06-07,26.09,26.09,26.09,26.09,0,25.74873
2016-06-08,26.32,26.32,26.27,26.27,1600,25.926376
2016-06-09,25.98,25.98,25.98,25.98,100,25.640169
2016-06-10,25.41,25.41,25.41,25.41,100,25.077625
2016-06-13,25.040001,25.040001,25.040001,25.040001,100,24.712466
2016-06-14,24.42,24.42,24.42,24.42,400,24.100575
2016-06-15,24.73,24.73,24.73,24.73,400,24.406519
2016-06-16,24.73,24.73,24.73,24.73,100,24.406519
2016-06-17,24.73,24.73,24.73,24.73,0,24.406519
2016-06-20,24.545,24.545,24.545,24.545,100,24.40652
2016-06-21,24.545,24.545,24.545,24.545,100,24.40652
2016-06-22,25.561001,25.561001,25.549999,25.559999,1300,25.415793
2016-06-23,25.559999,25.559999,25.559999,25.559999,100,25.415793
2016-06-24,24.139999,24.41,23.809999,23.809999,2400,23.675666
2016-06-27,23.610001,23.610001,23.195,23.26,7500,23.12877
2016-06-28,23.49,23.49,23.49,23.49,100,23.357472
2016-06-29,23.49,23.49,23.49,23.49,0,23.357472
2016-06-30,24.58,24.58,24.58,24.58,200,24.441323
2016-07-01,24.879999,24.889999,24.85,24.85,2600,24.7098
2016-07-05,24.440001,24.440001,24.360001,24.360001,400,24.222564
2016-07-06,24.15,24.15,24.15,24.15,100,24.013748
2016-07-07,24.15,24.15,24.15,24.15,0,24.013748
2016-07-08,24.15,24.15,24.15,24.15,0,24.013748
2016-07-11,24.860001,24.860001,24.85,24.85,600,24.7098
2016-07-12,25.07,25.07,25.07,25.07,500,24.928558
2016-07-13,25.110001,25.110001,25.110001,25.110001,200,24.968333
2016-07-14,25.110001,25.110001,25.110001,25.110001,0,24.968333
2016-07-15,25.040001,25.040001,25.040001,25.040001,400,24.898728
2016-07-18,25.040001,25.040001,25.040001,25.040001,0,24.898728
2016-07-19,25.040001,25.040001,25.040001,25.040001,0,24.898728
2016-07-20,25.040001,25.040001,25.040001,25.040001,0,24.898728
