Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,21.9,21.92,21.709999,21.83,39300,21.064357
2016-01-05,21.82,21.860001,21.790001,21.82,9900,21.054707
2016-01-06,21.41,21.5,21.35,21.43,44100,20.678386
2016-01-07,20.950001,21.110001,20.870001,20.92,140000,20.186273
2016-01-08,20.98,21.01,20.59,20.620001,111000,19.896796
2016-01-11,20.58,20.719999,20.559999,20.719999,16300,19.993287
2016-01-12,20.77,20.77,20.549999,20.74,236600,20.012586
2016-01-13,20.93,20.959999,20.41,20.440001,41600,19.723109
2016-01-14,20.639999,20.870001,20.639999,20.870001,400,20.138028
2016-01-15,20.030001,20.059999,19.74,19.879999,30200,19.182748
2016-01-19,20.139999,20.23,19.940001,20.08,50100,19.375734
2016-01-20,19.610001,19.75,19.379999,19.65,12500,18.960816
2016-01-21,19.719999,19.9,19.719999,19.85,19300,19.153802
2016-01-22,20.360001,20.459999,20.33,20.41,5600,19.69416
2016-01-25,20.41,20.41,20.41,20.41,0,19.69416
2016-01-26,20.27,20.549999,20.27,20.51,3700,19.790653
2016-01-27,20.690001,20.709999,20.68,20.709999,52500,19.983638
2016-01-28,20.73,20.73,20.73,20.73,200,20.002937
2016-01-29,20.85,21.059999,20.84,21.059999,9700,20.321362
2016-02-01,20.809999,20.93,20.809999,20.91,155500,20.176624
2016-02-02,20.450001,20.450001,20.309999,20.309999,25100,19.597667
2016-02-03,20.389999,20.620001,20.34,20.620001,2300,19.896796
2016-02-04,20.690001,20.870001,20.690001,20.870001,300,20.138028
2016-02-05,20.66,20.66,20.48,20.48,9800,19.761705
2016-02-08,20.110001,20.18,19.959999,20.07,115800,19.366085
2016-02-09,19.82,19.82,19.620001,19.700001,90300,19.009063
2016-02-10,19.879999,20.0,19.709999,19.719999,217400,19.02836
2016-02-11,19.42,19.43,19.24,19.43,128900,18.748532
2016-02-12,19.5,19.68,19.5,19.66,71000,18.970465
2016-02-16,20.209999,20.24,20.08,20.219999,5600,19.510824
2016-02-17,20.68,20.73,20.67,20.690001,27900,19.964341
2016-02-18,20.700001,20.719999,20.700001,20.719999,1500,19.993287
2016-02-19,20.719999,20.719999,20.719999,20.719999,0,19.993287
2016-02-22,20.91,20.93,20.889999,20.889999,24100,20.157325
2016-02-23,20.629999,20.629999,20.620001,20.620001,900,19.896796
2016-02-24,20.139999,20.42,20.059999,20.4,79000,19.684511
2016-02-25,20.41,20.42,20.41,20.41,4200,19.69416
2016-02-26,20.66,20.68,20.530001,20.549999,57900,19.829249
2016-02-29,20.549999,20.549999,20.549999,20.549999,100,19.829249
2016-03-01,20.549999,20.549999,20.549999,20.549999,0,19.829249
2016-03-02,21.18,21.18,21.08,21.08,1700,20.340661
2016-03-03,21.08,21.08,21.08,21.08,300,20.340661
