Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,91.220001,91.480003,90.389999,91.480003,844200,44.87266
2016-01-05,91.660004,91.830002,91.059998,91.639999,371600,44.951141
2016-01-06,90.410004,90.940002,89.849998,90.339996,702200,44.313465
2016-01-07,88.82,89.68,87.949997,88.169998,647200,43.24904
2016-01-08,88.760002,88.940002,87.010002,87.129997,831000,42.7389
2016-01-11,87.739998,87.75,86.150002,87.110001,740000,42.729091
2016-01-12,87.800003,88.239998,86.589996,87.730003,412200,43.033214
2016-01-13,88.120003,88.330002,85.230003,85.419998,527000,41.900113
2016-01-14,85.779999,87.360001,84.870003,86.75,580400,42.552504
2016-01-15,84.559998,85.269997,83.849998,84.980003,755000,41.684287
2016-01-19,85.940002,86.139999,84.110001,84.839996,672200,41.615611
2016-01-20,83.489998,84.790001,81.669998,84.010002,2185600,41.208484
2016-01-21,84.129997,85.379997,83.480003,84.330002,396600,41.365449
2016-01-22,85.629997,86.220001,85.470001,86.07,628800,42.218951
2016-01-25,85.889999,85.989998,84.660004,84.75,372200,41.571466
2016-01-26,85.050003,86.129997,85.0,85.949997,364200,42.160088
2016-01-27,85.75,86.559998,84.599998,85.040001,1084000,41.713717
2016-01-28,85.75,85.980003,84.589996,85.389999,392600,41.885398
2016-01-29,85.720001,87.5,85.720001,87.410004,451600,42.876248
2016-02-01,87.0,87.889999,86.610001,87.5,1094600,42.920393
2016-02-02,86.830002,86.830002,85.57,85.860001,849800,42.115943
2016-02-03,86.419998,86.580002,84.459999,86.279999,355600,42.32196
2016-02-04,86.139999,87.120003,86.0,86.529999,260800,42.444589
2016-02-05,86.269997,86.269997,84.519997,84.779999,344400,41.586181
2016-02-08,83.82,83.82,82.290001,83.470001,690400,40.943603
2016-02-09,82.589996,84.019997,82.529999,83.309998,536600,40.865118
2016-02-10,83.809998,84.669998,83.32,83.360001,429800,40.889646
2016-02-11,82.139999,82.830002,81.510002,82.32,2192800,40.379506
2016-02-12,83.110001,84.0,82.800003,83.900002,341800,41.154526
2016-02-16,84.889999,85.529999,84.489998,85.43,470200,41.905019
2016-02-17,86.080002,87.139999,86.080002,86.900002,572200,42.626083
2016-02-18,87.099998,87.25,86.410004,86.559998,559600,42.459304
2016-02-19,86.18,86.629997,85.839996,86.589996,404000,42.474019
2016-02-22,87.379997,87.959999,87.379997,87.830002,442200,43.082265
2016-02-23,87.529999,87.629997,86.75,86.790001,322600,42.572125
2016-02-24,85.900002,87.309998,85.400002,87.309998,534800,42.827193
2016-02-25,87.449997,88.25,87.059998,88.25,208200,43.288282
2016-02-26,88.68,88.790001,88.080002,88.209999,447800,43.268661
2016-02-29,88.220001,88.650002,87.510002,87.510002,328000,42.925299
2016-03-01,88.18,89.580002,87.910004,89.580002,519200,43.940673
2016-03-02,89.43,90.129997,89.260002,90.099998,2231600,44.195741
2016-03-03,89.93,90.550003,89.760002,90.519997,408400,44.401758
2016-03-04,90.68,91.300003,90.209999,90.879997,356000,44.578345
2016-03-07,90.449997,91.239998,90.449997,91.029999,4793000,44.651924
2016-03-08,90.529999,90.620003,89.839996,89.900002,485600,44.097639
2016-03-09,90.330002,90.459999,89.93,90.349998,680200,44.318371
2016-03-10,90.589996,91.040001,89.389999,90.199997,991000,44.244792
2016-03-11,91.010002,91.870003,91.010002,91.809998,633000,45.034528
2016-03-14,91.57,91.940002,91.339996,91.730003,1133200,44.995289
2016-03-15,91.209999,91.410004,91.0,91.360001,638400,44.813796
2016-03-16,91.199997,92.169998,91.160004,91.970001,810800,45.113013
2016-03-17,91.970001,92.910004,91.730003,92.68,898000,45.461281
2016-03-18,93.0,93.209999,92.830002,93.089996,778000,45.662391
2016-03-21,92.980003,93.400002,92.830002,93.18,396600,45.70654
2016-03-22,92.730003,93.470001,92.650002,93.160004,378400,45.696731
2016-03-23,92.620003,92.620003,91.970001,91.989998,1647200,45.32131
2016-03-24,91.489998,91.980003,91.290001,91.980003,769600,45.316386
2016-03-28,92.239998,92.290001,91.800003,92.019997,481000,45.33609
2016-03-29,91.870003,93.099998,91.629997,93.059998,747200,45.848474
2016-03-30,93.5,93.800003,93.239998,93.440002,748600,46.035693
2016-03-31,93.440002,93.690002,93.190002,93.360001,593000,45.996278
2016-04-01,92.790001,93.970001,92.5,93.849998,374200,46.237688
2016-04-04,93.889999,94.0,93.379997,93.480003,496600,46.055401
2016-04-05,92.889999,93.010002,92.459999,92.57,325800,45.607063
2016-04-06,92.669998,93.650002,92.489998,93.610001,472200,46.119447
2016-04-07,93.099998,93.230003,92.089996,92.449997,461200,45.547941
2016-04-08,93.129997,93.379997,92.470001,92.730003,356800,45.685893
2016-04-11,93.099998,93.529999,92.510002,92.510002,447200,45.577504
2016-04-12,92.669998,93.540001,92.360001,93.400002,313200,46.015986
2016-04-13,93.870003,94.529999,93.839996,94.459999,313000,46.538221
2016-04-14,94.529999,94.709999,94.279999,94.480003,386000,46.548077
2016-04-15,94.480003,94.519997,94.209999,94.43,528400,46.523442
2016-04-18,94.050003,95.050003,94.010002,95.029999,319000,46.819047
2016-04-19,95.300003,95.519997,94.900002,95.300003,606200,46.952072
2016-04-20,95.43,95.830002,95.110001,95.419998,335000,47.01119
2016-04-21,95.5,95.57,94.769997,94.93,433200,46.76978
2016-04-22,94.760002,95.150002,94.529999,95.089996,331000,46.848606
2016-04-25,94.790001,94.940002,94.43,94.800003,250200,46.705733
2016-04-26,95.019997,95.279999,94.730003,95.089996,255400,46.848606
2016-04-27,94.910004,95.5,94.699997,95.300003,256200,46.952072
2016-04-28,94.93,95.5,94.230003,94.419998,351600,46.518514
2016-04-29,94.230003,94.300003,93.300003,93.900002,530600,46.262324
2016-05-02,94.209999,94.709999,93.910004,94.599998,391200,46.607196
2016-05-03,94.059998,94.059998,93.330002,93.720001,402600,46.173642
2016-05-04,93.290001,93.620003,92.860001,93.139999,471800,45.887889
2016-05-05,93.459999,93.57,92.910004,93.059998,436800,45.848474
2016-05-06,92.739998,93.440002,92.57,93.389999,306600,46.011058
2016-05-09,93.389999,93.769997,93.260002,93.519997,250400,46.075104
2016-05-10,93.919998,94.699997,93.769997,94.660004,314800,46.636759
2016-05-11,94.360001,94.620003,93.760002,93.779999,232600,46.203201
