Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,21.559999,21.559999,21.559999,21.559999,300,21.005975
2016-01-05,21.636,21.639,21.636,21.639,1000,21.082945
2016-01-06,21.639,21.639,21.639,21.639,0,21.082945
2016-01-07,20.879999,20.879999,20.879999,20.879999,400,20.343448
2016-01-08,20.879999,20.879999,20.879999,20.879999,0,20.343448
2016-01-11,20.620001,20.620001,20.620001,20.620001,300,20.090131
2016-01-12,20.620001,20.620001,20.620001,20.620001,0,20.090131
2016-01-13,20.85,20.85,20.85,20.85,100,20.314221
2016-01-14,20.85,20.85,20.85,20.85,0,20.314221
2016-01-15,20.85,20.85,20.85,20.85,0,20.314221
2016-01-19,20.002001,20.002001,19.936001,19.936001,800,19.423708
2016-01-20,19.209,20.58,19.1,20.58,508800,20.051158
2016-01-21,19.34,19.6,19.34,19.559999,225800,19.057369
2016-01-22,20.02,20.16,20.02,20.16,29500,19.641951
2016-01-25,19.92,20.01,19.790001,19.790001,55600,19.28146
2016-01-26,19.898001,20.128,19.898001,20.125,339700,19.60785
2016-01-27,20.18,20.33,19.955,20.007,8800,19.492883
2016-01-28,20.219999,20.219999,19.995001,20.09,6800,19.57375
2016-01-29,20.204,20.42,20.204,20.42,1900,19.89527
2016-02-01,20.247,20.389999,20.247,20.389999,15400,19.86604
2016-02-02,20.24,20.24,19.780001,19.805,14200,19.296074
2016-02-03,19.639999,19.780001,19.450001,19.780001,7100,19.271717
2016-02-04,19.75,19.9,19.75,19.860001,1400,19.349661
2016-02-05,19.954,19.954,19.690001,19.709999,9300,19.203514
2016-02-08,19.450001,19.450001,19.23,19.389999,18300,18.891737
2016-02-09,18.969999,19.129999,18.870001,19.040001,26900,18.550732
2016-02-10,19.030001,19.110001,18.950001,18.959999,18200,18.472786
2016-02-11,18.547001,18.629999,18.43,18.58,8000,18.102552
2016-02-12,18.66,18.864,18.620001,18.85,11900,18.365614
2016-02-16,19.379999,19.440001,19.219999,19.440001,12400,18.940453
2016-02-17,19.530001,19.76,19.530001,19.74,3700,19.232743
2016-02-18,19.73,19.780001,19.66,19.68,5600,19.174286
2016-02-19,19.540001,19.549999,19.426001,19.549999,2100,19.047625
2016-02-22,19.799999,19.83,19.76,19.790001,5800,19.28146
2016-02-23,19.559999,19.587,19.469999,19.469999,2700,18.969681
2016-02-24,19.120001,19.188999,19.08,19.184999,302300,18.692005
2016-02-25,19.559999,19.690001,19.559999,19.690001,1000,19.184029
2016-02-26,19.854,19.860001,19.74,19.75,6000,19.242487
2016-02-29,19.639999,19.77,19.617001,19.617001,4300,19.112905
2016-03-01,19.799999,20.055,19.799999,20.040001,5100,19.525036
2016-03-02,20.110001,20.309999,20.110001,20.309999,1700,19.788096
2016-03-03,20.59,20.67,20.58,20.610001,22100,20.080388
2016-03-04,20.849001,20.92,20.846001,20.889,27800,20.352218
2016-03-07,20.6,20.85,20.6,20.790001,14100,20.255763
2016-03-08,20.639999,20.639999,20.495001,20.530001,10400,20.002444
2016-03-09,20.549999,20.6,20.5,20.559999,5700,20.031672
2016-03-10,20.73,20.85,20.370001,20.4,3600,19.875783
2016-03-11,20.99,21.120001,20.99,21.120001,2800,20.577283
2016-03-14,21.120001,21.15,21.08,21.129999,14600,20.587024
2016-03-15,20.77,20.790001,20.690001,20.76,3600,20.226533
2016-03-16,20.690001,20.92,20.659,20.92,1000,20.382421
2016-03-17,20.92,21.049999,20.879999,21.046,14400,20.505183
2016-03-18,21.059999,21.059999,20.952,21.016001,2000,20.475955
2016-03-21,20.92,20.969999,20.91,20.91,31100,20.372678
2016-03-22,20.93,20.98,20.91,20.98,1700,20.440879
2016-03-23,20.82,20.825001,20.68,20.690001,4300,20.158332
2016-03-24,20.42,20.469999,20.360001,20.465,11200,19.939114
2016-03-28,20.68,20.690001,20.65,20.68,13600,20.148589
2016-03-29,20.5,20.879999,20.5,20.879999,26500,20.343448
2016-03-30,20.976999,21.0,20.93,21.0,2600,20.460366
2016-03-31,20.77,20.82,20.731001,20.76,6400,20.226533
2016-04-01,20.33,20.41,20.219999,20.396999,18100,19.87286
2016-04-04,20.459999,20.459999,20.349001,20.386999,4900,19.863117
2016-04-05,20.299999,20.299999,19.879999,19.959999,9000,19.44709
2016-04-06,19.959999,20.23,19.959999,20.23,2100,19.710152
2016-04-07,20.1,20.1,19.959999,19.99,1700,19.476319
2016-04-08,20.465,20.465,20.406,20.43,4700,19.905013
2016-04-11,20.67,20.68,20.5,20.5,10300,19.973214
2016-04-12,20.690001,20.92,20.690001,20.889999,3600,20.353192
2016-04-13,21.26,21.365999,21.26,21.362,2600,20.813063
2016-04-14,21.42,21.469999,21.402,21.459999,2700,20.908544
2016-04-15,21.379999,21.41,21.329,21.379999,3000,20.8306
2016-04-18,21.219999,21.530001,21.219999,21.530001,6000,20.976747
2016-04-19,21.91,21.91,21.829,21.879999,900,21.317752
2016-04-20,22.040001,22.09,22.040001,22.09,4100,21.522356
2016-04-21,21.959999,22.038,21.92,21.969999,7700,21.405439
2016-04-22,21.969,21.993,21.93,21.993,3900,21.427849
2016-04-25,21.959999,21.959999,21.75,21.82,24800,21.259294
2016-04-26,21.799999,21.9,21.799999,21.870001,3200,21.30801
2016-04-27,21.860001,21.943001,21.858999,21.943001,4000,21.379134
2016-04-28,21.59,21.709999,21.440001,21.48,12000,20.928031
2016-04-29,21.49,21.49,21.25,21.389999,3600,20.840343
2016-05-02,21.49,21.559999,21.469999,21.546,2300,20.992335
2016-05-03,21.24,21.24,21.1,21.146,2300,20.602614
2016-05-04,20.969999,20.969999,20.83,20.858999,3700,20.322988
2016-05-05,20.91,20.91,20.785,20.822001,1300,20.28694
2016-05-06,20.780001,20.92,20.780001,20.905001,1500,20.367808
2016-05-09,20.799999,20.799999,20.73,20.73,17300,20.197303
2016-05-10,20.98,21.120001,20.98,21.120001,3300,20.577283
2016-05-11,20.9,20.975,20.882,20.889999,20000,20.353192
2016-05-12,21.0,21.0,20.82,20.91,8500,20.372678
2016-05-13,20.700001,20.700001,20.59,20.59,900,20.060902
2016-05-16,20.799999,20.91,20.799999,20.91,3600,20.372678
2016-05-17,20.790001,20.92,20.764999,20.82,6200,20.284991
2016-05-18,20.885,21.0,20.794001,20.84,2800,20.304477
2016-05-19,20.629999,20.695,20.58,20.695,3400,20.163203
2016-05-20,20.865,20.865,20.785,20.785,1200,20.25089
2016-05-23,20.750999,20.790001,20.73,20.73,6700,20.197303
2016-05-24,20.99,21.030001,20.964001,21.02,3200,20.479852
2016-05-25,21.18,21.18,21.18,21.18,700,20.635741
2016-05-26,21.280001,21.34,21.280001,21.320999,1800,20.773116
2016-05-27,21.288,21.32,21.25,21.32,9100,20.772142
2016-05-31,21.469999,21.469999,21.25,21.275,5500,20.728299
2016-06-01,21.198999,21.24,21.195,21.24,1900,20.694198
2016-06-02,21.09,21.18,21.09,21.160999,4800,20.617228
2016-06-03,21.197001,21.256001,21.197001,21.256001,1300,20.709788
2016-06-06,21.440001,21.469999,21.34,21.469999,9700,20.918287
2016-06-07,21.530001,21.66,21.530001,21.6,48200,21.044948
2016-06-08,21.646,21.646,21.6,21.6,3300,21.044948
2016-06-09,21.370001,21.370001,21.290001,21.355,7000,20.806243
2016-06-10,21.0,21.0,20.719999,20.719999,3400,20.18756
2016-06-13,20.379999,20.41,20.365999,20.365999,1000,19.842657
2016-06-14,20.25,20.27,20.030001,20.1,6300,19.583493
2016-06-15,20.35,20.35,20.25,20.33,3600,19.807582
2016-06-16,19.92,20.27,19.9,20.27,3400,19.749125
2016-06-17,20.4,20.530001,20.33,20.51,6900,19.982957
2016-06-20,21.07,21.08,20.959999,20.98,2000,20.440879
2016-06-21,21.153999,21.200001,21.148001,21.200001,1500,20.655227
2016-06-22,20.780001,20.785,20.75,20.785,1100,20.602692
2016-06-23,21.18,21.34,21.139,21.34,2500,21.152824
2016-06-24,19.58,19.879999,19.58,19.59,7700,19.418174
2016-06-27,19.110001,19.110001,18.860001,18.954,8700,18.787753
2016-06-28,19.459999,19.459999,19.23,19.440001,3900,19.26949
2016-06-29,19.76,19.839001,19.740999,19.83,17400,19.656069
2016-06-30,19.75,19.940001,19.700001,19.940001,5200,19.765104
2016-07-01,19.969999,19.969999,19.940001,19.969999,1900,19.79484
2016-07-05,19.99,19.99,19.65,19.65,21700,19.477647
2016-07-06,19.43,19.546,19.43,19.528999,1500,19.357708
2016-07-07,19.690001,19.690001,19.440001,19.440001,1900,19.26949
2016-07-08,19.76,19.870001,19.75,19.870001,8500,19.695719
2016-07-11,20.17,20.27,20.15,20.211,7200,20.033727
2016-07-12,20.549999,20.610001,20.530001,20.559999,10100,20.379665
2016-07-13,20.639999,20.66,20.59,20.607,4800,20.426254
2016-07-14,20.799999,20.799999,20.709999,20.780001,3500,20.597737
2016-07-15,20.671,20.671,20.669001,20.669001,500,20.48771
2016-07-18,20.690001,20.719999,20.690001,20.700001,7100,20.518439
2016-07-19,20.540001,20.545,20.474001,20.5,6200,20.320192
2016-07-20,20.57,20.665001,20.57,20.665001,1700,20.483746
2016-07-21,20.66,20.709999,20.608,20.639999,10200,20.458963
2016-07-22,20.709999,20.709999,20.639999,20.684999,11600,20.503569
2016-07-25,20.65,20.65,20.531,20.610001,3600,20.429228
2016-07-26,20.639999,20.639999,20.58,20.6,4100,20.419315
2016-07-27,20.76,20.809999,20.6,20.73,23900,20.548174
2016-07-28,20.6,20.68,20.549999,20.67,7600,20.488701
2016-07-29,20.93,20.948999,20.9,20.914,3500,20.73056
2016-08-01,20.84,20.860001,20.756001,20.756001,6500,20.573947
2016-08-02,20.85,20.85,20.48,20.504999,11500,20.325147
2016-08-03,20.52,20.52,20.440001,20.516001,11700,20.336052
2016-08-04,20.73,20.75,20.68,20.75,5600,20.567999
2016-08-05,20.809999,20.889999,20.809999,20.889999,300,20.706771
2016-08-08,21.059999,21.059999,21.024,21.024,1200,20.839596
2016-08-09,21.247999,21.32,21.235001,21.24,4600,21.053701
2016-08-10,21.299999,21.333,21.26,21.26,10600,21.073526
2016-08-11,21.4,21.469999,21.360001,21.450001,22500,21.26186
2016-08-12,21.43,21.43,21.34,21.370001,2400,21.182562
2016-08-15,21.440001,21.48,21.42,21.450001,3800,21.26186
2016-08-16,21.393999,21.42,21.379999,21.379999,1200,21.192473
2016-08-17,21.51,21.51,21.35,21.5,11500,21.311421
2016-08-18,21.43,21.540001,21.43,21.506001,18900,21.317369
2016-08-19,21.360001,21.461,21.360001,21.459999,6100,21.271771
