Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,92.419998,92.5,91.650002,92.5,20600,91.167288
2016-01-05,92.720001,92.790001,92.25,92.620003,10800,91.285562
2016-01-06,91.489998,91.82,90.830002,91.290001,16900,89.974722
2016-01-07,89.779999,90.370003,88.900002,88.949997,21100,87.668433
2016-01-08,89.470001,89.529999,87.730003,87.779999,36300,86.515291
2016-01-11,88.169998,88.370003,86.769997,87.57,60000,86.308318
2016-01-12,88.32,88.32,86.75,87.839996,61800,86.574425
2016-01-13,88.220001,88.32,85.239998,85.470001,60500,84.238576
2016-01-14,85.93,86.980003,85.0,86.470001,15200,85.224168
2016-01-15,84.599998,85.290001,83.660004,85.18,48600,83.952753
2016-01-19,86.029999,86.040001,84.160004,84.769997,55600,83.548656
2016-01-20,83.580002,84.739998,81.540001,84.300003,67400,83.085434
2016-01-21,84.489998,85.620003,83.989998,84.449997,32100,83.233267
2016-01-22,85.580002,86.440002,85.550003,86.389999,41600,85.145319
2016-01-25,86.050003,86.129997,84.599998,84.599998,20600,83.381108
2016-01-26,85.040001,86.599998,85.040001,86.559998,13400,85.312868
2016-01-27,86.230003,87.0,85.25,85.660004,18700,84.425841
2016-01-28,86.43,86.489998,85.330002,85.709999,16300,84.475116
2016-01-29,86.050003,88.489998,86.050003,88.459999,28800,87.185494
2016-02-01,87.849998,88.720001,87.510002,88.620003,18400,87.343193
2016-02-02,87.529999,87.529999,86.449997,86.550003,12000,85.303017
2016-02-03,87.199997,87.25,85.300003,87.07,13100,85.815522
2016-02-04,86.860001,88.190002,86.860001,87.730003,12300,86.466016
2016-02-05,87.379997,87.379997,85.800003,85.860001,11000,84.622956
2016-02-08,84.949997,84.949997,83.239998,84.400002,17000,83.183992
2016-02-09,83.370003,84.739998,83.360001,84.169998,18700,82.957303
2016-02-10,84.639999,85.669998,84.360001,84.370003,14500,83.154426
2016-02-11,83.150002,83.639999,82.589996,83.160004,17200,81.96186
2016-02-12,84.029999,84.839996,83.760002,84.769997,66000,83.548656
2016-02-16,85.720001,86.629997,85.269997,86.620003,20400,85.372008
2016-02-17,87.160004,88.139999,87.160004,87.980003,11400,86.712414
2016-02-18,88.099998,88.099998,87.5,87.709999,19700,86.4463
2016-02-19,87.400002,87.75,87.099998,87.75,5300,86.485725
2016-02-22,88.529999,89.07,88.529999,88.900002,8100,87.619157
2016-02-23,88.629997,88.739998,88.080002,88.129997,7600,86.860247
2016-02-24,87.260002,88.82,86.940002,88.699997,16700,87.422035
2016-02-25,88.959999,89.690002,88.760002,89.690002,8400,88.397776
2016-02-26,90.160004,90.389999,89.919998,90.18,21700,88.880714
2016-02-29,90.18,90.5,89.639999,89.639999,35700,88.348494
2016-03-01,90.360001,91.540001,90.080002,91.540001,11900,90.221121
2016-03-02,91.540001,92.330002,91.389999,92.330002,9000,90.999739
2016-03-03,92.419998,93.459999,92.360001,93.459999,11600,92.113456
2016-03-04,93.690002,94.480003,93.489998,94.07,20100,92.714668
2016-03-07,93.779999,94.620003,93.660004,94.589996,12100,93.227173
2016-03-08,94.080002,94.080002,92.800003,92.800003,12300,91.462969
2016-03-09,93.290001,93.309998,92.68,93.190002,47700,91.847349
2016-03-10,93.589996,93.589996,92.059998,92.879997,9000,91.541811
2016-03-11,93.769997,94.690002,93.769997,94.690002,22900,93.325738
2016-03-14,94.459999,94.540001,94.029999,94.300003,15400,92.941357
2016-03-15,93.800003,93.940002,93.440002,93.690002,28400,92.340146
2016-03-16,93.43,94.82,93.43,94.68,7000,93.31588
2016-03-17,94.669998,95.870003,94.5,95.650002,9700,94.271906
2016-03-18,95.769997,96.489998,95.629997,96.209999,11500,94.823835
2016-03-21,95.970001,96.139999,95.669998,95.989998,10900,94.853478
2016-03-22,95.519997,96.290001,95.519997,96.029999,24300,94.893005
2016-03-23,95.739998,95.739998,94.849998,94.860001,75700,93.73686
2016-03-24,94.410004,94.910004,93.989998,94.900002,8400,93.776387
2016-03-28,95.309998,95.470001,94.739998,95.290001,136900,94.161769
2016-03-29,95.07,96.949997,94.889999,96.949997,10900,95.80211
2016-03-30,97.550003,97.550003,96.849998,97.040001,19800,95.891049
2016-03-31,97.019997,97.339996,96.910004,97.120003,12200,95.970103
2016-04-01,96.309998,97.559998,96.309998,97.550003,12300,96.395012
2016-04-04,97.519997,97.519997,96.510002,96.629997,83600,95.485899
2016-04-05,96.040001,96.190002,95.540001,95.650002,14300,94.517507
2016-04-06,95.720001,96.529999,95.559998,96.519997,15900,95.377201
2016-04-07,95.959999,96.099998,94.959999,95.349998,10400,94.221056
2016-04-08,96.040001,96.470001,95.690002,95.849998,10200,94.715136
2016-04-11,96.480003,96.93,95.769997,95.769997,9200,94.636081
2016-04-12,95.970001,96.830002,95.720001,96.760002,8100,95.614365
2016-04-13,97.260002,98.410004,97.260002,98.379997,15600,97.215179
2016-04-14,98.419998,98.43,98.050003,98.080002,14100,96.918736
2016-04-15,97.849998,98.43,97.849998,98.43,6300,97.26459
2016-04-18,98.059998,98.93,97.900002,98.879997,5500,97.709259
2016-04-19,99.260002,99.419998,99.190002,99.230003,8800,98.055122
2016-04-20,99.419998,99.800003,99.110001,99.309998,16600,98.134169
2016-04-21,99.489998,99.529999,98.510002,98.519997,12600,97.353521
2016-04-22,98.629997,99.379997,98.620003,99.220001,10400,98.045238
2016-04-25,99.07,99.07,98.470001,98.800003,9700,97.630212
2016-04-26,98.989998,99.660004,98.919998,99.610001,17400,98.43062
2016-04-27,99.610001,100.169998,99.379997,100.07,9100,98.885172
2016-04-28,99.540001,99.980003,98.620003,98.839996,18000,97.669732
2016-04-29,98.5,98.669998,97.639999,98.32,32200,97.155892
2016-05-02,98.650002,99.129997,98.290001,99.099998,21600,97.926656
2016-05-03,98.529999,98.529999,97.449997,97.779999,29000,96.622285
2016-05-04,97.349998,98.059998,97.150002,97.349998,29000,96.197376
2016-05-05,97.730003,97.769997,97.110001,97.260002,12600,96.108445
2016-05-06,97.059998,97.730003,96.730003,97.720001,27800,96.562998
2016-05-09,97.660004,97.989998,97.419998,97.779999,6200,96.622285
