Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,71.099998,71.099998,69.540001,70.260002,129000,69.340541
2016-01-05,70.529999,70.599998,69.940002,70.260002,34500,69.340541
2016-01-06,69.389999,70.160004,69.059998,69.440002,74200,68.531272
2016-01-07,68.370003,68.449997,67.129997,67.379997,156400,66.498225
2016-01-08,67.720001,67.949997,65.989998,66.059998,71000,65.1955
2016-01-11,66.370003,66.660004,65.0,65.589996,118300,64.731649
2016-01-12,66.07,66.470001,64.510002,65.559998,70800,64.702043
2016-01-13,65.739998,66.0,62.93,63.290001,193100,62.461753
2016-01-14,63.709999,64.839996,62.779999,64.18,156300,63.340105
2016-01-15,62.450001,63.049999,61.41,63.049999,175300,62.224892
2016-01-19,63.509998,63.610001,61.299999,61.869999,102800,61.060334
2016-01-20,61.139999,63.0,59.869999,62.48,140200,61.662351
2016-01-21,62.57,63.540001,61.98,62.470001,60600,61.652484
2016-01-22,63.529999,64.029999,63.240002,63.939999,100700,63.103244
2016-01-25,63.59,63.939999,62.48,62.66,107100,61.839996
2016-01-26,62.869999,63.84,62.509998,63.630001,64000,62.797303
2016-01-27,63.470001,63.75,62.380001,62.509998,103900,61.691958
2016-01-28,63.209999,63.400002,62.470001,62.68,93400,61.859735
2016-01-29,63.0,64.709999,63.0,64.699997,87000,63.853297
2016-02-01,64.150002,64.620003,63.560001,64.339996,86500,63.498007
2016-02-02,63.599998,63.619999,62.860001,63.099998,138400,62.274237
2016-02-03,63.59,63.59,61.779999,62.990002,112500,62.165679
2016-02-04,62.790001,63.959999,62.75,63.150002,126700,62.323585
2016-02-05,62.91,63.099998,61.34,61.34,37600,60.537271
2016-02-08,60.740002,60.740002,59.66,60.5,91300,59.708263
2016-02-09,59.77,60.849998,59.650002,60.0,144600,59.214807
2016-02-10,60.439999,61.09,59.849998,59.880001,179300,59.096378
2016-02-11,58.959999,59.73,58.860001,59.349998,572400,58.573311
2016-02-12,60.080002,60.540001,59.709999,60.360001,132500,59.570096
2016-02-16,61.049999,61.84,60.77,61.77,115800,60.961644
2016-02-17,62.189999,63.0,62.189999,62.619999,76100,61.800519
2016-02-18,62.84,62.84,62.07,62.220001,113800,61.405756
2016-02-19,61.990002,62.84,61.990002,62.59,52200,61.770913
2016-02-22,63.009998,63.560001,63.009998,63.130001,51500,62.303847
2016-02-23,62.900002,63.009998,62.330002,62.349998,43700,61.534052
2016-02-24,61.75,63.080002,61.400002,62.91,92100,62.086725
2016-02-25,63.139999,63.43,62.799999,63.349998,22200,62.520965
