Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,101.339996,101.550003,100.040001,100.839996,48400,99.153146
2016-01-05,101.110001,101.599998,100.93,101.440002,68600,99.743116
2016-01-06,99.959999,100.989998,99.900002,100.43,165300,98.750009
2016-01-07,98.980003,99.68,98.370003,98.559998,106900,96.911288
2016-01-08,99.190002,99.269997,97.0,97.059998,69500,95.436379
2016-01-11,97.57,97.57,95.0,96.169998,117900,94.561268
2016-01-12,96.879997,97.550003,95.82,97.150002,44500,95.524878
2016-01-13,97.419998,97.830002,94.769997,94.769997,67100,93.184686
2016-01-14,95.089996,97.290001,94.529999,96.769997,70700,95.15123
2016-01-15,94.120003,95.290001,93.779999,94.940002,74300,93.351848
2016-01-19,96.18,96.440002,94.410004,95.379997,162800,93.784482
2016-01-20,94.080002,95.870003,92.449997,95.150002,106100,93.558334
2016-01-21,95.290001,95.75,94.330002,95.040001,112600,93.450173
2016-01-22,96.5,97.120003,96.209999,96.889999,129100,95.269225
2016-01-25,96.620003,97.279999,96.220001,96.330002,2479800,94.718595
2016-01-26,96.519997,97.300003,96.010002,97.190002,59800,95.56421
2016-01-27,97.029999,97.809998,95.449997,96.019997,103700,94.413776
2016-01-28,96.25,96.25,93.599998,94.050003,113200,92.476736
2016-01-29,94.07,95.519997,93.879997,95.279999,317300,93.686156
2016-02-01,94.910004,96.059998,94.620003,95.620003,50900,94.020473
2016-02-02,94.959999,95.169998,94.150002,94.349998,122000,92.771713
2016-02-03,94.870003,94.989998,92.940002,94.849998,67100,93.263349
2016-02-04,94.110001,94.660004,93.410004,93.959999,141400,92.388238
2016-02-05,93.559998,93.639999,91.940002,92.279999,59800,90.73634
2016-02-08,91.18,91.43,89.82,90.720001,293100,89.202438
2016-02-09,89.699997,91.660004,89.699997,91.059998,81600,89.536747
2016-02-10,91.5,92.919998,91.5,91.690002,125500,90.156214
2016-02-11,90.559998,90.93,89.720001,90.5,232300,88.986117
2016-02-12,90.989998,91.68,90.360001,91.68,39800,90.146379
2016-02-16,92.57,93.309998,92.300003,93.309998,101300,91.749109
2016-02-17,93.629997,94.339996,93.279999,94.300003,83100,92.722554
2016-02-18,94.529999,94.830002,93.839996,93.870003,38200,92.299747
2016-02-19,93.580002,94.089996,93.190002,94.029999,452700,92.457066
2016-02-22,94.519997,95.089996,94.379997,95.089996,262800,93.499332
2016-02-23,94.599998,94.940002,94.110001,94.230003,27500,92.653725
2016-02-24,93.339996,94.510002,92.68,94.470001,65400,92.889709
2016-02-25,94.779999,95.720001,94.519997,95.720001,46600,94.118799
2016-02-26,96.0,96.260002,95.370003,95.519997,48000,93.92214
2016-02-29,95.209999,95.230003,93.879997,93.879997,153200,92.309574
2016-03-01,94.589996,95.900002,94.18,95.900002,682300,94.295788
2016-03-02,95.639999,96.239998,95.550003,96.220001,45000,94.610435
2016-03-03,95.620003,95.68,94.989998,95.639999,46500,94.040135
2016-03-04,95.730003,96.129997,95.339996,95.559998,44500,93.961471
2016-03-07,95.089996,96.489998,94.93,96.169998,46600,94.561268
2016-03-08,95.870003,95.940002,95.239998,95.269997,38900,93.676322
2016-03-09,95.720001,95.760002,95.059998,95.339996,40700,93.74515
2016-03-10,95.940002,96.580002,94.970001,95.510002,51100,93.912312
2016-03-11,96.160004,97.309998,96.160004,97.309998,32600,95.682197
2016-03-14,97.169998,97.269997,96.82,97.150002,20800,95.524878
2016-03-15,96.220001,96.220001,95.190002,95.379997,55600,93.784482
2016-03-16,94.959999,95.470001,94.389999,95.32,179600,93.725488
