Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,24.120001,24.209999,23.82,23.93,28900,23.93
2016-01-05,24.209999,24.209999,24.030001,24.110001,2400,24.110001
2016-01-06,23.959999,24.1,23.93,24.08,5500,24.08
2016-01-07,23.02,23.639999,22.879999,23.26,39000,23.26
2016-01-08,23.309999,23.309999,23.059999,23.08,7300,23.08
2016-01-11,22.860001,22.860001,22.49,22.59,13700,22.59
2016-01-12,22.6,22.629999,22.33,22.370001,10700,22.370001
2016-01-13,22.459999,22.459999,22.27,22.370001,4900,22.370001
2016-01-14,22.549999,22.76,22.450001,22.58,9800,22.58
2016-01-15,22.309999,22.309999,22.040001,22.190001,97400,22.190001
2016-01-19,22.83,23.02,22.459999,22.459999,10300,22.459999
2016-01-20,22.6,22.780001,22.309999,22.780001,14300,22.780001
2016-01-21,22.629999,22.889999,22.549999,22.879999,5800,22.879999
2016-01-22,23.129999,23.139999,22.860001,22.860001,27600,22.860001
2016-01-25,22.84,22.84,22.66,22.77,16400,22.77
2016-01-26,23.18,23.440001,23.18,23.309999,10900,23.309999
2016-01-27,23.6,23.799999,23.34,23.59,31000,23.59
2016-01-28,23.58,23.620001,23.41,23.469999,6700,23.469999
2016-01-29,23.59,23.73,23.59,23.6,17200,23.6
2016-02-01,23.469999,23.66,23.389999,23.66,4700,23.66
2016-02-02,23.530001,23.540001,23.4,23.540001,4400,23.540001
2016-02-03,23.959999,24.16,23.889999,24.110001,214000,24.110001
2016-02-04,24.49,24.719999,24.360001,24.379999,21800,24.379999
2016-02-05,24.09,24.209999,23.940001,23.940001,9100,23.940001
2016-02-08,24.02,24.17,23.959999,24.02,9400,24.02
2016-02-09,23.18,23.440001,23.120001,23.34,71200,23.34
2016-02-10,23.200001,23.41,22.940001,23.07,17900,23.07
2016-02-11,23.23,23.25,22.969999,23.030001,6000,23.030001
2016-02-12,23.35,23.379999,23.23,23.27,11300,23.27
2016-02-16,23.629999,23.98,23.51,23.610001,12000,23.610001
2016-02-17,23.9,23.9,23.67,23.85,9300,23.85
2016-02-18,23.92,23.92,23.75,23.799999,15200,23.799999
2016-02-19,23.700001,24.059999,23.700001,24.0,17400,24.0
2016-02-22,24.379999,24.450001,24.27,24.33,235500,24.33
2016-02-23,24.24,24.27,24.0,24.209999,5000,24.209999
2016-02-24,23.860001,24.389999,23.799999,24.360001,31500,24.360001
2016-02-25,23.860001,23.92,23.67,23.889999,87000,23.889999
