Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,13.58,13.58,13.58,13.58,0,13.58
2016-01-05,13.04,13.04,13.04,13.04,100,13.04
2016-01-06,13.04,13.04,13.04,13.04,0,13.04
2016-01-07,12.94,13.26,12.93,13.26,3800,13.26
2016-01-08,13.26,13.26,13.26,13.26,0,13.26
2016-01-11,13.08,13.08,13.08,13.08,600,13.08
2016-01-12,13.26,13.26,12.85,12.85,2000,12.85
2016-01-13,12.85,12.85,12.85,12.85,0,12.85
2016-01-14,12.85,12.85,12.85,12.85,0,12.85
2016-01-15,13.13,13.13,13.07,13.08,1800,13.08
2016-01-19,13.53,13.53,13.53,13.53,900,13.53
2016-01-20,13.35,13.35,13.35,13.35,100,13.35
2016-01-21,13.35,13.35,13.35,13.35,0,13.35
2016-01-22,13.44,13.44,13.44,13.44,700,13.44
2016-01-25,13.41,13.41,13.41,13.41,800,13.41
2016-01-26,13.24,13.24,13.24,13.24,1300,13.24
2016-01-27,13.48,13.48,13.47,13.47,300,13.47
2016-01-28,13.47,13.47,13.47,13.47,0,13.47
2016-01-29,13.47,13.47,13.47,13.47,0,13.47
2016-02-01,13.47,13.47,13.47,13.47,0,13.47
2016-02-02,13.8,13.8,13.75,13.75,800,13.75
2016-02-03,13.44,13.46,13.44,13.46,300,13.46
2016-02-04,13.95,13.95,13.81,13.81,900,13.81
2016-02-05,13.81,13.81,13.81,13.81,0,13.81
2016-02-08,13.6,13.6,13.6,13.6,200,13.6
2016-02-09,13.1,13.1,12.78,12.78,700,12.78
2016-02-10,13.2,13.2,13.2,13.2,100,13.2
2016-02-11,13.15,13.27,13.15,13.18,600,13.18
2016-02-12,13.43,13.43,13.24,13.24,300,13.24
2016-02-16,13.96,13.96,13.38,13.38,500,13.38
2016-02-17,13.11,13.11,13.11,13.11,200,13.11
2016-02-18,14.15,14.15,14.15,14.15,300,14.15
2016-02-19,14.03,14.03,14.03,14.03,300,14.03
2016-02-22,13.75,14.1,13.75,14.1,900,14.1
2016-02-23,14.1,14.1,14.1,14.1,0,14.1
2016-02-24,14.1,14.1,14.1,14.1,0,14.1
2016-02-25,14.49,14.49,14.39,14.39,500,14.39
2016-02-26,14.39,14.39,14.39,14.39,0,14.39
2016-02-29,14.39,14.39,14.39,14.39,100,14.39
2016-03-01,14.39,14.39,14.39,14.39,0,14.39
2016-03-02,14.39,14.39,14.39,14.39,100,14.39
2016-03-03,14.39,14.39,14.39,14.39,100,14.39
2016-03-04,14.39,14.39,14.39,14.39,0,14.39
2016-03-07,14.39,14.39,14.39,14.39,0,14.39
2016-03-08,13.68,13.68,13.68,13.68,300,13.68
2016-03-09,13.68,13.68,13.68,13.68,0,13.68
2016-03-10,13.68,13.68,13.68,13.68,0,13.68
2016-03-11,13.68,13.68,13.68,13.68,0,13.68
2016-03-14,13.68,13.68,13.68,13.68,0,13.68
2016-03-15,13.68,13.68,13.68,13.68,0,13.68
2016-03-16,13.68,13.68,13.68,13.68,0,13.68
2016-03-17,13.68,13.68,13.68,13.68,200,13.68
2016-03-18,13.68,13.68,13.68,13.68,0,13.68
2016-03-21,13.52,13.52,13.52,13.52,700,13.52
2016-03-22,13.52,13.52,13.52,13.52,0,13.52
2016-03-23,13.0,13.0,13.0,13.0,300,13.0
2016-03-24,13.0,13.0,13.0,13.0,0,13.0
2016-03-28,13.0,13.0,13.0,13.0,0,13.0
2016-03-29,13.64,13.64,13.64,13.64,800,13.64
2016-03-30,13.0,13.0,13.0,13.0,400,13.0
2016-03-31,13.53,13.53,13.53,13.53,200,13.53
2016-04-01,13.53,13.53,13.53,13.53,0,13.53
2016-04-04,13.53,13.53,13.53,13.53,0,13.53
2016-04-05,12.9,13.16,12.9,13.16,300,13.16
2016-04-06,12.99,12.99,12.99,12.99,200,12.99
2016-04-07,12.99,12.99,12.99,12.99,0,12.99
2016-04-08,13.85,13.85,13.85,13.85,200,13.85
2016-04-11,13.85,13.85,13.85,13.85,0,13.85
2016-04-12,13.85,13.85,13.85,13.85,200,13.85
2016-04-13,12.91,12.91,12.9,12.9,400,12.9
2016-04-14,13.98,13.98,13.3,13.66,3700,13.66
2016-04-15,13.66,13.66,13.66,13.66,0,13.66
2016-04-18,13.66,13.66,13.66,13.66,0,13.66
2016-04-19,13.79,14.3,13.79,14.09,5300,14.09
2016-04-20,13.37,13.37,13.37,13.37,100,13.37
2016-04-21,14.44,14.8,14.44,14.8,1400,14.8
2016-04-22,14.8,14.8,14.8,14.8,0,14.8
2016-04-25,15.2,15.2,14.5,14.5,500,14.5
2016-04-26,14.64,14.64,14.49,14.49,1100,14.49
2016-04-27,14.55,14.55,14.42,14.5,1600,14.5
2016-04-28,14.5,14.5,14.5,14.5,0,14.5
2016-04-29,14.65,14.95,14.65,14.95,400,14.95
2016-05-02,14.95,15.45,14.57,15.07,3700,15.07
2016-05-03,15.48,15.48,15.39,15.39,4800,15.39
2016-05-04,15.21,15.27,14.37,15.27,1700,15.27
2016-05-05,14.25,14.7,14.25,14.7,4700,14.7
2016-05-06,14.7,14.7,14.7,14.7,0,14.7
2016-05-09,14.25,14.25,13.56,13.74,2800,13.74
2016-05-10,13.74,13.74,13.74,13.74,0,13.74
2016-05-11,13.65,14.2,13.65,13.85,9200,13.85
2016-05-12,13.74,14.1,13.5,13.65,42700,13.65
2016-05-13,13.6,13.65,13.45,13.55,6200,13.55
2016-05-16,13.5,13.7,13.5,13.65,900,13.65
2016-05-17,13.6,13.6,13.5,13.52,800,13.52
2016-05-18,13.6,13.71,13.49,13.7,800,13.7
2016-05-19,13.7,13.7,13.7,13.7,100,13.7
2016-05-20,13.7,13.7,13.7,13.7,100,13.7
2016-05-23,13.42,13.67,13.34,13.6,3200,13.6
2016-05-24,13.6,13.6,13.6,13.6,0,13.6
2016-05-25,13.6,13.63,13.51,13.63,1200,13.63
2016-05-26,13.63,13.63,13.63,13.63,0,13.63
2016-05-27,13.73,13.73,13.6,13.6,200,13.6
2016-05-31,13.6,13.6,13.6,13.6,0,13.6
