Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,48.419998,48.5,48.119999,48.5,10900,47.443415
2016-01-05,48.459999,48.639999,48.41,48.639999,1000,47.580364
2016-01-06,47.889999,47.98,47.799999,47.799999,1500,46.758664
2016-01-07,47.220001,47.59,47.16,47.279999,9600,46.249992
2016-01-08,47.32,47.32,46.919998,46.919998,2000,45.897834
2016-01-11,47.119999,47.119999,46.59,46.84,2100,45.819579
2016-01-12,47.099998,47.099998,46.639999,46.740002,1100,45.721759
2016-01-13,47.220001,47.220001,46.34,46.34,1700,45.330471
2016-01-14,46.790001,46.900002,46.790001,46.900002,900,45.878273
2016-01-15,45.669998,45.669998,45.330002,45.529999,5800,44.538116
2016-01-19,46.200001,46.200001,45.52,45.740002,4100,44.743544
2016-01-20,45.049999,45.150002,44.43,45.150002,1400,44.166397
2016-01-21,44.889999,45.439999,44.889999,45.360001,2000,44.371821
2016-01-22,46.16,46.400002,46.16,46.389999,2400,45.379381
2016-01-25,46.259998,46.299999,45.919998,45.919998,1000,44.919619
2016-01-26,46.18,46.639999,46.18,46.509998,6200,45.496766
2016-01-27,46.639999,46.84,46.23,46.259998,5800,45.252212
2016-01-28,46.849998,46.849998,46.5,46.669998,4200,45.65328
2016-01-29,47.02,47.470001,46.959999,47.41,2200,46.377161
2016-02-01,47.259998,47.259998,47.259998,47.259998,200,46.230427
2016-02-02,46.950001,46.950001,46.720001,46.759998,3400,45.74132
2016-02-03,47.029999,47.130001,46.540001,47.110001,4600,46.083697
2016-02-04,47.189999,47.580002,47.18,47.259998,4200,46.230427
2016-02-05,47.139999,47.139999,46.529999,46.529999,2300,45.516331
2016-02-08,45.970001,46.099998,45.669998,46.049999,4400,45.046788
2016-02-09,45.880001,45.880001,45.389999,45.779999,1200,44.78267
2016-02-10,45.82,45.919998,45.560001,45.560001,5500,44.567465
2016-02-11,44.889999,45.16,44.880001,45.16,1200,44.176178
2016-02-12,45.099998,45.549999,44.990002,45.549999,1800,44.557681
2016-02-16,45.869999,46.150002,45.869999,46.150002,1300,45.144612
2016-02-17,46.580002,46.919998,46.580002,46.740002,38000,45.721759
2016-02-18,47.009998,47.009998,46.73,46.919998,5900,45.897834
2016-02-19,46.560001,46.77,46.560001,46.77,2900,45.751104
2016-02-22,47.27,47.419998,47.27,47.419998,1400,46.386941
2016-02-23,47.23,47.23,46.849998,46.900002,600,45.878273
2016-02-24,46.419998,46.66,46.360001,46.66,900,45.6435
2016-02-25,47.150002,47.529999,47.150002,47.529999,2300,46.494545
