Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,23.4,23.4,23.4,23.4,0,22.875417
2016-01-05,23.4,23.4,23.4,23.4,0,22.875417
2016-01-06,23.4,23.4,23.4,23.4,0,22.875417
2016-01-07,23.4,23.4,23.4,23.4,0,22.875417
2016-01-08,23.4,23.4,23.4,23.4,0,22.875417
2016-01-11,23.4,23.4,23.4,23.4,0,22.875417
2016-01-12,23.4,23.4,23.4,23.4,0,22.875417
2016-01-13,23.4,23.4,23.4,23.4,0,22.875417
2016-01-14,23.4,23.4,23.4,23.4,0,22.875417
2016-01-15,23.4,23.4,23.4,23.4,0,22.875417
2016-01-19,23.4,23.4,23.4,23.4,0,22.875417
2016-01-20,23.4,23.4,23.4,23.4,0,22.875417
2016-01-21,23.4,23.4,23.4,23.4,0,22.875417
2016-01-22,23.4,23.4,23.4,23.4,0,22.875417
2016-01-25,20.896,20.896,20.896,20.896,100,20.427552
2016-01-26,20.896,20.896,20.896,20.896,0,20.427552
2016-01-27,20.896,20.896,20.896,20.896,0,20.427552
2016-01-28,21.139999,21.139999,21.139999,21.139999,100,20.666081
2016-01-29,21.139999,21.139999,21.139999,21.139999,0,20.666081
2016-02-01,21.139999,21.139999,21.139999,21.139999,0,20.666081
2016-02-02,21.75,21.75,21.75,21.75,100,21.262407
2016-02-03,21.75,21.75,21.75,21.75,0,21.262407
2016-02-04,21.75,21.75,21.75,21.75,0,21.262407
2016-02-05,21.75,21.75,21.75,21.75,0,21.262407
2016-02-08,21.75,21.75,21.75,21.75,0,21.262407
2016-02-09,21.75,21.75,21.75,21.75,0,21.262407
2016-02-10,21.75,21.75,21.75,21.75,0,21.262407
2016-02-11,21.75,21.75,21.75,21.75,0,21.262407
2016-02-12,21.75,21.75,21.75,21.75,0,21.262407
2016-02-16,21.75,21.75,21.75,21.75,0,21.262407
2016-02-17,21.75,21.75,21.75,21.75,0,21.262407
2016-02-18,21.75,21.75,21.75,21.75,0,21.262407
2016-02-19,21.75,21.75,21.75,21.75,0,21.262407
2016-02-22,21.75,21.75,21.75,21.75,0,21.262407
2016-02-23,21.75,21.75,21.75,21.75,0,21.262407
2016-02-24,21.75,21.75,21.75,21.75,0,21.262407
2016-02-25,21.75,21.75,21.75,21.75,0,21.262407
2016-02-26,21.75,21.75,21.75,21.75,0,21.262407
2016-02-29,21.75,21.75,21.75,21.75,0,21.262407
2016-03-01,21.75,21.75,21.75,21.75,0,21.262407
2016-03-02,21.75,21.75,21.75,21.75,0,21.262407
2016-03-03,21.75,21.75,21.75,21.75,0,21.262407
2016-03-04,21.75,21.75,21.75,21.75,0,21.262407
2016-03-07,21.75,21.75,21.75,21.75,0,21.262407
2016-03-08,21.75,21.75,21.75,21.75,0,21.262407
2016-03-09,21.75,21.75,21.75,21.75,0,21.262407
2016-03-10,21.75,21.75,21.75,21.75,0,21.262407
2016-03-11,21.75,21.75,21.75,21.75,0,21.262407
2016-03-14,21.75,21.75,21.75,21.75,0,21.262407
2016-03-15,21.75,21.75,21.75,21.75,0,21.262407
2016-03-16,21.75,21.75,21.75,21.75,0,21.262407
2016-03-17,21.75,21.75,21.75,21.75,0,21.262407
2016-03-18,21.75,21.75,21.75,21.75,0,21.262407
2016-03-21,21.75,21.75,21.75,21.75,0,21.262407
2016-03-22,21.75,21.75,21.75,21.75,0,21.262407
2016-03-23,21.75,21.75,21.75,21.75,0,21.262407
2016-03-24,21.75,21.75,21.75,21.75,0,21.262407
2016-03-28,21.75,21.75,21.75,21.75,0,21.262407
2016-03-29,21.75,21.75,21.75,21.75,0,21.262407
2016-03-30,21.75,21.75,21.75,21.75,0,21.262407
2016-03-31,21.75,21.75,21.75,21.75,0,21.262407
2016-04-01,21.75,21.75,21.75,21.75,0,21.262407
2016-04-04,21.75,21.75,21.75,21.75,0,21.262407
2016-04-05,21.75,21.75,21.75,21.75,0,21.262407
2016-04-06,21.75,21.75,21.75,21.75,0,21.262407
2016-04-07,21.75,21.75,21.75,21.75,0,21.262407
2016-04-08,21.75,21.75,21.75,21.75,0,21.262407
2016-04-11,21.75,21.75,21.75,21.75,0,21.262407
2016-04-12,21.75,21.75,21.75,21.75,0,21.262407
2016-04-13,21.75,21.75,21.75,21.75,0,21.262407
2016-04-14,21.75,21.75,21.75,21.75,0,21.262407
2016-04-15,21.75,21.75,21.75,21.75,0,21.262407
2016-04-18,21.75,21.75,21.75,21.75,0,21.262407
2016-04-19,21.75,21.75,21.75,21.75,0,21.262407
2016-04-20,21.75,21.75,21.75,21.75,0,21.262407
2016-04-21,21.75,21.75,21.75,21.75,0,21.262407
2016-04-22,21.75,21.75,21.75,21.75,0,21.262407
2016-04-25,21.75,21.75,21.75,21.75,0,21.262407
2016-04-26,21.75,21.75,21.75,21.75,0,21.262407
2016-04-27,21.75,21.75,21.75,21.75,0,21.262407
2016-04-28,21.75,21.75,21.75,21.75,0,21.262407
2016-04-29,21.75,21.75,21.75,21.75,0,21.262407
2016-05-02,21.75,21.75,21.75,21.75,0,21.262407
2016-05-03,21.75,21.75,21.75,21.75,0,21.262407
2016-05-04,21.75,21.75,21.75,21.75,0,21.262407
2016-05-05,21.75,21.75,21.75,21.75,0,21.262407
2016-05-06,21.75,21.75,21.75,21.75,0,21.262407
2016-05-09,21.75,21.75,21.75,21.75,0,21.262407
2016-05-10,21.75,21.75,21.75,21.75,0,21.262407
2016-05-11,21.75,21.75,21.75,21.75,0,21.262407
2016-05-12,21.75,21.75,21.75,21.75,0,21.262407
2016-05-13,21.75,21.75,21.75,21.75,0,21.262407
2016-05-16,21.75,21.75,21.75,21.75,0,21.262407
2016-05-17,21.75,21.75,21.75,21.75,0,21.262407
2016-05-18,21.75,21.75,21.75,21.75,0,21.262407
2016-05-19,21.75,21.75,21.75,21.75,0,21.262407
2016-05-20,21.75,21.75,21.75,21.75,0,21.262407
2016-05-23,21.75,21.75,21.75,21.75,0,21.262407
2016-05-24,21.75,21.75,21.75,21.75,0,21.262407
2016-05-25,21.75,21.75,21.75,21.75,0,21.262407
2016-05-26,21.75,21.75,21.75,21.75,0,21.262407
2016-05-27,20.379999,20.379999,20.379999,20.379999,100,19.923119
2016-05-31,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-01,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-02,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-03,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-06,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-07,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-08,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-09,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-10,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-13,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-14,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-15,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-16,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-17,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-20,20.379999,20.379999,20.379999,20.379999,0,19.923119
2016-06-21,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-06-22,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-06-23,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-06-24,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-06-27,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-06-28,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-06-29,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-06-30,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-07-01,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-07-05,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-07-06,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-07-07,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-07-08,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-07-11,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-07-12,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-07-13,20.379999,20.379999,20.379999,20.379999,0,20.011491
2016-07-14,19.799999,19.799999,19.771,19.771,800,19.413504
2016-07-15,19.561001,19.572001,19.549999,19.572001,800,19.218103
2016-07-18,19.572001,19.572001,19.572001,19.572001,0,19.218103
2016-07-19,19.572001,19.572001,19.572001,19.572001,0,19.218103
2016-07-20,19.572001,19.572001,19.572001,19.572001,0,19.218103
2016-07-21,19.620001,19.620001,19.620001,19.620001,600,19.265235
2016-07-22,19.620001,19.620001,19.620001,19.620001,0,19.265235
2016-07-25,19.620001,19.620001,19.620001,19.620001,0,19.265235
2016-07-26,19.620001,19.620001,19.620001,19.620001,0,19.265235
2016-07-27,20.26,20.26,20.26,20.26,300,19.893662
2016-07-28,20.26,20.26,20.26,20.26,0,19.893662
2016-07-29,20.26,20.26,20.26,20.26,0,19.893662
2016-08-01,20.26,20.26,20.26,20.26,0,19.893662
2016-08-02,19.120001,19.129999,19.09,19.09,5600,18.744818
2016-08-03,19.09,19.09,19.09,19.09,0,18.744818
2016-08-04,19.09,19.09,19.09,19.09,0,18.744818
2016-08-05,19.09,19.09,19.09,19.09,0,18.744818
2016-08-08,19.09,19.09,19.09,19.09,0,18.744818
2016-08-09,19.59,19.59,19.59,19.59,100,19.235777
2016-08-10,19.59,19.59,19.59,19.59,0,19.235777
2016-08-11,19.59,19.59,19.59,19.59,0,19.235777
2016-08-12,19.59,19.59,19.59,19.59,0,19.235777
2016-08-15,19.59,19.59,19.59,19.59,0,19.235777
2016-08-16,19.59,19.59,19.59,19.59,0,19.235777
2016-08-17,19.4,19.42,19.4,19.42,300,19.068851
2016-08-18,19.42,19.42,19.42,19.42,0,19.068851
2016-08-19,19.42,19.42,19.42,19.42,0,19.068851
2016-08-22,19.42,19.42,19.42,19.42,0,19.068851
2016-08-23,19.42,19.42,19.42,19.42,0,19.068851
2016-08-24,19.42,19.42,19.42,19.42,0,19.068851
2016-08-25,19.42,19.42,19.42,19.42,0,19.068851
2016-08-26,19.42,19.42,19.42,19.42,0,19.068851
2016-08-29,19.42,19.42,19.42,19.42,0,19.068851
2016-08-30,19.42,19.42,19.42,19.42,0,19.068851
2016-08-31,19.42,19.42,19.42,19.42,0,19.068851
2016-09-01,19.42,19.42,19.42,19.42,0,19.068851
2016-09-02,20.17,20.17,20.17,20.17,500,19.805289
2016-09-06,20.17,20.17,20.17,20.17,0,19.805289
2016-09-07,20.030001,20.030001,20.030001,20.030001,300,19.667821
2016-09-08,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-09,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-12,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-13,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-14,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-15,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-16,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-19,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-20,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-21,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-22,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-23,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-26,20.030001,20.030001,20.030001,20.030001,0,19.667821
2016-09-27,19.98,19.98,19.98,19.98,100,19.618724
2016-09-28,19.98,19.98,19.98,19.98,0,19.618724
2016-09-29,19.98,19.98,19.98,19.98,0,19.618724
2016-09-30,19.98,19.98,19.98,19.98,0,19.618724
2016-10-03,19.93,19.940001,19.93,19.93,500,19.569629
2016-10-04,19.93,19.93,19.93,19.93,0,19.569629
2016-10-05,19.93,19.93,19.93,19.93,0,19.569629
2016-10-06,19.93,19.93,19.93,19.93,0,19.569629
2016-10-07,19.93,19.93,19.93,19.93,0,19.569629
2016-10-10,19.93,19.93,19.93,19.93,0,19.569629
2016-10-11,19.93,19.93,19.93,19.93,0,19.569629
2016-10-12,19.93,19.93,19.93,19.93,0,19.569629
2016-10-13,19.93,19.93,19.93,19.93,0,19.569629
2016-10-14,19.93,19.93,19.93,19.93,0,19.569629
2016-10-17,19.93,19.93,19.93,19.93,0,19.569629
2016-10-18,19.93,19.93,19.93,19.93,0,19.569629
2016-10-19,19.93,19.93,19.93,19.93,0,19.569629
2016-10-20,19.93,19.93,19.93,19.93,0,19.569629
2016-10-21,19.93,19.93,19.93,19.93,0,19.569629
2016-10-24,20.629999,20.629999,20.610001,20.610001,1000,20.237334
2016-10-25,20.610001,20.610001,20.610001,20.610001,0,20.237334
2016-10-26,20.610001,20.610001,20.610001,20.610001,0,20.237334
2016-10-27,20.610001,20.610001,20.610001,20.610001,0,20.237334
2016-10-28,20.610001,20.610001,20.610001,20.610001,0,20.237334
2016-10-31,20.870001,20.870001,20.870001,20.870001,500,20.492633
2016-11-01,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-02,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-03,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-04,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-07,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-08,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-09,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-10,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-11,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-14,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-15,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-16,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-17,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-18,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-21,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-22,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-23,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-25,20.870001,20.870001,20.870001,20.870001,0,20.492633
2016-11-28,21.940001,21.940001,21.940001,21.940001,500,21.543285
2016-11-29,21.940001,21.940001,21.940001,21.940001,0,21.543285
2016-11-30,21.940001,21.940001,21.940001,21.940001,0,21.543285
2016-12-01,21.940001,21.940001,21.940001,21.940001,0,21.543285
2016-12-02,21.940001,21.940001,21.940001,21.940001,0,21.543285
2016-12-05,21.940001,21.940001,21.940001,21.940001,0,21.543285
2016-12-06,21.940001,21.940001,21.940001,21.940001,0,21.543285
2016-12-07,22.549999,22.549999,22.469999,22.469999,800,22.0637
2016-12-08,22.73,22.73,22.73,22.73,500,22.318999
2016-12-09,22.73,22.73,22.73,22.73,0,22.318999
2016-12-12,22.73,22.73,22.73,22.73,0,22.318999
2016-12-13,22.73,22.73,22.73,22.73,0,22.318999
2016-12-14,22.73,22.73,22.73,22.73,0,22.318999
2016-12-15,22.73,22.73,22.73,22.73,0,22.318999
2016-12-16,22.73,22.73,22.73,22.73,0,22.318999
2016-12-19,22.73,22.73,22.73,22.73,0,22.318999
2016-12-20,22.73,22.73,22.73,22.73,0,22.318999
2016-12-21,22.73,22.73,22.73,22.73,0,22.73
2016-12-22,22.73,22.73,22.73,22.73,0,22.73
2016-12-23,22.73,22.73,22.73,22.73,0,22.73
2016-12-27,22.73,22.73,22.73,22.73,0,22.73
2016-12-28,22.73,22.73,22.73,22.73,0,22.73
2016-12-29,22.73,22.73,22.73,22.73,0,22.73
2016-12-30,22.73,22.73,22.73,22.73,0,22.73
2017-01-03,22.73,22.73,22.73,22.73,0,22.73
2017-01-04,22.73,22.73,22.73,22.73,0,22.73
2017-01-05,22.73,22.73,22.73,22.73,0,22.73
2017-01-06,22.73,22.73,22.73,22.73,0,22.73
2017-01-09,22.73,22.73,22.73,22.73,0,22.73
2017-01-10,22.73,22.73,22.73,22.73,0,22.73
2017-01-11,22.73,22.73,22.73,22.73,0,22.73
2017-01-12,22.309999,22.309999,22.309999,22.309999,100,22.309999
2017-01-13,22.309999,22.309999,22.309999,22.309999,0,22.309999
2017-01-17,22.285999,22.285999,22.285999,22.285999,500,22.285999
2017-01-18,22.285999,22.285999,22.285999,22.285999,0,22.285999
2017-01-19,22.285999,22.285999,22.285999,22.285999,0,22.285999
2017-01-20,22.285999,22.285999,22.285999,22.285999,0,22.285999
2017-01-23,22.285999,22.285999,22.285999,22.285999,0,22.285999
2017-01-24,22.285999,22.285999,22.285999,22.285999,0,22.285999
2017-01-25,22.65,22.76,22.65,22.709999,500,22.709999
2017-01-26,22.709999,22.709999,22.709999,22.709999,0,22.709999
