Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,43.540001,44.060001,43.18,43.639999,186400,41.695174
2016-01-05,43.389999,43.98,43.23,43.939999,78900,41.981804
2016-01-06,43.470001,43.77,43.34,43.73,17300,41.781163
2016-01-07,43.32,43.720001,43.25,43.34,14200,41.408544
2016-01-08,43.59,43.59,43.119999,43.169998,11500,41.246119
2016-01-11,43.540001,43.619999,43.310001,43.5,19000,41.561414
2016-01-12,43.470001,43.470001,43.110001,43.349998,21200,41.418097
2016-01-13,43.610001,43.740002,43.049999,43.080002,16000,41.160133
2016-01-14,43.32,43.970001,43.220001,43.700001,13400,41.752501
2016-01-15,42.939999,43.189999,42.59,42.919998,93600,41.00726
2016-01-19,43.290001,43.470001,43.189999,43.41,170800,41.475424
2016-01-20,42.98,42.98,41.919998,42.57,70000,40.672859
2016-01-21,42.52,42.740002,42.130001,42.57,76900,40.672859
2016-01-22,42.709999,43.540001,42.709999,43.540001,47500,41.599632
2016-01-25,43.43,43.43,43.0,43.060001,116800,41.141024
2016-01-26,43.349998,43.73,43.349998,43.59,30700,41.647403
2016-01-27,43.790001,44.110001,43.419998,43.689999,26000,41.742945
2016-01-28,44.040001,44.470001,43.900002,44.369999,19300,42.392641
2016-01-29,44.48,45.060001,44.48,45.009998,71200,43.004119
2016-02-01,44.860001,45.509998,44.799999,45.400002,53400,43.376741
2016-02-02,45.169998,45.27,45.02,45.240002,8200,43.223872
2016-02-03,45.490002,45.959999,45.349998,45.84,41200,43.797131
2016-02-04,45.630001,46.0,45.630001,45.700001,22300,43.663371
2016-02-05,45.470001,45.549999,45.259998,45.41,7400,43.386294
2016-02-08,45.200001,45.369999,44.790001,45.139999,17200,43.128326
2016-02-09,44.82,45.23,44.82,45.119999,11300,43.109217
2016-02-10,44.98,45.18,44.619999,44.939999,9900,42.937239
2016-02-11,44.57,44.669998,44.049999,44.310001,38900,42.335317
2016-02-12,44.389999,44.41,44.049999,44.290001,15600,42.316208
2016-02-16,44.689999,44.84,44.400002,44.75,167400,42.755707
2016-02-17,44.709999,44.830002,44.439999,44.779999,35000,42.784369
2016-02-18,44.900002,45.330002,44.900002,45.27,126100,43.252534
2016-02-19,45.150002,45.200001,44.990002,45.110001,25400,43.099664
2016-02-22,45.369999,45.610001,45.279999,45.529999,21900,43.500945
2016-02-23,45.25,45.32,45.07,45.32,5600,43.300305
2016-02-24,44.860001,45.279999,44.75,45.23,14200,43.214316
2016-02-25,45.450001,45.66,45.389999,45.66,35300,43.625153
2016-02-26,45.740002,45.740002,44.830002,44.830002,26500,42.832144
2016-02-29,44.77,45.09,44.709999,44.720001,86800,42.727045
2016-03-01,45.009998,45.139999,44.810001,45.0,81700,42.994566
2016-03-02,44.580002,45.130001,44.459999,45.130001,33500,43.118774
2016-03-03,45.150002,45.529999,44.889999,45.529999,30900,43.500945
2016-03-04,45.41,45.970001,45.330002,45.889999,37800,43.844902
2016-03-07,45.490002,45.900002,45.490002,45.869999,53400,43.825793
2016-03-08,45.740002,46.0,45.73,45.959999,9300,43.911782
2016-03-09,46.099998,46.34,46.060001,46.240002,6300,44.179307
2016-03-10,46.290001,46.52,45.889999,46.330002,11800,44.265296
2016-03-11,46.599998,46.830002,46.57,46.740002,10700,44.657024
2016-03-14,46.610001,46.740002,46.459999,46.73,41700,44.647468
2016-03-15,46.43,46.650002,46.43,46.610001,51900,44.532817
2016-03-16,46.290001,47.0,46.110001,46.93,34000,44.838555
2016-03-17,47.080002,47.650002,47.080002,47.540001,9400,45.421371
2016-03-18,47.43,47.77,47.349998,47.459999,28000,45.344935
2016-03-21,47.34,47.400002,47.139999,47.279999,8200,45.172956
2016-03-22,47.110001,47.290001,47.060001,47.18,17000,45.077414
2016-03-23,47.09,47.299999,47.0,47.099998,6700,45.000978
2016-03-24,47.040001,47.279999,47.02,47.189999,9100,45.086967
2016-03-28,47.32,47.880001,47.18,47.450001,15800,45.335382
2016-03-29,47.41,48.0,47.32,47.93,42100,45.79399
2016-03-30,48.220001,48.279999,48.099998,48.099998,12900,45.956412
2016-03-31,48.029999,48.220001,48.029999,48.060001,13800,45.918198
2016-04-01,47.700001,48.150002,47.59,48.080002,320500,45.937307
2016-04-04,48.080002,48.080002,47.779999,47.939999,48100,45.803543
2016-04-05,47.419998,47.419998,46.98,46.98,37700,44.886326
2016-04-06,46.990002,47.18,46.82,47.16,21300,45.058305
2016-04-07,46.990002,47.25,46.84,46.919998,33700,44.828999
2016-04-08,47.34,47.619999,47.32,47.380001,34700,45.268502
