Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,30.16,30.16,29.780001,30.15,13100,27.853763
2016-01-05,30.200001,30.780001,30.190001,30.68,12800,28.343398
2016-01-06,30.559999,30.73,30.51,30.610001,14900,28.27873
2016-01-07,30.379999,30.379999,29.76,29.76,19900,27.493466
2016-01-08,29.99,29.99,29.290001,29.290001,11000,27.059262
2016-01-11,29.4,29.440001,29.18,29.389999,15500,27.151644
2016-01-12,29.4,29.5,28.549999,28.73,24500,26.54191
2016-01-13,28.879999,28.879999,27.959999,28.040001,112300,25.904462
2016-01-14,28.049999,28.57,27.799999,28.34,162300,26.181614
2016-01-15,28.01,28.01,27.41,27.889999,30200,25.912179
2016-01-19,28.02,28.120001,27.639999,27.85,33800,25.875016
2016-01-20,27.58,27.58,26.08,27.27,37600,25.336147
2016-01-21,27.23,27.76,27.0,27.48,22500,25.531254
2016-01-22,27.629999,28.34,27.629999,28.23,57400,26.228068
2016-01-25,28.129999,28.35,27.99,28.07,11100,26.079414
2016-01-26,28.25,28.73,27.870001,28.73,11400,26.69261
2016-01-27,28.639999,28.639999,28.1,28.129999,5400,26.135159
2016-01-28,28.33,28.51,28.24,28.24,11500,26.237359
2016-01-29,28.290001,28.75,28.290001,28.75,5500,26.711193
2016-02-01,28.620001,29.0,28.58,28.790001,11700,26.748357
2016-02-02,28.620001,28.639999,28.32,28.52,11900,26.497503
2016-02-03,28.48,28.809999,28.370001,28.809999,4000,26.766937
2016-02-04,28.700001,29.0,28.700001,28.969999,5200,26.915591
2016-02-05,28.74,28.889999,28.68,28.68,6500,26.646157
2016-02-08,28.379999,28.51,27.42,27.73,12300,25.763525
2016-02-09,27.74,27.74,27.0,27.139999,19400,25.215365
2016-02-10,27.209999,27.51,27.120001,27.17,8900,25.243238
2016-02-11,26.83,26.83,26.6,26.719999,15900,24.825149
2016-02-12,26.780001,26.879999,26.639999,26.82,14100,25.087059
2016-02-16,27.08,27.530001,27.07,27.530001,14600,25.751184
2016-02-17,27.65,28.280001,27.65,28.01,21700,26.200169
2016-02-18,28.01,28.299999,27.93,28.280001,13000,26.452724
2016-02-19,28.24,28.4,28.110001,28.309999,19000,26.480784
2016-02-22,28.6,28.709999,28.5,28.540001,10700,26.695924
2016-02-23,28.450001,28.59,28.299999,28.379999,10600,26.546261
2016-02-24,28.209999,28.58,27.969999,28.540001,12900,26.695924
2016-02-25,28.73,29.23,28.73,29.23,10600,27.341339
2016-02-26,29.24,29.5,29.18,29.209999,8400,27.322631
2016-02-29,29.16,29.629999,29.16,29.43,35100,27.528417
2016-03-01,29.66,29.92,29.629999,29.9,9400,27.968048
2016-03-02,29.879999,30.41,29.879999,30.41,13700,28.445095
2016-03-03,30.450001,30.84,30.4,30.84,16400,28.847312
2016-03-04,30.889999,30.889999,30.559999,30.66,18300,28.678942
2016-03-07,30.530001,31.040001,30.530001,31.040001,16400,29.03439
2016-03-08,30.67,30.67,30.309999,30.459999,14900,28.491864
2016-03-09,30.52,30.780001,30.52,30.67,11500,28.688296
2016-03-10,30.75,30.76,29.91,30.24,13500,28.28608
2016-03-11,30.559999,31.059999,30.559999,31.059999,27200,29.053096
2016-03-14,31.1,31.1,30.85,31.030001,20300,29.025036
2016-03-15,30.65,30.68,30.450001,30.49,13000,28.682611
2016-03-16,30.5,31.01,30.5,31.0,25200,29.16238
2016-03-17,31.059999,31.6,31.0,31.51,17000,29.642148
2016-03-18,31.67,31.700001,31.41,31.450001,13500,29.585705
2016-03-21,31.290001,31.370001,31.120001,31.17,18600,29.322303
2016-03-22,31.0,31.25,31.0,31.24,8000,29.388153
2016-03-23,31.190001,31.27,31.030001,31.030001,6500,29.190602
2016-03-24,30.85,31.16,30.530001,31.110001,13200,29.26586
2016-03-28,31.209999,31.41,30.219999,31.389999,24200,29.529261
2016-03-29,31.59,32.360001,31.59,32.360001,10400,30.441762
2016-03-30,32.34,32.400002,32.209999,32.23,15600,30.319467
2016-03-31,32.299999,32.650002,32.119999,32.599998,17400,30.667533
2016-04-01,32.310001,32.5,32.189999,32.470001,21000,30.545242
2016-04-04,32.41,32.5,32.23,32.299999,17800,30.385318
2016-04-05,32.110001,32.169998,32.009998,32.080002,6000,30.178361
2016-04-06,32.09,32.310001,32.0,32.259998,14700,30.347688
2016-04-07,32.150002,32.310001,31.82,31.959999,11600,30.065472
2016-04-08,32.169998,32.450001,32.169998,32.240002,14500,30.328877
2016-04-11,32.32,32.689999,32.32,32.48,11100,30.554648
2016-04-12,32.669998,32.84,32.529999,32.720001,13600,30.780423
2016-04-13,32.919998,32.919998,32.630001,32.880001,23600,30.930938
2016-04-14,32.91,32.91,32.66,32.84,21900,30.893308
2016-04-15,32.580002,32.93,32.560001,32.84,15300,31.073085
2016-04-18,32.860001,32.98,32.759998,32.98,16300,31.205552
2016-04-19,33.040001,33.189999,33.0,33.099998,21700,31.319095
2016-04-20,33.0,33.099998,32.599998,32.610001,17500,30.855461
2016-04-21,32.650002,32.650002,31.83,32.009998,10500,30.287741
2016-04-22,32.049999,32.349998,32.009998,32.279999,19500,30.543214
2016-04-25,32.240002,32.560001,32.240002,32.560001,10000,30.808151
2016-04-26,32.689999,32.91,32.59,32.869999,39200,31.10147
2016-04-27,33.099998,33.099998,32.369999,32.799999,31000,31.035237
2016-04-28,32.869999,32.93,32.720001,32.790001,15800,31.025776
2016-04-29,32.669998,32.689999,32.209999,32.5,278800,30.751378
2016-05-02,32.619999,33.049999,32.610001,32.939999,16600,31.167703
2016-05-03,32.919998,33.040001,32.689999,32.889999,58200,31.120394
2016-05-04,32.860001,33.700001,32.860001,33.59,37800,31.782732
2016-05-05,33.689999,33.849998,33.630001,33.650002,50700,31.839506
2016-05-06,33.540001,34.080002,33.540001,34.07,23800,32.236906
2016-05-09,34.07,34.560001,34.07,34.52,37000,32.662695
2016-05-10,34.619999,34.619999,34.27,34.380001,20600,32.530228
2016-05-11,34.459999,34.459999,33.779999,33.810001,36500,31.990897
2016-05-12,33.849998,33.950001,33.639999,33.849998,23200,32.028742
2016-05-13,33.689999,33.689999,33.119999,33.419998,17800,31.803208
2016-05-16,33.380001,33.77,33.380001,33.68,17600,32.050632
2016-05-17,33.650002,33.650002,32.73,32.98,33400,31.384495
2016-05-18,32.91,32.950001,32.150002,32.43,28800,30.861104
2016-05-19,32.259998,32.259998,31.84,32.02,35200,30.470939
2016-05-20,32.18,32.369999,32.099998,32.279999,17700,30.718359
2016-05-23,32.279999,32.349998,32.209999,32.240002,12300,30.680297
2016-05-24,32.580002,32.810001,32.490002,32.790001,19000,31.203689
2016-05-25,32.790001,32.790001,32.470001,32.689999,22800,31.108524
2016-05-26,32.689999,32.93,32.689999,32.91,14900,31.317882
2016-05-27,32.990002,33.130001,32.919998,33.049999,22400,31.451109
2016-05-31,33.16,33.209999,32.959999,33.150002,12500,31.546273
2016-06-01,33.200001,33.330002,33.099998,33.25,23400,31.641434
2016-06-02,33.259998,33.599998,33.189999,33.599998,16000,31.9745
2016-06-03,33.740002,33.919998,33.060001,33.869999,20500,32.231438
2016-06-06,33.880001,34.060001,33.630001,33.759998,31500,32.126759
2016-06-07,33.919998,34.200001,33.889999,34.07,23500,32.421764
2016-06-08,34.099998,34.709999,34.099998,34.669998,33000,32.992735
2016-06-09,34.650002,34.799999,34.580002,34.75,18300,33.068867
2016-06-10,34.709999,34.779999,34.549999,34.66,34200,32.983221
2016-06-13,34.560001,34.66,34.080002,34.110001,25200,32.459829
2016-06-14,34.18,34.18,33.650002,33.830002,25900,32.193376
2016-06-15,33.66,33.959999,33.66,33.830002,13000,32.380981
2016-06-16,33.799999,34.009998,33.619999,34.009998,30300,32.553267
2016-06-17,33.939999,34.18,33.889999,34.16,22000,32.696844
2016-06-20,34.32,34.619999,34.32,34.32,33500,32.849991
2016-06-21,34.310001,34.560001,34.310001,34.43,16000,32.95528
2016-06-22,34.43,34.43,34.099998,34.150002,18800,32.687274
2016-06-23,34.34,34.560001,34.34,34.43,34500,32.95528
2016-06-24,33.990002,34.52,33.200001,34.290001,36300,32.821277
2016-06-27,34.41,34.41,33.459999,33.869999,28900,32.419264
2016-06-28,34.07,34.59,34.009998,34.549999,20300,33.070139
2016-06-29,34.889999,35.110001,34.779999,35.07,41300,33.567866
2016-06-30,35.240002,35.389999,34.860001,35.369999,36200,33.855016
2016-07-01,35.439999,35.77,35.439999,35.75,181800,34.21874
2016-07-05,35.639999,35.75,35.490002,35.720001,24000,34.190027
2016-07-06,36.07,36.07,35.349998,35.790001,23900,34.257028
2016-07-07,35.990002,35.990002,35.299999,35.369999,30300,33.855016
2016-07-08,35.689999,36.119999,35.610001,36.099998,23000,34.553748
2016-07-11,36.119999,36.709999,36.009998,36.68,23000,35.108907
2016-07-12,36.759998,36.91,36.540001,36.799999,45000,35.223766
2016-07-13,36.869999,37.040001,36.759998,37.029999,37600,35.443914
2016-07-14,36.970001,37.029999,36.639999,36.639999,26200,35.070619
2016-07-15,36.759998,36.82,36.330002,36.790001,36900,35.414272
2016-07-18,36.790001,37.220001,36.700001,37.220001,350000,35.828193
2016-07-19,37.32,37.330002,37.040001,37.330002,176700,35.93408
2016-07-20,37.540001,37.639999,37.23,37.560001,665000,36.155479
2016-07-21,37.59,37.68,37.349998,37.580002,79600,36.174731
2016-07-22,37.73,37.900002,37.619999,37.82,41900,36.405755
2016-07-25,37.959999,37.959999,37.619999,37.790001,151700,36.376878
2016-07-26,37.880001,37.880001,37.450001,37.5,39700,36.097721
2016-07-27,37.630001,37.630001,37.0,37.25,26700,35.85707
2016-07-28,37.43,37.68,36.98,37.610001,24100,36.203608
2016-07-29,37.610001,38.549999,37.610001,38.360001,94300,36.925563
2016-08-01,38.41,38.41,38.040001,38.189999,90200,36.761918
2016-08-02,38.049999,38.049999,37.66,37.720001,224200,36.309495
2016-08-03,37.529999,37.799999,37.279999,37.5,37500,36.097721
2016-08-04,37.740002,37.740002,37.450001,37.560001,49900,36.155479
2016-08-05,37.650002,38.07,37.650002,37.950001,23700,36.530894
2016-08-08,38.040001,38.150002,37.98,38.02,141100,36.598277
2016-08-09,38.419998,38.419998,38.02,38.34,159900,36.90631
2016-08-10,38.400002,38.540001,38.23,38.360001,48900,36.925563
2016-08-11,38.299999,38.400002,37.849998,37.959999,48200,36.540519
2016-08-12,37.970001,38.59,37.970001,38.259998,55500,36.8293
2016-08-15,38.09,38.490002,38.09,38.25,254000,37.02483
2016-08-16,38.240002,38.240002,37.639999,37.75,352100,36.540846
2016-08-17,38.02,38.02,37.209999,37.700001,74700,36.492448
2016-08-18,37.66,37.990002,36.709999,37.09,69500,35.901986
2016-08-19,36.98,37.049999,36.830002,37.029999,32800,35.843906
2016-08-22,36.959999,37.27,36.959999,37.27,25100,36.076221
2016-08-23,37.369999,37.66,37.369999,37.529999,116500,36.327891
2016-08-24,37.549999,37.549999,37.02,37.139999,33100,35.950384
2016-08-25,37.130001,37.619999,37.130001,37.48,35900,36.279493
2016-08-26,37.599998,37.689999,36.669998,36.93,51400,35.747111
2016-08-29,37.18,37.490002,37.18,37.299999,41000,36.105259
2016-08-30,37.259998,37.360001,37.049999,37.360001,45100,36.163338
2016-08-31,37.349998,37.599998,37.209999,37.5,26800,36.298853
2016-09-01,37.549999,37.650002,37.029999,37.23,54200,36.037501
2016-09-02,37.450001,38.07,37.369999,37.75,104800,36.540846
2016-09-06,37.779999,38.049999,37.59,38.040001,47700,36.821558
2016-09-07,38.130001,38.450001,37.93,38.450001,44300,37.218425
2016-09-08,38.450001,38.450001,38.029999,38.099998,62900,36.879633
2016-09-09,37.779999,37.779999,36.150002,36.16,81100,35.001774
2016-09-12,36.049999,36.540001,35.82,36.380001,36900,35.214728
2016-09-13,36.240002,36.240002,35.27,35.279999,68800,34.14996
2016-09-14,35.389999,35.59,35.32,35.509998,53300,34.372592
2016-09-15,35.209999,35.490002,35.130001,35.310001,39100,34.394024
2016-09-16,35.290001,35.439999,35.060001,35.419998,27400,34.501167
2016-09-19,35.630001,35.869999,35.580002,35.849998,230400,34.920013
2016-09-20,36.049999,36.049999,35.439999,35.470001,628200,34.549873
2016-09-21,35.639999,36.09,35.09,36.049999,48800,35.114826
2016-09-22,36.330002,37.080002,36.110001,36.990002,25300,36.030444
2016-09-23,36.959999,37.119999,36.610001,37.009998,60700,36.049921
2016-09-26,36.950001,37.150002,36.91,36.91,33800,35.952517
2016-09-27,36.880001,36.880001,36.060001,36.119999,50400,35.18301
2016-09-28,36.16,36.41,36.009998,36.389999,19700,35.446006
2016-09-29,36.25,36.34,35.900002,36.0,174100,35.066123
2016-09-30,36.240002,36.240002,35.860001,35.869999,36800,34.939495
2016-10-03,35.720001,35.720001,35.279999,35.57,70400,34.647278
2016-10-04,35.630001,35.630001,34.650002,34.869999,87700,33.965436
2016-10-05,34.91,35.110001,34.130001,34.16,162200,33.273855
2016-10-06,34.0,34.189999,33.75,34.049999,114000,33.166708
2016-10-07,34.220001,34.43,33.82,33.84,28500,32.962156
2016-10-10,33.860001,34.369999,33.860001,34.25,640400,33.36152
2016-10-11,34.18,34.18,33.48,33.73,835400,32.855009
2016-10-12,33.830002,34.48,33.810001,34.330002,30500,33.439447
2016-10-13,34.279999,34.639999,34.23,34.549999,32500,33.653737
2016-10-14,34.360001,34.59,34.209999,34.240002,117000,33.622318
2016-10-17,34.310001,34.599998,34.310001,34.380001,30700,33.759792
2016-10-18,34.689999,35.0,34.669998,34.790001,33300,34.162395
2016-10-19,34.849998,35.0,34.560001,34.900002,20500,34.270412
2016-10-20,34.900002,34.939999,34.599998,34.889999,21200,34.26059
2016-10-21,34.66,35.119999,34.66,34.91,19400,34.28023
2016-10-24,35.09,35.349998,34.810001,35.029999,49000,34.398064
2016-10-25,34.91,35.060001,34.779999,34.98,22600,34.348967
2016-10-26,34.77,34.93,34.220001,34.279999,70600,33.661594
2016-10-27,34.310001,34.310001,33.369999,33.369999,33000,32.76801
2016-10-28,33.380001,33.560001,33.130001,33.34,21500,32.738552
2016-10-31,33.5,33.98,33.43,33.93,18000,33.317909
2016-11-01,33.799999,33.830002,32.759998,32.84,69900,32.247572
2016-11-02,32.889999,32.889999,32.290001,32.349998,45300,31.76641
2016-11-03,32.25,32.59,31.940001,31.98,41600,31.403086
2016-11-04,32.130001,32.459999,32.009998,32.330002,23600,31.746774
2016-11-07,32.700001,33.080002,32.700001,33.060001,47600,32.463605
2016-11-08,32.990002,33.150002,32.779999,32.959999,63700,32.365407
2016-11-09,33.540001,34.540001,32.82,34.439999,64500,33.818707
2016-11-10,34.630001,34.630001,33.349998,33.709999,63000,33.101877
2016-11-11,33.77,34.52,33.77,34.400002,20500,33.779432
2016-11-14,34.560001,35.57,34.41,35.419998,56800,34.781028
2016-11-15,35.34,35.549999,34.889999,34.98,39600,34.56954
2016-11-16,34.900002,35.080002,34.810001,35.040001,31600,34.628837
2016-11-17,35.16,35.259998,34.709999,34.720001,53400,34.312592
2016-11-18,34.740002,35.139999,34.740002,35.07,39100,34.658484
2016-11-21,35.310001,35.599998,35.220001,35.400002,89800,34.984613
2016-11-22,35.509998,36.150002,35.509998,36.110001,47600,35.686281
2016-11-23,35.889999,36.060001,35.650002,36.049999,44500,35.626984
2016-11-25,36.18,36.34,36.099998,36.240002,24100,35.814757
2016-11-28,36.34,36.5,36.220001,36.23,85500,35.804872
2016-11-29,36.25,36.759998,36.23,36.540001,28700,36.111236
2016-11-30,36.32,36.34,35.810001,36.029999,19200,35.607218
2016-12-01,35.93,36.009998,35.450001,35.75,37300,35.330505
2016-12-02,35.849998,36.27,35.830002,35.919998,20900,35.498508
2016-12-05,36.09,36.259998,35.849998,36.220001,27700,35.794991
2016-12-06,36.330002,36.790001,36.200001,36.759998,46500,36.328652
2016-12-07,37.23,37.419998,36.830002,37.380001,39100,36.941379
2016-12-08,37.380001,37.700001,37.049999,37.599998,49200,37.158795
2016-12-09,38.080002,38.080002,37.580002,37.720001,70700,37.27739
2016-12-12,37.66,37.84,37.389999,37.59,46500,37.148914
2016-12-13,37.860001,37.860001,37.330002,37.630001,32100,37.188446
2016-12-14,37.810001,37.810001,36.599998,36.700001,46100,36.269358
2016-12-15,36.68,36.830002,36.259998,36.310001,35800,36.10529
2016-12-16,36.549999,37.130001,36.549999,36.740002,42100,36.532866
