Date,Open,High,Low,Close,Volume,Adj Close
2016-07-13,15.29,15.29,15.277,15.277,1400,15.133611
2016-07-14,15.37,15.37,15.37,15.37,2000,15.225738
2016-07-15,15.34,15.34,15.25,15.25,1986800,15.106864
2016-07-18,15.305,15.305,15.305,15.305,300,15.161348
2016-07-19,15.272,15.272,15.272,15.272,1000,15.128658
2016-07-20,15.328,15.378,15.328,15.35,2000,15.205926
2016-07-21,15.41,15.41,15.301,15.301,1500,15.157385
2016-07-22,15.3,15.38,15.3,15.38,2900,15.235644
2016-07-25,15.35,15.35,15.347,15.347,500,15.202954
2016-07-26,15.41,15.43,15.41,15.411,3200,15.266353
2016-07-27,15.44,15.45,15.348,15.43,2100,15.285175
2016-07-28,15.38,15.38,15.354,15.354,1300,15.209888
2016-07-29,15.414,15.45,15.414,15.445,4000,15.300034
2016-08-01,15.4,15.46,15.31,15.4,7600,15.255456
2016-08-02,15.32,15.32,15.214,15.214,7000,15.071202
2016-08-03,15.221,15.295,15.221,15.295,700,15.151442
2016-08-04,15.343,15.343,15.343,15.343,2800,15.198992
2016-08-05,15.47,15.47,15.47,15.47,300,15.3248
2016-08-08,15.494,15.5,15.494,15.5,600,15.354518
2016-08-09,15.54,15.54,15.5,15.5,700,15.354518
2016-08-10,15.47,15.47,15.426,15.426,1200,15.281212
2016-08-11,15.57,15.6,15.519,15.585,9300,15.43872
2016-08-12,15.527,15.579,15.527,15.579,6500,15.432777
2016-08-15,15.68,15.69,15.635,15.67,3200,15.522922
2016-08-16,15.6,15.61,15.58,15.58,900,15.433767
2016-08-17,15.53,15.56,15.5,15.56,8600,15.413955
2016-08-18,15.59,15.62,15.584,15.62,4200,15.473391
2016-08-19,15.634,15.65,15.634,15.65,1900,15.50311
2016-08-22,15.65,15.65,15.65,15.65,0,15.50311
2016-08-23,15.687,15.687,15.687,15.687,700,15.539763
2016-08-24,15.76,15.76,15.585,15.585,3300,15.43872
2016-08-25,15.597,15.597,15.597,15.597,200,15.450608
2016-08-26,15.664,15.709,15.574,15.574,500,15.427824
2016-08-29,15.712,15.712,15.684,15.687,900,15.539763
2016-08-30,15.66,15.66,15.66,15.66,400,15.513016
2016-08-31,15.6,15.6,15.546,15.594,3700,15.447635
2016-09-01,15.543,15.543,15.543,15.543,400,15.397115
2016-09-02,15.68,15.68,15.62,15.62,1900,15.473391
2016-09-06,15.65,15.65,15.65,15.65,700,15.50311
2016-09-07,15.65,15.65,15.65,15.65,400,15.50311
2016-09-08,15.614,15.64,15.6,15.64,1500,15.493204
2016-09-09,15.5,15.5,15.28,15.28,1800,15.136583
2016-09-12,15.27,15.46,15.27,15.446,2300,15.301025
2016-09-13,15.36,15.36,15.18,15.19,2200,15.047427
2016-09-14,15.24,15.24,15.161,15.17,5100,15.027615
2016-09-15,15.24,15.33,15.24,15.324,1000,15.18017
2016-09-16,15.23,15.26,15.223,15.26,1800,15.116771
2016-09-19,15.32,15.32,15.32,15.32,1900,15.176207
2016-09-20,15.33,15.33,15.3,15.31,900,15.166302
2016-09-21,15.363,15.396,15.31,15.396,1500,15.251494
2016-09-22,15.526,15.54,15.526,15.54,1100,15.394142
2016-09-23,15.53,15.53,15.53,15.53,500,15.384236
2016-09-26,15.4,15.43,15.352,15.39,1800,15.245551
2016-09-27,15.46,15.46,15.46,15.46,500,15.314893
2016-09-28,15.489,15.49,15.489,15.49,1300,15.344612
2016-09-29,15.55,15.55,15.48,15.48,700,15.334705
2016-09-30,15.49,15.58,15.485,15.58,700,15.433767
2016-10-03,15.58,15.58,15.51,15.51,900,15.364424
2016-10-04,15.52,15.52,15.46,15.46,500,15.314893
2016-10-05,15.5,15.57,15.5,15.57,600,15.423861
2016-10-06,15.445,15.445,15.445,15.445,300,15.300034
2016-10-07,15.49,15.49,15.457,15.457,300,15.311921
2016-10-10,15.527,15.527,15.527,15.527,500,15.381265
2016-10-11,15.5,15.5,15.213,15.213,3800,15.070212
2016-10-12,15.25,15.32,15.25,15.32,2200,15.176207
2016-10-13,15.104,15.28,15.104,15.28,2400,15.136583
2016-10-14,15.32,15.32,15.25,15.26,1500,15.116771
2016-10-17,15.18,15.18,15.18,15.18,600,15.037522
2016-10-18,15.24,15.27,15.24,15.25,2200,15.106864
