Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,92.559998,92.559998,91.25,91.410004,3900,45.469081
2016-01-05,91.5,91.5,91.5,91.5,400,45.513847
2016-01-06,88.209999,90.410004,88.209999,89.980003,1900,44.757771
2016-01-07,85.730003,87.139999,83.830002,84.419998,5700,41.992119
2016-01-08,84.599998,85.25,80.18,80.18,30200,39.883063
2016-01-11,80.480003,81.989998,79.010002,80.230003,11300,39.907935
2016-01-12,81.580002,81.93,78.650002,80.5,3800,40.042237
2016-01-13,79.0,79.150002,74.449997,74.730003,3900,37.17213
2016-01-14,74.279999,76.889999,74.279999,76.309998,3100,37.958049
2016-01-15,76.0,76.0,70.260002,73.029999,2300,36.326515
2016-01-19,74.870003,75.129997,71.110001,71.879997,5200,35.754483
2016-01-20,68.099998,71.540001,66.040001,71.540001,5800,35.585362
2016-01-21,71.459999,71.459999,67.949997,68.290001,2700,33.96875
2016-01-22,69.330002,70.239998,69.309998,70.050003,2000,34.844209
2016-01-25,70.050003,70.050003,70.050003,70.050003,0,34.844209
2016-01-26,66.699997,66.699997,66.699997,66.699997,500,33.177852
2016-01-27,68.099998,68.099998,68.099998,68.099998,300,33.874239
2016-01-28,68.099998,68.099998,68.099998,68.099998,0,33.874239
2016-01-29,71.0,71.379997,70.459999,71.379997,3000,35.505773
2016-02-01,71.0,72.190002,71.0,72.190002,700,35.908685
2016-02-02,68.599998,68.599998,67.639999,67.639999,1000,33.645427
2016-02-03,67.980003,68.32,65.0,67.82,4200,33.734962
2016-02-04,67.129997,70.510002,67.129997,69.339996,900,34.491038
2016-02-05,68.239998,68.239998,67.209999,67.209999,900,33.431537
2016-02-08,64.0,64.150002,62.779999,63.639999,1800,31.655751
2016-02-09,63.700001,65.339996,63.66,64.25,9200,31.959176
2016-02-10,65.5,65.559998,63.34,63.34,800,31.506525
2016-02-11,57.540001,59.0,57.509998,58.93,4500,29.312907
2016-02-12,61.07,63.869999,60.82,63.330002,2200,31.501552
2016-02-16,65.900002,68.900002,65.559998,67.68,2400,33.665324
2016-02-17,69.32,70.690002,67.889999,67.889999,5800,33.769782
2016-02-18,66.0,66.0,64.849998,64.849998,1400,32.257627
2016-02-19,64.809998,64.809998,64.809998,64.809998,400,32.23773
2016-02-22,68.510002,68.510002,68.510002,68.510002,500,34.078183
2016-02-23,65.580002,65.959999,65.32,65.459999,6000,32.561053
2016-02-24,62.459999,62.73,61.880001,62.73,600,31.203099
2016-02-25,62.73,62.73,62.73,62.73,100,31.203099
2016-02-26,65.989998,66.0,65.989998,65.989998,800,32.824685
