Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,40.18,40.18,40.18,40.18,3500,40.18
2016-01-05,40.18,40.18,40.18,40.18,0,40.18
2016-01-06,40.18,40.18,40.18,40.18,1500,40.18
2016-01-07,40.18,40.18,40.18,40.18,500,40.18
2016-01-08,44.73,45.77,44.669998,45.610001,4400,45.610001
2016-01-11,45.610001,45.610001,45.610001,45.610001,0,45.610001
2016-01-12,47.830002,48.244999,46.759998,48.244999,29800,48.244999
2016-01-13,48.244999,48.244999,48.244999,48.244999,500,48.244999
2016-01-14,51.200001,52.98,48.851002,48.851002,8500,48.851002
2016-01-15,51.869999,51.91,50.896999,50.896999,22400,50.896999
2016-01-19,52.931999,52.931999,52.544998,52.544998,400,52.544998
2016-01-20,53.509998,53.84,49.655998,49.655998,1300,49.655998
2016-01-21,50.549999,50.790001,50.549999,50.59,1500,50.59
2016-01-22,49.939999,50.130001,49.389999,50.130001,3800,50.130001
2016-01-25,50.07,50.07,50.07,50.07,200,50.07
2016-01-26,51.490002,51.919998,51.490002,51.599998,600,51.599998
2016-01-27,53.0,53.597,53.0,53.597,1100,53.597
2016-01-28,56.026001,56.290001,54.799999,55.255001,1300,55.255001
2016-01-29,55.255001,55.255001,55.255001,55.255001,0,55.255001
2016-02-01,54.889999,55.560001,54.16,54.16,7000,54.16
2016-02-02,55.16,56.417,55.07,56.360001,3400,56.360001
2016-02-03,55.650002,58.23,55.59,56.448002,2500,56.448002
2016-02-04,56.200001,56.200001,52.82,54.77,102800,54.77
2016-02-05,55.966999,56.917,55.650002,56.730999,4600,56.730999
2016-02-08,59.400002,60.361,59.290001,59.98,2700,59.98
2016-02-09,61.310001,61.310001,57.540001,59.43,3900,59.43
2016-02-10,59.43,59.43,59.43,59.43,1100,59.43
2016-02-11,60.889999,61.299999,59.543999,59.543999,5900,59.543999
2016-02-12,58.889999,60.606998,58.063,58.063,4500,58.063
2016-02-16,56.150002,56.217999,56.0,56.0,800,56.0
2016-02-17,53.449001,53.48,53.259998,53.259998,1100,53.259998
2016-02-18,52.959999,52.959999,52.959999,52.959999,700,52.959999
2016-02-19,54.748001,54.773998,54.748001,54.773998,400,54.773998
2016-02-22,53.990002,53.990002,53.556999,53.556999,400,53.556999
2016-02-23,55.330002,55.66,55.330002,55.66,600,55.66
2016-02-24,56.93,57.675999,56.32,56.32,5300,56.32
2016-02-25,55.099998,56.060001,55.099998,56.029999,700,56.029999
2016-02-26,54.970001,55.610001,54.73,54.73,1100,54.73
2016-02-29,55.049999,56.419998,55.049999,56.23,1400,56.23
2016-03-01,55.700001,56.16,55.700001,56.0,7600,56.0
2016-03-02,52.52,52.52,52.299,52.308998,7200,52.308998
2016-03-03,52.308998,52.308998,52.308998,52.308998,100,52.308998
2016-03-04,52.308998,52.308998,52.308998,52.308998,0,52.308998
2016-03-07,52.169998,52.169998,50.0,50.125999,1100,50.125999
2016-03-08,50.080002,52.047001,50.080002,52.047001,3300,52.047001
2016-03-09,52.047001,52.047001,52.047001,52.047001,0,52.047001
2016-03-10,52.91,54.740002,52.02,54.07,10600,54.07
2016-03-11,52.813999,52.813999,52.470001,52.470001,1600,52.470001
2016-03-14,51.720001,51.720001,51.700001,51.700001,700,51.700001
2016-03-15,52.459999,54.299999,52.459999,54.200001,12800,54.200001
2016-03-16,55.060001,55.060001,55.060001,55.060001,800,55.060001
2016-03-17,55.060001,55.060001,55.060001,55.060001,0,55.060001
2016-03-18,54.689999,54.689999,53.472,53.585999,1300,53.585999
2016-03-21,52.349998,52.349998,52.349998,52.349998,200,52.349998
2016-03-22,51.5,51.5,51.200001,51.200001,300,51.200001
2016-03-23,51.869999,52.259998,51.869999,52.259998,300,52.259998
2016-03-24,54.450001,54.450001,54.450001,54.450001,400,54.450001
2016-03-28,53.389999,53.470001,53.368,53.368,700,53.368
2016-03-29,54.09,54.919998,54.09,54.599998,9800,54.599998
2016-03-30,52.279999,52.830002,52.279999,52.830002,6100,52.830002
2016-03-31,52.830002,52.830002,52.830002,52.830002,0,52.830002
2016-04-01,51.709999,52.02,49.759998,49.759998,3900,49.759998
2016-04-04,49.330002,49.330002,48.48,49.049999,5300,49.049999
2016-04-05,49.57,49.799999,49.549999,49.790001,14700,49.790001
2016-04-06,47.209999,47.209999,47.0,47.0,600,47.0
2016-04-07,45.360001,46.23,45.049999,45.900002,24400,45.900002
2016-04-08,47.009998,47.009998,47.009998,47.009998,200,47.009998
2016-04-11,47.009998,47.009998,47.009998,47.009998,0,47.009998
2016-04-12,47.009998,47.009998,47.009998,47.009998,0,47.009998
2016-04-13,47.009998,47.009998,47.009998,47.009998,0,47.009998
2016-04-14,46.419998,46.419998,46.419998,46.419998,300,46.419998
2016-04-15,46.419998,46.419998,46.419998,46.419998,0,46.419998
2016-04-18,46.419998,46.419998,46.419998,46.419998,0,46.419998
2016-04-19,45.82,46.52,45.82,46.52,2900,46.52
2016-04-20,46.52,46.52,46.52,46.52,0,46.52
2016-04-21,46.52,46.52,46.52,46.52,0,46.52
2016-04-22,45.790001,45.790001,45.790001,45.790001,300,45.790001
2016-04-25,45.369999,45.450001,45.369999,45.450001,3000,45.450001
2016-04-26,46.667999,46.667999,46.667999,46.667999,600,46.667999
2016-04-27,46.667999,46.667999,46.667999,46.667999,0,46.667999
2016-04-28,46.667999,46.667999,46.667999,46.667999,0,46.667999
2016-04-29,48.549999,48.549999,48.480999,48.480999,400,48.480999
2016-05-02,48.480999,48.480999,48.480999,48.480999,0,48.480999
2016-05-03,48.480999,48.480999,48.480999,48.480999,0,48.480999
2016-05-04,51.119999,51.119999,51.119999,51.119999,200,51.119999
2016-05-05,51.130001,51.630001,51.041,51.630001,500,51.630001
2016-05-06,52.000999,52.000999,52.000999,52.000999,200,52.000999
2016-05-09,52.000999,52.000999,52.000999,52.000999,0,52.000999
2016-05-10,52.000999,52.000999,52.000999,52.000999,0,52.000999
2016-05-11,52.000999,52.000999,52.000999,52.000999,0,52.000999
2016-05-12,52.34,52.34,52.290001,52.290001,200,52.290001
2016-05-13,52.290001,52.290001,52.290001,52.290001,0,52.290001
2016-05-16,52.290001,52.290001,52.290001,52.290001,100,52.290001
2016-05-17,49.619999,49.619999,49.040001,49.57,1600,49.57
2016-05-18,49.905998,49.959999,48.369999,48.369999,1200,48.369999
2016-05-19,49.450001,49.599998,49.450001,49.599998,200,49.599998
2016-05-20,48.5,48.5,48.5,48.5,100,48.5
2016-05-23,48.5,48.5,48.5,48.5,0,48.5
2016-05-24,46.209999,46.209999,46.209999,46.209999,100,46.209999
2016-05-25,45.52,45.535999,45.380001,45.380001,500,45.380001
2016-05-26,45.785999,45.810001,45.779999,45.805,1500,45.805
2016-05-27,45.805,45.805,45.805,45.805,0,45.805
2016-05-31,44.900002,44.900002,44.299999,44.299999,2000,44.299999
2016-06-01,44.540001,44.540001,44.169998,44.169998,2300,44.169998
2016-06-02,44.169998,44.169998,44.169998,44.169998,0,44.169998
2016-06-03,44.07,44.07,44.07,44.07,1300,44.07
2016-06-06,44.07,44.07,44.07,44.07,0,44.07
2016-06-07,43.779999,44.0,43.779999,44.0,900,44.0
2016-06-08,43.880001,44.02,43.880001,44.02,300,44.02
2016-06-09,43.799999,45.060001,43.799999,45.060001,28600,45.060001
2016-06-10,45.939999,46.256001,45.640999,46.256001,6900,46.256001
2016-06-13,46.256001,46.256001,46.256001,46.256001,0,46.256001
2016-06-14,47.029999,47.57,47.009998,47.192001,1200,47.192001
2016-06-15,47.192001,47.192001,47.192001,47.192001,0,47.192001
2016-06-16,47.550999,47.550999,46.972,46.972,400,46.972
2016-06-17,46.57,47.099998,46.57,47.099998,700,47.099998
2016-06-20,47.099998,47.099998,47.099998,47.099998,0,47.099998
2016-06-21,47.099998,47.099998,47.099998,47.099998,0,47.099998
2016-06-22,47.099998,47.099998,47.099998,47.099998,0,47.099998
2016-06-23,47.099998,47.099998,47.099998,47.099998,0,47.099998
2016-06-24,48.277,48.277,48.277,48.277,700,48.277
2016-06-27,50.709999,51.223999,50.709999,51.223999,800,51.223999
2016-06-28,51.223999,51.223999,51.223999,51.223999,600,51.223999
2016-06-29,51.223999,51.223999,51.223999,51.223999,0,51.223999
2016-06-30,47.029999,47.049999,46.810001,47.049999,400,47.049999
2016-07-01,47.049999,47.049999,47.049999,47.049999,0,47.049999
2016-07-05,45.799999,46.290001,45.799999,46.139999,400,46.139999
2016-07-06,46.389999,46.389999,46.389999,46.389999,200,46.389999
2016-07-07,46.389999,46.389999,46.389999,46.389999,0,46.389999
2016-07-08,46.389999,46.389999,46.389999,46.389999,100,46.389999
2016-07-11,43.830002,43.830002,43.830002,43.830002,800,43.830002
2016-07-12,43.580002,43.580002,43.540001,43.540001,300,43.540001
2016-07-13,43.540001,43.540001,43.540001,43.540001,0,43.540001
2016-07-14,43.540001,43.540001,43.540001,43.540001,0,43.540001
2016-07-15,45.040001,45.040001,44.34,44.43,1400,44.43
2016-07-18,44.43,44.43,44.43,44.43,0,44.43
2016-07-19,44.43,44.43,44.43,44.43,0,44.43
2016-07-20,44.43,44.43,44.43,44.43,0,44.43
2016-07-21,44.43,44.43,44.43,44.43,0,44.43
2016-07-22,44.43,44.43,44.43,44.43,0,44.43
2016-07-25,42.5,42.5,42.5,42.5,500,42.5
2016-07-26,42.5,42.5,42.5,42.5,0,42.5
2016-07-27,42.5,42.5,42.5,42.5,0,42.5
2016-07-28,42.5,42.5,42.5,42.5,0,42.5
2016-07-29,40.740002,40.740002,40.740002,40.740002,200,40.740002
2016-08-01,40.209999,40.23,39.77,39.799999,1100,39.799999
2016-08-02,39.799999,40.259998,39.720001,39.720001,600,39.720001
2016-08-03,39.720001,39.720001,39.720001,39.720001,0,39.720001
2016-08-04,39.720001,39.720001,39.720001,39.720001,0,39.720001
2016-08-05,39.330002,39.330002,39.318001,39.318001,1200,39.318001
2016-08-08,39.25,39.25,39.25,39.25,200,39.25
2016-08-09,40.099998,40.099998,40.084,40.084,800,40.084
2016-08-10,40.084,40.084,40.084,40.084,0,40.084
2016-08-11,40.439999,40.439999,40.439999,40.439999,200,40.439999
2016-08-12,40.799999,40.799999,40.639999,40.639999,300,40.639999
2016-08-15,40.639999,40.639999,40.639999,40.639999,0,40.639999
2016-08-16,40.0,40.200001,40.0,40.200001,600,40.200001
2016-08-17,40.639999,40.639999,40.542999,40.542999,300,40.542999
2016-08-18,40.542999,40.542999,40.542999,40.542999,0,40.542999
2016-08-19,40.542999,40.542999,40.542999,40.542999,0,40.542999
2016-08-22,40.542999,40.542999,40.542999,40.542999,0,40.542999
2016-08-23,40.542999,40.542999,40.542999,40.542999,0,40.542999
2016-08-24,40.542999,40.542999,40.542999,40.542999,0,40.542999
2016-08-25,40.542999,40.542999,40.542999,40.542999,0,40.542999
2016-08-26,40.542999,40.542999,40.542999,40.542999,0,40.542999
2016-08-29,41.52,41.529999,40.82,40.900002,2700,40.900002
2016-08-30,40.900002,40.900002,40.900002,40.900002,0,40.900002
2016-08-31,41.27,41.623001,41.09,41.623001,9500,41.623001
2016-09-01,41.623001,41.623001,41.623001,41.623001,0,41.623001
2016-09-02,41.623001,41.623001,41.623001,41.623001,0,41.623001
2016-09-06,40.512001,40.512001,40.512001,40.512001,300,40.512001
2016-09-07,40.512001,40.512001,40.512001,40.512001,0,40.512001
2016-09-08,40.060001,40.060001,39.470001,39.470001,400,39.470001
2016-09-09,40.639999,40.639999,40.560001,40.560001,1600,40.560001
2016-09-12,40.34,40.34,40.34,40.34,500,40.34
2016-09-13,39.799,40.080002,39.799,40.080002,400,40.080002
2016-09-14,40.080002,40.080002,40.080002,40.080002,0,40.080002
2016-09-15,39.080002,39.080002,38.919998,38.919998,500,38.919998
2016-09-16,38.563999,38.563999,38.563999,38.563999,500,38.563999
2016-09-19,37.439999,37.470001,37.439999,37.470001,600,37.470001
2016-09-20,37.470001,37.470001,37.470001,37.470001,0,37.470001
2016-09-21,36.405998,36.405998,36.405998,36.405998,500,36.405998
2016-09-22,36.369999,36.549999,36.09,36.09,1000,36.09
2016-09-23,36.09,36.09,36.09,36.09,0,36.09
2016-09-26,36.618,36.618,36.618,36.618,100,36.618
2016-09-27,36.533001,36.740002,36.533001,36.728001,700,36.728001
2016-09-28,36.469002,36.805,36.455002,36.805,2400,36.805
2016-09-29,37.970001,37.970001,37.970001,37.970001,500,37.970001
2016-09-30,37.77,37.77,37.77,37.77,200,37.77
2016-10-03,37.804001,37.84,37.419998,37.448002,4800,37.448002
2016-10-04,37.555,37.599998,37.555,37.560001,2500,37.560001
2016-10-05,37.560001,37.560001,37.560001,37.560001,0,37.560001
2016-10-06,37.560001,37.560001,37.560001,37.560001,0,37.560001
2016-10-07,38.467999,38.467999,38.439999,38.439999,2500,38.439999
2016-10-10,37.932999,37.932999,37.451,37.52,4000,37.52
2016-10-11,37.52,37.52,37.52,37.52,0,37.52
2016-10-12,39.48,39.669998,39.473,39.669998,1800,39.669998
2016-10-13,40.535,40.537998,40.009998,40.07,3900,40.07
2016-10-14,41.099998,41.099998,41.099998,41.099998,500,41.099998
2016-10-17,41.669998,41.869999,41.419998,41.66,1400,41.66
2016-10-18,41.66,41.66,41.66,41.66,0,41.66
2016-10-19,41.66,41.66,41.66,41.66,0,41.66
2016-10-20,41.66,41.66,41.66,41.66,0,41.66
2016-10-21,41.66,41.66,41.66,41.66,0,41.66
2016-10-24,41.66,41.66,41.66,41.66,0,41.66
2016-10-25,41.66,41.66,41.66,41.66,0,41.66
2016-10-26,41.705002,41.919998,41.705002,41.919998,2700,41.919998
2016-10-27,41.919998,41.919998,41.919998,41.919998,0,41.919998
2016-10-28,41.919998,41.919998,41.919998,41.919998,0,41.919998
2016-10-31,41.919998,41.919998,41.919998,41.919998,0,41.919998
2016-11-01,41.919998,41.919998,41.919998,41.919998,0,41.919998
2016-11-02,44.0,44.299999,44.0,44.299999,500,44.299999
2016-11-03,45.560001,46.0,45.330002,46.0,3500,46.0
2016-11-04,45.950001,45.950001,44.490002,44.808998,3000,44.808998
2016-11-07,43.75,43.75,43.0,43.0,1100,43.0
2016-11-08,43.029999,43.029999,42.319,42.319,200,42.319
2016-11-09,39.130001,39.279999,37.5,37.700001,4800,37.700001
2016-11-10,37.099998,37.099998,37.099998,37.099998,200,37.099998
2016-11-11,37.029999,37.029999,37.029999,37.029999,100,37.029999
2016-11-14,36.526001,36.526001,35.580002,35.580002,500,35.580002
2016-11-15,35.944,35.944,35.889999,35.889999,500,35.889999
2016-11-16,35.889999,35.889999,35.889999,35.889999,0,35.889999
2016-11-17,35.889999,35.889999,35.889999,35.889999,0,35.889999
2016-11-18,36.5,36.5,36.5,36.5,300,36.5
2016-11-21,36.419998,36.521999,36.419998,36.521999,1100,36.521999
2016-11-22,36.919998,36.919998,36.919998,36.919998,1000,36.919998
2016-11-23,37.349998,37.349998,37.349998,37.349998,400,37.349998
2016-11-25,36.450001,36.450001,36.450001,36.450001,1000,36.450001
2016-11-28,37.16,37.16,37.080002,37.139999,600,37.139999
2016-11-29,37.091999,37.091999,37.091999,37.091999,100,37.091999
2016-11-30,37.75,38.220001,37.75,38.220001,1300,38.220001
2016-12-01,38.852001,39.181,38.57,39.181,700,39.181
2016-12-02,39.380001,39.380001,39.380001,39.380001,100,39.380001
2016-12-05,39.380001,39.380001,39.380001,39.380001,0,39.380001
2016-12-06,37.762001,37.794998,37.5,37.5,1200,37.5
2016-12-07,37.5,37.5,37.5,37.5,0,37.5
2016-12-08,37.5,37.5,37.5,37.5,0,37.5
2016-12-09,37.5,37.5,37.5,37.5,0,37.5
2016-12-12,37.5,37.5,37.5,37.5,0,37.5
2016-12-13,37.5,37.5,37.5,37.5,0,37.5
2016-12-14,39.134998,39.134998,39.131001,39.131001,400,39.131001
2016-12-15,39.131001,39.131001,39.131001,39.131001,0,39.131001
2016-12-16,38.23,38.23,38.23,38.23,100,38.23
2016-12-19,38.23,38.23,38.23,38.23,0,38.23
2016-12-20,37.099998,37.099998,37.099998,37.099998,500,37.099998
2016-12-21,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-12-22,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-12-23,38.360001,38.360001,38.360001,38.360001,200,38.360001
2016-12-27,38.360001,38.360001,38.360001,38.360001,0,38.360001
2016-12-28,38.360001,38.360001,38.360001,38.360001,0,38.360001
2016-12-29,38.360001,38.360001,38.360001,38.360001,0,38.360001
2016-12-30,38.360001,38.360001,38.360001,38.360001,0,38.360001
2017-01-03,38.360001,38.360001,38.360001,38.360001,0,38.360001
2017-01-04,38.360001,38.360001,38.360001,38.360001,0,38.360001
2017-01-05,36.200001,36.200001,36.200001,36.200001,100,36.200001
2017-01-06,35.59,35.59,35.59,35.59,100,35.59
2017-01-09,35.139999,35.139999,35.139999,35.139999,400,35.139999
2017-01-10,35.139999,35.139999,35.139999,35.139999,0,35.139999
2017-01-11,34.549999,35.66,34.549999,35.66,600,35.66
2017-01-12,36.200001,36.200001,36.200001,36.200001,200,36.200001
2017-01-13,35.080002,35.080002,35.080002,35.080002,200,35.080002
2017-01-17,35.029999,35.029999,35.029999,35.029999,400,35.029999
2017-01-18,35.029999,35.029999,35.029999,35.029999,0,35.029999
2017-01-19,35.189999,35.535,35.189999,35.535,900,35.535
2017-01-20,35.535,35.535,35.535,35.535,0,35.535
2017-01-23,36.105999,36.105999,36.105999,36.105999,600,36.105999
2017-01-24,36.466999,36.638,36.466999,36.638,400,36.638
2017-01-25,36.638,36.638,36.638,36.638,0,36.638
