Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,19.639999,20.18,18.52,19.02,574600,76.080002
2016-01-05,19.440001,19.58,18.120001,18.469999,457700,73.879997
2016-01-06,17.4,17.58,15.52,16.190001,1067300,64.760002
2016-01-07,14.91,15.39,13.89,14.26,1104000,57.040001
2016-01-08,15.15,15.33,13.2,13.32,913700,53.279999
2016-01-11,13.55,13.79,10.06,11.08,2438300,44.32
2016-01-12,11.73,12.905,10.51,12.06,1779700,48.240002
2016-01-13,12.51,12.54,9.47,9.58,2414400,38.32
2016-01-14,9.81,11.05,8.25,10.64,2472000,42.560001
2016-01-15,9.0,9.69,8.48,9.65,1763500,38.599998
2016-01-19,10.18,10.3,7.97,8.46,2356100,33.84
2016-01-20,7.84,10.0,7.31,9.55,3461200,38.200001
2016-01-21,9.66,10.312,8.79,8.91,2319800,35.639999
2016-01-22,9.7,9.93,9.05,9.68,1843300,38.720001
2016-01-25,9.32,10.3,9.16,9.21,1100000,36.84
2016-01-26,9.41,9.47,8.16,8.93,2139200,35.720001
2016-01-27,9.17,9.28,7.582,7.75,2454200,31.0
2016-01-28,8.13,8.13,6.55,6.89,3467300,27.559999
2016-01-29,6.91,7.46,6.51,7.15,3407100,28.6
2016-02-01,7.0,7.6,6.6,7.39,2521000,29.559999
2016-02-02,7.04,7.2,6.41,6.62,3169900,26.48
2016-02-03,6.8,6.92,5.7,6.7,4443900,26.799999
2016-02-04,6.52,7.74,6.4,7.09,3088000,28.360001
2016-02-05,7.05,7.19,6.06,6.29,2813000,25.16
2016-02-08,5.87,5.87,5.01,5.23,3918300,20.92
2016-02-09,4.82,5.82,4.75,5.29,4137100,21.16
2016-02-10,5.54,6.04,5.28,5.34,3999400,21.360001
2016-02-11,5.02,5.38,4.76,5.199,3170800,20.796
2016-02-12,5.48,5.7,4.96,5.68,3022100,22.719999
2016-02-16,6.04,6.39,6.0,6.35,2653700,25.4
2016-02-17,6.67,7.2,6.42,7.15,2712500,28.6
2016-02-18,7.36,7.36,6.35,6.42,2569700,25.68
2016-02-19,6.24,6.75,6.03,6.74,1696100,26.959999
2016-02-22,7.08,7.3,6.81,6.95,2334300,27.799999
2016-02-23,6.71,6.85,6.05,6.05,1626100,24.200001
2016-02-24,5.7,6.25,5.34,6.19,2509300,24.76
2016-02-25,6.28,6.54,5.86,6.06,1428200,24.24
2016-02-26,6.3,6.55,6.02,6.38,2237100,25.52
2016-02-29,6.4,6.55,5.85,5.88,1808000,23.52
