Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,16.389999,16.389999,16.389999,16.389999,0,13.256434
2016-01-05,16.389999,16.389999,16.389999,16.389999,0,13.256434
2016-01-06,16.25,16.370001,16.25,16.370001,800,13.240259
2016-01-07,16.370001,16.370001,16.370001,16.370001,0,13.240259
2016-01-08,15.74,15.74,15.65,15.65,200,12.657913
2016-01-11,15.65,15.65,15.65,15.65,0,13.318297
2016-01-12,13.9,13.9,13.9,13.9,300,11.829031
2016-01-13,13.65,13.65,13.65,13.65,400,11.616278
2016-01-14,12.66,12.66,12.59,12.59,200,10.714209
2016-01-15,12.59,12.59,12.59,12.59,0,10.714209
2016-01-19,12.59,12.59,12.59,12.59,0,10.714209
2016-01-20,12.59,12.59,12.59,12.59,0,10.714209
2016-01-21,12.151,12.26,12.151,12.26,400,10.433376
2016-01-22,12.94,13.05,12.85,13.05,400,11.105673
2016-01-25,13.05,13.05,13.05,13.05,0,11.105673
2016-01-26,13.05,13.05,13.05,13.05,0,11.105673
2016-01-27,13.03,13.06,13.03,13.06,200,11.114183
2016-01-28,13.06,13.06,13.06,13.06,0,11.114183
2016-01-29,13.06,13.06,13.06,13.06,0,11.114183
2016-02-01,13.13,13.13,13.05,13.05,3500,11.105673
2016-02-02,13.05,13.05,13.05,13.05,0,11.105673
2016-02-03,13.05,13.05,13.05,13.05,0,11.105673
2016-02-04,13.05,13.05,13.05,13.05,0,11.105673
2016-02-05,13.05,13.05,13.05,13.05,0,11.105673
2016-02-08,13.05,13.05,13.05,13.05,0,11.105673
2016-02-09,13.05,13.05,13.05,13.05,0,11.105673
2016-02-10,13.05,13.05,13.05,13.05,0,11.105673
2016-02-11,11.25,11.25,11.24,11.24,2000,9.565346
2016-02-12,11.24,11.24,11.24,11.24,0,9.565346
2016-02-16,11.24,11.24,11.24,11.24,0,9.565346
2016-02-17,11.24,11.24,11.24,11.24,0,9.565346
2016-02-18,11.24,11.24,11.24,11.24,0,9.565346
2016-02-19,12.42,12.42,12.42,12.42,500,10.569537
2016-02-22,12.57,12.57,12.56,12.56,23000,10.688679
2016-02-23,12.63,12.63,12.53,12.53,200,10.663148
2016-02-24,12.26,12.26,12.19,12.19,200,10.373805
2016-02-25,12.64,13.01,12.64,13.01,3100,11.071633
2016-02-26,13.08,13.24,13.08,13.19,900,11.224814
2016-02-29,13.83,13.83,13.83,13.83,1000,11.76946
2016-03-01,13.83,13.83,13.83,13.83,0,11.76946
2016-03-02,13.83,13.83,13.83,13.83,0,11.76946
2016-03-03,13.83,13.83,13.83,13.83,0,11.76946
2016-03-04,14.711,15.22,14.711,15.22,700,12.952364
2016-03-07,15.0,15.0,14.87,14.87,200,12.65451
2016-03-08,14.87,14.87,14.87,14.87,0,12.65451
2016-03-09,14.66,14.66,14.46,14.46,1200,12.305596
2016-03-10,14.51,14.54,14.31,14.47,10300,12.314107
2016-03-11,14.89,14.95,14.89,14.95,400,12.722591
2016-03-14,14.89,14.98,14.89,14.98,1000,12.748121
2016-03-15,14.89,14.89,14.78,14.78,400,12.577919
2016-03-16,14.98,14.98,14.9,14.98,1700,12.748121
2016-03-17,15.59,15.66,15.53,15.66,500,13.326808
2016-03-18,15.66,15.66,15.66,15.66,0,13.326808
2016-03-21,15.83,15.83,15.72,15.72,64100,13.377868
2016-03-22,15.72,15.72,15.72,15.72,0,13.377868
2016-03-23,15.72,15.72,15.72,15.72,0,13.377868
2016-03-24,15.72,15.72,15.72,15.72,0,13.377868
2016-03-28,15.72,15.72,15.72,15.72,0,13.377868
2016-03-29,15.72,15.72,15.72,15.72,0,13.377868
2016-03-30,16.030001,16.030001,15.95,15.95,200,13.5736
2016-03-31,15.95,15.95,15.95,15.95,0,13.5736
2016-04-01,15.95,15.95,15.95,15.95,0,13.5736
2016-04-04,16.018,16.030001,16.018,16.030001,400,13.641682
2016-04-05,16.01,16.01,15.992,15.992,300,13.609342
2016-04-06,15.992,15.992,15.992,15.992,0,13.609342
2016-04-07,16.042,16.058001,16.030001,16.030001,400,13.641682
2016-04-08,16.030001,16.030001,16.030001,16.030001,0,14.237656
2016-04-11,16.030001,16.030001,16.030001,16.030001,0,14.237656
2016-04-12,16.030001,16.030001,16.030001,16.030001,0,14.237656
2016-04-13,16.08,16.148001,16.08,16.148001,600,14.342462
2016-04-14,16.041,16.041,16.041,16.041,100,14.247426
2016-04-15,16.041,16.041,16.041,16.041,0,14.247426
2016-04-18,16.041,16.041,16.041,16.041,0,14.247426
2016-04-19,16.041,16.041,16.041,16.041,0,14.247426
2016-04-20,16.190001,16.190001,16.190001,16.190001,100,14.379766
2016-04-21,16.26,16.26,16.105,16.105,200,14.304269
2016-04-22,16.105,16.105,16.105,16.105,0,14.304269
2016-04-25,16.25,16.25,16.25,16.25,2500,14.433057
2016-04-26,16.25,16.25,16.25,16.25,0,14.433057
2016-04-27,16.25,16.25,16.25,16.25,0,14.433057
2016-04-28,16.25,16.25,16.25,16.25,0,14.433057
2016-04-29,16.25,16.25,16.25,16.25,0,14.433057
2016-05-02,15.9,15.9,15.9,15.9,500,14.122191
2016-05-03,15.9,15.9,15.9,15.9,0,14.122191
2016-05-04,15.9,15.9,15.9,15.9,0,14.122191
2016-05-05,15.57,15.57,15.43,15.43,200,13.704743
2016-05-06,15.43,15.43,15.43,15.43,0,13.704743
2016-05-09,15.43,15.43,15.43,15.43,0,13.704743
2016-05-10,15.469,15.469,15.45,15.45,500,13.722506
2016-05-11,15.93,15.93,15.84,15.84,400,14.0689
2016-05-12,15.84,15.84,15.84,15.84,0,14.0689
2016-05-13,15.84,15.84,15.84,15.84,0,14.0689
2016-05-16,15.84,15.84,15.84,15.84,0,14.0689
2016-05-17,15.84,15.84,15.84,15.84,0,14.0689
