Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,23.610001,23.65,23.5,23.65,2100,23.352176
2016-01-05,23.700001,23.85,23.65,23.85,8700,23.549658
2016-01-06,23.521,23.521,23.49,23.49,400,23.194191
2016-01-07,23.1,23.17,22.950001,23.030001,5600,22.739985
2016-01-08,22.92,22.92,22.865999,22.865999,2100,22.578048
2016-01-11,22.559999,22.57,22.493999,22.493999,6000,22.210733
2016-01-12,22.809999,22.860001,22.559999,22.836,2900,22.548427
2016-01-13,22.969999,23.0,22.309999,22.309999,23200,22.02905
2016-01-14,22.209999,22.68,22.209999,22.565001,25000,22.28084
2016-01-15,22.129999,22.18,21.950001,22.149,53400,21.870078
2016-01-19,22.25,22.25,21.969999,22.129999,3800,21.851317
2016-01-20,21.48,22.09,21.440001,21.940001,14400,21.663711
2016-01-21,21.879999,22.115999,21.820999,21.99,8400,21.71308
2016-01-22,22.110001,22.459999,22.110001,22.459999,27000,22.177161
2016-01-25,22.379999,22.379999,22.1,22.110001,10600,21.83157
2016-01-26,22.360001,22.43,22.190001,22.370001,3600,22.088296
2016-01-27,22.32,22.514999,22.08,22.08,13300,21.801947
2016-01-28,22.030001,22.15,22.030001,22.15,55400,21.871065
2016-01-29,22.193001,22.629999,22.193001,22.610001,4300,22.325274
2016-02-01,22.610001,22.799999,22.57,22.76,8600,22.473384
2016-02-02,22.6,22.6,22.200001,22.214001,3300,21.93426
2016-02-03,22.219999,22.349001,21.98,22.25,31100,21.969806
2016-02-04,22.200001,22.315001,22.18,22.27,9000,21.989555
2016-02-05,22.27,22.336,21.950001,21.950001,22200,21.673585
2016-02-08,21.700001,21.705,21.295,21.540001,28900,21.268748
2016-02-09,21.52,21.799999,21.440001,21.635,136200,21.362551
2016-02-10,21.809999,21.934999,21.719999,21.719999,59100,21.44648
2016-02-11,21.42,21.42,21.24,21.35,11200,21.08114
2016-02-12,21.549999,21.761999,21.549999,21.76,1600,21.485977
2016-02-16,22.07,22.247999,22.01,22.247999,2200,21.967831
2016-02-17,22.497999,22.57,22.497999,22.549999,12200,22.266028
2016-02-18,22.700001,22.700001,22.5,22.559999,3500,22.275902
2016-02-19,22.35,22.441999,22.27,22.441999,5000,22.159388
2016-02-22,22.764999,22.764999,22.764999,22.764999,100,22.47832
2016-02-23,22.761,22.761999,22.620001,22.67,9800,22.384517
2016-02-24,22.582001,22.75,22.577,22.75,2900,22.46351
2016-02-25,22.75,22.85,22.75,22.85,8000,22.562251
2016-02-26,23.139999,23.15,22.98,22.98,98400,22.690613
2016-02-29,22.99,23.059999,22.91,22.91,42800,22.621495
2016-03-01,23.01,23.309999,22.969999,23.309999,49200,23.016457
2016-03-02,23.280001,23.485001,23.27,23.485001,13900,23.189255
2016-03-03,23.454,23.572001,23.402,23.549999,7000,23.253435
2016-03-04,23.673,23.68,23.58,23.676001,35600,23.377849
2016-03-07,23.589001,23.763,23.589001,23.75,4500,23.450917
2016-03-08,23.58,23.6,23.448,23.459999,6500,23.164568
2016-03-09,23.549,23.549,23.495001,23.495001,7500,23.199129
2016-03-10,23.450001,23.573,23.450001,23.573,1100,23.276146
2016-03-11,23.93,24.059999,23.83,24.059999,20600,23.757013
2016-03-14,24.030001,24.030001,23.92,24.011,2900,23.70863
2016-03-15,24.309999,24.309999,23.809999,23.860001,4300,23.559532
2016-03-16,24.0,24.059999,23.809999,24.030001,8800,23.727392
2016-03-17,24.200001,24.200001,24.129999,24.16,8400,23.855754
2016-03-18,24.207001,24.33,24.200001,24.309999,22600,24.003864
2016-03-21,24.298,24.309999,24.26,24.26,1700,23.954495
2016-03-22,24.414,24.414,24.414,24.414,600,24.106555
2016-03-23,24.169001,24.169001,24.070999,24.070999,11700,23.767874
2016-03-24,23.93,24.01,23.889999,23.93,15900,23.62865
2016-03-28,23.959999,24.190001,23.959999,24.15,12700,23.845879
2016-03-29,24.1,24.34,24.09,24.337999,9100,24.031512
2016-03-30,24.559999,24.559999,24.32,24.35,4600,24.043362
2016-03-31,24.450001,24.450001,24.35,24.35,4900,24.043362
2016-04-01,24.219999,24.440001,24.219999,24.43,15900,24.122354
2016-04-04,24.530001,24.540001,24.43,24.43,36000,24.122354
2016-04-05,24.4,24.4,24.121,24.121,230200,23.817245
2016-04-06,24.09,24.200001,24.09,24.18,3700,23.875502
2016-04-07,24.059999,24.09,23.879999,23.879999,4000,23.579279
2016-04-08,24.200001,24.200001,24.01,24.030001,7200,23.727392
2016-04-11,24.049999,24.110001,23.98,23.98,11400,23.67802
2016-04-12,24.0,24.190001,23.93,24.173,6000,23.86859
2016-04-13,24.360001,24.469999,24.33,24.440001,51300,24.132228
2016-04-14,24.424999,24.450001,24.360001,24.360001,22500,24.053236
2016-04-15,24.360001,24.379999,24.341999,24.379999,11400,24.072983
2016-04-18,24.388,24.51,24.388,24.451,10900,24.143089
2016-04-19,24.608,24.67,24.5,24.5,6800,24.191472
2016-04-20,24.6,24.73,24.51,24.65,187700,24.339583
2016-04-21,24.75,24.75,24.42,24.42,10500,24.11248
2016-04-22,24.549,24.58,24.440001,24.549999,8600,24.240842
2016-04-25,24.43,24.469999,24.379999,24.469999,10200,24.161849
2016-04-26,24.610001,24.610001,24.5,24.549999,3800,24.240842
2016-04-27,24.58,24.620001,24.52,24.594999,3700,24.285275
2016-04-28,25.0,25.0,24.370001,24.370001,19800,24.06311
2016-04-29,24.030001,24.174999,24.0,24.15,10400,23.845879
2016-05-02,24.27,24.35,24.23,24.35,107000,24.043362
2016-05-03,24.16,24.169001,24.030001,24.110001,4200,23.806384
2016-05-04,23.950001,23.950001,23.9,23.940001,5100,23.638525
2016-05-05,23.950001,23.950001,23.809999,23.83,7000,23.529909
2016-05-06,23.85,23.85,23.700001,23.799999,3700,23.500287
2016-05-09,23.809999,24.02,23.809999,24.0,8400,23.697769
2016-05-10,24.049999,24.15,23.962,24.113001,33500,23.809347
2016-05-11,24.200001,24.200001,23.940001,23.950001,15300,23.648399
2016-05-12,23.879999,23.879999,23.809999,23.864,21300,23.563482
2016-05-13,23.85,23.85,23.610001,23.67,19100,23.371924
2016-05-16,23.780001,23.93,23.780001,23.9,5700,23.599028
2016-05-17,23.860001,23.93,23.629999,23.719999,12200,23.421294
2016-05-18,23.598,23.860001,23.598,23.719999,11600,23.421294
2016-05-19,23.530001,23.6,23.49,23.594999,11400,23.297868
2016-05-20,23.736,23.82,23.736,23.799999,1700,23.500287
2016-05-23,23.790001,23.790001,23.75,23.77,3900,23.470666
2016-05-24,23.870001,24.049999,23.870001,24.049999,7000,23.747138
2016-05-25,24.17,24.200001,24.120001,24.16,17000,23.855754
2016-05-26,24.129999,24.17,24.08,24.15,5500,23.845879
2016-05-27,24.15,24.299999,24.15,24.299999,38500,23.99399
2016-05-31,24.290001,24.4,24.25,24.34,14000,24.033487
2016-06-01,24.24,24.35,24.190001,24.35,3200,24.043362
2016-06-02,24.299,24.459999,24.299,24.43,31400,24.122354
2016-06-03,24.33,24.429001,24.209999,24.4,40700,24.092731
2016-06-06,24.421,24.540001,24.414,24.49,1354900,24.181598
2016-06-07,24.620001,24.65,24.540001,24.629999,20300,24.319834
2016-06-08,24.65,24.683001,24.583,24.68,7100,24.369206
2016-06-09,24.58,24.620001,24.49,24.613001,2300,24.30305
2016-06-10,24.379999,24.459999,24.299999,24.370001,11900,24.06311
2016-06-13,24.309999,24.309999,24.179001,24.179001,1800,23.874515
2016-06-14,24.059999,24.059999,23.91,24.0,42500,23.697769
2016-06-15,24.063999,24.17,24.030001,24.139999,15600,23.836005
2016-06-16,23.9,24.129999,23.865,24.129999,244100,23.826131
2016-06-17,24.089001,24.089001,23.940001,24.066,3200,23.762938
2016-06-20,24.24,24.43,24.24,24.27,11900,23.964369
2016-06-21,24.190001,24.268,24.18,24.190001,5100,23.991147
2016-06-22,24.290001,24.360001,24.200001,24.23,15600,24.030817
2016-06-23,24.389999,24.450001,24.358999,24.450001,10300,24.24901
2016-06-24,23.860001,23.99,23.563999,23.660999,26800,23.466494
2016-06-27,23.35,23.35,22.959999,23.030001,7300,22.840683
2016-06-28,23.309999,23.43,23.200001,23.42,124900,23.227476
2016-06-29,23.664,23.84,23.664,23.84,16800,23.644024
2016-06-30,23.959999,24.219999,23.92,24.219999,65900,24.020899
