Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,26.809999,26.84,26.75,26.75,10400,25.979525
2016-01-05,26.84,26.84,26.75,26.83,10100,26.05722
2016-01-06,26.83,26.870001,26.780001,26.870001,7600,26.096069
2016-01-07,26.879999,26.879999,26.799999,26.83,7000,26.05722
2016-01-08,26.959999,26.959999,26.83,26.93,10000,26.154341
2016-01-11,26.860001,26.959999,26.84,26.870001,11100,26.096069
2016-01-12,26.83,26.99,26.83,26.950001,22300,26.173765
2016-01-13,27.200001,27.200001,26.93,26.969999,89800,26.193187
2016-01-14,26.879999,26.959999,26.85,26.9,14000,26.125204
2016-01-15,27.01,27.08,26.950001,27.030001,14200,26.251461
2016-01-19,26.9,27.08,26.9,26.98,80900,26.2029
2016-01-20,27.040001,27.110001,26.950001,27.01,13100,26.232036
2016-01-21,26.93,27.01,26.93,26.98,14900,26.2029
2016-01-22,26.950001,27.01,26.9,26.92,19500,26.144628
2016-01-25,26.99,27.09,26.93,26.959999,56400,26.183475
2016-01-26,27.1,27.1,26.91,27.040001,14200,26.261173
2016-01-27,27.040001,27.07,26.940001,27.0,10300,26.222324
2016-01-28,26.940001,27.09,26.940001,27.01,13700,26.232036
2016-01-29,27.15,27.15,27.059999,27.1,5400,26.319444
2016-02-01,27.280001,27.280001,27.02,27.040001,21700,26.32334
2016-02-02,27.040001,27.129999,27.01,27.129999,17600,26.410953
2016-02-03,27.129999,27.139999,27.049999,27.049999,157800,26.333073
2016-02-04,27.200001,27.200001,27.030001,27.07,9400,26.352543
2016-02-05,27.059999,27.16,27.02,27.02,12500,26.303869
2016-02-08,27.01,27.219999,27.01,27.15,17500,26.430423
2016-02-09,27.07,27.18,27.049999,27.129999,41900,26.410953
2016-02-10,27.129999,27.129999,27.059999,27.110001,14200,26.391484
2016-02-11,27.09,27.25,27.07,27.1,69200,26.381749
2016-02-12,27.040001,27.18,27.01,27.15,75700,26.430423
2016-02-16,27.139999,27.139999,27.02,27.059999,21700,26.342808
2016-02-17,27.09,27.1,27.01,27.09,25600,26.372014
2016-02-18,27.01,27.18,27.01,27.049999,45400,26.333073
2016-02-19,27.07,27.18,27.07,27.110001,15200,26.391484
2016-02-22,27.200001,27.200001,27.110001,27.15,10000,26.430423
2016-02-23,27.16,27.190001,27.1,27.190001,20300,26.469364
2016-02-24,27.190001,27.23,27.110001,27.120001,10600,26.401219
2016-02-25,27.219999,27.219999,27.200001,27.200001,4800,26.479099
2016-02-26,27.18,27.190001,27.1,27.190001,25500,26.469364
2016-02-29,27.190001,27.209999,27.110001,27.200001,24300,26.479099
2016-03-01,27.190001,27.190001,27.040001,27.08,21200,26.427375
2016-03-02,26.950001,27.040001,26.950001,27.0,25800,26.349303
2016-03-03,27.0,27.030001,27.0,27.02,14000,26.368822
2016-03-04,27.0,27.02,26.959999,27.02,14600,26.368822
2016-03-07,27.02,27.059999,26.98,27.040001,4400,26.38834
2016-03-08,27.030001,27.040001,26.99,27.01,23400,26.359062
2016-03-09,27.01,27.040001,26.969999,27.02,35700,26.368822
2016-03-10,27.01,27.01,26.950001,26.959999,27600,26.310266
2016-03-11,26.99,26.99,26.950001,26.969999,19600,26.320025
2016-03-14,27.01,27.01,26.940001,26.940001,64500,26.29075
2016-03-15,27.0,27.01,26.9,26.959999,25700,26.310266
2016-03-16,26.950001,27.040001,26.9,27.030001,16400,26.378581
2016-03-17,26.99,27.110001,26.99,27.059999,141300,26.407857
2016-03-18,27.049999,27.120001,27.049999,27.09,31600,26.437134
2016-03-21,27.059999,27.08,27.030001,27.030001,40600,26.378581
2016-03-22,27.049999,27.07,27.0,27.030001,10700,26.378581
2016-03-23,27.040001,27.07,26.99,27.07,14100,26.417616
2016-03-24,27.1,27.1,27.0,27.02,48400,26.368822
2016-03-28,27.08,27.1,27.01,27.09,10700,26.437134
2016-03-29,27.08,27.15,27.01,27.129999,11200,26.476169
2016-03-30,27.129999,27.15,27.09,27.15,6400,26.495688
2016-03-31,27.1,27.190001,27.08,27.190001,6600,26.534725
2016-04-01,27.139999,27.139999,27.059999,27.09,11700,26.504394
2016-04-04,27.110001,27.120001,27.07,27.1,6400,26.514178
2016-04-05,27.09,27.219999,27.09,27.1,9700,26.514178
2016-04-06,27.08,27.15,27.049999,27.110001,11400,26.523962
2016-04-07,27.139999,27.15,27.09,27.129999,6700,26.543528
2016-04-08,27.110001,27.139999,27.059999,27.139999,14400,26.553313
2016-04-11,27.120001,27.18,27.07,27.18,15800,26.592449
2016-04-12,27.139999,27.16,27.059999,27.110001,67100,26.523962
2016-04-13,27.059999,27.17,27.059999,27.15,18600,26.563097
2016-04-14,27.07,27.15,27.07,27.129999,9800,26.543528
2016-04-15,27.08,27.200001,27.08,27.17,3700,26.582665
2016-04-18,27.15,27.18,27.09,27.17,13100,26.582665
2016-04-19,27.139999,27.17,27.08,27.17,18400,26.582665
2016-04-20,27.16,27.16,27.1,27.110001,22100,26.523962
2016-04-21,27.08,27.110001,27.01,27.07,27500,26.484826
2016-04-22,27.09,27.1,27.02,27.07,11300,26.484826
2016-04-25,27.09,27.09,27.01,27.09,12400,26.504394
2016-04-26,27.01,27.1,27.01,27.07,22200,26.484826
2016-04-27,27.08,27.120001,27.059999,27.09,9800,26.504394
2016-04-28,27.09,27.129999,27.059999,27.129999,19600,26.543528
2016-04-29,27.129999,27.15,27.059999,27.15,5700,26.563097
2016-05-02,27.01,27.07,26.99,27.0,16000,26.483646
2016-05-03,27.049999,27.1,27.049999,27.1,10200,26.64984
2016-05-04,27.1,27.120001,27.08,27.110001,10500,26.659674
2016-05-05,27.1,27.129999,27.08,27.129999,193000,26.67934
2016-05-06,27.040001,27.190001,27.040001,27.120001,31900,26.669508
2016-05-09,27.129999,27.219999,27.09,27.190001,25700,26.738345
2016-05-10,27.120001,27.200001,27.1,27.18,20100,26.728511
2016-05-11,27.129999,27.15,27.09,27.139999,15900,26.689174
2016-05-12,27.139999,27.18,27.059999,27.120001,4000,26.669508
2016-05-13,27.120001,27.139999,27.120001,27.139999,8100,26.689174
2016-05-16,27.15,27.17,27.1,27.110001,12100,26.659674
2016-05-17,27.209999,27.209999,27.049999,27.139999,23400,26.689174
2016-05-18,27.1,27.1,26.99,27.0,11100,26.5515
2016-05-19,27.02,27.110001,27.0,27.049999,108700,26.600669
2016-05-20,27.01,27.1,27.01,27.08,16100,26.630171
2016-05-23,27.08,27.110001,27.030001,27.09,17300,26.640005
2016-05-24,27.059999,27.110001,27.0,27.059999,16700,26.610503
2016-05-25,27.08,27.110001,27.01,27.059999,12200,26.610503
2016-05-26,27.129999,27.129999,27.059999,27.110001,26500,26.659674
2016-05-27,27.1,27.139999,27.040001,27.110001,18000,26.659674
2016-05-31,27.08,27.139999,27.059999,27.1,16900,26.64984
2016-06-01,27.030001,27.07,26.98,27.02,9800,26.637024
2016-06-02,27.139999,27.139999,27.030001,27.09,17000,26.706032
2016-06-03,27.120001,27.190001,27.120001,27.16,130800,26.775039
2016-06-06,27.129999,27.17,27.030001,27.059999,179800,26.676456
2016-06-07,27.16,27.16,27.040001,27.09,13000,26.706032
2016-06-08,27.08,27.139999,27.030001,27.049999,12900,26.666598
2016-06-09,27.129999,27.139999,27.049999,27.110001,21000,26.725749
2016-06-10,27.08,27.190001,27.08,27.139999,18400,26.755322
2016-06-13,27.139999,27.139999,27.08,27.09,4700,26.706032
2016-06-14,27.200001,27.209999,27.08,27.15,65100,26.765181
2016-06-15,27.1,27.16,27.07,27.15,47400,26.765181
2016-06-16,27.129999,27.16,27.1,27.139999,13400,26.755322
2016-06-17,27.1,27.16,27.07,27.139999,12900,26.755322
2016-06-20,27.139999,27.15,27.01,27.030001,39700,26.646883
2016-06-21,27.129999,27.16,27.08,27.110001,7000,26.725749
2016-06-22,27.030001,27.09,27.01,27.059999,58200,26.676456
2016-06-23,27.0,27.049999,26.950001,26.99,84300,26.607449
2016-06-24,27.040001,27.110001,26.969999,27.040001,17900,26.656741
2016-06-27,27.07,27.15,27.02,27.15,30500,26.765181
2016-06-28,27.17,27.24,27.139999,27.18,47000,26.794756
2016-06-29,27.23,27.23,27.15,27.16,29400,26.775039
2016-06-30,27.16,27.25,27.139999,27.24,18300,26.853905
2016-07-01,27.15,27.209999,27.110001,27.15,9600,26.830187
2016-07-05,27.360001,27.360001,27.16,27.190001,21500,26.869716
2016-07-06,26.93,27.219999,26.93,27.139999,193700,26.820304
2016-07-07,27.24,27.24,27.120001,27.16,3500,26.840069
2016-07-08,27.129999,27.219999,27.120001,27.219999,4600,26.899362
2016-07-11,27.219999,27.219999,27.1,27.200001,5400,26.879599
2016-07-12,27.16,27.200001,27.01,27.09,89000,26.770894
2016-07-13,27.1,27.209999,27.1,27.139999,90200,26.820304
2016-07-14,27.190001,27.190001,27.09,27.139999,20400,26.820304
2016-07-15,27.09,27.139999,27.030001,27.139999,13900,26.820304
2016-07-18,27.040001,27.18,27.040001,27.1,14100,26.780776
2016-07-19,27.120001,27.190001,27.120001,27.16,10400,26.840069
2016-07-20,27.17,27.17,27.059999,27.07,35700,26.751129
2016-07-21,27.16,27.16,27.02,27.059999,49500,26.741247
2016-07-22,27.030001,27.15,27.030001,27.059999,14300,26.741247
2016-07-25,27.07,27.16,27.07,27.16,9500,26.840069
2016-07-26,27.049999,27.15,27.049999,27.139999,11200,26.820304
2016-07-27,27.07,27.200001,27.07,27.17,22900,26.849951
