Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,49.990002,50.0,49.849998,49.860001,400,49.555005
2016-01-05,49.98,49.98,49.98,49.98,300,49.67427
2016-01-06,49.990002,49.990002,49.990002,49.990002,100,49.684211
2016-01-07,49.973999,50.0,49.973999,49.98,1300,49.67427
2016-01-08,49.98,49.98,49.98,49.98,0,49.67427
2016-01-11,49.959999,49.98,49.959999,49.98,7200,49.67427
2016-01-12,49.98,49.98,49.98,49.98,0,49.67427
2016-01-13,49.970001,50.019001,49.93,49.990002,15400,49.684211
2016-01-14,49.990002,49.990002,49.990002,49.990002,0,49.684211
2016-01-15,49.995998,49.995998,49.995998,49.995998,100,49.690171
2016-01-19,49.995998,49.995998,49.995998,49.995998,0,49.690171
2016-01-20,49.959999,49.970001,49.959999,49.970001,1500,49.664332
2016-01-21,49.970001,49.970001,49.970001,49.970001,0,49.664332
2016-01-22,49.970001,49.970001,49.970001,49.970001,0,49.664332
2016-01-25,49.970001,49.970001,49.970001,49.970001,0,49.664332
2016-01-26,49.970001,49.970001,49.970001,49.970001,0,49.664332
2016-01-27,49.970001,49.970001,49.970001,49.970001,0,49.664332
2016-01-28,49.970001,49.970001,49.970001,49.970001,0,49.664332
2016-01-29,50.060001,50.060001,50.060001,50.060001,100,49.753782
2016-02-01,50.060001,50.060001,50.060001,50.060001,0,49.784611
2016-02-02,50.060001,50.060001,50.060001,50.060001,0,49.784611
2016-02-03,50.060001,50.060001,50.060001,50.060001,0,49.784611
2016-02-04,50.060001,50.060001,50.060001,50.060001,0,49.784611
2016-02-05,50.130001,50.130001,50.130001,50.130001,68500,49.854225
2016-02-08,50.139999,50.16,50.139999,50.146,2100,49.870136
2016-02-09,50.150002,50.150002,50.150002,50.150002,200,49.874116
2016-02-10,50.148998,50.150002,50.139,50.141998,8500,49.866157
2016-02-11,50.150002,50.150002,50.150002,50.150002,100,49.874116
2016-02-12,50.150002,50.150002,50.150002,50.150002,0,49.874116
2016-02-16,50.189999,50.200001,50.189999,50.200001,800,49.92384
2016-02-17,50.209999,50.209999,50.209999,50.209999,200,49.933783
