Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,47.34,48.18,47.009998,47.029999,20000,47.029999
2016-01-05,46.630001,47.490002,46.630001,46.98,12400,46.98
2016-01-06,48.43,49.540001,48.029999,48.959999,21700,48.959999
2016-01-07,51.580002,52.77,50.509998,52.610001,36300,52.610001
2016-01-08,52.150002,54.830002,51.720001,54.790001,14100,54.790001
2016-01-11,53.959999,56.740002,53.830002,55.349998,55700,55.349998
2016-01-12,53.860001,56.75,53.57,54.580002,22100,54.580002
2016-01-13,54.009998,59.169998,53.689999,59.009998,27300,59.009998
2016-01-14,58.439999,60.490002,55.860001,56.959999,24400,56.959999
2016-01-15,60.82,62.619999,59.380001,59.380001,55700,59.380001
2016-01-19,57.75,61.290001,57.400002,60.349998,69600,60.349998
2016-01-20,62.990002,67.18,59.740002,61.509998,83100,61.509998
2016-01-21,61.389999,62.32,58.43,61.049999,52000,61.049999
2016-01-22,58.439999,58.669998,56.639999,56.650002,74200,56.650002
2016-01-25,57.400002,60.279999,57.400002,60.169998,19300,60.169998
2016-01-26,59.459999,59.459999,56.09,56.09,20000,56.09
2016-01-27,56.799999,58.0,55.369999,57.810001,20300,57.810001
2016-01-28,56.189999,58.75,56.189999,57.869999,10300,57.869999
2016-01-29,57.110001,57.110001,52.09,52.200001,36300,52.200001
2016-02-01,53.360001,53.830002,51.529999,52.240002,57900,52.240002
2016-02-02,53.98,55.91,53.869999,55.599998,24900,55.599998
2016-02-03,54.369999,58.09,54.130001,54.48,73400,54.48
2016-02-04,54.84,54.84,52.169998,53.259998,34400,53.259998
2016-02-05,53.77,56.75,53.77,56.619999,26500,56.619999
2016-02-08,58.900002,61.810001,58.07,59.630001,29500,59.630001
2016-02-09,61.68,61.860001,58.82,60.130001,21500,60.130001
2016-02-10,59.060001,59.740002,56.68,59.740002,19600,59.740002
2016-02-11,62.299999,63.16,61.029999,62.18,32100,62.18
2016-02-12,60.330002,60.970001,58.5,58.869999,8400,58.869999
