Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,100.639999,100.720001,100.639999,100.709999,467000,99.358802
2016-01-05,100.699997,100.709999,100.68,100.709999,466500,99.358802
2016-01-06,100.699997,100.730003,100.699997,100.720001,567200,99.36867
2016-01-07,100.699997,100.720001,100.68,100.709999,316500,99.358802
2016-01-08,100.68,100.720001,100.639999,100.699997,306900,99.348935
2016-01-11,100.690002,100.730003,100.660004,100.730003,307400,99.378538
2016-01-12,100.699997,100.760002,100.68,100.709999,271300,99.358802
2016-01-13,100.690002,100.739998,100.690002,100.730003,455100,99.378538
2016-01-14,100.709999,100.75,100.669998,100.699997,459300,99.348935
2016-01-15,100.730003,100.769997,100.709999,100.730003,500700,99.378538
2016-01-19,100.699997,100.760002,100.68,100.720001,652400,99.36867
2016-01-20,100.739998,100.739998,100.699997,100.720001,488600,99.36867
2016-01-21,100.709999,100.720001,100.660004,100.660004,573700,99.309478
2016-01-22,100.68,100.75,100.68,100.699997,3287600,99.348935
2016-01-25,100.739998,100.760002,100.68,100.699997,456700,99.348935
2016-01-26,100.769997,100.769997,100.690002,100.730003,399000,99.378538
2016-01-27,100.75,100.75,100.68,100.730003,360800,99.378538
2016-01-28,100.720001,100.75,100.699997,100.720001,240300,99.36867
2016-01-29,100.739998,100.760002,100.699997,100.709999,500500,99.358802
2016-02-01,100.650002,100.650002,100.610001,100.629997,301500,99.372627
2016-02-02,100.629997,100.660004,100.629997,100.660004,587800,99.402259
2016-02-03,100.639999,100.669998,100.580002,100.669998,313000,99.412128
2016-02-04,100.639999,100.650002,100.610001,100.629997,371100,99.372627
2016-02-05,100.620003,100.639999,100.580002,100.620003,373900,99.362758
2016-02-08,100.610001,100.639999,100.559998,100.610001,395300,99.352881
2016-02-09,100.589996,100.620003,100.57,100.610001,1283100,99.352881
2016-02-10,100.57,100.599998,100.559998,100.580002,199900,99.323257
2016-02-11,100.599998,100.610001,100.57,100.599998,265200,99.343003
2016-02-12,100.550003,100.589996,100.529999,100.57,726500,99.313379
2016-02-16,100.550003,100.589996,100.550003,100.57,483900,99.313379
2016-02-17,100.589996,100.589996,100.519997,100.550003,468300,99.293633
2016-02-18,100.519997,100.610001,100.519997,100.610001,368600,99.352881
2016-02-19,100.559998,100.620003,100.550003,100.559998,174400,99.303502
2016-02-22,100.559998,100.599998,100.559998,100.580002,352200,99.323257
2016-02-23,100.589996,100.599998,100.559998,100.580002,396900,99.323257
2016-02-24,100.589996,100.589996,100.529999,100.550003,267000,99.293633
2016-02-25,100.57,100.57,100.529999,100.540001,1988200,99.283755
2016-02-26,100.550003,100.57,100.489998,100.519997,2043400,99.264001
2016-02-29,100.540001,100.580002,100.489998,100.580002,2125600,99.323257
2016-03-01,100.5,100.5,100.419998,100.449997,806600,99.293594
2016-03-02,100.419998,100.480003,100.389999,100.480003,1605200,99.323255
2016-03-03,100.459999,100.519997,100.449997,100.510002,437300,99.352909
2016-03-04,100.480003,100.519997,100.470001,100.519997,454200,99.362788
2016-03-07,100.510002,100.550003,100.470001,100.5,476900,99.343022
2016-03-08,100.580002,100.580002,100.519997,100.540001,517400,99.382562
2016-03-09,100.540001,100.559998,100.510002,100.510002,674100,99.352909
2016-03-10,100.559998,100.559998,100.510002,100.540001,267200,99.382562
2016-03-11,100.519997,100.57,100.510002,100.559998,659100,99.402329
2016-03-14,100.540001,100.589996,100.540001,100.559998,261800,99.402329
2016-03-15,100.559998,100.599998,100.559998,100.57,597100,99.412216
2016-03-16,100.57,100.650002,100.57,100.629997,249300,99.471523
2016-03-17,100.639999,100.68,100.629997,100.660004,789900,99.501184
2016-03-18,100.660004,100.690002,100.650002,100.669998,401600,99.511063
2016-03-21,100.629997,100.709999,100.629997,100.690002,220100,99.530837
2016-03-22,100.660004,100.709999,100.660004,100.699997,311600,99.540716
2016-03-23,100.660004,100.75,100.660004,100.709999,330100,99.550603
2016-03-24,100.669998,100.760002,100.669998,100.739998,357500,99.580257
2016-03-28,100.760002,100.760002,100.720001,100.760002,746300,99.600031
2016-03-29,100.75,100.790001,100.75,100.769997,377900,99.60991
2016-03-30,100.760002,100.82,100.739998,100.800003,495200,99.639571
2016-03-31,100.779999,100.830002,100.779999,100.779999,605900,99.619797
2016-04-01,100.730003,100.739998,100.699997,100.730003,282700,99.676209
2016-04-04,100.709999,100.75,100.709999,100.739998,313900,99.686099
2016-04-05,100.75,100.769997,100.730003,100.769997,440600,99.715784
2016-04-06,100.779999,100.800003,100.739998,100.790001,560300,99.735579
2016-04-07,100.809998,100.82,100.779999,100.779999,148700,99.725682
2016-04-08,100.769997,100.809998,100.769997,100.790001,387300,99.735579
2016-04-11,100.790001,100.82,100.790001,100.800003,288600,99.745477
2016-04-12,100.82,100.839996,100.809998,100.839996,547400,99.785052
2016-04-13,100.830002,100.860001,100.82,100.860001,304300,99.804847
2016-04-14,100.870003,100.870003,100.82,100.860001,360600,99.804847
2016-04-15,100.849998,100.889999,100.839996,100.870003,172900,99.814744
2016-04-18,100.849998,100.889999,100.839996,100.889999,236300,99.834532
2016-04-19,100.889999,100.910004,100.879997,100.889999,620700,99.834532
2016-04-20,100.889999,100.93,100.879997,100.900002,316700,99.844429
2016-04-21,100.980003,100.989998,100.940002,100.959999,566600,99.903799
2016-04-22,100.949997,101.0,100.940002,100.940002,834000,99.884012
2016-04-25,100.980003,101.0,100.980003,100.989998,272300,99.933484
2016-04-26,100.980003,101.0,100.970001,100.970001,166700,99.913697
2016-04-27,101.019997,101.019997,100.980003,101.0,146800,99.943382
2016-04-28,101.019997,101.059998,100.980003,101.040001,394800,99.982964
2016-04-29,101.010002,101.059998,101.010002,101.019997,345800,99.963169
2016-05-02,100.959999,100.970001,100.93,100.93,330500,99.984963
2016-05-03,100.989998,100.989998,100.93,100.940002,399500,99.994872
2016-05-04,100.970001,100.989998,100.949997,100.959999,465800,100.014681
2016-05-05,100.949997,100.989998,100.949997,100.959999,208600,100.014681
2016-05-06,100.980003,101.019997,100.970001,100.980003,176900,100.034498
2016-05-09,100.989998,101.040001,100.989998,101.029999,229900,100.084025
2016-05-10,100.980003,101.040001,100.980003,101.029999,270000,100.084025
2016-05-11,101.040001,101.050003,101.010002,101.029999,190000,100.084025
2016-05-12,101.040001,101.050003,101.019997,101.050003,930300,100.103842
2016-05-13,101.029999,101.07,101.029999,101.050003,382300,100.103842
2016-05-16,101.050003,101.080002,101.040001,101.059998,515100,100.113743
2016-05-17,101.040001,101.059998,101.029999,101.059998,357400,100.113743
2016-05-18,101.07,101.07,101.029999,101.029999,322500,100.084025
2016-05-19,101.050003,101.080002,101.040001,101.07,150100,100.123652
2016-05-20,101.07,101.099998,101.040001,101.099998,269600,100.15337
2016-05-23,101.089996,101.120003,101.059998,101.110001,156100,100.163278
2016-05-24,101.120003,101.129997,101.089996,101.089996,504200,100.143461
2016-05-25,101.089996,101.139999,101.089996,101.139999,294300,100.192996
2016-05-26,101.160004,101.160004,101.110001,101.110001,277200,100.163278
2016-05-27,101.120003,101.150002,101.099998,101.110001,258500,100.163278
2016-05-31,101.099998,101.129997,101.099998,101.129997,165000,100.183087
2016-06-01,101.089996,101.089996,101.040001,101.050003,228700,100.212847
2016-06-02,101.019997,101.059998,101.019997,101.029999,170500,100.193009
2016-06-03,101.080002,101.120003,101.059998,101.120003,305700,100.282267
2016-06-06,101.059998,101.089996,101.050003,101.07,322500,100.232678
2016-06-07,101.059998,101.110001,101.040001,101.089996,208500,100.252509
2016-06-08,101.080002,101.099998,101.050003,101.089996,377100,100.252509
2016-06-09,101.059998,101.099998,101.059998,101.089996,200000,100.252509
