Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,26.07,26.530001,25.65,26.459999,529400,24.192567
2016-01-05,26.32,26.559999,25.860001,26.379999,466100,24.119423
2016-01-06,25.59,26.26,24.59,24.940001,640000,22.802821
2016-01-07,24.139999,24.780001,23.530001,23.530001,585200,21.513649
2016-01-08,23.629999,24.43,23.6,23.91,470000,21.861084
2016-01-11,23.25,23.52,21.85,22.190001,1113700,20.718266
2016-01-12,22.6,23.309999,20.84,22.17,849900,20.699592
2016-01-13,22.52,22.67,20.43,20.84,709600,19.457803
2016-01-14,21.01,22.200001,20.709999,22.120001,646700,20.652909
2016-01-15,20.889999,21.59,20.370001,20.940001,689300,19.551171
2016-01-19,21.33,21.629999,19.23,19.719999,1258400,18.412085
2016-01-20,19.18,19.48,17.639999,18.370001,1745300,17.151625
2016-01-21,18.379999,19.719999,18.200001,19.4,1262000,18.11331
2016-01-22,20.32,21.49,20.01,21.129999,1175500,19.728568
2016-01-25,20.809999,22.09,20.450001,20.530001,1950000,19.168364
2016-01-26,20.93,21.42,20.110001,21.290001,1940900,19.877958
2016-01-27,21.07,21.43,20.35,21.040001,976700,19.644539
2016-01-28,22.1,23.1,21.219999,22.0,1215000,20.540867
2016-01-29,22.41,22.77,22.0,22.280001,1232200,20.802297
2016-02-01,21.799999,23.559999,21.16,21.889999,1455900,20.438162
2016-02-02,21.4,21.74,21.01,21.49,968100,20.064692
2016-02-03,21.950001,21.950001,20.5,21.43,807100,20.008672
2016-02-04,21.76,22.09,21.23,21.889999,844100,20.438162
2016-02-05,21.6,22.09,21.040001,21.290001,504200,19.877958
2016-02-08,20.66,20.950001,19.219999,19.34,1132300,18.057289
2016-02-09,18.950001,19.35,17.969999,18.52,1387600,17.291676
2016-02-10,18.620001,19.1,18.049999,18.67,982900,17.431727
2016-02-11,18.209999,18.809999,17.25,17.73,693300,16.554071
2016-02-12,17.870001,18.959999,17.870001,18.85,635000,17.599789
2016-02-16,19.07,20.15,18.200001,20.01,462000,18.682852
2016-02-17,20.49,21.65,20.25,21.07,531000,19.672548
