Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,65.529999,65.910004,64.559998,65.910004,84900,65.666167
2016-01-05,66.169998,66.309998,65.290001,65.949997,43100,65.706012
2016-01-06,64.239998,64.970001,63.459999,64.029999,80900,63.793117
2016-01-07,61.919998,62.759998,60.709999,60.810001,76300,60.585032
2016-01-08,61.369999,61.580002,59.09,59.150002,130300,58.931174
2016-01-11,59.639999,59.939999,57.810001,58.759998,61900,58.542613
2016-01-12,59.759998,60.110001,57.669998,59.290001,30000,59.070655
2016-01-13,59.68,59.880001,55.77,56.09,78900,55.882493
2016-01-14,56.52,58.0,55.240002,57.419998,62800,57.207571
2016-01-15,54.57,55.830002,53.66,55.75,165300,55.543751
2016-01-19,56.75,56.799999,54.360001,55.119999,41500,54.91608
2016-01-20,53.650002,55.459999,50.98,54.41,181400,54.208708
2016-01-21,54.259998,56.09,53.889999,54.57,35100,54.368116
2016-01-22,56.200001,57.349998,56.130001,57.27,27900,57.058128
2016-01-25,56.720001,56.759998,54.77,54.939999,39100,54.736746
2016-01-26,55.310001,57.41,55.310001,57.41,26000,57.197609
2016-01-27,56.869999,57.830002,55.700001,56.209999,33000,56.002048
2016-01-28,57.400002,57.400002,55.709999,56.259998,38400,56.051862
2016-01-29,56.75,59.93,56.75,59.93,40200,59.708287
2016-02-01,58.93,60.25,58.580002,59.759998,64600,59.538914
2016-02-02,58.57,58.57,56.900002,57.209999,36800,56.998348
2016-02-03,58.060001,58.169998,55.459999,57.939999,53600,57.725647
2016-02-04,57.650002,59.57,57.650002,58.82,44600,58.602393
2016-02-05,58.400002,58.400002,56.299999,56.349998,42200,56.141529
2016-02-08,55.16,55.189999,52.860001,54.32,37300,54.119041
2016-02-09,53.130001,54.830002,53.130001,54.080002,46700,53.879931
2016-02-10,54.639999,56.139999,54.349998,54.380001,34700,54.17882
2016-02-11,52.799999,53.48,51.990002,52.880001,52400,52.684369
2016-02-12,53.790001,54.880001,53.389999,54.740002,42500,54.537489
2016-02-16,56.07,57.169998,55.459999,57.139999,18900,56.928608
2016-02-17,57.919998,59.310001,57.919998,58.919998,35400,58.702021
2016-02-18,58.93,58.98,58.380001,58.720001,24200,58.502764
2016-02-19,58.119999,58.689999,57.490002,58.68,15000,58.462911
2016-02-22,59.759998,60.639999,59.709999,60.200001,22800,59.977288
2016-02-23,59.75,60.09,59.07,59.18,20800,58.961061
2016-02-24,58.0,60.02,57.599998,59.950001,25900,59.728213
2016-02-25,60.580002,61.290001,59.91,61.279999,26800,61.053291
2016-02-26,62.0,62.220001,61.43,61.900002,30300,61.671
2016-02-29,61.889999,62.59,61.259998,61.279999,20500,61.053291
2016-03-01,62.16,63.84,61.759998,63.82,21400,63.583895
2016-03-02,63.82,65.160004,63.509998,65.160004,46300,64.918942
2016-03-03,64.889999,66.580002,64.879997,66.580002,340600,66.333686
2016-03-04,66.690002,67.830002,66.349998,67.459999,26500,67.210428
2016-03-07,66.769997,68.169998,66.769997,68.150002,175300,67.897878
2016-03-08,67.419998,67.419998,65.459999,65.529999,30800,65.287568
2016-03-09,66.050003,66.169998,65.389999,66.0,14200,65.75583
2016-03-10,66.5,66.82,64.370003,65.709999,101600,65.466902
2016-03-11,66.779999,68.239998,66.760002,68.169998,59900,67.9178
2016-03-14,67.870003,67.970001,67.260002,67.68,41500,67.429615
2016-03-15,66.900002,67.050003,66.349998,66.760002,26600,66.513021
2016-03-16,66.519997,68.379997,66.519997,68.230003,374600,67.977584
2016-03-17,68.080002,69.910004,67.660004,69.610001,25400,69.352476
2016-03-18,69.68,70.699997,69.629997,70.330002,46900,70.069813
2016-03-21,70.300003,70.629997,70.0,70.43,13300,70.169442
2016-03-22,69.650002,70.830002,69.440002,70.43,27200,70.169442
2016-03-23,70.0,70.0,68.57,68.57,48100,68.316322
2016-03-24,67.720001,68.720001,67.349998,68.699997,50200,68.445838
2016-03-28,69.040001,69.410004,68.300003,69.199997,21400,68.943989
2016-03-29,68.779999,71.769997,68.68,71.769997,41800,71.504481
2016-03-30,72.559998,72.559998,71.419998,71.739998,48800,71.474593
2016-03-31,71.779999,72.330002,71.650002,71.82,57000,71.554299
2016-04-01,70.809998,72.550003,70.5,72.550003,57900,72.281601
2016-04-04,72.43,72.43,71.019997,71.169998,41700,70.906702
2016-04-05,70.129997,70.400002,69.540001,69.589996,11000,69.332545
2016-04-06,69.599998,71.059998,69.589996,71.040001,23900,70.777186
2016-04-07,70.0,70.260002,68.599998,69.080002,10600,68.824438
2016-04-08,70.110001,70.860001,69.699997,69.980003,48300,69.721109
2016-04-11,70.510002,71.550003,69.82,69.82,17600,69.561698
2016-04-12,70.0,71.5,69.709999,71.269997,11400,71.00633
2016-04-13,72.029999,73.75,72.029999,73.669998,36700,73.397453
2016-04-14,73.699997,73.699997,73.139999,73.139999,17400,72.869415
2016-04-15,73.059998,73.839996,73.040001,73.839996,7400,73.566822
2016-04-18,72.989998,74.43,72.870003,74.330002,89500,74.055015
2016-04-19,74.879997,75.589996,74.389999,74.910004,113500,74.632871
2016-04-20,75.019997,75.720001,74.410004,75.07,9600,74.792275
2016-04-21,74.919998,75.190002,73.610001,73.82,29900,73.5469
2016-04-22,73.959999,75.110001,73.959999,75.0,9900,74.722534
2016-04-25,74.57,74.739998,73.650002,74.160004,36400,73.885646
2016-04-26,74.639999,75.510002,74.330002,75.419998,9700,75.140979
2016-04-27,75.540001,76.230003,75.099998,76.120003,16300,75.838394
2016-04-28,75.18,75.989998,73.989998,74.220001,35700,73.945421
2016-04-29,73.489998,73.980003,72.360001,73.389999,63200,73.11849
2016-05-02,73.82,74.650002,73.220001,74.650002,62700,74.373831
2016-05-03,73.160004,73.190002,71.809998,72.629997,41200,72.3613
2016-05-04,71.919998,73.07,71.589996,71.970001,39800,71.703745
2016-05-05,72.220001,72.889999,71.690002,71.839996,19200,71.574221
2016-05-06,71.339996,72.5,71.050003,72.32,15900,72.052449
