Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,28.0,28.0,25.062,25.062,5000,25.062
2016-01-05,25.6,25.6,25.549999,25.549999,2300,25.549999
2016-01-06,25.01,25.01,23.99,23.99,3100,23.99
2016-01-07,22.15,22.15,20.860001,20.860001,600,20.860001
2016-01-08,21.049999,21.049999,19.809999,19.855,3600,19.855
2016-01-11,20.290001,20.290001,19.534,19.700001,1000,19.700001
2016-01-12,20.250999,20.250999,17.860001,17.860001,800,17.860001
2016-01-13,20.9,21.128,19.030001,19.26,3800,19.26
2016-01-14,19.26,19.26,19.26,19.26,0,19.26
2016-01-15,18.27,18.57,16.790001,17.99,1500,17.99
2016-01-19,18.1,18.1,17.562,17.562,1000,17.562
2016-01-20,15.99,16.08,15.186,16.08,1400,16.08
2016-01-21,16.601999,17.879999,16.601999,17.412001,500,17.412001
2016-01-22,18.98,18.98,18.799999,18.839001,700,18.839001
2016-01-25,17.299999,17.549999,17.299999,17.549999,300,17.549999
2016-01-26,17.549999,17.549999,17.549999,17.549999,0,17.549999
2016-01-27,19.006001,19.006001,18.690001,18.719999,2700,18.719999
2016-01-28,18.51,18.51,18.306999,18.370001,700,18.370001
2016-01-29,18.629999,19.326,18.629999,19.326,400,19.326
2016-02-01,19.326,19.326,19.326,19.326,0,19.326
2016-02-02,19.326,19.326,19.326,19.326,0,19.326
2016-02-03,19.326,19.326,19.326,19.326,0,19.326
2016-02-04,17.16,18.370001,17.16,18.370001,70700,18.370001
2016-02-05,17.16,17.16,16.691999,16.691999,700,16.691999
2016-02-08,15.01,15.01,15.01,15.01,600,15.01
2016-02-09,15.01,15.01,15.01,15.01,0,15.01
2016-02-10,15.01,15.01,15.01,15.01,0,15.01
2016-02-11,14.19,14.19,14.19,14.19,200,14.19
2016-02-12,15.21,15.21,15.21,15.21,600,15.21
2016-02-16,15.75,15.75,15.75,15.75,100,15.75
2016-02-17,17.316,17.316,16.9,16.9,400,16.9
2016-02-18,16.9,16.9,16.9,16.9,100,16.9
2016-02-19,16.9,16.9,16.9,16.9,0,16.9
2016-02-22,16.9,16.9,16.9,16.9,0,16.9
2016-02-23,16.9,16.9,16.9,16.9,0,16.9
2016-02-24,16.731001,17.57,16.731001,17.57,700,17.57
2016-02-25,17.57,17.57,17.57,17.57,0,17.57
2016-02-26,17.57,17.57,17.57,17.57,0,17.57
2016-02-29,17.57,17.57,17.57,17.57,0,17.57
2016-03-01,17.57,17.57,17.57,17.57,100,17.57
2016-03-02,21.200001,21.49,21.200001,21.49,300,21.49
2016-03-03,21.98,22.695,21.98,22.695,800,22.695
2016-03-04,21.969999,21.969999,21.709999,21.709999,400,21.709999
2016-03-07,21.709999,21.709999,21.709999,21.709999,0,21.709999
2016-03-08,21.709999,21.709999,21.709999,21.709999,0,21.709999
2016-03-09,21.634001,21.634001,21.634001,21.634001,200,21.634001
2016-03-10,21.634001,21.634001,21.634001,21.634001,0,21.634001
2016-03-11,23.252001,23.252001,22.809999,22.809999,2000,22.809999
2016-03-14,22.809999,22.809999,22.809999,22.809999,0,22.809999
2016-03-15,22.495001,22.495001,22.495001,22.495001,300,22.495001
2016-03-16,23.059999,23.059999,22.441999,22.441999,600,22.441999
2016-03-17,23.52,24.83,23.52,24.83,1200,24.83
2016-03-18,25.99,26.030001,25.700001,25.700001,1400,25.700001
2016-03-21,25.6,25.6,24.9,24.9,400,24.9
2016-03-22,24.49,24.49,24.49,24.49,300,24.49
2016-03-23,24.0,24.110001,24.0,24.110001,1000,24.110001
2016-03-24,23.73,23.73,23.73,23.73,400,23.73
2016-03-28,23.469999,24.370001,23.469999,24.370001,1000,24.370001
2016-03-29,24.370001,24.370001,24.370001,24.370001,0,24.370001
2016-03-30,24.370001,24.370001,24.370001,24.370001,0,24.370001
2016-03-31,25.93,25.93,25.93,25.93,400,25.93
2016-04-01,25.559999,26.434,25.559999,26.434,600,26.434
2016-04-04,26.549999,26.549999,25.879999,25.879999,5000,25.879999
2016-04-05,25.405001,25.405001,25.405001,25.405001,400,25.405001
2016-04-06,26.52,26.65,26.51,26.65,400,26.65
2016-04-07,26.629999,26.629999,26.34,26.5,2400,26.5
2016-04-08,26.77,26.77,26.43,26.43,900,26.43
2016-04-11,27.09,27.09,26.530001,26.530001,1000,26.530001
2016-04-12,26.530001,26.77,26.530001,26.743999,1500,26.743999
2016-04-13,27.690001,27.690001,27.569,27.569,1200,27.569
2016-04-14,28.441,28.441,28.02,28.129999,4000,28.129999
2016-04-15,28.129999,28.129999,28.129999,28.129999,0,28.129999
2016-04-18,27.971001,27.971001,27.971001,27.971001,100,27.971001
2016-04-19,27.969999,27.969999,27.969999,27.969999,300,27.969999
2016-04-20,28.77,29.190001,28.719999,29.139999,1000,29.139999
2016-04-21,29.0,29.0,27.950001,27.950001,3400,27.950001
2016-04-22,27.525999,27.641001,27.33,27.641001,1000,27.641001
2016-04-25,27.4,27.4,27.4,27.4,200,27.4
2016-04-26,27.874001,27.874001,27.874001,27.874001,100,27.874001
2016-04-27,27.874001,27.874001,27.874001,27.874001,0,27.874001
2016-04-28,25.5,25.5,24.969999,25.289,2500,25.289
2016-04-29,24.302,24.35,23.940001,24.35,1500,24.35
2016-05-02,24.299999,24.299999,24.299999,24.299999,200,24.299999
2016-05-03,23.950001,24.5,23.854,23.854,1900,23.854
2016-05-04,23.610001,24.1,23.440001,24.1,700,24.1
2016-05-05,23.43,23.43,23.43,23.43,400,23.43
2016-05-06,24.0,24.0,23.950001,23.950001,300,23.950001
2016-05-09,23.950001,23.950001,23.950001,23.950001,0,23.950001
2016-05-10,23.950001,23.950001,23.950001,23.950001,0,23.950001
2016-05-11,24.92,24.940001,24.09,24.1,1300,24.1
2016-05-12,24.1,24.1,24.1,24.1,0,24.1
2016-05-13,22.83,23.940001,22.83,23.4,1800,23.4
