Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,40.700001,40.700001,40.130001,40.240002,26800,40.240002
2016-01-05,39.650002,39.77,39.16,39.16,16500,39.16
2016-01-06,38.830002,38.900002,38.02,38.02,22300,38.02
2016-01-07,37.560001,38.299999,37.52,38.220001,14300,38.220001
2016-01-08,38.299999,38.73,38.27,38.509998,14300,38.509998
2016-01-11,37.75,37.75,37.0,37.009998,9900,37.009998
2016-01-12,36.68,36.790001,36.650002,36.650002,7500,36.650002
2016-01-13,37.080002,37.099998,36.75,36.84,11100,36.84
2016-01-14,36.75,36.799999,36.389999,36.389999,11600,36.389999
2016-01-15,37.029999,37.380001,37.029999,37.240002,7700,37.240002
2016-01-19,37.619999,37.619999,37.259998,37.450001,5600,37.450001
2016-01-20,36.43,36.439999,35.66,35.98,103700,35.98
2016-01-21,35.549999,36.599998,35.27,36.549999,44700,36.549999
2016-01-22,36.990002,37.18,36.68,36.82,22000,36.82
2016-01-25,36.52,36.529999,36.029999,36.080002,4100,36.080002
2016-01-26,36.080002,36.439999,36.080002,36.099998,5400,36.099998
2016-01-27,35.549999,35.580002,35.099998,35.23,12000,35.23
2016-01-28,35.950001,35.950001,35.5,35.5,4100,35.5
2016-01-29,35.82,35.830002,35.200001,35.200001,7700,35.200001
2016-02-01,35.630001,36.779999,35.630001,36.529999,55200,36.529999
2016-02-02,36.189999,36.189999,35.200001,35.34,8900,35.34
2016-02-03,35.349998,36.470001,35.279999,36.16,10500,36.16
2016-02-04,36.139999,36.139999,35.290001,35.349998,10700,35.349998
2016-02-05,35.529999,36.0,35.529999,35.720001,7200,35.720001
2016-02-08,36.0,36.639999,35.959999,36.400002,21900,36.400002
2016-02-09,35.830002,36.529999,35.669998,36.080002,13400,36.080002
2016-02-10,36.240002,36.57,36.0,36.02,8500,36.02
2016-02-11,35.869999,35.959999,35.580002,35.599998,3900,35.599998
2016-02-12,36.099998,36.549999,36.080002,36.549999,7000,36.549999
2016-02-16,36.299999,36.299999,35.779999,35.98,6100,35.98
2016-02-17,35.790001,36.889999,35.790001,36.299999,13800,36.299999
2016-02-18,37.040001,37.16,36.639999,36.639999,11400,36.639999
2016-02-19,36.66,36.720001,36.009998,36.02,16500,36.02
2016-02-22,36.700001,36.889999,36.599998,36.68,8300,36.68
2016-02-23,36.630001,36.919998,36.220001,36.810001,2300,36.810001
2016-02-24,36.630001,37.23,36.630001,37.23,2100,37.23
2016-02-25,37.720001,37.720001,37.200001,37.290001,18100,37.290001
2016-02-26,37.549999,37.549999,36.630001,37.099998,9600,37.099998
2016-02-29,37.459999,37.77,37.209999,37.209999,5100,37.209999
2016-03-01,37.23,37.43,37.209999,37.259998,4900,37.259998
2016-03-02,36.959999,37.560001,36.869999,37.470001,72000,37.470001
2016-03-03,37.369999,37.599998,37.369999,37.599998,2900,37.599998
2016-03-04,38.139999,38.349998,38.0,38.09,17300,38.09
2016-03-07,38.32,38.349998,38.18,38.189999,11100,38.189999
2016-03-08,38.029999,38.029999,37.5,37.75,6500,37.75
2016-03-09,38.490002,38.630001,38.349998,38.389999,8400,38.389999
2016-03-10,38.720001,39.009998,38.68,39.009998,36400,39.009998
2016-03-11,39.18,39.200001,38.91,38.91,18200,38.91
2016-03-14,38.990002,39.360001,38.959999,39.32,4900,39.32
2016-03-15,39.029999,39.150002,38.889999,38.93,2300,38.93
2016-03-16,38.5,38.720001,38.490002,38.700001,5500,38.700001
2016-03-17,39.299999,39.830002,39.07,39.700001,11300,39.700001
2016-03-18,40.0,40.130001,39.779999,39.790001,5100,39.790001
2016-03-21,39.77,39.77,39.099998,39.330002,5400,39.330002
