Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,26.35,26.799999,26.0,26.709999,6371200,26.346481
2016-01-05,26.5,26.74,25.879999,26.25,6516600,25.892742
2016-01-06,25.540001,25.690001,24.91,25.059999,8093500,24.718937
2016-01-07,24.52,24.98,24.24,24.33,8990800,23.998873
2016-01-08,24.559999,24.67,23.67,23.809999,8591700,23.48595
2016-01-11,23.91,23.92,22.969999,23.32,9135600,23.002619
2016-01-12,23.74,23.889999,22.559999,23.25,10577100,22.933572
2016-01-13,23.24,23.77,22.49,22.540001,9905100,22.233235
2016-01-14,22.77,23.49,22.09,23.299999,10841400,22.98289
2016-01-15,22.32,22.639999,21.98,22.459999,8360700,22.154322
2016-01-19,22.66,22.67,21.57,21.879999,9474300,21.582216
2016-01-20,21.389999,21.66,20.459999,21.35,9933900,21.059431
2016-01-21,21.26,22.43,21.08,22.02,8537400,21.720312
2016-01-22,22.99,23.370001,22.08,22.74,11407200,22.430512
2016-01-25,22.26,22.780001,21.559999,21.59,8107500,21.296164
2016-01-26,22.1,22.33,21.57,22.219999,6128700,21.917589
2016-01-27,22.15,22.98,21.93,22.42,9185900,22.114868
2016-01-28,23.59,23.629999,22.85,23.35,8558500,23.032211
2016-01-29,23.540001,24.299999,23.379999,24.280001,7325600,23.949554
2016-02-01,23.719999,23.879999,23.24,23.700001,7630300,23.377448
2016-02-02,23.07,23.07,22.52,22.68,7262100,22.371329
2016-02-03,23.09,23.370001,21.959999,23.33,7331700,23.012483
2016-02-04,23.68,24.639999,23.67,24.040001,10944300,23.712821
2016-02-05,23.799999,24.23,23.43,23.700001,5609600,23.377448
2016-02-08,23.059999,23.469999,22.83,23.370001,8534900,23.051939
2016-02-09,23.059999,23.16,21.950001,22.360001,8861300,22.055685
2016-02-10,22.23,22.85,22.08,22.1,6338200,21.799223
2016-02-11,21.639999,22.120001,21.290001,21.92,7389300,21.621673
2016-02-12,22.389999,22.860001,22.139999,22.52,7869800,22.213507
2016-02-16,22.93,23.02,22.52,22.950001,4760400,22.637655
2016-02-17,23.440001,24.18,23.34,23.92,7302700,23.594453
2016-02-18,24.17,24.26,23.459999,23.74,5859600,23.416902
2016-02-19,23.42,23.639999,23.139999,23.610001,5341200,23.288673
2016-02-22,24.219999,24.57,24.09,24.41,4097000,24.077784
2016-02-23,24.16,24.48,23.450001,23.530001,5372500,23.209761
2016-02-24,22.9,23.48,22.74,23.450001,6787200,23.13085
2016-02-25,23.33,23.459999,22.73,23.41,4480800,23.091394
2016-02-26,23.99,24.51,23.84,24.09,6270700,23.762139
2016-02-29,24.200001,24.610001,23.99,24.08,6255700,23.752275
2016-03-01,24.43,24.790001,24.200001,24.58,7211400,24.24547
2016-03-02,24.389999,25.41,24.200001,25.370001,7870500,25.02472
2016-03-03,25.15,26.459999,25.15,26.389999,7199200,26.030836
2016-03-04,26.629999,27.959999,26.26,27.280001,14383700,26.908725
2016-03-07,27.049999,28.08,26.889999,27.93,9903300,27.549878
2016-03-08,27.66,27.66,26.129999,26.18,9045700,25.823695
2016-03-09,26.559999,26.76,25.809999,26.27,7079300,25.91247
2016-03-10,26.08,26.360001,25.629999,26.24,6024500,25.882878
2016-03-11,26.639999,27.530001,26.639999,27.34,6961400,26.967907
2016-03-14,26.75,27.129999,26.51,26.82,5623200,26.454984
2016-03-15,26.370001,26.57,25.889999,26.57,7769600,26.208387
2016-03-16,26.85,27.0,26.389999,26.92,7993500,26.553624
2016-03-17,27.26,27.940001,27.01,27.67,7021000,27.293416
2016-03-18,27.9,28.01,26.950001,27.16,8500100,26.790357
2016-03-21,26.719999,27.41,26.65,27.370001,8235800,26.9975
2016-03-22,26.92,27.32,26.799999,26.950001,4030800,26.583216
2016-03-23,26.620001,26.870001,26.129999,26.219999,5575700,25.86315
2016-03-24,25.68,26.309999,25.530001,26.280001,5714200,25.922334
2016-03-28,26.280001,26.4,25.92,26.26,4064600,25.902606
