Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,5.0,5.0,4.61,4.68,4100,4.68
2016-01-05,4.68,4.7,4.61,4.66,37400,4.66
2016-01-06,4.65,4.71,4.45,4.7,25800,4.7
2016-01-07,4.71,4.71,4.51,4.69,8600,4.69
2016-01-08,4.69,6.93,4.6,6.41,297000,6.41
2016-01-11,5.0,5.43,5.0,5.24,57500,5.24
2016-01-12,5.22,5.33,5.03,5.21,20500,5.21
2016-01-13,5.37,5.39,5.18,5.39,8900,5.39
2016-01-14,5.42,5.74,5.42,5.53,36600,5.53
2016-01-15,5.3,5.6,5.06,5.55,39000,5.55
2016-01-19,5.06,5.52,5.06,5.37,12700,5.37
2016-01-20,5.46,5.46,5.11,5.26,34200,5.26
2016-01-21,5.46,5.46,5.02,5.15,32300,5.15
2016-01-22,5.25,5.35,5.19,5.35,27300,5.35
2016-01-25,5.46,5.46,4.97,4.98,15600,4.98
2016-01-26,5.06,5.09,5.05,5.07,10500,5.07
2016-01-27,5.2,5.4,5.08,5.25,10900,5.25
2016-01-28,5.46,5.46,5.28,5.35,11300,5.35
2016-01-29,5.45,5.64,5.37,5.37,39400,5.37
2016-02-01,5.2,5.4,5.16,5.31,5700,5.31
2016-02-02,5.2,5.2,4.89,5.13,8500,5.13
2016-02-03,5.18,5.38,5.01,5.14,12600,5.14
2016-02-04,5.14,5.25,5.14,5.25,1900,5.25
2016-02-05,5.25,5.4,5.19,5.4,13600,5.4
2016-02-08,5.49,5.49,5.06,5.31,9800,5.31
2016-02-09,5.69,5.69,5.18,5.22,19800,5.22
2016-02-10,5.24,5.25,5.22,5.24,4300,5.24
2016-02-11,5.55,5.55,5.09,5.24,29500,5.24
2016-02-12,5.48,5.6,5.39,5.6,15700,5.6
2016-02-16,5.6,5.7,5.5,5.51,18600,5.51
2016-02-17,5.7,5.72,5.62,5.71,6100,5.71
2016-02-18,5.57,5.92,5.57,5.84,21500,5.84
2016-02-19,5.8,5.81,5.48,5.75,5300,5.75
