Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,10.71,10.74,10.65,10.68,27600,10.68
2016-01-05,10.71,10.73,10.7,10.72,11800,10.72
2016-01-06,10.85,10.976,10.8,10.86,112700,10.86
2016-01-07,10.989,11.03,10.94,11.02,62400,11.02
2016-01-08,10.95,10.97,10.92,10.96,52000,10.96
2016-01-11,10.96,10.96,10.88,10.88,26700,10.88
2016-01-12,10.82,10.84,10.78,10.84,10100,10.84
2016-01-13,10.78,10.886,10.78,10.879,19700,10.879
2016-01-14,10.78,10.824,10.69,10.71,135400,10.71
2016-01-15,10.88,10.88,10.82,10.82,59300,10.82
2016-01-19,10.82,10.85,10.79,10.82,29400,10.82
2016-01-20,10.93,11.0,10.91,10.93,51400,10.93
2016-01-21,10.91,10.95,10.87,10.95,17800,10.95
2016-01-22,10.89,10.94,10.89,10.91,44500,10.91
2016-01-25,10.99,11.035,10.973,11.01,141700,11.01
2016-01-26,11.04,11.16,11.04,11.15,46300,11.15
2016-01-27,11.1,11.21,11.09,11.19,37500,11.19
2016-01-28,11.07,11.1,11.06,11.07,58800,11.07
2016-01-29,11.08,11.11,11.046,11.1,9000,11.1
2016-02-01,11.16,11.23,11.16,11.23,13900,11.23
2016-02-02,11.21,11.22,11.16,11.21,29300,11.21
2016-02-03,11.21,11.36,11.21,11.34,45500,11.34
2016-02-04,11.475,11.49,11.427,11.485,24200,11.485
2016-02-05,11.41,11.669,11.4,11.669,16700,11.669
2016-02-08,11.81,11.91,11.786,11.82,70700,11.82
2016-02-09,11.89,11.91,11.795,11.84,257900,11.84
2016-02-10,11.84,11.89,11.76,11.89,52200,11.89
2016-02-11,12.32,12.51,12.26,12.35,370500,12.35
2016-02-12,12.26,12.33,12.25,12.31,57700,12.31
2016-02-16,12.04,12.07,11.93,11.93,53700,11.93
2016-02-17,12.0,12.05,11.94,11.99,62000,11.99
2016-02-18,11.98,12.31,11.98,12.28,68500,12.28
2016-02-19,12.18,12.25,12.18,12.21,48300,12.21
2016-02-22,11.99,12.05,11.99,11.99,60800,11.99
2016-02-23,12.14,12.189,12.13,12.17,25200,12.17
2016-02-24,12.36,12.42,12.2,12.206,25100,12.206
2016-02-25,12.21,12.33,12.21,12.268,154500,12.268
2016-02-26,12.19,12.2,12.035,12.16,33000,12.16
2016-02-29,12.21,12.321,12.21,12.321,20200,12.321
2016-03-01,12.34,12.34,12.208,12.24,28900,12.24
2016-03-02,12.28,12.33,12.27,12.33,42700,12.33
2016-03-03,12.38,12.58,12.38,12.54,26800,12.54
2016-03-04,12.58,12.71,12.5,12.53,50700,12.53
2016-03-07,12.57,12.61,12.52,12.58,38500,12.58
2016-03-08,12.65,12.65,12.51,12.52,19800,12.52
2016-03-09,12.38,12.49,12.354,12.42,42200,12.42
2016-03-10,12.51,12.63,12.51,12.62,11700,12.62
2016-03-11,12.58,12.6,12.4,12.4,93300,12.4
2016-03-14,12.5,12.5,12.21,12.24,100500,12.24
2016-03-15,12.24,12.254,12.2,12.25,6800,12.25
2016-03-16,12.2,12.53,12.19,12.52,84600,12.52
2016-03-17,12.569,12.58,12.47,12.47,25400,12.47
2016-03-18,12.44,12.48,12.42,12.45,33800,12.45
2016-03-21,12.37,12.397,12.34,12.35,36800,12.35
2016-03-22,12.44,12.479,12.37,12.39,20300,12.39
2016-03-23,12.13,12.16,12.08,12.11,71900,12.11
2016-03-24,12.12,12.13,12.08,12.08,14600,12.08
2016-03-28,12.12,12.12,12.1,12.119,18700,12.119
2016-03-29,12.19,12.3,12.166,12.298,41900,12.298
2016-03-30,12.25,12.27,12.153,12.17,19400,12.17
2016-03-31,12.29,12.29,12.22,12.22,21900,12.22
2016-04-01,12.06,12.15,12.005,12.15,27600,12.15
2016-04-04,12.11,12.12,12.06,12.066,25800,12.066
