Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,21.209999,21.219999,21.030001,21.190001,421300,19.719167
2016-01-05,21.24,21.35,21.24,21.32,60100,19.840142
2016-01-06,21.219999,21.309999,21.209999,21.26,129700,19.784308
2016-01-07,21.059999,21.17,21.02,21.059999,83900,19.598189
2016-01-08,21.08,21.110001,20.950001,21.0,170300,19.542354
2016-01-11,21.0,21.0,20.74,20.799999,219700,19.356236
2016-01-12,20.879999,20.93,20.74,20.809999,148800,19.365542
2016-01-13,20.809999,20.860001,20.5,20.51,143900,19.086366
2016-01-14,20.49,20.559999,20.32,20.51,177300,19.086366
2016-01-15,20.02,20.129999,19.9,20.01,407500,18.769322
2016-01-19,20.02,20.110001,19.799999,19.799999,329400,18.572342
2016-01-20,19.65,19.719999,19.25,19.52,275200,18.309704
2016-01-21,19.530001,19.790001,19.530001,19.690001,317700,18.469163
2016-01-22,19.82,20.09,19.82,20.07,294800,18.825602
2016-01-25,20.049999,20.08,19.9,19.9,278700,18.666142
2016-01-26,19.969999,20.219999,19.969999,20.219999,124100,18.966301
2016-01-27,20.18,20.290001,20.1,20.16,309600,18.910021
2016-01-28,20.25,20.370001,20.18,20.34,175200,19.078861
2016-01-29,20.389999,20.59,20.389999,20.59,103800,19.31336
2016-02-01,20.5,20.620001,20.459999,20.6,105300,19.322741
2016-02-02,20.5,20.52,20.450001,20.48,122000,19.21018
2016-02-03,20.5,20.57,20.35,20.57,256400,19.2946
2016-02-04,20.540001,20.59,20.48,20.549999,206100,19.27584
2016-02-05,20.5,20.540001,20.360001,20.370001,305700,19.107002
2016-02-08,20.27,20.27,20.0,20.110001,175400,18.863122
2016-02-09,19.940001,20.02,19.85,19.98,252000,18.741182
2016-02-10,20.110001,20.120001,19.91,19.940001,104800,18.703663
2016-02-11,19.75,19.889999,19.620001,19.889999,200400,18.656762
2016-02-12,19.76,19.83,19.52,19.700001,233400,18.627451
2016-02-16,19.780001,19.82,19.700001,19.809999,128000,18.731461
2016-02-17,19.940001,20.030001,19.889999,20.030001,165200,18.939485
2016-02-18,20.049999,20.08,20.0,20.059999,114300,18.96785
2016-02-19,19.99,20.09,19.98,20.09,98000,18.996217
2016-02-22,20.15,20.23,20.15,20.200001,83500,19.100229
2016-02-23,20.17,20.190001,20.129999,20.15,110800,19.05295
2016-02-24,20.08,20.27,20.040001,20.25,104000,19.147506
2016-02-25,20.24,20.35,20.200001,20.33,59300,19.223151
2016-02-26,20.389999,20.4,20.35,20.379999,74400,19.270428
2016-02-29,20.42,20.459999,20.35,20.440001,62400,19.327162
2016-03-01,20.5,20.700001,20.5,20.700001,86400,19.573007
2016-03-02,20.690001,20.75,20.629999,20.719999,77400,19.591917
2016-03-03,20.74,20.879999,20.690001,20.870001,283300,19.733752
2016-03-04,20.860001,21.02,20.860001,21.01,143600,19.866129
2016-03-07,20.98,21.040001,20.969999,21.040001,65700,19.894496
2016-03-08,20.99,21.040001,20.969999,21.030001,95300,19.885041
2016-03-09,21.049999,21.129999,21.049999,21.09,125700,19.941773
2016-03-10,21.120001,21.190001,21.02,21.110001,276900,19.960685
