Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,25.120001,25.49,25.120001,25.360001,24600,24.805273
2016-01-05,25.25,25.51,25.25,25.5,6300,24.94221
2016-01-06,25.0,25.110001,24.940001,25.01,21500,24.462928
2016-01-07,24.57,24.860001,24.41,24.690001,24800,24.149928
2016-01-08,24.690001,24.690001,24.33,24.360001,17100,23.827147
2016-01-11,24.51,24.540001,24.18,24.35,68300,23.817365
2016-01-12,24.379999,24.42,24.110001,24.290001,76300,23.758678
2016-01-13,24.27,24.450001,24.059999,24.07,9000,23.543489
2016-01-14,24.16,24.41,23.860001,24.26,498100,23.729334
2016-01-15,23.540001,23.73,23.34,23.639999,418800,23.122895
2016-01-19,23.73,23.950001,23.540001,23.82,124500,23.298958
2016-01-20,23.290001,23.32,22.82,23.209999,821300,22.702301
2016-01-21,23.18,23.559999,23.030001,23.379999,174700,22.868582
2016-01-22,23.709999,23.98,23.629999,23.9,70600,23.377208
2016-01-25,23.84,24.040001,23.790001,23.860001,123500,23.338084
2016-01-26,23.83,24.290001,23.83,24.219999,125800,23.690208
2016-01-27,24.059999,24.34,23.950001,24.129999,9200,23.602176
2016-01-28,24.59,24.59,24.120001,24.219999,22300,23.690208
2016-01-29,24.49,24.690001,24.459999,24.65,6500,24.110802
2016-02-01,24.59,24.719999,24.549999,24.719999,28000,24.179271
2016-02-02,24.709999,24.709999,24.26,24.26,25600,23.729334
2016-02-03,24.32,24.51,24.15,24.459999,17500,23.924958
2016-02-04,24.299999,24.610001,24.299999,24.459999,5500,23.924958
2016-02-05,24.24,24.26,24.08,24.08,11000,23.553271
2016-02-08,24.07,24.07,23.58,23.719999,38200,23.201145
2016-02-09,23.360001,23.620001,23.360001,23.52,18500,23.005521
2016-02-10,23.5,23.66,23.41,23.42,8000,22.907708
2016-02-11,23.17,23.24,22.959999,23.110001,34400,22.604489
2016-02-12,23.16,23.219999,22.76,22.969999,767000,22.467551
2016-02-16,23.23,23.530001,23.23,23.530001,20200,23.015302
2016-02-17,23.629999,23.99,23.629999,23.870001,24800,23.347865
2016-02-18,23.91,24.07,23.85,23.99,424600,23.465239
2016-02-19,23.690001,24.15,23.690001,23.92,15400,23.396771
2016-02-22,23.950001,24.26,23.950001,24.17,49000,23.641302
2016-02-23,24.200001,24.200001,23.889999,23.98,46600,23.455458
2016-02-24,23.559999,24.040001,23.559999,24.02,7400,23.494584
2016-02-25,24.23,24.299999,24.139999,24.27,8200,23.739115
2016-02-26,24.41,24.58,24.280001,24.33,100600,23.797802
2016-02-29,24.110001,24.48,24.110001,24.360001,77200,23.827147
2016-03-01,24.690001,24.950001,24.6,24.879999,19500,24.335771
2016-03-02,24.84,25.030001,24.709999,24.940001,48800,24.39446
2016-03-03,25.08,25.17,25.07,25.129999,17100,24.580302
2016-03-04,25.309999,25.549999,25.309999,25.43,14600,24.873741
2016-03-07,25.190001,25.49,25.190001,25.450001,12000,24.893304
2016-03-08,25.209999,25.280001,25.07,25.07,13500,24.521615
2016-03-09,25.16,25.25,24.99,25.139999,13600,24.590084
2016-03-10,25.190001,25.299999,24.959999,25.25,16100,24.697678
2016-03-11,25.5,25.860001,25.5,25.860001,38300,25.294336
2016-03-14,25.65,25.85,25.65,25.719999,16400,25.157397
2016-03-15,25.620001,25.620001,25.459999,25.58,4500,25.02046
2016-03-16,25.59,25.950001,25.549999,25.950001,11800,25.382367
2016-03-17,26.08,26.35,25.969999,26.16,70100,25.587773
2016-03-18,26.219999,26.290001,26.139999,26.139999,10400,25.56821
2016-03-21,26.290001,26.290001,26.1,26.18,26400,25.607336
2016-03-22,26.1,26.24,26.08,26.129999,8700,25.558428
2016-03-23,25.92,26.0,25.77,25.889999,21500,25.323678
2016-03-24,25.709999,25.73,25.450001,25.639999,46400,25.079147
2016-03-28,26.059999,26.09,25.77,25.790001,33300,25.225867
2016-03-29,25.85,26.200001,25.67,26.110001,7300,25.538867
2016-03-30,26.459999,26.559999,26.299999,26.440001,18300,25.861649
2016-03-31,26.49,26.49,26.16,26.16,6100,25.587773
