Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,13.06,13.06,12.83,12.89,10500,12.606731
2016-01-05,12.73,12.76,12.7,12.72,15600,12.440467
2016-01-06,12.47,12.47,12.37,12.37,10200,12.098158
2016-01-07,12.39,12.49,12.36,12.37,22500,12.098158
2016-01-08,12.33,12.34,12.2,12.2,75100,11.931894
2016-01-11,12.15,12.18,12.11,12.15,3900,11.882993
2016-01-12,12.46,12.48,12.41,12.44,3200,12.16662
2016-01-13,12.7,12.7,12.45,12.45,9700,12.1764
2016-01-14,12.44,12.56,12.44,12.54,25200,12.264422
2016-01-15,12.37,12.38,11.9,12.0,27700,11.73629
2016-01-19,11.82,11.92,11.78,11.79,23800,11.530904
2016-01-20,11.8,11.8,11.58,11.79,15600,11.530904
2016-01-21,11.51,11.69,11.49,11.63,6800,11.374421
2016-01-22,11.86,11.93,11.86,11.9,6200,11.638487
2016-01-25,11.91,11.94,11.85,11.86,11200,11.599366
2016-01-26,11.93,11.99,11.92,11.98,3700,11.716729
2016-01-27,11.94,12.08,11.94,12.0,5000,11.73629
2016-01-28,12.37,12.37,12.25,12.32,12600,12.049257
2016-01-29,12.4,12.57,12.4,12.57,9600,12.293763
2016-02-01,12.63,12.69,12.59,12.69,2600,12.411126
2016-02-02,12.44,12.44,12.44,12.44,300,12.16662
2016-02-03,12.59,12.82,12.56,12.82,6700,12.538269
2016-02-04,12.98,13.02,12.94,12.97,6800,12.684973
2016-02-05,13.09,13.09,13.0,13.01,4900,12.724094
2016-02-08,12.86,12.86,12.8,12.83,10400,12.548049
2016-02-09,13.0,13.03,12.99,12.99,4400,12.704533
2016-02-10,13.05,13.05,12.92,12.98,4800,12.694753
2016-02-11,12.9,13.01,12.87,13.01,114100,12.724094
2016-02-12,13.03,13.09,13.03,13.09,9200,12.802336
2016-02-16,12.99,13.03,12.91,13.02,8600,12.733875
2016-02-17,13.35,13.49,13.35,13.49,47900,13.193545
2016-02-18,13.5,13.5,13.38,13.39,13700,13.095743
2016-02-19,13.38,13.51,13.38,13.44,3800,13.144644
2016-02-22,13.52,13.58,13.48,13.56,4200,13.262008
2016-02-23,13.4,13.54,13.37,13.37,162500,13.076182
2016-02-24,13.2,13.35,13.1,13.34,6600,13.046842
2016-02-25,13.32,13.44,13.32,13.44,3800,13.144644
2016-02-26,13.25,13.25,13.18,13.19,6600,12.900138
2016-02-29,13.17,13.17,13.08,13.09,1200,12.802336
2016-03-01,12.99,13.22,12.94,13.22,12700,12.929479
2016-03-02,13.13,13.23,13.09,13.19,6000,12.900138
2016-03-03,13.35,13.65,13.33,13.65,7800,13.350029
2016-03-04,13.67,13.76,13.67,13.76,10700,13.457612
2016-03-07,13.73,13.85,13.73,13.83,1600,13.526074
2016-03-08,13.75,13.8,13.74,13.77,58300,13.467393
2016-03-09,13.68,13.79,13.68,13.76,2900,13.457612
2016-03-10,13.86,14.01,13.82,13.92,1100,13.614096
2016-03-11,14.14,14.22,14.14,14.22,2800,13.907503
2016-03-14,14.13,14.22,14.13,14.17,3700,13.858602
2016-03-15,14.06,14.09,14.06,14.09,500,13.78036
2016-03-16,13.97,14.42,13.97,14.42,3900,14.103108
2016-03-17,14.45,14.75,14.45,14.71,8000,14.386735
2016-03-18,14.74,14.84,14.68,14.68,9100,14.357394
2016-03-21,14.74,14.74,14.65,14.69,73200,14.367174
2016-03-22,14.79,14.79,14.71,14.72,2600,14.396515
2016-03-23,14.52,14.53,14.5,14.51,3000,14.19113
2016-03-24,14.29,14.56,14.29,14.52,5700,14.200911
2016-03-28,14.65,14.65,14.64,14.64,1000,14.318274
2016-03-29,14.73,15.03,14.66,15.01,13100,14.680142
2016-03-30,14.99,15.18,14.99,15.03,24200,14.699702
2016-03-31,15.24,15.29,15.24,15.24,1300,14.905087
2016-04-01,15.1,15.14,15.1,15.12,11600,14.787725
2016-04-04,15.22,15.22,15.13,15.13,1000,14.797505
2016-04-05,14.86,14.87,14.72,14.75,1300,14.425856
2016-04-06,14.65,14.74,14.65,14.7,700,14.376954
2016-04-07,14.35,14.39,14.27,14.27,1600,13.956405
2016-04-08,14.56,14.59,14.49,14.5,4400,14.18135
2016-04-11,14.66,14.66,14.61,14.61,2100,14.288932
2016-04-12,14.42,14.6,14.42,14.58,4400,14.259592
2016-04-13,14.66,14.66,14.65,14.66,3200,14.337834
2016-04-14,14.57,14.62,14.57,14.58,45100,14.259592
2016-04-15,14.57,14.58,14.54,14.55,4800,14.230251
2016-04-18,14.55,14.69,14.55,14.69,3200,14.367174
2016-04-19,14.8,14.89,14.8,14.86,8900,14.533438
2016-04-20,14.87,14.87,14.87,14.87,300,14.543219
2016-04-21,14.76,14.76,14.55,14.55,3600,14.230251
2016-04-22,14.4,14.4,14.24,14.29,2600,13.975965
2016-04-25,14.15,14.15,14.03,14.07,2900,13.760799
2016-04-26,14.24,14.28,14.23,14.28,1700,13.966184
2016-04-27,14.01,14.14,13.96,14.14,4400,13.829261
2016-04-28,14.08,14.12,14.0,14.04,3600,13.731459
2016-04-29,14.17,14.27,14.17,14.27,3700,13.956405
2016-05-02,14.31,14.41,14.31,14.38,1300,14.063987
2016-05-03,14.27,14.28,14.11,14.11,8100,13.79992
2016-05-04,14.05,14.06,13.92,13.92,7300,13.614096
2016-05-05,13.75,13.75,13.62,13.63,5300,13.330469
2016-05-06,13.69,13.7,13.68,13.69,6400,13.38915
2016-05-09,13.61,13.61,13.56,13.56,2600,13.262008
2016-05-10,13.53,13.53,13.46,13.49,1700,13.193545
2016-05-11,13.5,13.5,13.47,13.47,2300,13.173985
2016-05-12,13.42,13.48,13.42,13.48,300,13.183765
2016-05-13,13.32,13.32,13.25,13.3,7000,13.007721
2016-05-16,13.69,13.76,13.69,13.7,6900,13.39893
2016-05-17,13.7,13.7,13.56,13.59,4100,13.291348
2016-05-18,13.55,13.55,13.31,13.35,6500,13.056622
2016-05-19,13.12,13.13,13.09,13.09,3100,12.802336
2016-05-20,13.18,13.18,13.18,13.18,700,12.890358
2016-05-23,13.15,13.22,13.14,13.22,1600,12.929479
2016-05-24,13.2,13.26,13.2,13.26,1600,12.9686
2016-05-25,13.45,13.46,13.43,13.46,1700,13.164205
2016-05-26,13.6,13.6,13.57,13.57,1900,13.271787
2016-05-27,13.57,13.57,13.57,13.57,0,13.271787
2016-05-31,13.25,13.37,13.19,13.19,10700,12.900138
2016-06-01,12.92,12.92,12.85,12.88,5400,12.596951
2016-06-02,12.97,12.97,12.97,12.97,200,12.684973
2016-06-03,13.24,13.41,13.24,13.41,4700,13.115303
2016-06-06,13.41,13.56,13.39,13.55,5400,13.252227
2016-06-07,13.71,13.77,13.68,13.77,2200,13.467393
2016-06-08,13.99,13.99,13.92,13.98,1300,13.672777
2016-06-09,13.64,13.64,13.63,13.63,600,13.330469
2016-06-10,13.2,13.28,13.2,13.22,2000,12.929479
2016-06-13,12.99,13.01,12.96,12.96,2400,12.675193
2016-06-14,12.83,12.83,12.71,12.74,2900,12.460027
2016-06-15,12.89,12.93,12.88,12.91,7800,12.626291
2016-06-16,12.5,12.75,12.43,12.75,23200,12.469808
2016-06-17,12.66,12.89,12.66,12.89,3000,12.606731
2016-06-20,13.24,13.31,13.16,13.16,5200,12.870797
2016-06-21,13.21,13.34,13.21,13.34,900,13.046842
2016-06-22,13.5,13.53,13.46,13.51,2500,13.213106
2016-06-23,13.86,13.95,13.86,13.87,3800,13.565195
2016-06-24,12.55,12.75,12.51,12.55,15900,12.274203
2016-06-27,12.49,12.49,12.33,12.42,7700,12.14706
2016-06-28,12.62,12.62,12.6,12.62,1200,12.342664
2016-06-29,12.78,12.8,12.75,12.8,5700,12.518709
2016-06-30,12.93,12.94,12.93,12.94,400,12.655632
2016-07-01,12.89,12.89,12.69,12.79,4300,12.508929
2016-07-05,12.7,12.7,12.47,12.51,3400,12.235082
2016-07-06,12.38,12.45,12.37,12.45,1700,12.1764
2016-07-07,12.54,12.54,12.45,12.45,1800,12.1764
2016-07-08,12.56,12.58,12.52,12.58,5000,12.303543
2016-07-11,12.68,12.75,12.67,12.74,30100,12.460027
2016-07-12,12.85,12.97,12.85,12.93,12100,12.645852
2016-07-13,12.86,12.86,12.83,12.83,2400,12.548049
2016-07-14,12.92,13.03,12.92,13.03,1900,12.743654
2016-07-15,13.09,13.09,13.02,13.02,2700,12.733875
2016-07-18,13.21,13.29,13.19,13.29,8100,12.997941
2016-07-19,13.21,13.23,13.18,13.18,500,12.890358
2016-07-20,13.32,13.41,13.3,13.39,12800,13.095743
2016-07-21,13.4,13.42,13.4,13.4,1700,13.105523
2016-07-22,13.47,13.47,13.33,13.37,9700,13.076182
2016-07-25,13.48,13.48,13.47,13.47,800,13.173985
2016-07-26,13.48,13.5,13.46,13.49,14700,13.193545
2016-07-27,13.44,13.56,13.44,13.56,10800,13.262008
2016-07-28,13.55,13.57,13.51,13.54,7400,13.242447
2016-07-29,13.53,13.53,13.38,13.44,12400,13.144644
2016-08-01,13.43,13.45,13.43,13.45,800,13.154424
2016-08-02,13.91,13.97,13.88,13.91,2800,13.604315
2016-08-03,13.85,13.9,13.78,13.9,5900,13.594535
2016-08-04,13.96,13.98,13.96,13.98,300,13.672777
2016-08-05,13.97,13.99,13.96,13.96,1200,13.653217
2016-08-08,14.0,14.17,14.0,14.16,2400,13.848821
2016-08-09,14.21,14.22,14.21,14.22,900,13.907503
2016-08-10,14.26,14.34,14.25,14.29,2000,13.975965
2016-08-11,14.35,14.45,14.35,14.45,5900,14.132448
2016-08-12,14.41,14.45,14.33,14.4,7700,14.083547
2016-08-15,14.34,14.53,14.34,14.47,9300,14.152009
2016-08-16,14.41,14.44,14.41,14.44,7700,14.122668
2016-08-17,14.21,14.21,14.13,14.15,4500,13.839041
2016-08-18,14.24,14.31,14.24,14.3,600,13.985745
2016-08-19,13.99,14.05,13.99,14.02,5100,13.711899
2016-08-22,14.0,14.03,13.96,13.96,3200,13.653217
2016-08-23,13.94,14.01,13.89,13.89,600,13.584755
2016-08-24,13.82,13.89,13.82,13.86,1700,13.555414
2016-08-25,13.82,13.82,13.76,13.8,800,13.496733
2016-08-26,13.8,13.8,13.49,13.49,6000,13.193545
2016-08-29,13.66,13.68,13.6,13.68,2300,13.37937
2016-08-30,13.7,13.7,13.65,13.67,400,13.36959
2016-08-31,13.58,13.58,13.55,13.55,1500,13.252227
2016-09-01,13.43,13.47,13.33,13.46,3700,13.164205
2016-09-02,13.52,13.52,13.43,13.47,1700,13.173985
2016-09-06,13.72,13.93,13.72,13.87,2700,13.565195
2016-09-07,14.02,14.02,14.02,14.02,1000,13.711899
2016-09-08,14.01,14.01,13.78,13.78,3500,13.477172
2016-09-09,13.53,13.53,13.33,13.41,3600,13.115303
2016-09-12,13.2,13.38,13.2,13.37,3900,13.076182
2016-09-13,13.1,13.18,13.1,13.11,5500,12.821896
2016-09-14,13.29,13.3,13.26,13.28,3500,12.98816
2016-09-15,13.28,13.28,13.28,13.28,0,12.98816
2016-09-16,13.34,13.36,13.34,13.34,1000,13.046842
2016-09-19,13.5,13.5,13.41,13.41,400,13.115303
2016-09-20,13.38,13.41,13.38,13.41,500,13.115303
2016-09-21,13.46,13.71,13.46,13.7,1300,13.39893
2016-09-22,13.76,13.76,13.68,13.74,4400,13.438051
2016-09-23,13.53,13.53,13.5,13.5,3200,13.203326
2016-09-26,13.5,13.5,13.5,13.5,0,13.203326
2016-09-27,13.45,13.55,13.45,13.52,11100,13.222887
2016-09-28,13.44,13.49,13.42,13.49,5600,13.193545
2016-09-29,13.49,13.5,13.46,13.49,700,13.193545
2016-09-30,13.46,13.51,13.46,13.51,2800,13.213106
2016-10-03,13.65,13.65,13.54,13.54,1200,13.242447
2016-10-04,13.67,13.71,13.58,13.58,5900,13.281568
2016-10-05,13.73,13.77,13.73,13.75,4300,13.447832
2016-10-06,13.75,13.75,13.75,13.75,0,13.447832
