Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,78.25,78.25,76.620003,77.290001,120800,77.290001
2016-01-05,77.43,77.779999,77.010002,77.330002,36100,77.330002
2016-01-06,75.790001,77.379997,75.769997,77.080002,46000,77.080002
2016-01-07,75.269997,75.889999,73.849998,74.089996,49200,74.089996
2016-01-08,74.959999,75.389999,73.349998,73.349998,54800,73.349998
2016-01-11,73.879997,73.879997,72.0,73.139999,183400,73.139999
2016-01-12,73.860001,74.440002,73.0,73.879997,95700,73.879997
2016-01-13,74.519997,74.519997,70.5,70.989998,118200,70.989998
2016-01-14,71.239998,73.190002,69.550003,72.660004,44900,72.660004
2016-01-15,70.190002,70.75,69.010002,70.110001,56600,70.110001
2016-01-19,70.949997,71.330002,69.519997,70.330002,58600,70.330002
2016-01-20,68.779999,70.580002,67.099998,69.849998,83600,69.849998
2016-01-21,69.82,71.43,69.160004,70.459999,36700,70.459999
2016-01-22,71.489998,72.07,71.110001,71.650002,42400,71.650002
2016-01-25,71.650002,71.970001,70.75,70.75,17600,70.75
2016-01-26,71.190002,71.199997,70.0,71.050003,38500,71.050003
2016-01-27,70.389999,70.800003,68.720001,68.959999,29500,68.959999
2016-01-28,70.57,70.790001,69.400002,70.279999,32000,70.279999
2016-01-29,69.980003,71.110001,69.919998,71.019997,46900,71.019997
2016-02-01,70.769997,71.800003,70.769997,71.43,182600,71.43
2016-02-02,71.360001,71.360001,69.370003,69.919998,66400,69.919998
2016-02-03,70.089996,70.129997,67.300003,68.57,83500,68.57
2016-02-04,68.580002,69.050003,67.699997,68.970001,75500,68.970001
2016-02-05,68.690002,68.690002,65.230003,65.370003,58000,65.370003
2016-02-08,63.93,64.050003,62.240002,63.279999,104700,63.279999
2016-02-09,62.07,64.389999,62.0,62.900002,65600,62.900002
2016-02-10,63.98,65.339996,63.82,64.349998,59000,64.349998
2016-02-11,63.540001,64.949997,63.450001,64.480003,93100,64.480003
2016-02-12,65.330002,66.040001,65.330002,65.870003,14500,65.870003
2016-02-16,66.980003,68.209999,66.980003,68.209999,49600,68.209999
2016-02-17,69.150002,70.75,69.0,70.589996,58900,70.589996
2016-02-18,71.07,71.07,69.800003,69.970001,30300,69.970001
2016-02-19,69.730003,70.889999,69.550003,70.769997,12300,70.769997
2016-02-22,71.550003,72.309998,71.419998,72.080002,23900,72.080002
2016-02-23,71.709999,71.709999,70.599998,70.730003,18400,70.730003
2016-02-24,69.690002,71.32,69.040001,71.32,10700,71.32
2016-02-25,70.919998,71.160004,70.050003,71.160004,27400,71.160004
2016-02-26,72.160004,72.309998,71.769997,71.879997,14200,71.879997
2016-02-29,71.82,72.599998,71.800003,71.860001,6600,71.860001
2016-03-01,72.389999,73.5,72.309998,73.5,77700,73.5
2016-03-02,73.660004,73.660004,73.010002,73.580002,17600,73.580002
2016-03-03,73.559998,73.739998,73.099998,73.720001,6900,73.720001
2016-03-04,73.970001,74.690002,73.580002,74.209999,40900,74.209999
2016-03-07,73.629997,73.870003,72.529999,73.150002,81900,73.150002
2016-03-08,72.620003,73.0,72.470001,72.720001,14000,72.720001
2016-03-09,72.620003,72.620003,71.739998,72.550003,9800,72.550003
2016-03-10,72.980003,73.190002,71.540001,72.199997,8800,72.199997
2016-03-11,72.940002,74.25,72.940002,74.239998,24700,74.239998
2016-03-14,74.120003,74.699997,73.970001,74.559998,15100,74.559998
2016-03-15,74.050003,74.120003,73.68,73.860001,23100,73.860001
2016-03-16,73.669998,75.059998,73.669998,74.739998,14800,74.739998
2016-03-17,74.709999,75.260002,74.580002,74.800003,27400,74.800003
2016-03-18,75.099998,75.190002,74.599998,74.860001,29600,74.860001
2016-03-21,74.760002,75.330002,74.760002,75.150002,8700,75.150002
2016-03-22,74.550003,75.339996,74.400002,75.199997,35000,75.199997
2016-03-23,75.010002,75.010002,74.07,74.330002,13600,74.330002
2016-03-24,73.5,74.419998,73.5,74.419998,21200,74.419998
2016-03-28,74.57,74.610001,73.900002,74.169998,25400,74.169998
2016-03-29,74.190002,75.75,74.080002,75.709999,19300,75.709999
2016-03-30,76.080002,76.57,75.809998,75.959999,111600,75.959999
2016-03-31,76.080002,76.32,75.699997,75.739998,28000,75.739998
2016-04-01,75.110001,76.129997,75.110001,76.089996,14900,76.089996
2016-04-04,75.910004,76.089996,75.43,75.650002,43900,75.650002
2016-04-05,74.970001,75.279999,74.650002,74.910004,30700,74.910004
2016-04-06,74.879997,76.269997,74.879997,76.089996,24900,76.089996
2016-04-07,75.540001,76.0,74.830002,75.07,9600,75.07
2016-04-08,75.739998,75.739998,74.629997,74.919998,9400,74.919998
2016-04-11,75.379997,75.489998,74.580002,74.580002,10200,74.580002
2016-04-12,74.730003,75.669998,74.330002,75.519997,29600,75.519997
2016-04-13,76.209999,77.339996,76.209999,77.32,39000,77.32
2016-04-14,77.480003,77.919998,77.300003,77.599998,53800,77.599998
2016-04-15,77.389999,77.550003,77.209999,77.459999,9200,77.459999
2016-04-18,77.139999,78.059998,77.139999,77.989998,16300,77.989998
2016-04-19,77.870003,77.870003,76.300003,76.949997,19900,76.949997
2016-04-20,77.050003,77.849998,76.910004,77.470001,13400,77.470001
2016-04-21,77.720001,77.919998,77.309998,77.360001,11000,77.360001
2016-04-22,76.849998,77.169998,75.93,76.550003,23200,76.550003
2016-04-25,76.239998,76.540001,75.790001,76.160004,15100,76.160004
2016-04-26,76.199997,76.419998,75.529999,75.739998,18700,75.739998
2016-04-27,75.300003,75.639999,74.889999,75.510002,39600,75.510002
2016-04-28,76.040001,77.059998,75.32,75.32,9700,75.32
2016-04-29,76.629997,76.830002,75.949997,76.440002,23000,76.440002
2016-05-02,76.449997,76.68,75.790001,76.589996,26100,76.589996
2016-05-03,76.050003,76.050003,75.400002,75.57,40500,75.57
2016-05-04,74.779999,75.260002,74.57,75.150002,12200,75.150002
2016-05-05,75.529999,75.709999,74.739998,74.790001,12400,74.790001
2016-05-06,74.519997,75.379997,74.309998,75.349998,11900,75.349998
2016-05-09,75.040001,75.440002,74.709999,74.879997,13300,74.879997
