Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,15.16,15.69,15.04,15.52,12900,15.478893
2016-01-05,15.07,15.17,14.98,15.14,2600,15.0999
2016-01-06,14.76,14.76,14.18,14.24,38500,14.202283
2016-01-07,13.98,14.01,13.5,13.56,16000,13.524085
2016-01-08,13.62,13.62,13.18,13.4,17400,13.364508
2016-01-11,13.2,13.2,12.65,12.76,38800,12.726203
2016-01-12,13.0,13.0,12.18,12.55,17300,12.51676
2016-01-13,12.94,13.1,12.09,12.15,21000,12.117819
2016-01-14,12.26,12.69,12.0,12.67,42700,12.636442
2016-01-15,11.99,12.18,11.67,12.18,31700,12.14774
2016-01-19,12.28,12.33,11.15,11.35,24100,11.319938
2016-01-20,10.99,11.44,10.43,11.39,47200,11.359832
2016-01-21,11.38,12.27,11.2,12.1,18500,12.067952
2016-01-22,12.56,12.85,12.3,12.38,17300,12.34721
2016-01-25,12.43,12.5,11.72,11.72,155000,11.688958
2016-01-26,11.91,12.42,11.88,12.4,22100,12.367156
2016-01-27,12.33,13.05,12.33,12.55,50100,12.51676
2016-01-28,13.13,13.25,12.95,13.07,22100,13.035382
2016-01-29,13.2,13.65,13.1,13.65,12800,13.613846
2016-02-01,13.36,13.36,13.04,13.26,5000,13.224879
2016-02-02,13.11,13.11,12.39,12.4,16600,12.367156
2016-02-03,12.4,12.87,12.01,12.87,7000,12.835912
2016-02-04,13.06,13.56,13.06,13.15,27900,13.11517
2016-02-05,13.1,13.29,13.1,13.1,1800,13.065303
2016-02-08,12.42,12.42,12.0,12.33,23900,12.297342
2016-02-09,12.05,12.14,11.38,11.57,20300,11.539355
2016-02-10,11.62,11.65,11.3,11.32,12200,11.290017
2016-02-11,11.15,11.15,10.54,10.95,21100,10.920997
2016-02-12,11.25,11.32,10.93,11.13,11700,11.100521
2016-02-16,11.45,11.45,11.0,11.1,16500,11.0706
2016-02-17,11.55,12.0,11.55,11.86,19100,11.828587
2016-02-18,12.0,12.02,11.59,11.59,13500,11.559302
2016-02-19,11.34,11.51,11.08,11.43,11000,11.399726
2016-02-22,11.68,12.15,11.68,12.05,25800,12.018084
2016-02-23,12.02,12.02,11.45,11.45,14600,11.419673
2016-02-24,11.2,11.29,10.94,11.29,25800,11.260097
2016-02-25,11.32,11.32,10.88,11.2,16400,11.170335
2016-02-26,11.5,12.01,11.5,11.64,11400,11.60917
2016-02-29,11.76,12.2,11.76,12.0,14000,11.968216
2016-03-01,12.0,12.37,12.0,12.31,19900,12.277396
2016-03-02,12.45,13.1,12.21,13.1,10500,13.065303
2016-03-03,13.13,13.92,13.13,13.92,38700,13.883131
2016-03-04,14.24,15.0,13.9,14.5,38800,14.461595
2016-03-07,14.7,15.45,14.7,15.45,50800,15.409078
2016-03-08,15.25,15.25,14.0,14.06,44400,14.02276
2016-03-09,14.5,14.66,13.99,14.35,19500,14.311992
2016-03-10,14.75,14.75,13.8,14.08,40600,14.042707
2016-03-11,14.32,15.12,14.32,14.93,64200,14.890456
2016-03-14,14.84,14.88,14.45,14.73,728500,14.690985
2016-03-15,14.37,14.37,14.0,14.35,160800,14.311992
2016-03-16,14.45,14.89,14.43,14.82,231000,14.780747
2016-03-17,14.96,15.55,14.93,15.43,96700,15.389132
2016-03-18,16.32,16.32,14.93,15.21,81600,15.186445
2016-03-21,15.06,15.43,14.9,15.43,62300,15.406105
2016-03-22,15.18,15.26,14.77,15.0,38400,14.97677
2016-03-23,14.86,14.86,14.24,14.26,14700,14.237917
2016-03-24,14.63,14.63,13.75,14.41,20700,14.387684
2016-03-28,14.55,14.55,14.0,14.3,20600,14.277855
2016-03-29,14.0,14.69,14.0,14.69,18600,14.66725
2016-03-30,14.9,15.05,14.48,14.72,56400,14.697204
2016-03-31,14.76,15.1,14.71,14.97,110300,14.946817
2016-04-01,14.58,14.61,14.36,14.61,14600,14.587374
2016-04-04,14.49,14.77,14.13,14.19,12800,14.168024
2016-04-05,14.16,14.18,13.97,14.06,25700,14.038226
2016-04-06,14.24,14.64,14.05,14.43,44200,14.407653
2016-04-07,14.53,14.67,14.07,14.19,54400,14.168024
2016-04-08,14.63,15.06,14.63,14.82,11200,14.797049
2016-04-11,14.96,15.01,14.87,15.0,61100,14.97677
2016-04-12,15.06,15.88,15.06,15.75,36900,15.725609
2016-04-13,15.8,16.030001,15.58,15.6,57200,15.575841
2016-04-14,15.74,15.74,15.3,15.41,8800,15.386135
2016-04-15,15.3,15.47,15.01,15.3,37500,15.276306
2016-04-18,15.01,15.72,14.71,15.71,30300,15.685671
2016-04-19,15.81,16.4,15.81,16.35,19100,16.32468
2016-04-20,16.299999,16.790001,16.25,16.65,103400,16.624215
2016-04-21,16.75,16.84,16.450001,16.48,11200,16.454478
2016-04-22,16.690001,17.17,16.690001,17.059999,20900,17.03358
2016-04-25,17.02,17.370001,16.4,16.59,35400,16.564308
2016-04-26,16.77,16.959999,16.610001,16.93,24100,16.903782
2016-04-27,17.1,17.65,17.1,17.440001,41600,17.412992
2016-04-28,17.450001,17.57,17.0,17.040001,17800,17.013612
2016-04-29,17.27,17.5,16.59,16.889999,36300,16.863843
2016-05-02,16.9,16.969999,16.52,16.77,113500,16.74403
2016-05-03,16.530001,16.530001,15.62,15.71,67600,15.685671
2016-05-04,15.93,16.059999,15.4,15.51,37200,15.485981
2016-05-05,15.99,15.99,15.23,15.23,20000,15.206414
2016-05-06,15.12,15.73,14.95,15.49,22500,15.466011
2016-05-09,15.28,15.28,14.57,14.7,28200,14.677235
2016-05-10,14.88,15.17,14.8,15.15,20100,15.126538
2016-05-11,15.13,15.51,14.94,15.29,17900,15.266321
2016-05-12,15.49,15.53,15.23,15.35,12300,15.326229
2016-05-13,15.4,15.4,15.0,15.08,4800,15.056646
2016-05-16,15.3,15.81,15.3,15.69,25300,15.665701
2016-05-17,15.9,16.18,15.87,15.89,10700,15.865392
2016-05-18,15.85,15.94,15.28,15.38,14300,15.356182
2016-05-19,15.64,15.64,14.85,15.22,38800,15.19643
2016-05-20,15.28,15.57,15.28,15.55,3200,15.525919
2016-05-23,15.43,15.43,15.17,15.35,14600,15.326229
2016-05-24,15.37,15.37,15.11,15.24,14700,15.216398
2016-05-25,15.48,15.9,15.48,15.89,24000,15.865392
2016-05-26,15.99,16.0,15.47,15.51,16300,15.485981
2016-05-27,15.39,15.39,15.29,15.37,14600,15.346197
2016-05-31,15.5,15.81,15.5,15.61,10900,15.585825
2016-06-01,15.38,15.78,15.21,15.78,6300,15.755562
2016-06-02,15.53,15.66,15.26,15.66,5000,15.635748
2016-06-03,15.67,15.81,15.59,15.79,27800,15.765547
2016-06-06,15.95,16.77,15.95,16.73,38400,16.704091
2016-06-07,16.559999,17.16,16.559999,17.08,47900,17.053549
2016-06-08,17.280001,17.59,17.219999,17.299999,25800,17.273208
2016-06-09,16.969999,17.200001,16.84,17.120001,12200,17.093488
2016-06-10,16.780001,16.85,16.4,16.4,11300,16.374602
2016-06-13,16.25,16.549999,16.18,16.299999,11100,16.274756
2016-06-14,16.290001,16.41,15.95,16.370001,25500,16.344649
2016-06-15,16.34,16.639999,16.15,16.27,6000,16.244804
2016-06-16,15.91,15.91,15.49,15.74,38300,15.715624
2016-06-17,16.040001,16.49,16.040001,16.41,34100,16.384587
2016-06-20,16.780001,16.9,16.5,16.57,14300,16.544339
2016-06-21,16.41,16.76,16.219999,16.719999,13000,16.694106
2016-06-22,16.790001,16.790001,16.450001,16.52,8900,16.494417
2016-06-23,16.85,17.01,16.85,17.01,10400,16.983658
2016-06-24,16.459999,16.459999,16.08,16.190001,25500,16.164928
2016-06-27,15.87,16.040001,14.97,15.04,28800,15.016708
2016-06-28,15.37,15.68,15.37,15.61,10300,15.585825
2016-06-29,15.89,16.26,15.89,16.219999,15100,16.19488
2016-06-30,16.07,16.200001,15.85,16.15,34700,16.124989
2016-07-01,16.26,16.82,16.26,16.809999,46700,16.783967
2016-07-05,16.530001,16.530001,15.65,16.0,17500,15.975222
2016-07-06,15.8,16.09,15.8,16.030001,21300,16.005176
2016-07-07,16.190001,16.530001,15.69,15.84,26800,15.81547
2016-07-08,15.98,16.280001,15.98,16.200001,9500,16.174913
2016-07-11,16.469999,16.469999,16.040001,16.049999,4600,16.025143
2016-07-12,16.43,17.18,16.43,16.969999,147900,16.943719
2016-07-13,16.93,17.01,16.16,16.34,30600,16.314695
2016-07-14,16.610001,16.700001,16.280001,16.280001,17100,16.254789
2016-07-15,16.41,16.41,16.1,16.18,12300,16.154943
2016-07-18,16.059999,16.27,15.96,16.27,25400,16.244804
2016-07-19,16.18,16.190001,16.08,16.08,6900,16.055098
2016-07-20,15.94,16.360001,15.72,16.309999,68000,16.284741
