Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,40.18,40.189999,39.57,39.73,10500,38.423305
2016-01-05,39.810001,40.220001,39.810001,40.130001,6800,38.810151
2016-01-06,39.720001,40.040001,39.720001,39.970001,7400,38.655413
2016-01-07,39.259998,39.470001,38.970001,39.0,15200,37.717315
2016-01-08,39.240002,39.240002,38.27,38.27,26100,37.011324
2016-01-11,38.400002,38.52,38.23,38.299999,14500,37.040337
2016-01-12,38.619999,38.619999,37.75,38.139999,15800,36.885599
2016-01-13,38.290001,38.450001,36.830002,37.099998,42400,35.879803
2016-01-14,36.93,37.639999,36.919998,37.619999,16900,36.382701
2016-01-15,36.529999,36.860001,36.02,36.790001,18200,35.580001
2016-01-19,37.16,37.16,36.32,36.619999,18300,35.41559
2016-01-20,35.880001,36.619999,35.16,36.299999,49800,35.106115
2016-01-21,36.360001,36.790001,36.099998,36.150002,12900,34.961051
2016-01-22,36.52,36.799999,36.400002,36.689999,11900,35.483288
2016-01-25,36.41,36.419998,35.939999,35.959999,13800,34.777298
2016-01-26,36.310001,36.91,36.310001,36.889999,5600,35.676711
2016-01-27,36.73,37.220001,36.43,36.610001,7500,35.405921
2016-01-28,36.919998,37.360001,36.919998,36.939999,26300,35.725065
2016-01-29,37.150002,37.689999,37.150002,37.689999,9700,36.450398
2016-02-01,37.73,37.91,37.400002,37.91,15500,36.663164
2016-02-02,37.419998,37.419998,36.869999,36.950001,12000,35.734739
2016-02-03,37.23,37.23,36.490002,37.099998,19800,35.879803
2016-02-04,37.41,37.610001,37.0,37.200001,7800,35.976516
2016-02-05,37.220001,37.240002,36.849998,36.849998,5200,35.638025
2016-02-08,36.049999,36.369999,35.799999,36.369999,20500,35.173813
2016-02-09,35.869999,36.369999,35.869999,36.099998,8100,34.912692
2016-02-10,36.610001,36.77,36.049999,36.049999,8700,34.864338
2016-02-11,35.380001,35.619999,35.040001,35.52,16900,34.35177
2016-02-12,35.93,36.360001,35.82,36.259998,12600,35.06743
2016-02-16,36.759998,37.139999,36.52,37.110001,18800,35.889476
2016-02-17,37.48,37.689999,37.220001,37.25,7500,36.024871
2016-02-18,37.18,37.380001,37.09,37.209999,11600,35.986186
2016-02-19,37.18,37.529999,37.18,37.41,7300,36.179609
2016-02-22,37.900002,37.919998,37.77,37.880001,10400,36.634152
2016-02-23,37.540001,37.66,37.459999,37.48,8300,36.247306
2016-02-24,36.869999,37.529999,36.700001,37.529999,12000,36.295661
2016-02-25,37.400002,38.150002,37.400002,38.150002,9600,36.895272
2016-02-26,38.169998,38.560001,38.169998,38.330002,293100,37.069352
2016-02-29,38.349998,38.540001,38.0,38.029999,292800,36.779216
2016-03-01,38.16,38.939999,38.16,38.939999,16200,37.659287
2016-03-02,38.880001,39.169998,38.849998,39.169998,14600,37.881722
2016-03-03,39.310001,39.709999,39.310001,39.709999,11500,38.403962
2016-03-04,39.669998,39.970001,39.669998,39.82,9200,38.510345
2016-03-07,39.610001,40.16,39.610001,40.09,9400,38.771465
2016-03-08,39.970001,39.970001,39.549999,39.549999,48800,38.249225
2016-03-09,39.639999,39.639999,39.419998,39.48,9400,38.181527
2016-03-10,39.580002,39.740002,38.950001,39.380001,15200,38.084818
2016-03-11,39.799999,40.349998,39.68,40.349998,17400,39.022913
2016-03-14,40.07,40.299999,40.0,40.240002,17700,38.916534
2016-03-15,39.849998,39.93,39.709999,39.84,8500,38.529688
2016-03-16,39.860001,39.950001,39.639999,39.689999,9700,38.38462
2016-03-17,39.650002,40.630001,39.610001,40.630001,8000,39.293706
