Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,53.360001,53.939999,53.299999,53.299999,355100,53.299999
2016-01-05,53.029999,53.650002,53.0,53.459999,226400,53.459999
2016-01-06,54.310001,54.34,53.630001,53.939999,465300,53.939999
2016-01-07,55.080002,55.630001,54.400002,55.619999,1246500,55.619999
2016-01-08,55.209999,56.119999,54.869999,56.049999,933700,56.049999
2016-01-11,55.669998,56.75,55.5,55.869999,895000,55.869999
2016-01-12,55.369999,56.02,54.950001,55.220001,610600,55.220001
2016-01-13,55.009998,57.220001,54.889999,57.169998,1186100,57.169998
2016-01-14,56.91,57.830002,55.43,55.93,1102700,55.93
2016-01-15,57.82,58.360001,57.09,57.650002,1155000,57.650002
2016-01-19,56.880001,58.189999,56.799999,57.529999,1118300,57.529999
2016-01-20,58.439999,59.700001,57.110001,57.68,2206100,57.68
2016-01-21,57.490002,58.220001,56.810001,57.619999,2063500,57.619999
2016-01-22,56.509998,56.689999,55.970001,55.970001,1117500,55.970001
2016-01-25,56.119999,56.869999,55.880001,56.810001,488200,56.810001
2016-01-26,56.599998,57.049999,56.080002,56.279999,580000,56.279999
2016-01-27,56.639999,57.93,56.389999,57.700001,896100,57.700001
2016-01-28,56.759998,57.860001,56.720001,56.880001,886900,56.880001
2016-01-29,56.849998,56.91,55.68,55.720001,861500,55.720001
2016-02-01,55.959999,56.169998,55.330002,55.580002,456000,55.580002
2016-02-02,55.799999,56.900002,55.799999,56.73,723400,56.73
2016-02-03,56.360001,58.0,56.360001,57.040001,1795400,57.040001
2016-02-04,57.220001,57.700001,56.580002,57.040001,2945300,57.040001
2016-02-05,57.240002,59.220001,57.220001,59.02,1481400,59.02
2016-02-08,60.110001,60.970001,59.66,59.939999,2399600,59.939999
2016-02-09,60.709999,60.799999,59.200001,60.119999,1707300,60.119999
2016-02-10,59.369999,59.900002,58.619999,59.84,952600,59.84
2016-02-11,60.610001,60.790001,59.490002,59.93,1489400,59.93
2016-02-12,59.220001,59.830002,58.990002,59.02,738800,59.02
2016-02-16,58.209999,58.5,57.75,57.77,839700,57.77
2016-02-17,57.27,57.419998,56.330002,56.43,838600,56.43
2016-02-18,56.259998,57.110001,56.200001,57.040001,713100,57.040001
2016-02-19,57.27,57.450001,56.709999,56.849998,576400,56.849998
2016-02-22,56.330002,56.380001,55.889999,55.959999,696700,55.959999
2016-02-23,56.290001,56.900002,56.130001,56.869999,762200,56.869999
2016-02-24,57.490002,57.869999,56.259998,56.310001,955700,56.310001
2016-02-25,56.23,56.700001,55.77,55.77,797800,55.77
2016-02-26,55.360001,55.959999,55.330002,55.860001,783900,55.860001
2016-02-29,55.880001,56.330002,55.48,56.330002,530800,56.330002
2016-03-01,55.84,55.959999,54.509998,54.509998,2112700,54.509998
2016-03-02,54.639999,54.93,54.5,54.52,639300,54.52
2016-03-03,54.580002,55.0,54.560001,54.619999,658800,54.619999
2016-03-04,54.529999,54.939999,54.240002,54.59,1050700,54.59
2016-03-07,54.849998,55.310001,54.560001,54.91,791300,54.91
2016-03-08,55.330002,55.48,54.830002,55.380001,1021400,55.380001
2016-03-09,55.130001,55.470001,55.009998,55.009998,857400,55.009998
2016-03-10,54.82,55.810001,54.470001,55.099998,1087900,55.099998
2016-03-11,54.490002,54.68,54.150002,54.150002,634400,54.150002
2016-03-14,54.330002,54.349998,53.919998,54.049999,465500,54.049999
2016-03-15,54.259998,54.389999,54.009998,54.080002,257400,54.080002
2016-03-16,54.200001,54.209999,53.450001,53.599998,519100,53.599998
2016-03-17,53.73,53.93,53.490002,53.630001,489600,53.630001
2016-03-18,53.43,53.799999,53.389999,53.52,497600,53.52
2016-03-21,53.599998,53.650002,53.27,53.299999,426100,53.299999
2016-03-22,53.630001,53.630001,53.029999,53.18,300600,53.18
2016-03-23,53.259998,53.700001,53.23,53.599998,263400,53.599998
2016-03-24,53.849998,53.93,53.560001,53.57,532200,53.57
2016-03-28,53.439999,53.73,53.439999,53.630001,206700,53.630001
2016-03-29,53.709999,53.799999,52.75,52.799999,370000,52.799999
2016-03-30,52.48,52.639999,52.200001,52.549999,486600,52.549999
2016-03-31,52.57,52.68,52.380001,52.599998,255300,52.599998
2016-04-01,52.900002,52.990002,52.02,52.049999,462300,52.049999
2016-04-04,52.049999,52.349998,52.0,52.25,281300,52.25
2016-04-05,52.66,52.799999,52.459999,52.740002,396300,52.740002
2016-04-06,52.700001,52.700001,51.869999,51.880001,264900,51.880001
2016-04-07,52.18,52.830002,52.099998,52.630001,536200,52.630001
2016-04-08,52.290001,52.84,52.18,52.68,291500,52.68
2016-04-11,52.400002,52.849998,52.16,52.849998,435100,52.849998
2016-04-12,52.810001,53.130001,52.310001,52.41,342300,52.41
2016-04-13,52.0,52.049999,51.66,51.720001,475100,51.720001
2016-04-14,51.709999,51.849998,51.540001,51.720001,150200,51.720001
2016-04-15,51.810001,51.98,51.669998,51.849998,201200,51.849998
2016-04-18,52.029999,52.029999,51.560001,51.580002,568500,51.580002
2016-04-19,51.419998,52.16,51.419998,51.880001,391200,51.880001
2016-04-20,51.869999,52.060001,51.619999,51.869999,304900,51.869999
2016-04-21,51.880001,52.060001,51.689999,51.84,325400,51.84
2016-04-22,52.5,53.02,52.290001,52.639999,488700,52.639999
2016-04-25,52.82,52.880001,52.619999,52.619999,386700,52.619999
2016-04-26,52.5,53.040001,52.43,52.869999,309500,52.869999
2016-04-27,53.43,53.73,53.189999,53.290001,455900,53.290001
2016-04-28,53.27,54.040001,52.93,53.919998,385800,53.919998
2016-04-29,54.0,54.650002,53.849998,54.23,689300,54.23
2016-05-02,54.110001,54.310001,53.66,53.720001,441600,53.720001
2016-05-03,54.080002,54.349998,53.869999,54.220001,1199400,54.220001
2016-05-04,54.509998,54.689999,54.349998,54.59,591300,54.59
2016-05-05,54.349998,54.700001,54.259998,54.59,236000,54.59
2016-05-06,54.889999,54.91,54.290001,54.290001,675900,54.290001
2016-05-09,54.290001,54.299999,53.889999,54.139999,415700,54.139999
2016-05-10,53.919998,54.02,53.369999,53.369999,583000,53.369999
2016-05-11,53.470001,53.889999,53.32,53.880001,607800,53.880001
2016-05-12,53.73,54.490002,53.689999,54.099998,521300,54.099998
2016-05-13,54.09,54.400002,53.830002,54.299999,518500,54.299999
2016-05-16,54.200001,54.25,53.43,53.630001,339200,53.630001
2016-05-17,53.650002,54.439999,53.529999,54.02,483900,54.02
2016-05-18,54.41,54.52,53.799999,54.09,565500,54.09
2016-05-19,54.299999,54.77,54.18,54.380001,758300,54.380001
2016-05-20,54.130001,54.16,53.57,53.77,513900,53.77
2016-05-23,53.720001,53.889999,53.529999,53.880001,266400,53.880001
2016-05-24,53.540001,53.549999,52.700001,52.77,764000,52.77
2016-05-25,52.540001,52.639999,52.220001,52.380001,719700,52.380001
2016-05-26,52.32,52.439999,52.150002,52.23,259800,52.23
2016-05-27,52.18,52.189999,51.950001,51.970001,293700,51.970001
2016-05-31,51.869999,52.110001,51.77,51.82,320400,51.82
2016-06-01,52.009998,52.040001,51.73,51.849998,385000,51.849998
2016-06-02,51.959999,52.220001,51.75,51.75,382100,51.75
2016-06-03,51.860001,52.310001,51.82,51.98,434500,51.98
2016-06-06,51.880001,51.959999,51.650002,51.790001,372100,51.790001
2016-06-07,51.75,51.950001,51.709999,51.919998,410000,51.919998
2016-06-08,51.849998,52.02,51.73,51.84,281800,51.84
2016-06-09,52.029999,52.130001,51.860001,51.939999,286100,51.939999
2016-06-10,52.369999,52.68,52.299999,52.529999,796000,52.529999
2016-06-13,52.82,53.0,52.52,52.970001,608500,52.970001
2016-06-14,53.09,53.330002,52.75,52.950001,581900,52.950001
2016-06-15,52.799999,53.169998,52.75,53.09,610300,53.09
2016-06-16,53.380001,53.700001,52.889999,52.939999,4113400,52.939999
2016-06-17,53.029999,53.68,53.029999,53.549999,548700,53.549999
2016-06-20,52.900002,53.259998,52.68,53.200001,542100,53.200001
2016-06-21,53.130001,53.240002,52.939999,53.049999,431400,53.049999
2016-06-22,53.02,53.209999,52.709999,53.16,556300,53.16
2016-06-23,52.73,52.98,52.41,52.419998,3429300,52.419998
2016-06-24,54.279999,54.669998,53.509998,54.549999,1878600,54.549999
2016-06-27,54.919998,55.889999,54.919998,55.619999,1936400,55.619999
2016-06-28,55.040001,55.060001,54.419998,54.439999,1239300,54.439999
2016-06-29,54.009998,54.029999,53.369999,53.48,1405500,53.48
