Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,9.35,9.35,9.35,9.35,500,9.35
2016-01-05,9.47,9.47,9.41,9.41,500,9.41
2016-01-06,9.31,9.39,9.27,9.29,2800,9.29
2016-01-07,9.47,9.47,9.17,9.29,3900,9.29
2016-01-08,9.38,9.38,9.38,9.38,200,9.38
2016-01-11,9.02,9.02,8.9,8.9,3800,8.9
2016-01-12,8.86,8.86,8.86,8.86,200,8.86
2016-01-13,9.04,9.04,8.94,8.94,200,8.94
2016-01-14,8.84,8.85,8.84,8.84,800,8.84
2016-01-15,8.76,8.76,8.7,8.73,400,8.73
2016-01-19,8.79,8.79,8.71,8.76,900,8.76
2016-01-20,8.58,8.65,8.5,8.65,12400,8.65
2016-01-21,8.6,8.62,8.6,8.62,2000,8.62
2016-01-22,8.77,8.77,8.73,8.73,500,8.73
2016-01-25,9.04,9.17,9.04,9.17,1600,9.17
2016-01-26,9.2,9.25,9.19,9.21,2800,9.21
2016-01-27,9.29,9.43,9.29,9.34,9300,9.34
2016-01-28,9.24,9.31,9.16,9.16,1600,9.16
2016-01-29,9.07,9.23,9.07,9.23,400,9.23
2016-02-01,9.25,9.25,9.25,9.25,200,9.25
2016-02-02,9.01,9.05,9.01,9.05,600,9.05
2016-02-03,9.13,9.4,9.12,9.32,18200,9.32
2016-02-04,9.5,9.7,9.5,9.7,4600,9.7
2016-02-05,9.69,9.69,9.62,9.67,1800,9.67
2016-02-08,9.77,9.93,9.77,9.87,1600,9.87
2016-02-09,9.88,10.04,9.88,10.02,9300,10.02
2016-02-10,9.97,10.01,9.9,10.01,7400,10.01
2016-02-11,10.2,10.45,10.2,10.31,10800,10.31
2016-02-12,10.28,10.31,10.2,10.26,10000,10.26
2016-02-16,10.02,10.05,9.91,9.96,2300,9.96
2016-02-17,10.15,10.17,10.08,10.15,3200,10.15
2016-02-18,10.1,10.1,10.1,10.1,400,10.1
2016-02-19,10.05,10.15,10.05,10.13,1800,10.13
2016-02-22,9.86,9.9,9.84,9.88,2900,9.88
2016-02-23,9.95,10.08,9.95,10.08,3400,10.08
2016-02-24,10.08,10.08,10.08,10.08,0,10.08
2016-02-25,10.02,10.02,9.85,9.85,1800,9.85
2016-02-26,9.77,9.77,9.76,9.77,1000,9.77
2016-02-29,10.31,10.31,9.84,9.84,27300,9.84
2016-03-01,10.06,10.1,9.99,10.0,8500,10.0
2016-03-02,9.9,9.9,9.9,9.9,1200,9.9
2016-03-03,10.15,10.18,10.1,10.1,4400,10.1
2016-03-04,10.4,10.57,10.37,10.5,2000,10.5
2016-03-07,10.75,10.99,10.7,10.73,22200,10.73
2016-03-08,10.85,10.85,10.51,10.53,17300,10.53
2016-03-09,10.5,10.57,10.44,10.44,2000,10.44
2016-03-10,10.59,10.6,10.47,10.47,3200,10.47
2016-03-11,10.4,10.44,10.28,10.34,11900,10.34
2016-03-14,10.26,10.36,10.26,10.26,3400,10.26
2016-03-15,10.45,10.45,10.3,10.3,1300,10.3
2016-03-16,10.26,10.42,10.26,10.4,600,10.4
2016-03-17,10.46,10.46,10.46,10.46,1000,10.46
2016-03-18,10.46,10.46,10.46,10.46,0,10.46
2016-03-21,10.52,10.52,10.41,10.44,1800,10.44
2016-03-22,10.63,10.69,10.63,10.69,1500,10.69
2016-03-23,10.3,10.3,10.19,10.23,1400,10.23
2016-03-24,10.24,10.24,10.12,10.12,1000,10.12
2016-03-28,10.0,10.15,9.6,10.12,4600,10.12
2016-03-29,10.29,10.35,10.26,10.32,1000,10.32
2016-03-30,10.34,10.34,10.33,10.33,400,10.33
2016-03-31,10.52,10.52,10.52,10.52,1600,10.52
2016-04-01,10.55,10.55,10.15,10.16,1600,10.16
2016-04-04,10.16,10.16,10.16,10.16,0,10.16
2016-04-05,10.07,10.07,10.06,10.07,2500,10.07
2016-04-06,10.07,10.07,10.07,10.07,0,10.07
2016-04-07,10.28,10.28,10.28,10.28,400,10.28
2016-04-08,10.28,10.37,10.27,10.27,1400,10.27
2016-04-11,10.54,10.54,10.54,10.54,300,10.54
2016-04-12,10.61,10.7,10.57,10.7,800,10.7
2016-04-13,10.65,10.73,10.65,10.73,5200,10.73
2016-04-14,10.73,10.73,10.73,10.73,0,10.73
2016-04-15,10.42,10.57,10.42,10.47,600,10.47
2016-04-18,10.44,10.49,10.36,10.4,700,10.4
2016-04-19,10.79,10.83,10.79,10.83,1300,10.83
2016-04-20,11.39,11.39,10.95,10.99,2400,10.99
2016-04-21,11.07,11.07,11.02,11.02,800,11.02
2016-04-22,10.9,10.9,10.75,10.81,700,10.81
2016-04-25,10.62,10.9,10.62,10.82,900,10.82
2016-04-26,10.89,10.89,10.79,10.79,400,10.79
2016-04-27,10.97,10.98,10.93,10.93,1600,10.93
2016-04-28,11.15,11.29,11.13,11.29,4400,11.29
2016-04-29,11.62,11.63,11.53,11.53,2400,11.53
