Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,19.25,19.469999,19.129999,19.469999,4000,19.249836
2016-01-05,19.469999,19.469999,19.469999,19.469999,0,19.249836
2016-01-06,18.84,18.84,18.620001,18.620001,1500,18.409449
2016-01-07,18.15,18.15,17.889999,17.889999,700,17.687702
2016-01-08,17.84,17.9,17.75,17.75,1300,17.549286
2016-01-11,17.43,17.549999,17.42,17.549999,1500,17.351547
2016-01-12,17.219999,17.27,17.129999,17.190001,2800,16.995619
2016-01-13,17.42,17.549999,16.93,16.93,5500,16.738559
2016-01-14,17.09,17.27,16.879999,17.27,1700,17.074714
2016-01-15,16.780001,16.780001,16.42,16.67,3800,16.481498
2016-01-19,16.91,16.91,16.18,16.280001,5900,16.095909
2016-01-20,16.0,16.35,15.62,16.34,3900,16.15523
2016-01-21,16.99,16.99,16.74,16.74,900,16.550707
2016-01-22,17.200001,17.4,17.200001,17.35,98400,17.153809
2016-01-25,17.219999,17.23,16.73,16.73,14600,16.540819
2016-01-26,16.93,17.34,16.790001,17.34,9900,17.143922
2016-01-27,17.32,17.629999,17.190001,17.32,3700,17.124148
2016-01-28,17.700001,17.85,17.4,17.43,5700,17.232905
2016-01-29,17.370001,18.07,17.370001,18.07,2500,17.865667
2016-02-01,18.07,18.07,18.07,18.07,0,17.865667
2016-02-02,17.33,17.379999,17.26,17.33,2400,17.134035
2016-02-03,17.51,17.559999,16.98,17.559999,3100,17.361434
2016-02-04,18.26,18.27,17.950001,17.950001,1600,17.747025
2016-02-05,18.08,18.08,17.719999,17.76,1600,17.559173
2016-02-08,17.120001,17.17,16.92,17.08,6100,16.886862
2016-02-09,16.98,17.030001,16.639999,16.84,3600,16.649576
2016-02-10,16.879999,16.879999,16.870001,16.870001,600,16.679238
2016-02-11,16.129999,16.16,15.88,16.16,2000,15.977265
2016-02-12,16.43,16.559999,16.43,16.559999,2100,16.372742
2016-02-16,17.139999,17.139999,16.709999,16.91,2200,16.718784
2016-02-17,17.43,17.459999,17.43,17.459999,600,17.262564
2016-02-18,17.48,17.49,17.25,17.35,3100,17.153809
2016-02-19,17.030001,17.15,16.99,17.049999,1200,16.857201
2016-02-22,17.4,17.5,17.4,17.5,1000,17.302113
2016-02-23,17.110001,17.129999,17.09,17.09,3600,16.896749
2016-02-24,16.9,17.219999,16.9,17.219999,1100,17.025278
2016-02-25,17.299999,17.48,17.18,17.469999,7100,17.272451
2016-02-26,17.65,17.66,17.559999,17.66,5500,17.460303
2016-02-29,17.57,17.809999,17.57,17.809999,200,17.608607
2016-03-01,18.110001,18.15,18.110001,18.15,400,17.944762
2016-03-02,18.15,18.15,18.15,18.15,100,17.944762
2016-03-03,18.950001,19.25,18.950001,19.25,900,19.032324
2016-03-04,19.34,19.940001,19.34,19.5,4100,19.279497
2016-03-07,19.82,20.17,19.82,20.049999,1000,19.823277
2016-03-08,19.32,19.389999,19.309999,19.360001,7700,19.141081
2016-03-09,19.16,19.48,19.16,19.42,1600,19.200402
2016-03-10,19.35,19.42,19.190001,19.42,8200,19.200402
2016-03-11,19.940001,20.059999,19.93,20.059999,10700,19.833164
2016-03-14,19.83,19.950001,19.75,19.950001,2800,19.724409
2016-03-15,19.540001,19.540001,19.299999,19.51,1000,19.289384
2016-03-16,19.440001,19.870001,19.440001,19.870001,600,19.645314
2016-03-17,19.870001,19.870001,19.870001,19.870001,0,19.645314
2016-03-18,20.809999,20.809999,20.74,20.74,800,20.642608
2016-03-21,20.74,20.74,20.639999,20.639999,2900,20.543077
2016-03-22,20.959999,20.959999,20.48,20.65,5000,20.553031
2016-03-23,20.65,20.65,20.65,20.65,0,20.553031
2016-03-24,19.59,19.860001,19.299999,19.860001,2300,19.766741
2016-03-28,20.33,20.33,19.75,20.0,2100,19.906083
2016-03-29,19.85,20.389999,19.85,20.389999,2700,20.294251
2016-03-30,20.530001,20.530001,20.4,20.4,1400,20.304205
2016-03-31,20.73,20.73,20.450001,20.6,5400,20.503266
2016-04-01,20.15,20.370001,20.15,20.370001,700,20.274347
2016-04-04,20.379999,20.379999,20.379999,20.379999,200,20.284298
2016-04-05,20.379999,20.379999,20.379999,20.379999,0,20.284298
2016-04-06,19.68,19.9,19.610001,19.85,1100,19.756788
2016-04-07,19.83,19.83,19.83,19.83,600,19.736882
2016-04-08,19.83,19.83,19.83,19.83,0,19.736882
2016-04-11,19.83,19.83,19.83,19.83,0,19.736882
2016-04-12,21.32,21.32,21.32,21.32,400,21.219885
2016-04-13,21.76,21.76,21.690001,21.690001,700,21.588148
2016-04-14,21.58,21.639999,21.58,21.639999,2000,21.538382
2016-04-15,21.68,21.74,21.68,21.709999,1200,21.608053
2016-04-18,21.360001,21.75,21.360001,21.75,400,21.647866
2016-04-19,21.92,21.99,21.92,21.99,500,21.886738
2016-04-20,22.17,22.17,22.17,22.17,300,22.065893
2016-04-21,22.129999,22.139999,22.129999,22.139999,600,22.036034
2016-04-22,22.49,22.540001,22.389999,22.5,4000,22.394344
2016-04-25,22.23,22.23,22.219999,22.219999,800,22.115658
2016-04-26,22.469999,22.540001,22.469999,22.5,400,22.394344
2016-04-27,22.5,22.5,22.5,22.5,0,22.394344
2016-04-28,23.0,23.0,22.879999,22.879999,400,22.772559
2016-04-29,22.879999,22.879999,22.879999,22.879999,0,22.772559
2016-05-02,22.41,22.41,22.16,22.16,400,22.05594
2016-05-03,21.99,21.99,21.700001,21.700001,400,21.598101
2016-05-04,21.290001,21.290001,21.290001,21.290001,400,21.190027
2016-05-05,21.370001,21.370001,21.219999,21.219999,600,21.120354
2016-05-06,21.379999,21.379999,21.309999,21.309999,900,21.209931
2016-05-09,21.059999,21.08,20.74,20.85,61000,20.752092
2016-05-10,21.23,21.25,21.18,21.18,1100,21.080543
2016-05-11,21.469999,21.469999,21.370001,21.370001,500,21.269651
2016-05-12,21.360001,21.360001,21.040001,21.059999,6000,20.961105
2016-05-13,21.059999,21.059999,21.059999,21.059999,100,20.961105
2016-05-16,20.92,21.139999,20.92,20.99,1800,20.891434
2016-05-17,20.84,21.209999,20.84,20.91,2200,20.81181
2016-05-18,20.889999,20.889999,20.799999,20.799999,1100,20.702326
2016-05-19,20.48,20.790001,20.48,20.790001,1200,20.692375
2016-05-20,21.110001,21.120001,21.08,21.120001,600,21.020825
2016-05-23,21.08,21.309999,21.030001,21.309999,2800,21.209931
2016-05-24,21.309999,21.309999,21.309999,21.309999,0,21.209931
2016-05-25,21.530001,21.98,21.530001,21.98,900,21.876785
2016-05-26,21.91,21.91,21.83,21.889999,3500,21.787208
2016-05-27,21.870001,21.870001,21.870001,21.870001,1300,21.767303
2016-05-31,22.08,22.08,22.08,22.08,500,21.976316
2016-06-01,21.92,22.049999,21.82,22.049999,4800,21.946456
2016-06-02,22.25,22.25,22.25,22.25,200,22.145518
2016-06-03,22.25,22.25,22.25,22.25,0,22.145518
2016-06-06,22.639999,22.73,22.639999,22.73,2600,22.623263
2016-06-07,22.73,22.73,22.73,22.73,0,22.623263
2016-06-08,23.290001,23.299999,23.15,23.15,3300,23.041291
2016-06-09,22.959999,22.959999,22.780001,22.940001,1600,22.832278
2016-06-10,22.48,22.49,22.129999,22.129999,4300,22.02608
2016-06-13,21.99,21.99,21.879999,21.91,900,21.807114
2016-06-14,21.610001,21.610001,21.59,21.6,700,21.49857
2016-06-15,21.82,21.83,21.82,21.83,4700,21.72749
2016-06-16,21.93,21.93,21.200001,21.57,4200,21.468711
2016-06-17,21.83,21.83,21.82,21.82,2100,21.779128
2016-06-20,21.98,22.389999,21.98,22.290001,1300,22.248249
2016-06-21,22.110001,22.23,22.049999,22.219999,2400,22.178378
2016-06-22,22.32,22.32,22.17,22.17,1600,22.128473
2016-06-23,22.450001,22.639999,22.450001,22.629999,3200,22.58761
2016-06-24,21.43,21.43,21.35,21.35,800,21.310009
2016-06-27,20.85,20.85,20.370001,20.49,900,20.451619
2016-06-28,20.9,21.059999,20.9,21.059999,500,21.020551
2016-06-29,21.43,21.620001,21.43,21.620001,2000,21.579504
2016-06-30,21.41,21.84,21.41,21.84,4100,21.799091
2016-07-01,21.969999,22.23,21.969999,22.049999,1300,22.008697
2016-07-05,22.59,22.59,21.450001,21.450001,2600,21.409822
2016-07-06,21.6,21.6,21.6,21.6,100,21.559541
2016-07-07,21.67,21.67,21.67,21.67,200,21.629409
2016-07-08,22.309999,22.309999,22.309999,22.309999,1400,22.26821
2016-07-11,22.370001,22.58,22.370001,22.58,800,22.537705
2016-07-12,22.940001,23.25,22.940001,23.25,1500,23.20645
2016-07-13,23.25,23.25,23.25,23.25,200,23.20645
2016-07-14,23.200001,23.209999,23.110001,23.139999,700,23.096655
2016-07-15,23.059999,23.1,23.059999,23.1,400,23.056731
2016-07-18,23.200001,23.24,23.059999,23.24,3100,23.196468
2016-07-19,22.93,23.0,22.93,23.0,500,22.956918
2016-07-20,23.1,23.190001,23.1,23.129999,1900,23.086674
2016-07-21,23.049999,23.049999,23.049999,23.049999,200,23.006823
2016-07-22,23.129999,23.190001,23.129999,23.16,1000,23.116618
2016-07-25,23.1,23.1,22.969999,23.02,5300,22.976881
2016-07-26,22.93,23.299999,22.93,23.299999,1400,23.256355
2016-07-27,23.200001,23.32,23.200001,23.32,1000,23.276318
2016-07-28,23.32,23.32,23.32,23.32,0,23.276318
2016-07-29,23.309999,23.309999,23.26,23.26,300,23.216431
2016-08-01,23.110001,23.110001,22.92,22.92,1700,22.877068
2016-08-02,22.809999,22.809999,22.58,22.74,2500,22.697405
2016-08-03,22.99,23.09,22.99,23.09,900,23.046749
2016-08-04,23.16,23.23,23.09,23.09,3400,23.046749
2016-08-05,23.030001,23.5,23.030001,23.41,1900,23.36615
2016-08-08,23.41,23.41,23.41,23.41,0,23.36615
2016-08-09,23.48,23.48,23.48,23.48,600,23.436018
2016-08-10,23.34,23.34,23.34,23.34,300,23.296281
2016-08-11,23.34,23.34,23.34,23.34,0,23.296281
2016-08-12,23.58,23.58,23.58,23.58,200,23.535831
2016-08-15,23.43,24.0,23.43,23.959999,2700,23.915119
2016-08-16,23.860001,23.860001,23.860001,23.860001,300,23.815308
2016-08-17,23.68,23.76,23.68,23.76,500,23.715495
2016-08-18,23.950001,23.950001,23.950001,23.950001,400,23.905139
2016-08-19,23.879999,24.02,23.879999,24.01,3800,23.965026
2016-08-22,23.790001,23.9,23.73,23.9,4300,23.855232
2016-08-23,24.209999,24.360001,24.209999,24.360001,1200,24.314371
2016-08-24,24.15,24.190001,23.98,23.98,1200,23.935082
2016-08-25,24.030001,24.059999,23.99,24.059999,2600,24.014932
2016-08-26,24.059999,24.23,23.93,23.940001,1700,23.895158
2016-08-29,24.16,24.17,24.1,24.139999,2400,24.094782
2016-08-30,24.190001,24.190001,24.15,24.15,300,24.104763
2016-08-31,24.15,24.15,24.15,24.15,0,24.104763
2016-09-01,24.01,24.01,23.77,23.77,1000,23.725476
2016-09-02,23.91,24.42,23.91,24.42,2500,24.374258
2016-09-06,24.459999,24.52,24.459999,24.52,700,24.474071
