Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,27.280001,27.4,27.120001,27.389999,71800,26.498163
2016-01-05,27.58,27.610001,27.370001,27.610001,14600,26.711001
2016-01-06,27.209999,27.24,27.030001,27.09,24900,26.207932
2016-01-07,26.780001,26.84,26.43,26.48,49700,25.617794
2016-01-08,26.610001,26.610001,26.26,26.280001,61800,25.424307
2016-01-11,26.25,26.25,25.91,26.1,22500,25.250167
2016-01-12,26.030001,26.030001,25.530001,25.809999,17100,24.969609
2016-01-13,25.84,25.969999,25.24,25.299999,20900,24.476215
2016-01-14,25.4,26.139999,25.4,26.02,74300,25.172772
2016-01-15,25.360001,25.540001,25.129999,25.450001,84300,24.621332
2016-01-19,25.59,25.66,25.08,25.299999,11700,24.476215
2016-01-20,24.950001,24.950001,24.15,24.75,19700,23.944124
2016-01-21,24.879999,25.4,24.879999,25.209999,10100,24.389145
2016-01-22,25.66,25.879999,25.66,25.870001,25700,25.027657
2016-01-25,25.83,25.969999,25.549999,25.549999,13900,24.718075
2016-01-26,25.879999,25.99,25.870001,25.93,2500,25.085703
2016-01-27,25.870001,26.190001,25.690001,25.780001,6700,24.940587
2016-01-28,26.0,26.26,26.0,26.23,8800,25.375934
2016-01-29,26.41,26.9,26.41,26.9,7900,26.024118
2016-02-01,26.82,27.01,26.690001,26.99,44900,26.111188
2016-02-02,26.530001,26.629999,26.450001,26.450001,1000,25.588772
2016-02-03,26.610001,27.16,26.6,27.1,2300,26.217607
2016-02-04,27.33,27.33,27.129999,27.24,4600,26.353048
2016-02-05,27.1,27.129999,26.940001,27.1,4500,26.217607
2016-02-08,26.74,26.75,26.389999,26.74,10100,25.869328
2016-02-09,26.440001,26.5,26.219999,26.360001,15000,25.501702
2016-02-10,26.35,26.49,26.25,26.25,6200,25.395283
2016-02-11,25.950001,26.209999,25.780001,26.0,8200,25.153423
2016-02-12,26.059999,26.35,26.02,26.35,7400,25.492027
2016-02-16,26.59,26.709999,26.5,26.66,14000,25.791933
2016-02-17,27.01,27.309999,27.01,27.219999,45000,26.333699
2016-02-18,27.370001,27.559999,27.18,27.530001,15900,26.633606
2016-02-19,27.370001,27.370001,27.08,27.16,12200,26.275653
2016-02-22,27.549999,27.620001,27.540001,27.59,7800,26.691652
2016-02-23,27.52,27.52,27.33,27.360001,204900,26.469141
2016-02-24,27.0,27.51,27.0,27.48,23100,26.585233
2016-02-25,27.440001,27.75,27.379999,27.73,52900,26.827093
2016-02-26,27.93,28.0,27.67,27.709999,26600,26.807744
2016-02-29,27.700001,28.040001,27.700001,27.85,15000,26.943186
2016-03-01,28.0,28.049999,27.91,27.969999,8900,27.059278
2016-03-02,28.190001,28.440001,27.93,28.43,14200,27.504301
2016-03-03,28.639999,28.889999,28.49,28.879999,32300,27.939648
2016-03-04,28.91,29.379999,28.91,29.23,14100,28.278252
2016-03-07,29.34,29.549999,29.25,29.49,8300,28.529786
2016-03-08,29.190001,29.309999,29.120001,29.129999,3400,28.181508
2016-03-09,29.200001,29.469999,29.18,29.27,31100,28.31695
2016-03-10,29.42,29.43,29.110001,29.41,13000,28.452391
2016-03-11,29.76,29.76,29.610001,29.700001,21900,28.73295
2016-03-14,29.549999,29.799999,29.5,29.65,54500,28.684576
2016-03-15,29.34,29.48,29.23,29.469999,11300,28.510437
2016-03-16,29.51,30.02,29.48,29.99,26500,29.013506
2016-03-17,30.190001,30.41,29.959999,30.290001,41700,29.303739
2016-03-18,30.58,30.58,30.24,30.290001,18400,29.303739
2016-03-21,30.5,30.5,30.139999,30.23,13300,29.245691
2016-03-22,30.34,30.34,30.030001,30.07,23400,29.090901
2016-03-23,29.77,29.84,29.690001,29.690001,15500,28.723275
2016-03-24,29.780001,29.780001,29.33,29.68,22000,28.7136
2016-03-28,29.82,29.82,29.57,29.719999,14900,28.752297
2016-03-29,29.5,30.08,29.469999,30.07,46700,29.090901
2016-03-30,30.51,30.51,30.040001,30.1,19200,29.119925
2016-03-31,30.280001,30.280001,30.120001,30.23,137000,29.245691
2016-04-01,29.790001,30.040001,29.74,30.01,13500,29.032855
2016-04-04,29.76,29.77,29.540001,29.59,25800,28.869918
2016-04-05,29.42,29.42,29.219999,29.23,22200,28.518678
2016-04-06,29.24,29.540001,29.16,29.540001,17200,28.821135
2016-04-07,29.4,29.52,29.15,29.25,26400,28.538192
2016-04-08,29.58,29.719999,29.440001,29.5,23800,28.782108
2016-04-11,29.709999,29.799999,29.5,29.5,34100,28.782108
2016-04-12,29.66,30.17,29.639999,30.09,24400,29.35775
2016-04-13,30.43,30.43,29.98,30.15,44000,29.41629
2016-04-14,30.190001,30.190001,29.83,29.889999,19500,29.162617
2016-04-15,29.780001,29.9,29.780001,29.809999,15500,29.084563
2016-04-18,29.629999,30.09,29.469999,30.0,23800,29.26994
2016-04-19,30.26,30.42,30.24,30.389999,14300,29.650449
2016-04-20,30.42,30.540001,30.26,30.280001,54600,29.543127
2016-04-21,30.08,30.110001,29.73,29.76,65000,29.035781
2016-04-22,29.82,30.16,29.82,30.1,16600,29.367507
2016-04-25,30.0,30.0,29.870001,29.99,12400,29.260183
2016-04-26,30.27,30.33,30.15,30.33,19000,29.59191
2016-04-27,30.700001,30.85,30.530001,30.809999,31800,30.060228
2016-04-28,30.799999,30.799999,30.4,30.459999,30300,29.718745
2016-04-29,30.459999,30.559999,30.1,30.43,32300,29.689476
2016-05-02,30.66,30.66,30.26,30.34,16300,29.601666
2016-05-03,30.26,30.26,29.85,30.040001,90600,29.308968
2016-05-04,29.98,30.139999,29.889999,30.049999,30800,29.318723
2016-05-05,30.290001,30.290001,29.809999,29.870001,25100,29.143105
2016-05-06,29.809999,29.950001,29.780001,29.870001,6600,29.143105
2016-05-09,30.09,30.09,29.6,29.709999,21400,28.986997
2016-05-10,29.790001,30.129999,29.790001,30.059999,50900,29.32848
2016-05-11,29.9,30.139999,29.809999,30.030001,24600,29.299211
2016-05-12,30.09,30.16,29.9,30.059999,22500,29.32848
2016-05-13,29.870001,30.059999,29.74,29.799999,20400,29.074807
2016-05-16,29.969999,30.120001,29.959999,30.09,23900,29.35775
