Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,122.059998,122.059998,120.75,121.839996,82200,121.394328
2016-01-05,122.269997,122.519997,121.519997,121.790001,19500,121.344515
2016-01-06,120.139999,121.190002,119.690002,120.339996,39000,119.899815
2016-01-07,118.040001,119.389999,117.269997,117.660004,48100,117.229625
2016-01-08,117.919998,118.279999,115.550003,115.709999,62100,115.286753
2016-01-11,115.959999,116.129997,113.650002,114.68,54600,114.260522
2016-01-12,115.75,116.199997,114.220001,115.699997,53400,115.276787
2016-01-13,116.209999,116.209999,111.489998,112.019997,22100,111.610248
2016-01-14,112.480003,114.230003,110.540001,113.620003,29000,113.204401
2016-01-15,110.919998,111.879997,109.529999,111.720001,142600,111.31135
2016-01-19,112.639999,112.809998,110.129997,111.059998,74100,110.65376
2016-01-20,109.010002,112.639999,106.660004,111.220001,93200,110.813179
2016-01-21,111.639999,112.610001,110.400002,110.93,30900,110.524239
2016-01-22,112.550003,113.980003,112.550003,113.980003,16600,113.563085
2016-01-25,113.43,113.43,111.129997,111.139999,11200,110.73347
2016-01-26,111.709999,113.099998,111.629997,112.980003,24900,112.566743
2016-01-27,112.57,113.110001,110.760002,111.349998,23900,110.9427
2016-01-28,112.330002,112.330002,110.43,110.760002,24000,110.354862
2016-01-29,111.279999,115.019997,111.279999,115.019997,27000,114.599274
2016-02-01,114.18,116.07,114.18,115.470001,41800,115.047633
2016-02-02,114.040001,114.040001,112.300003,112.550003,19100,112.138316
2016-02-03,113.480003,113.480003,110.110001,112.169998,80500,111.759701
2016-02-04,111.760002,112.660004,111.599998,112.449997,28900,112.038675
2016-02-05,112.110001,112.110001,108.660004,108.980003,93900,108.581374
2016-02-08,107.620003,107.620003,104.629997,105.839996,42100,105.452853
2016-02-09,103.900002,106.830002,103.900002,105.900002,131600,105.512639
2016-02-10,106.699997,108.709999,106.519997,106.68,57500,106.289784
2016-02-11,105.169998,106.309998,104.730003,105.809998,27000,105.422964
2016-02-12,106.730003,107.93,105.989998,107.739998,42900,107.345905
2016-02-16,109.169998,110.879997,108.970001,110.760002,22500,110.354862
2016-02-17,111.699997,113.230003,111.699997,112.910004,21300,112.496999
2016-02-18,112.849998,113.029999,111.269997,111.440002,21200,111.032375
2016-02-19,110.879997,111.870003,110.519997,111.779999,34000,111.371128
2016-02-22,112.949997,113.68,112.949997,113.5,20400,113.084838
2016-02-23,113.029999,113.330002,112.730003,112.739998,13800,112.327615
2016-02-24,111.769997,114.059998,111.360001,113.889999,12500,113.473411
2016-02-25,114.459999,115.099998,113.860001,115.099998,16100,114.678984
2016-02-26,115.709999,115.980003,115.279999,115.779999,13900,115.356497
2016-02-29,115.68,116.589996,115.129997,115.129997,8600,114.708873
2016-03-01,115.980003,117.93,115.870003,117.93,12900,117.498634
2016-03-02,117.730003,118.599998,117.379997,118.599998,36300,118.166181
2016-03-03,117.970001,119.260002,117.779999,119.260002,9700,118.823771
2016-03-04,119.5,120.110001,119.050003,120.040001,10400,119.600916
2016-03-07,119.370003,120.389999,119.160004,119.779999,13400,119.341865
2016-03-08,119.269997,119.269997,117.480003,117.68,12400,117.249548
2016-03-09,117.580002,118.089996,117.190002,117.669998,9100,117.239583
2016-03-10,118.230003,118.300003,115.849998,116.910004,20700,116.482368
2016-03-11,117.779999,119.220001,117.779999,119.040001,36100,118.604574
2016-03-14,118.639999,118.790001,118.199997,118.580002,12100,118.146258
2016-03-15,117.879997,118.160004,117.099998,117.290001,11100,116.860975
2016-03-16,116.910004,118.519997,116.910004,118.440002,17000,118.00677
2016-03-17,118.099998,119.160004,117.559998,118.870003,22700,118.435198
2016-03-18,118.650002,120.040001,118.650002,119.809998,15600,119.584028
2016-03-21,119.660004,119.660004,118.940002,119.550003,16000,119.324523
2016-03-22,118.849998,119.949997,118.849998,119.370003,7000,119.144863
2016-03-23,119.279999,119.279999,117.769997,117.769997,9000,117.547874
2016-03-24,117.099998,117.739998,116.980003,117.629997,18900,117.408139
2016-03-28,118.190002,118.529999,117.440002,118.110001,17000,117.887237
2016-03-29,117.830002,120.760002,117.68,120.760002,21300,120.53224
2016-03-30,121.260002,121.260002,120.43,120.669998,14500,120.442406
2016-03-31,120.790001,121.459999,120.75,120.919998,11900,120.691935
2016-04-01,120.290001,121.790001,119.959999,121.790001,22000,121.560296
2016-04-04,121.510002,121.510002,120.190002,120.25,16900,120.0232
2016-04-05,119.82,119.82,119.019997,119.139999,6000,118.915293
2016-04-06,119.110001,120.82,119.110001,120.82,9300,120.592125
2016-04-07,119.720001,119.720001,118.410004,118.730003,6200,118.50607
2016-04-08,119.82,120.080002,118.849998,119.260002,12000,119.035069
2016-04-11,119.769997,120.349998,118.559998,118.620003,8400,118.396277
2016-04-12,118.650002,119.5,118.239998,119.459999,10000,119.234689
2016-04-13,120.139999,122.449997,120.139999,122.400002,12600,122.169147
