Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,2.39,2.41,2.32,2.33,4400,2.33
2016-01-05,2.3,2.3,2.28,2.28,6700,2.28
2016-01-06,2.22,2.24,2.17,2.17,52600,2.17
2016-01-07,2.17,2.19,2.13,2.14,4400,2.14
2016-01-08,2.17,2.17,2.13,2.15,44400,2.15
2016-01-11,2.13,2.13,2.02,2.03,47600,2.03
2016-01-12,1.99,2.0,1.97,1.99,24100,1.99
2016-01-13,2.04,2.04,1.95,1.97,75800,1.97
2016-01-14,1.95,2.0,1.95,2.0,68100,2.0
2016-01-15,1.92,1.92,1.88,1.88,20200,1.88
2016-01-19,1.87,1.89,1.84,1.86,45200,1.86
2016-01-20,1.83,1.83,1.76,1.82,63400,1.82
2016-01-21,1.8,1.89,1.78,1.87,171600,1.87
2016-01-22,1.97,1.99,1.95,1.99,69500,1.99
2016-01-25,1.95,1.97,1.9,1.9,72100,1.9
2016-01-26,1.91,2.0,1.91,1.96,15500,1.96
2016-01-27,1.96,2.05,1.95,2.01,74700,2.01
2016-01-28,2.08,2.11,2.07,2.11,125800,2.11
2016-01-29,2.14,2.14,2.09,2.14,85100,2.14
2016-02-01,2.05,2.05,2.0,2.01,240600,2.01
2016-02-02,1.94,1.95,1.91,1.93,59900,1.93
2016-02-03,1.98,2.03,1.94,2.03,24400,2.03
2016-02-04,2.08,2.08,2.01,2.02,12000,2.02
2016-02-05,1.98,2.02,1.97,1.98,20600,1.98
2016-02-08,1.97,1.98,1.93,1.95,113900,1.95
2016-02-09,1.91,1.95,1.83,1.85,15400,1.85
2016-02-10,1.83,1.87,1.82,1.84,24500,1.84
2016-02-11,1.82,1.86,1.8,1.86,123900,1.86
2016-02-12,1.89,1.94,1.87,1.93,63600,1.93
2016-02-16,1.95,1.95,1.89,1.89,9500,1.89
2016-02-17,1.92,2.0,1.92,1.99,38900,1.99
2016-02-18,2.03,2.04,1.96,1.97,62500,1.97
2016-02-19,1.9,1.92,1.9,1.92,28600,1.92
2016-02-22,1.98,2.0,1.97,1.99,43900,1.99
2016-02-23,1.93,1.93,1.9,1.91,18400,1.91
2016-02-24,1.87,1.94,1.87,1.94,8600,1.94
2016-02-25,1.92,1.93,1.91,1.93,300,1.93
2016-02-26,2.03,2.03,1.97,1.99,6800,1.99
2016-02-29,1.99,2.01,1.99,2.0,24900,2.0
2016-03-01,2.0,2.04,2.0,2.04,3800,2.04
2016-03-02,2.03,2.04,2.01,2.02,7900,2.02
2016-03-03,2.02,2.02,2.02,2.02,0,2.02
2016-03-04,2.05,2.12,2.05,2.12,5500,2.12
2016-03-07,2.15,2.21,2.15,2.2,20800,2.2
2016-03-08,2.15,2.17,2.15,2.17,8100,2.17
2016-03-09,2.22,2.23,2.21,2.23,21900,2.23
2016-03-10,2.21,2.22,2.2,2.21,10000,2.21
2016-03-11,2.23,2.25,2.21,2.22,4200,2.22
2016-03-14,2.18,2.19,2.16,2.19,11500,2.19
2016-03-15,2.16,2.16,2.13,2.14,17700,2.14
2016-03-16,2.21,2.23,2.18,2.22,9800,2.22
2016-03-17,2.27,2.31,2.27,2.28,16000,2.28
2016-03-18,2.34,2.34,2.27,2.29,14800,2.29
2016-03-21,2.3,2.3,2.26,2.28,3500,2.28
2016-03-22,2.29,2.31,2.28,2.31,11600,2.31
2016-03-23,2.27,2.27,2.22,2.22,6400,2.22
2016-03-24,2.17,2.21,2.17,2.21,600,2.21
2016-03-28,2.17,2.2,2.17,2.2,12500,2.2
2016-03-29,2.17,2.18,2.16,2.18,15100,2.18
2016-03-30,2.21,2.23,2.21,2.23,1300,2.23
2016-03-31,2.18,2.19,2.17,2.17,2000,2.17
2016-04-01,2.11,2.11,2.09,2.1,2300,2.1
2016-04-04,2.08,2.11,2.03,2.03,6900,2.03
