Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,22.24,22.24,21.98,22.08,193200,21.62502
2016-01-05,22.08,22.110001,22.07,22.1,4500,21.644608
2016-01-06,21.77,21.870001,21.75,21.76,26800,21.311614
2016-01-07,21.65,21.65,21.530001,21.57,4200,21.125529
2016-01-08,21.559999,21.59,21.4,21.41,28000,20.968826
2016-01-11,21.450001,21.450001,21.1,21.17,35300,20.733771
2016-01-12,21.26,21.26,21.02,21.120001,57700,20.684802
2016-01-13,21.209999,21.209999,20.969999,20.98,10900,20.547686
2016-01-14,21.15,21.200001,21.0,21.15,51100,20.714183
2016-01-15,20.879999,20.879999,20.75,20.870001,25900,20.439954
2016-01-19,20.940001,20.940001,20.719999,20.780001,47900,20.351808
2016-01-20,20.620001,20.620001,20.24,20.530001,26700,20.10696
2016-01-21,20.559999,20.77,20.559999,20.68,31100,20.253869
2016-01-22,20.91,21.059999,20.91,21.030001,69800,20.596657
2016-01-25,20.91,20.950001,20.780001,20.780001,11100,20.351808
2016-01-26,20.969999,21.129999,20.969999,21.110001,88600,20.675008
2016-01-27,21.049999,21.23,21.0,21.09,30400,20.65542
2016-01-28,21.34,21.389999,21.219999,21.290001,110900,20.8513
2016-01-29,21.379999,21.559999,21.360001,21.549999,23500,21.10594
2016-02-01,21.41,21.530001,21.379999,21.469999,97600,21.027589
2016-02-02,21.309999,21.309999,21.129999,21.129999,5000,20.694595
2016-02-03,21.190001,21.51,21.129999,21.49,6600,21.047177
2016-02-04,21.5,21.790001,21.5,21.68,141300,21.233263
2016-02-05,21.559999,21.629999,21.49,21.530001,18700,21.086354
2016-02-08,21.35,21.4,21.280001,21.370001,9100,20.929651
2016-02-09,21.309999,21.309999,21.040001,21.110001,2400,20.675008
2016-02-10,21.15,21.24,21.1,21.1,8400,20.665214
2016-02-11,20.91,21.120001,20.91,21.1,16700,20.665214
2016-02-12,21.049999,21.27,21.049999,21.27,25300,20.831711
2016-02-16,21.370001,21.41,21.309999,21.389999,9400,20.949237
2016-02-17,21.48,21.700001,21.48,21.67,26400,21.223468
2016-02-18,21.690001,21.76,21.68,21.719999,39300,21.272437
2016-02-19,21.58,21.66,21.58,21.629999,8200,21.184292
2016-02-22,21.889999,21.9,21.870001,21.9,9300,21.448729
2016-02-23,21.92,21.92,21.690001,21.690001,26600,21.243057
2016-02-24,21.57,21.73,21.57,21.73,29600,21.282232
2016-02-25,21.74,21.870001,21.73,21.870001,9300,21.419348
2016-02-26,21.93,21.959999,21.82,21.85,5800,21.39976
