Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,23.26,23.26,23.26,23.26,200,22.533684
2016-01-05,23.239,23.26,23.236,23.26,3100,22.533684
2016-01-06,23.26,23.26,23.26,23.26,0,22.533684
2016-01-07,23.26,23.26,23.26,23.26,0,22.533684
2016-01-08,23.26,23.26,23.26,23.26,0,22.533684
2016-01-11,22.290001,22.290001,22.290001,22.290001,100,21.593974
2016-01-12,22.290001,22.290001,22.290001,22.290001,0,21.593974
2016-01-13,22.82,22.82,22.059999,22.07,1300,21.380842
2016-01-14,22.07,22.07,22.07,22.07,0,21.380842
2016-01-15,22.07,22.07,22.07,22.07,0,21.380842
2016-01-19,22.07,22.07,22.07,22.07,0,21.380842
2016-01-20,22.07,22.07,22.07,22.07,0,21.380842
2016-01-21,21.5,21.5,21.32,21.32,10500,20.654262
2016-01-22,21.870001,22.0,21.860001,22.0,9200,21.313028
2016-01-25,21.868,21.868,21.868,21.868,500,21.18515
2016-01-26,21.868,21.868,21.868,21.868,0,21.18515
2016-01-27,21.868,21.868,21.868,21.868,0,21.18515
2016-01-28,21.868,21.868,21.868,21.868,0,21.18515
2016-01-29,22.32,22.33,22.32,22.32,2900,21.623036
2016-02-01,22.32,22.32,22.32,22.32,0,21.623036
2016-02-02,22.219999,22.32,22.030001,22.030001,4300,21.342092
2016-02-03,22.030001,22.030001,22.030001,22.030001,0,21.342092
2016-02-04,22.17,22.190001,22.16,22.17,11700,21.47772
2016-02-05,21.889999,21.9,21.870001,21.870001,8800,21.187089
2016-02-08,21.440001,21.450001,21.32,21.32,17800,20.654262
2016-02-09,21.33,21.504999,21.32,21.323999,5800,20.658137
2016-02-10,21.323999,21.323999,21.323999,21.323999,0,20.658137
2016-02-11,20.962,21.120001,20.952,20.969999,5000,20.315191
2016-02-12,21.101999,21.101999,21.101999,21.101999,300,20.443069
2016-02-16,21.940001,22.030001,21.940001,22.030001,7400,21.342092
2016-02-17,21.99,22.031,21.99,22.031,300,21.343061
2016-02-18,22.35,22.35,22.268,22.309999,1100,21.613348
2016-02-19,22.309999,22.309999,22.309999,22.309999,0,21.613348
2016-02-22,22.41,22.41,22.379999,22.379999,500,21.681162
2016-02-23,22.167999,22.179001,22.0,22.179001,44200,21.48644
2016-02-24,22.059999,22.200001,22.02,22.200001,3200,21.506784
2016-02-25,22.198999,22.219999,22.190001,22.209999,3000,21.51647
2016-02-26,22.209999,22.209999,22.209999,22.209999,0,21.51647
2016-02-29,22.209999,22.209999,22.209999,22.209999,0,21.51647
