Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,76.970001,76.970001,73.800003,75.0,24600,74.820019
2016-01-05,76.699997,76.980003,75.019997,75.120003,10600,74.939734
2016-01-06,72.529999,73.690002,72.309998,73.050003,13400,72.874702
2016-01-07,70.019997,71.699997,68.300003,68.300003,43100,68.136101
2016-01-08,69.540001,69.860001,67.150002,67.25,36100,67.088617
2016-01-11,68.18,68.629997,66.220001,67.910004,71600,67.747037
2016-01-12,69.099998,70.120003,67.910004,69.660004,15700,69.492838
2016-01-13,70.440002,70.440002,65.440002,65.440002,22100,65.282963
2016-01-14,66.120003,69.220001,64.029999,68.080002,21000,67.916627
2016-01-15,66.419998,66.419998,62.16,63.740002,52200,63.587042
2016-01-19,65.220001,65.300003,62.459999,63.580002,54300,63.427426
2016-01-20,61.040001,63.66,58.880001,63.099998,81900,62.948575
2016-01-21,63.41,65.010002,62.080002,63.240002,12600,63.088242
2016-01-22,65.129997,66.730003,65.129997,66.720001,13100,66.55989
2016-01-25,66.629997,66.860001,64.849998,64.980003,9800,64.824068
2016-01-26,65.57,66.480003,64.669998,65.82,9700,65.662049
2016-01-27,64.75,65.379997,62.540001,62.790001,19400,62.639321
2016-01-28,64.93,65.080002,63.849998,64.839996,8700,64.684397
2016-01-29,65.949997,69.0,65.949997,69.0,19800,68.834418
2016-02-01,68.480003,69.949997,68.099998,69.5,9900,69.333218
2016-02-02,67.889999,68.400002,66.089996,66.540001,7400,66.380322
2016-02-03,66.900002,67.279999,64.040001,66.029999,10600,65.871544
2016-02-04,65.940002,67.309998,65.32,66.199997,4700,66.041134
2016-02-05,65.709999,65.709999,61.290001,61.400002,42300,61.252657
2016-02-08,59.759998,60.18,57.540001,59.709999,70200,59.56671
2016-02-09,58.48,61.220001,58.02,58.950001,20900,58.808536
2016-02-10,60.290001,61.77,59.25,59.25,17500,59.107815
2016-02-11,57.919998,60.0,57.830002,59.110001,24700,58.968152
2016-02-12,60.459999,60.709999,59.599998,60.709999,58500,60.564311
2016-02-16,62.360001,63.369999,61.68,63.07,12200,62.918648
2016-02-17,63.830002,66.739998,63.830002,66.470001,27700,66.31049
2016-02-18,67.040001,67.040001,65.440002,65.440002,25400,65.282963
2016-02-19,64.93,66.099998,64.919998,65.800003,5800,65.6421
2016-02-22,67.199997,67.860001,67.089996,67.629997,20900,67.467703
2016-02-23,66.370003,67.199997,65.059998,65.199997,13100,65.043534
2016-02-24,64.010002,66.480003,63.119999,66.480003,15500,66.320468
2016-02-25,67.419998,68.0,65.669998,68.0,10600,67.836818
2016-02-26,68.839996,69.0,67.739998,67.989998,6600,67.826839
2016-02-29,68.059998,68.949997,67.739998,67.830002,2800,67.667227
2016-03-01,68.059998,71.059998,68.059998,70.989998,18800,70.81964
2016-03-02,71.220001,71.519997,70.459999,71.519997,7600,71.348367
2016-03-03,71.0,71.510002,70.699997,71.510002,7200,71.338397
2016-03-04,71.599998,72.879997,71.599998,72.019997,9000,71.847167
2016-03-07,71.309998,72.07,70.32,71.400002,37400,71.22866
2016-03-08,70.209999,71.599998,70.040001,70.129997,5900,69.961703
2016-03-09,71.169998,71.730003,70.870003,71.690002,3400,71.517965
2016-03-10,72.510002,72.879997,69.900002,71.230003,20600,71.05907
2016-03-11,73.0,73.959999,73.0,73.809998,13300,73.632873
2016-03-14,73.809998,74.279999,73.809998,74.080002,3500,73.902229
2016-03-15,73.5,74.580002,73.5,74.279999,5700,74.101746
2016-03-16,74.269997,76.470001,74.269997,76.269997,8000,76.086968
2016-03-17,76.220001,77.32,75.82,76.870003,11000,76.685535
2016-03-18,76.860001,77.459999,76.610001,77.209999,12000,77.024715
2016-03-21,76.599998,77.760002,76.599998,77.639999,6600,77.453683
2016-03-22,77.050003,78.459999,77.050003,78.449997,2800,78.261737
2016-03-23,78.07,78.07,76.370003,76.529999,4400,76.459404
2016-03-24,75.620003,76.75,75.610001,76.739998,16400,76.66921
2016-03-28,77.019997,77.019997,76.059998,76.139999,7500,76.069765
2016-03-29,76.440002,78.980003,76.440002,78.839996,4700,78.767271
2016-03-30,79.639999,80.889999,79.580002,79.82,37200,79.74637
2016-03-31,79.739998,80.5,79.599998,79.75,9700,79.676435
2016-04-01,78.660004,80.809998,78.660004,80.809998,10100,80.735455
2016-04-04,80.610001,81.0,79.800003,79.800003,37800,79.726392
2016-04-05,78.529999,79.309998,78.32,78.559998,4800,78.487531
