Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,28.870001,29.1,28.799999,29.049999,5100,28.303569
2016-01-05,29.1,29.1,28.74,28.950001,10300,28.20614
2016-01-06,28.24,28.4,28.08,28.23,7400,27.504639
2016-01-07,27.76,27.84,27.450001,27.48,43000,26.77391
2016-01-08,27.540001,27.65,26.99,26.99,41400,26.296501
2016-01-11,27.07,27.07,26.74,26.98,6200,26.286757
2016-01-12,27.08,27.08,26.75,26.889999,2600,26.19907
2016-01-13,27.0,27.0,26.57,26.57,3400,25.887292
2016-01-14,26.85,27.440001,26.85,27.360001,71200,26.656994
2016-01-15,26.17,26.17,26.15,26.17,1700,25.497571
2016-01-19,26.52,26.559999,26.09,26.309999,3100,25.633973
2016-01-20,25.200001,25.5,25.01,25.5,500,24.844786
2016-01-21,26.049999,26.08,25.93,25.969999,3900,25.302709
2016-01-22,26.780001,26.950001,26.780001,26.950001,1000,26.257529
2016-01-25,26.620001,26.620001,26.41,26.41,1800,25.731404
2016-01-26,26.809999,27.02,26.809999,27.02,2700,26.325731
2016-01-27,27.33,27.33,26.9,26.9,700,26.208813
2016-01-28,27.110001,27.299999,27.110001,27.299999,2600,26.598535
2016-01-29,27.57,27.57,27.57,27.57,400,26.861598
2016-02-01,27.4,27.719999,27.33,27.719999,6500,27.007743
2016-02-02,26.82,26.84,26.639999,26.700001,700,26.013953
2016-02-03,26.43,27.23,26.43,27.23,1100,26.530334
2016-02-04,27.52,27.68,27.52,27.59,1300,26.881084
2016-02-05,27.35,27.35,27.129999,27.15,6100,26.452389
2016-02-08,26.41,26.58,26.41,26.58,1100,25.897036
2016-02-09,25.91,26.190001,25.889999,26.120001,900,25.448856
2016-02-10,26.200001,26.23,26.200001,26.200001,3400,25.5268
2016-02-11,25.32,25.639999,25.32,25.639999,1500,24.981188
2016-02-12,26.309999,26.4,26.309999,26.4,500,25.72166
2016-02-16,26.889999,26.9,26.85,26.9,11900,26.208813
2016-02-17,27.33,27.6,27.33,27.6,12400,26.890828
2016-02-18,27.549999,27.549999,27.549999,27.549999,200,26.842111
2016-02-19,27.309999,27.309999,27.17,27.190001,600,26.491362
2016-02-22,27.950001,27.950001,27.950001,27.950001,300,27.231835
2016-02-23,27.950001,27.950001,27.950001,27.950001,0,27.231835
2016-02-24,26.93,27.17,26.93,27.17,6100,26.471876
2016-02-25,27.139999,27.360001,27.040001,27.34,9600,26.637508
2016-02-26,27.58,27.58,27.58,27.58,1000,26.871341
2016-02-29,27.59,27.59,27.57,27.57,22400,26.861598
2016-03-01,28.16,28.16,28.16,28.16,300,27.436438
2016-03-02,28.540001,28.540001,28.540001,28.540001,3000,27.806675
2016-03-03,28.540001,28.540001,28.540001,28.540001,0,27.806675
2016-03-04,28.969999,29.969999,28.969999,29.969999,400,29.19993
2016-03-07,29.969999,29.969999,29.969999,29.969999,0,29.19993
2016-03-08,29.969999,29.969999,29.969999,29.969999,0,29.19993
2016-03-09,29.969999,29.969999,29.969999,29.969999,0,29.19993
2016-03-10,29.620001,29.620001,29.620001,29.620001,700,28.858925
2016-03-11,30.27,30.27,30.25,30.25,300,29.472736
2016-03-14,30.049999,30.049999,30.049999,30.049999,600,29.277874
2016-03-15,29.379999,29.57,29.370001,29.530001,1800,28.771237
2016-03-16,29.709999,29.719999,29.709999,29.719999,500,28.956354
2016-03-17,30.540001,30.690001,30.540001,30.690001,400,29.901431
2016-03-18,30.690001,30.690001,30.690001,30.690001,0,29.901431
2016-03-21,30.540001,30.540001,30.41,30.49,2500,29.706569
2016-03-22,30.35,30.35,30.35,30.35,400,29.570167
2016-03-23,30.35,30.35,30.35,30.35,0,29.570167
2016-03-24,30.35,30.35,30.35,30.35,0,29.570167
2016-03-28,29.790001,29.790001,29.790001,29.790001,200,29.024557
2016-03-29,30.02,30.040001,30.02,30.040001,400,29.268133
2016-03-30,30.040001,30.040001,30.040001,30.040001,0,29.268133
2016-03-31,30.17,30.17,30.17,30.17,300,29.394792
