Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,30.42,30.43,30.33,30.4,744900,29.902652
2016-01-05,30.4,30.450001,30.379999,30.41,2529200,29.912489
2016-01-06,30.42,30.450001,30.41,30.440001,607300,29.941999
2016-01-07,30.440001,30.450001,30.42,30.450001,653900,29.951836
2016-01-08,30.42,30.469999,30.389999,30.42,2821000,29.922326
2016-01-11,30.42,30.459999,30.4,30.450001,1687800,29.951836
2016-01-12,30.450001,30.469999,30.42,30.450001,767800,29.951836
2016-01-13,30.42,30.469999,30.42,30.450001,744400,29.951836
2016-01-14,30.469999,30.48,30.43,30.440001,564300,29.941999
2016-01-15,30.459999,30.459999,30.41,30.42,1206100,29.922326
2016-01-19,30.440001,30.469999,30.4,30.440001,1978400,29.941999
2016-01-20,30.4,30.459999,30.33,30.35,1987200,29.853471
2016-01-21,30.360001,30.41,30.34,30.360001,1053500,29.863308
2016-01-22,30.35,30.41,30.32,30.360001,4881300,29.863308
2016-01-25,30.370001,30.389999,30.33,30.370001,507400,29.873144
2016-01-26,30.4,30.4,30.360001,30.379999,1073400,29.882979
2016-01-27,30.35,30.360001,30.33,30.34,569000,29.843635
2016-01-28,30.34,30.379999,30.34,30.379999,437300,29.882979
2016-01-29,30.370001,30.41,30.370001,30.379999,763400,29.882979
2016-02-01,30.389999,30.389999,30.32,30.35,1765000,29.89283
2016-02-02,30.33,30.35,30.33,30.33,753600,29.87313
2016-02-03,30.370001,30.370001,30.33,30.35,1921900,29.89283
2016-02-04,30.34,30.370001,30.34,30.370001,312800,29.912529
2016-02-05,30.35,30.360001,30.33,30.35,290900,29.89283
2016-02-08,30.34,30.379999,30.34,30.379999,264300,29.922377
2016-02-09,30.389999,30.42,30.360001,30.4,1599700,29.942076
2016-02-10,30.42,30.440001,30.360001,30.43,1466500,29.971625
2016-02-11,30.48,30.48,30.389999,30.41,581900,29.951925
2016-02-12,30.389999,30.389999,30.34,30.34,453400,29.88298
2016-02-16,30.35,30.379999,30.35,30.35,349300,29.89283
2016-02-17,30.360001,30.370001,30.34,30.360001,366500,29.902679
2016-02-18,30.379999,30.389999,30.360001,30.389999,378700,29.932226
2016-02-19,30.360001,30.41,30.360001,30.370001,264800,29.912529
2016-02-22,30.35,30.4,30.35,30.4,652300,29.942076
2016-02-23,30.370001,30.43,30.360001,30.42,1059300,29.961775
2016-02-24,30.379999,30.450001,30.379999,30.42,1143700,29.961775
2016-02-25,30.450001,30.459999,30.4,30.459999,958800,30.001171
2016-02-26,30.41,30.459999,30.41,30.459999,695500,30.001171
2016-02-29,30.42,30.5,30.42,30.49,642600,30.03072
2016-03-01,30.450001,30.450001,30.4,30.43,435500,30.012968
2016-03-02,30.370001,30.440001,30.370001,30.389999,5229600,29.973515
2016-03-03,30.41,30.41,30.34,30.370001,2531200,29.95379
2016-03-04,30.34,30.370001,30.32,30.35,1102800,29.934064
2016-03-07,30.360001,30.370001,30.34,30.35,753700,29.934064
2016-03-08,30.370001,30.379999,30.35,30.360001,390000,29.943927
2016-03-09,30.379999,30.379999,30.35,30.370001,921800,29.95379
2016-03-10,30.4,30.4,30.360001,30.370001,406000,29.95379
2016-03-11,30.379999,30.41,30.379999,30.389999,546100,29.973515
2016-03-14,30.4,30.41,30.379999,30.4,782800,29.983378
2016-03-15,30.42,30.440001,30.4,30.43,803600,30.012968
2016-03-16,30.41,30.49,30.4,30.49,374300,30.072145
2016-03-17,30.52,30.52,30.48,30.49,482000,30.072145
2016-03-18,30.52,30.52,30.49,30.5,590200,30.082008
2016-03-21,30.51,30.530001,30.48,30.52,720100,30.101734
2016-03-22,30.51,30.540001,30.5,30.5,451600,30.082008
2016-03-23,30.5,30.52,30.5,30.52,288000,30.101734
2016-03-24,30.48,30.540001,30.48,30.52,675100,30.101734
2016-03-28,30.540001,30.559999,30.5,30.52,470100,30.101734
