Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,34.099998,34.099998,33.73,34.009998,35600,34.009998
2016-01-05,34.040001,34.139999,33.009998,33.09,71600,33.09
2016-01-06,32.779999,33.18,32.610001,32.630001,42100,32.630001
2016-01-07,33.509998,33.98,33.279999,33.48,59900,33.48
2016-01-08,33.810001,33.810001,32.810001,32.880001,28600,32.880001
2016-01-11,32.450001,32.599998,31.75,32.110001,99700,32.110001
2016-01-12,31.719999,32.279999,31.610001,31.74,95000,31.74
2016-01-13,32.349998,33.040001,32.349998,32.919998,34400,32.919998
2016-01-14,33.139999,34.02,33.139999,33.689999,87900,33.689999
2016-01-15,33.869999,34.419998,33.740002,33.740002,31800,33.740002
2016-01-19,34.130001,34.150002,33.360001,33.48,74900,33.48
2016-01-20,32.419998,32.560001,31.99,32.130001,104000,32.130001
2016-01-21,32.919998,33.060001,32.709999,32.77,28400,32.77
2016-01-22,33.380001,33.380001,32.450001,32.669998,68200,32.669998
2016-01-25,32.119999,32.200001,31.83,31.99,24400,31.99
2016-01-26,31.889999,32.490002,31.51,31.780001,79200,31.780001
2016-01-27,31.02,31.02,30.42,30.469999,55600,30.469999
2016-01-28,29.77,30.02,29.49,29.91,84800,29.91
2016-01-29,29.35,29.969999,29.35,29.389999,44000,29.389999
2016-02-01,29.450001,30.09,28.459999,28.59,66400,28.59
2016-02-02,28.530001,29.35,28.309999,28.99,41400,28.99
2016-02-03,29.209999,29.290001,28.540001,28.76,28200,28.76
2016-02-04,29.1,29.1,28.75,28.879999,15600,28.879999
2016-02-05,29.309999,29.969999,29.309999,29.950001,17900,29.950001
2016-02-08,29.91,30.48,29.809999,30.379999,47600,30.379999
2016-02-09,30.33,30.370001,29.91,29.940001,12600,29.940001
2016-02-10,29.98,30.299999,29.92,30.059999,51700,30.059999
2016-02-11,29.450001,29.74,29.299999,29.35,12500,29.35
2016-02-12,29.65,29.74,29.559999,29.65,18300,29.65
2016-02-16,29.92,29.959999,29.4,29.82,18700,29.82
