Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,24.57,24.68,24.540001,24.620001,29600,24.116667
2016-01-05,24.629999,24.67,24.57,24.57,5200,24.067688
2016-01-06,24.690001,24.690001,24.540001,24.690001,9500,24.185236
2016-01-07,24.690001,24.690001,24.6,24.629999,9800,24.126461
2016-01-08,24.6,24.68,24.59,24.6,17400,24.097076
2016-01-11,24.620001,24.690001,24.549999,24.559999,20900,24.057893
2016-01-12,24.620001,24.67,24.6,24.65,2600,24.146053
2016-01-13,24.549999,24.639999,24.549999,24.559999,7800,24.057893
2016-01-14,24.620001,24.65,24.57,24.639999,11200,24.136257
2016-01-15,24.65,24.690001,24.6,24.67,18900,24.165644
2016-01-19,24.559999,24.700001,24.559999,24.59,39900,24.08728
2016-01-20,24.559999,24.82,24.559999,24.73,39900,24.224417
2016-01-21,24.799999,24.82,24.610001,24.809999,4600,24.302781
2016-01-22,24.950001,24.950001,24.68,24.73,11100,24.224417
2016-01-25,24.809999,24.82,24.6,24.66,38300,24.155848
2016-01-26,24.799999,24.870001,24.709999,24.799999,6900,24.292986
2016-01-27,24.91,24.91,24.67,24.700001,29800,24.195032
2016-01-28,24.76,24.83,24.629999,24.77,6200,24.2636
2016-01-29,24.620001,24.9,24.620001,24.879999,11500,24.37135
2016-02-01,24.75,24.75,24.66,24.68,24900,24.241696
2016-02-02,24.879999,24.879999,24.66,24.799999,14800,24.359564
2016-02-03,24.92,24.940001,24.629999,24.940001,36600,24.497079
2016-02-04,24.92,24.92,24.83,24.879999,22300,24.438143
2016-02-05,24.91,24.91,24.629999,24.9,32300,24.457788
2016-02-08,24.889999,24.9,24.85,24.879999,9200,24.438143
2016-02-09,24.879999,24.92,24.82,24.879999,24700,24.438143
2016-02-10,24.809999,24.870001,24.809999,24.82,3200,24.379209
2016-02-11,24.799999,24.879999,24.799999,24.85,5300,24.408677
2016-02-12,24.799999,24.860001,24.67,24.76,17500,24.320275
2016-02-16,24.84,24.870001,24.67,24.67,22900,24.231873
2016-02-17,24.83,24.9,24.780001,24.870001,32400,24.428322
2016-02-18,25.07,25.08,24.83,24.940001,29300,24.497079
2016-02-19,24.950001,25.0,24.870001,24.9,25900,24.457788
2016-02-22,24.969999,24.969999,24.82,24.82,19700,24.379209
2016-02-23,24.82,24.959999,24.82,24.959999,23900,24.516722
2016-02-24,24.969999,25.040001,24.93,24.93,3900,24.487256
2016-02-25,24.91,24.959999,24.91,24.950001,9600,24.506901
2016-02-26,25.209999,25.209999,24.84,24.92,154800,24.477433
2016-02-29,25.01,25.09,24.959999,25.08,51600,24.634592
2016-03-01,25.16,25.16,24.83,25.0,17500,24.556012
2016-03-02,24.98,25.040001,24.9,24.950001,15700,24.506901
2016-03-03,24.889999,25.030001,24.889999,25.02,40300,24.575658
2016-03-04,25.110001,25.110001,24.950001,25.040001,39400,24.595303
2016-03-07,25.07,25.07,24.99,25.059999,10300,24.614946
2016-03-08,25.139999,25.139999,25.01,25.01,5200,24.565835
2016-03-09,24.950001,25.059999,24.940001,25.059999,9700,24.614946
2016-03-10,25.07,25.1,25.01,25.09,14900,24.644414
2016-03-11,25.110001,25.120001,25.01,25.02,32900,24.575658
2016-03-14,25.040001,25.08,25.030001,25.07,14700,24.624769
2016-03-15,25.09,25.09,25.02,25.030001,61300,24.58548
2016-03-16,25.08,25.09,25.01,25.07,29500,24.624769
2016-03-17,25.07,25.09,25.040001,25.040001,45200,24.595303
2016-03-18,25.040001,25.110001,25.040001,25.049999,46900,24.605124
2016-03-21,25.120001,25.120001,25.030001,25.08,15400,24.634592
2016-03-22,25.07,25.09,25.01,25.040001,12300,24.595303
2016-03-23,25.01,25.09,25.0,25.01,10700,24.565835
2016-03-24,25.07,25.1,25.02,25.09,11300,24.644414
2016-03-28,25.1,25.1,25.01,25.08,23000,24.634592
2016-03-29,25.02,25.1,25.02,25.1,25500,24.654237
2016-03-30,25.1,25.110001,25.02,25.02,19900,24.575658
2016-03-31,25.110001,25.110001,25.02,25.110001,9000,24.66406
2016-04-01,25.110001,25.110001,24.969999,25.030001,17300,24.58548
2016-04-04,25.0,25.049999,25.0,25.030001,22200,24.58548
2016-04-05,25.02,25.08,25.0,25.08,15600,24.634592
2016-04-06,24.959999,25.059999,24.959999,25.040001,27100,24.595303
