Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,44.400002,44.400002,44.220001,44.369999,343000,42.527241
2016-01-05,44.290001,44.459999,44.279999,44.389999,278100,42.546411
2016-01-06,44.369999,44.450001,44.25,44.389999,192100,42.546411
2016-01-07,44.110001,44.25,44.110001,44.240002,119100,42.402643
2016-01-08,44.290001,44.330002,44.110001,44.18,153300,42.345133
2016-01-11,44.23,44.32,44.07,44.150002,391500,42.31638
2016-01-12,44.209999,44.32,44.029999,44.240002,214300,42.402643
2016-01-13,44.18,44.220001,43.889999,43.959999,433000,42.134269
2016-01-14,43.919998,44.040001,43.700001,44.040001,563100,42.210948
2016-01-15,43.400002,43.759998,43.299999,43.720001,301800,41.904239
2016-01-19,43.639999,43.880001,43.41,43.560001,601400,41.750884
2016-01-20,43.18,43.459999,42.869999,43.16,521000,41.367495
2016-01-21,43.16,43.57,43.060001,43.349998,203800,41.549603
2016-01-22,43.490002,43.959999,43.490002,43.959999,234100,42.134269
2016-01-25,43.689999,43.759998,43.48,43.48,315000,41.674205
2016-01-26,43.639999,43.900002,43.580002,43.759998,196900,41.942575
2016-01-27,43.740002,43.959999,43.66,43.68,242400,41.865899
2016-01-28,43.849998,43.950001,43.790001,43.91,178000,42.086346
2016-01-29,44.009998,44.09,43.950001,44.040001,206600,42.210948
2016-02-01,43.700001,43.740002,43.57,43.66,235600,42.046266
2016-02-02,43.549999,43.630001,43.360001,43.470001,1377800,41.86329
2016-02-03,43.5,43.630001,43.330002,43.529999,174400,41.92107
2016-02-04,43.490002,43.639999,43.389999,43.52,163800,41.911441
2016-02-05,43.610001,43.610001,43.290001,43.360001,341800,41.757355
2016-02-08,43.240002,43.240002,42.91,43.049999,175500,41.458812
2016-02-09,42.77,43.049999,42.73,42.919998,254600,41.333616
2016-02-10,42.900002,43.02,42.75,42.759998,305700,41.17953
2016-02-11,42.599998,42.639999,42.310001,42.52,645800,40.948403
2016-02-12,42.57,43.029999,42.509998,42.959999,659500,41.372138
2016-02-16,42.869999,43.130001,42.549999,42.970001,309700,41.381771
