Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,17.99,18.08,17.99,18.030001,74700,17.179198
2016-01-05,18.040001,18.08,18.040001,18.07,67000,17.21731
2016-01-06,17.950001,18.059999,17.92,18.059999,397900,17.207781
2016-01-07,17.959999,18.049999,17.950001,18.049999,103800,17.198253
2016-01-08,18.01,18.07,17.959999,18.049999,122800,17.198253
2016-01-11,18.0,18.07,17.92,18.07,110100,17.21731
2016-01-12,18.02,18.1,18.0,18.030001,89100,17.179198
2016-01-13,18.059999,18.1,17.959999,18.08,186700,17.226838
2016-01-14,17.959999,18.040001,17.85,17.9,302300,17.055332
2016-01-15,17.9,17.9,17.66,17.799999,263900,17.027589
2016-01-19,17.790001,17.940001,17.790001,17.860001,153600,17.084986
2016-01-20,17.77,17.879999,17.690001,17.879999,120000,17.104117
2016-01-21,17.799999,17.889999,17.780001,17.870001,102200,17.094553
2016-01-22,17.84,17.92,17.809999,17.889999,143000,17.113683
2016-01-25,17.83,17.889999,17.77,17.83,170500,17.056288
2016-01-26,17.790001,17.92,17.790001,17.92,148000,17.142382
2016-01-27,17.860001,17.91,17.809999,17.889999,134500,17.113683
2016-01-28,17.860001,17.92,17.799999,17.92,125200,17.142382
2016-01-29,17.889999,17.959999,17.889999,17.889999,91900,17.113683
2016-02-01,17.83,17.940001,17.83,17.879999,234400,17.104117
2016-02-02,17.870001,17.940001,17.870001,17.9,60000,17.12325
2016-02-03,17.93,17.959999,17.889999,17.92,60600,17.142382
2016-02-04,17.91,17.969999,17.85,17.860001,57200,17.084986
2016-02-05,17.82,17.91,17.799999,17.799999,125300,17.027589
2016-02-08,17.84,17.860001,17.799999,17.85,111200,17.07542
2016-02-09,17.77,17.92,17.77,17.870001,32100,17.094553
2016-02-10,17.84,17.860001,17.75,17.85,71900,17.07542
2016-02-11,17.73,17.82,17.719999,17.799999,120800,17.027589
2016-02-12,17.870001,17.870001,17.629999,17.66,84100,16.956537
2016-02-16,17.67,17.700001,17.639999,17.690001,67400,16.985343
2016-02-17,17.66,17.709999,17.65,17.68,86600,16.975741
2016-02-18,17.66,17.719999,17.66,17.67,211000,16.966139
2016-02-19,17.66,17.719999,17.66,17.700001,55400,16.994945
2016-02-22,17.719999,17.76,17.709999,17.73,100000,17.023749
2016-02-23,17.73,17.76,17.719999,17.76,58600,17.052554
2016-02-24,17.700001,17.76,17.700001,17.74,90400,17.033351
2016-02-25,17.75,17.780001,17.74,17.76,48300,17.052554
2016-02-26,17.799999,17.799999,17.75,17.790001,56900,17.08136
2016-02-29,17.799999,17.84,17.790001,17.83,106000,17.119766
2016-03-01,17.860001,17.889999,17.84,17.879999,63100,17.167773
2016-03-02,17.889999,17.92,17.879999,17.92,122500,17.206181
2016-03-03,17.959999,18.0,17.940001,17.98,64600,17.26379
2016-03-04,17.99,18.059999,17.98,18.030001,80900,17.3118
2016-03-07,18.030001,18.1,18.030001,18.07,60700,17.350205
2016-03-08,18.120001,18.15,18.09,18.09,53900,17.369409
2016-03-09,18.129999,18.139999,18.120001,18.139999,40000,17.417417
2016-03-10,18.129999,18.17,18.120001,18.17,37700,17.446222
2016-03-11,18.18,18.24,18.18,18.209999,40100,17.484628
2016-03-14,18.190001,18.23,18.190001,18.219999,43500,17.49423
2016-03-15,18.17,18.209999,18.15,18.209999,47400,17.550128
2016-03-16,18.190001,18.23,18.15,18.209999,60900,17.550128
2016-03-17,18.209999,18.25,18.200001,18.24,43400,17.579041
2016-03-18,18.209999,18.27,18.209999,18.23,46400,17.569403
2016-03-21,18.25,18.309999,18.219999,18.24,82400,17.579041
2016-03-22,18.24,18.280001,18.23,18.26,44100,17.598317
2016-03-23,18.23,18.290001,18.23,18.25,71800,17.588679
2016-03-24,18.209999,18.26,18.200001,18.219999,50000,17.559766
2016-03-28,18.23,18.25,18.209999,18.23,54300,17.569403
2016-03-29,18.209999,18.280001,18.209999,18.280001,47700,17.617593
2016-03-30,18.209999,18.24,18.200001,18.24,54100,17.579041
2016-03-31,18.209999,18.27,18.209999,18.25,43300,17.588679
2016-04-01,18.25,18.27,18.190001,18.23,67600,17.569403
2016-04-04,18.25,18.27,18.23,18.25,55300,17.588679
2016-04-05,18.26,18.27,18.23,18.23,57100,17.569403
2016-04-06,18.25,18.33,18.24,18.309999,45700,17.646504
2016-04-07,18.290001,18.33,18.26,18.299999,40200,17.636867
2016-04-08,18.299999,18.35,18.290001,18.32,80900,17.656142
2016-04-11,18.299999,18.379999,18.299999,18.35,65100,17.685056
2016-04-12,18.35,18.4,18.34,18.34,92000,17.675418
2016-04-13,18.360001,18.41,18.35,18.379999,46300,17.713967
2016-04-14,18.41,18.440001,18.370001,18.379999,49700,17.713967
2016-04-15,18.33,18.360001,18.27,18.32,244400,17.719772
2016-04-18,18.32,18.41,18.32,18.389999,129500,17.787478
2016-04-19,18.35,18.41,18.35,18.370001,91200,17.768135
2016-04-20,18.370001,18.42,18.370001,18.42,54300,17.816496
2016-04-21,18.4,18.459999,18.4,18.41,57200,17.806823
2016-04-22,18.440001,18.5,18.440001,18.5,51300,17.893874
2016-04-25,18.440001,18.49,18.440001,18.459999,62400,17.855184
2016-04-26,18.48,18.52,18.469999,18.48,54400,17.874529
2016-04-27,18.469999,18.530001,18.469999,18.49,72400,17.884202
2016-04-28,18.48,18.530001,18.48,18.51,48400,17.903547
2016-04-29,18.49,18.51,18.469999,18.5,67600,17.893874
2016-05-02,18.49,18.530001,18.469999,18.49,130000,17.884202
2016-05-03,18.49,18.49,18.42,18.469999,329900,17.864857
2016-05-04,18.43,18.48,18.43,18.440001,68200,17.835841
2016-05-05,18.440001,18.49,18.43,18.48,45100,17.874529
2016-05-06,18.459999,18.5,18.450001,18.5,535500,17.893874
2016-05-09,18.48,18.51,18.42,18.48,325100,17.874529
2016-05-10,18.450001,18.5,18.450001,18.5,201300,17.893874
2016-05-11,18.469999,18.48,18.42,18.450001,44800,17.845513
2016-05-12,18.469999,18.49,18.450001,18.49,79300,17.884202
2016-05-13,18.379999,18.440001,18.379999,18.4,56800,17.865754
2016-05-16,18.42,18.459999,18.4,18.41,35800,17.875464
2016-05-17,18.389999,18.43,18.360001,18.43,60500,17.894884
2016-05-18,18.450001,18.459999,18.4,18.43,48700,17.894884
2016-05-19,18.440001,18.459999,18.42,18.43,74700,17.894884
2016-05-20,18.43,18.49,18.43,18.450001,49700,17.914303
2016-05-23,18.469999,18.48,18.440001,18.450001,67800,17.914303
2016-05-24,18.469999,18.52,18.469999,18.48,1592300,17.943431
2016-05-25,18.48,18.530001,18.48,18.5,84100,17.962851
2016-05-26,18.459999,18.51,18.459999,18.49,62300,17.953141
2016-05-27,18.51,18.51,18.49,18.49,41600,17.953141
2016-05-31,18.52,18.530001,18.48,18.5,136400,17.962851
2016-06-01,18.49,18.530001,18.49,18.530001,44700,17.99198
2016-06-02,18.52,18.52,18.5,18.52,45500,17.982271
2016-06-03,18.540001,18.549999,18.49,18.52,154500,17.982271
2016-06-06,18.51,18.549999,18.51,18.549999,62200,18.011398
2016-06-07,18.51,18.549999,18.5,18.52,85900,17.982271
2016-06-08,18.51,18.549999,18.51,18.540001,52100,18.00169
2016-06-09,18.52,18.549999,18.51,18.530001,55600,17.99198
2016-06-10,18.530001,18.559999,18.51,18.52,56300,17.982271
2016-06-13,18.52,18.549999,18.5,18.51,76600,17.972561
2016-06-14,18.5,18.52,18.5,18.5,62500,17.962851
2016-06-15,18.440001,18.440001,18.4,18.41,83300,17.937517
2016-06-16,18.379999,18.42,18.360001,18.41,59900,17.937517
2016-06-17,18.41,18.469999,18.360001,18.360001,58700,17.888801
2016-06-20,18.379999,18.41,18.35,18.35,107400,17.879058
2016-06-21,18.389999,18.440001,18.379999,18.4,64600,17.927774
2016-06-22,18.42,18.440001,18.379999,18.42,2853900,17.947261
2016-06-23,18.4,18.48,18.4,18.450001,75000,17.976492
2016-06-24,18.34,18.450001,18.290001,18.389999,94000,17.91803
2016-06-27,18.309999,18.32,18.25,18.27,134500,17.801111
2016-06-28,18.27,18.34,18.26,18.32,81200,17.849827
2016-06-29,18.33,18.370001,18.299999,18.360001,58700,17.888801
2016-06-30,18.370001,18.4,18.35,18.379999,1598500,17.908287
2016-07-01,18.4,18.440001,18.18,18.389999,77900,17.91803
2016-07-05,18.360001,18.42,18.360001,18.389999,47600,17.91803
2016-07-06,18.35,18.450001,18.35,18.43,55100,17.957005
2016-07-07,18.4,18.43,18.379999,18.43,42000,17.957005
2016-07-08,18.450001,18.51,18.440001,18.459999,42900,17.986233
2016-07-11,18.51,18.52,18.469999,18.49,56700,18.015464
2016-07-12,18.52,18.540001,18.51,18.51,59400,18.034951
2016-07-13,18.559999,18.559999,18.51,18.52,335100,18.044695
2016-07-14,18.58,18.610001,18.559999,18.6,51300,18.122642
2016-07-15,18.51,18.530001,18.5,18.5,70400,18.095254
2016-07-18,18.52,18.59,18.51,18.559999,123500,18.15394
2016-07-19,18.530001,18.57,18.530001,18.540001,129400,18.134379
2016-07-20,18.57,18.59,18.549999,18.57,66000,18.163722
2016-07-21,18.58,18.629999,18.559999,18.59,70900,18.183285
2016-07-22,18.59,18.65,18.58,18.58,117300,18.173503
2016-07-25,18.58,18.620001,18.559999,18.58,650800,18.173503
2016-07-26,18.58,18.610001,18.57,18.6,57100,18.193066
2016-07-27,18.59,18.629999,18.57,18.59,60300,18.183285
2016-07-28,18.610001,18.620001,18.57,18.59,534700,18.183285
2016-07-29,18.58,18.6,18.559999,18.59,64800,18.183285
2016-08-01,18.58,18.59,18.530001,18.559999,93200,18.15394
2016-08-02,18.549999,18.59,18.540001,18.559999,52500,18.15394
2016-08-03,18.559999,18.6,18.559999,18.59,67600,18.183285
2016-08-04,18.58,18.6,18.549999,18.57,54300,18.163722
2016-08-05,18.559999,18.6,18.559999,18.59,79900,18.183285
2016-08-08,18.549999,18.59,18.540001,18.559999,99300,18.15394
2016-08-09,18.59,18.610001,18.58,18.58,65700,18.173503
2016-08-10,18.58,18.620001,18.57,18.6,82600,18.193066
2016-08-11,18.6,18.629999,18.58,18.59,211700,18.183285
2016-08-12,18.620001,18.639999,18.58,18.620001,540100,18.212629
2016-08-15,18.51,18.59,18.51,18.57,110100,18.236197
2016-08-16,18.530001,18.58,18.51,18.559999,141200,18.226376
2016-08-17,18.549999,18.6,18.530001,18.58,86700,18.246017
2016-08-18,18.58,18.6,18.540001,18.58,101900,18.246017
2016-08-19,18.58,18.59,18.530001,18.540001,81200,18.206737
2016-08-22,18.57,18.59,18.52,18.549999,108600,18.216556
2016-08-23,18.540001,18.58,18.530001,18.57,329800,18.236197
2016-08-24,18.58,18.58,18.530001,18.559999,68900,18.226376
2016-08-25,18.58,18.59,18.559999,18.57,46600,18.236197
2016-08-26,18.59,18.6,18.57,18.57,59900,18.236197
2016-08-29,18.66,18.66,18.59,18.610001,66800,18.275479
