Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,42.34,43.25,41.470001,41.52,89700,41.52
2016-01-05,41.259998,42.900002,41.009998,42.810001,47400,42.810001
2016-01-06,45.220001,47.349998,44.799999,46.349998,135300,46.349998
2016-01-07,48.66,51.290001,47.900002,50.959999,167100,50.959999
2016-01-08,50.470001,53.66,49.380001,53.560001,125300,53.560001
2016-01-11,51.810001,54.810001,51.169998,52.59,184700,52.59
2016-01-12,50.75,53.580002,49.919998,51.27,91600,51.27
2016-01-13,51.279999,56.259998,50.220001,56.259998,84000,56.259998
2016-01-14,55.509998,57.799999,51.77,52.779999,220500,52.779999
2016-01-15,59.080002,61.860001,57.939999,59.880001,141900,59.880001
2016-01-19,58.09,61.169998,55.630001,59.540001,186500,59.540001
2016-01-20,63.099998,63.419998,56.73,58.380001,221600,58.380001
2016-01-21,56.509998,58.290001,53.75,55.740002,141100,55.740002
2016-01-22,53.990002,53.990002,51.59,52.73,114800,52.73
2016-01-25,52.650002,55.209999,52.650002,54.93,43500,54.93
2016-01-26,54.689999,55.0,52.0,53.310001,107800,53.310001
2016-01-27,54.099998,56.0,52.259998,55.189999,77800,55.189999
2016-01-28,54.0,56.860001,53.5,55.59,56900,55.59
2016-01-29,53.84,53.84,48.0,48.130001,108300,48.130001
2016-02-01,49.040001,49.48,46.700001,47.34,106600,47.34
2016-02-02,49.470001,52.459999,49.299999,52.029999,125100,52.029999
2016-02-03,50.639999,54.77,49.91,51.57,117000,51.57
2016-02-04,51.57,51.82,48.0,48.880001,81800,48.880001
2016-02-05,49.830002,54.439999,49.720001,53.939999,184300,53.939999
2016-02-08,56.119999,60.5,56.119999,58.139999,127800,58.139999
2016-02-09,60.080002,60.560001,55.91,59.169998,80600,59.169998
2016-02-10,57.740002,60.57,56.029999,60.380001,68700,60.380001
2016-02-11,62.27,64.160004,60.91,61.849998,86400,61.849998
2016-02-12,60.060001,62.299999,57.48,57.689999,62700,57.689999
2016-02-16,55.0,55.98,50.709999,51.599998,57500,51.599998
2016-02-17,50.68,50.700001,47.549999,47.860001,130300,47.860001
2016-02-18,46.700001,48.720001,46.630001,48.66,105200,48.66
2016-02-19,48.459999,48.91,47.040001,47.959999,102700,47.959999
2016-02-22,46.490002,46.490002,44.919998,45.689999,76000,45.689999
2016-02-23,46.43,48.049999,46.009998,47.82,71200,47.82
2016-02-24,49.439999,50.349998,45.52,45.84,158600,45.84
2016-02-25,45.25,46.970001,44.040001,44.040001,136800,44.040001
2016-02-26,43.0,43.900002,42.849998,43.330002,75800,43.330002
2016-02-29,42.93,43.669998,41.400002,43.669998,84000,43.669998
2016-03-01,42.68,42.77,39.900002,39.939999,164900,39.939999
2016-03-02,40.029999,40.369999,39.220001,39.32,56600,39.32
2016-03-03,39.07,40.0,38.919998,39.16,58600,39.16
2016-03-04,38.41,39.279999,36.950001,37.950001,179300,37.950001
2016-03-07,38.860001,39.0,37.060001,37.560001,120500,37.560001
2016-03-08,38.43,40.18,38.400002,40.049999,157900,40.049999
2016-03-09,40.0,40.040001,38.82,39.110001,70000,39.110001
2016-03-10,38.540001,40.060001,37.5,38.509998,129800,38.509998
2016-03-11,37.5,37.5,36.209999,36.27,114400,36.27
2016-03-14,36.549999,37.060001,36.200001,36.630001,40400,36.630001
2016-03-15,37.040001,37.77,36.84,36.900002,128800,36.900002
2016-03-16,37.080002,37.25,35.669998,35.84,81700,35.84
