Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,48.990002,48.990002,48.0,48.5,7900,47.542556
2016-01-05,48.450001,48.66,48.450001,48.66,1200,47.699397
2016-01-06,48.400002,48.400002,47.990002,47.990002,3500,47.042625
2016-01-07,47.43,47.52,47.290001,47.299999,1700,46.366244
2016-01-08,47.650002,47.650002,46.549999,46.549999,17000,45.63105
2016-01-11,46.82,46.82,46.040001,46.599998,5800,45.680062
2016-01-12,47.380001,47.380001,46.439999,46.799999,4100,45.876115
2016-01-13,47.09,47.130001,45.869999,46.75,2800,45.827103
2016-01-14,46.290001,46.610001,45.599998,46.580002,5700,45.660461
2016-01-15,47.0,51.700001,45.0,45.52,7400,44.621385
2016-01-19,46.41,46.41,45.470001,45.470001,2300,44.572373
2016-01-20,44.509998,45.380001,44.014,45.029999,12700,44.141056
2016-01-21,45.389999,45.57,45.049999,45.299999,8300,44.405727
2016-01-22,45.880001,46.029999,45.834999,46.029999,4700,45.121315
2016-01-25,47.0,47.0,45.380001,45.41,12900,44.513556
2016-01-26,45.740002,45.950001,45.57,45.950001,2100,45.042896
2016-01-27,45.98,45.98,45.369999,45.400002,5300,44.503755
2016-01-28,45.880001,45.880001,45.369999,45.66,5100,44.75862
2016-01-29,46.040001,46.73,45.880001,46.73,1400,45.807497
2016-02-01,46.700001,46.700001,46.470001,46.599998,57900,45.680062
2016-02-02,46.619999,46.619999,45.860001,45.959999,31700,45.052697
2016-02-03,45.790001,46.110001,45.380001,46.110001,2500,45.199738
2016-02-04,46.049999,46.25,46.02,46.175999,7300,45.264433
2016-02-05,45.724998,45.724998,45.511002,45.511002,700,44.612564
2016-02-08,45.0,45.0,44.09,44.567001,9500,43.687199
2016-02-09,44.02,44.66,44.02,44.66,5400,43.778362
2016-02-10,45.02,45.205002,44.730999,44.730999,5900,43.847959
2016-02-11,44.130001,44.150002,43.790001,44.150002,9900,43.278431
2016-02-12,44.599998,44.959999,44.43,44.959999,5400,44.072438
2016-02-16,45.509998,45.720001,45.316002,45.630001,20600,44.729214
2016-02-17,46.240002,46.540001,46.240002,46.5,4500,45.582038
2016-02-18,46.700001,46.700001,44.57,46.287998,54500,45.374221
2016-02-19,46.23,46.290001,46.23,46.290001,700,45.376185
2016-02-22,46.924999,46.924999,46.84,46.84,2200,45.915326
2016-02-23,46.880001,46.880001,46.438,46.48,1400,45.562432
2016-02-24,46.639999,46.639999,46.639999,46.639999,200,45.719274
2016-02-25,46.93,46.93,46.785999,46.785999,600,45.862391
2016-02-26,47.389999,47.389999,47.220001,47.259998,700,46.327033
2016-02-29,47.220001,47.23,46.84,46.84,1800,45.915326
2016-03-01,47.200001,47.639999,47.0,47.639999,6300,46.699533
2016-03-02,47.759998,47.950001,47.759998,47.950001,300,47.003414
2016-03-03,48.080002,48.189999,48.040001,48.189999,39200,47.238674
2016-03-04,48.369999,48.525002,48.25,48.32,19900,47.366109
2016-03-07,48.169998,48.34,48.169998,48.189999,1300,47.238674
2016-03-08,47.919998,48.139999,47.75,47.779999,16800,46.836768
2016-03-09,48.18,48.18,47.900002,47.950001,3300,47.003414
2016-03-10,48.23,48.23,47.700001,47.990002,5500,47.042625
2016-03-11,48.599998,48.759998,48.5,48.759998,4100,47.797421
2016-03-14,48.755001,48.841,48.755001,48.841,3000,47.876824
2016-03-15,48.638,48.66,48.619999,48.66,11800,47.699397
2016-03-16,48.66,48.93,48.630001,48.93,15200,47.964067
2016-03-17,49.049999,49.261002,48.93,49.240002,1300,48.267949
2016-03-18,48.900002,49.259998,48.900002,49.200001,2900,48.462981
2016-03-21,49.290001,49.290001,49.16,49.16,2700,48.423579
2016-03-22,49.220001,49.360001,49.220001,49.307999,4400,48.569361
2016-03-23,49.32,49.32,48.931999,49.009998,3700,48.275825
2016-03-24,48.889999,48.970001,48.700001,48.970001,41000,48.236427
2016-03-28,48.970001,48.970001,48.970001,48.970001,0,48.236427
2016-03-29,48.860001,49.439999,48.860001,49.43,8300,48.689535
2016-03-30,49.810001,49.810001,49.630001,49.674,7400,48.929879
2016-03-31,49.619999,49.700001,49.534,49.534,3000,48.791977
2016-04-01,49.299,49.599998,49.299,49.59,3200,48.847138
2016-04-04,49.751999,49.849998,49.705002,49.705002,2000,48.960417
2016-04-05,49.419998,49.439999,49.298,49.330002,7000,48.591035
2016-04-06,49.419998,49.779999,49.290001,49.779999,11500,49.034291
2016-04-07,49.639999,49.639999,48.991001,48.991001,1300,48.257112
2016-04-08,49.57,49.57,49.290001,49.290001,700,48.551633
2016-04-11,49.57,49.57,49.220001,49.25,2400,48.512231
